frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.091880e+00;3.100664e+00;-4.401643e+00;1.390882e+01;5.456449e+00;1.264915e-01;1.711169e+01;3.924415e+00;1.162659e+01;-3.894227e-01;1.560072e+00;8.312352e+00;4.916411e+00;-2.004520e+01
1;0.010000;-1.147583e+01;4.110610e+00;-6.057686e+00;1.122753e+01;5.634317e-01;-6.601435e+00;1.726688e+01;6.913109e+00;9.454215e+00;-9.918183e-01;3.701914e+00;6.365805e+00;6.414467e+00;-1.471290e+01
2;0.020000;-1.403904e+01;8.931792e+00;-4.913868e+00;1.152102e+01;1.275542e+00;-6.183042e+00;1.818272e+01;8.874408e+00;7.505898e+00;-3.550825e-01;5.273263e+00;3.293960e+00;5.337361e+00;-1.010152e+01
3;0.030000;-1.637416e+01;1.238292e+01;-4.924016e+00;1.177646e+01;4.020712e+00;-1.417841e+00;1.863375e+01;7.734971e+00;7.048611e+00;1.513697e+00;5.008718e+00;3.625692e+00;4.567318e+00;-7.334946e+00
4;0.040000;-1.605907e+01;1.569695e+01;-4.661415e+00;1.360411e+01;7.919133e+00;2.679256e+00;1.673714e+01;3.028995e+00;7.893515e+00;1.271088e-01;3.676493e+00;3.580132e+00;4.407043e+00;-5.566368e+00
5;0.050000;-1.795104e+01;1.474431e+01;-9.044714e+00;1.203032e+01;7.867621e+00;2.531377e+00;1.487300e+01;3.081435e+00;1.066639e+01;-5.474510e-01;3.708458e+00;5.089190e+00;5.309584e+00;-6.291199e+00
6;0.060000;-1.876941e+01;1.385958e+01;-1.242473e+01;1.034663e+01;8.286088e+00;2.074339e+00;1.575271e+01;4.679931e+00;9.124647e+00;-8.912634e-01;6.100168e+00;6.053610e+00;4.562783e+00;-6.304794e+00
7;0.070000;-1.820027e+01;1.499834e+01;-1.155489e+01;1.143497e+01;7.597898e+00;6.080163e+00;1.807905e+01;2.115602e+00;6.991317e+00;-8.066128e-01;7.259429e+00;4.875693e+00;1.394629e+00;-6.172974e+00
8;0.080000;-1.578928e+01;1.819078e+01;-9.675270e+00;1.356363e+01;6.646397e+00;7.182398e+00;1.755036e+01;3.105233e+00;5.466279e+00;-1.287770e+00;7.626923e+00;4.756656e+00;7.402765e-01;-5.694168e+00
9;0.090000;-1.702873e+01;1.668366e+01;-1.112505e+01;1.392706e+01;7.416010e+00;6.435337e+00;1.815650e+01;5.348830e+00;5.637730e+00;-6.764092e-01;6.205787e+00;4.727645e+00;4.399931e-01;-6.026833e+00
