frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.128395e+00;-5.907143e+00;3.965348e+00;4.788321e+00;1.253115e+01;8.206577e-01;-4.902878e-01;1.835271e+01;1.527023e+01;1.837757e+00;2.597727e+00;2.916411e+00;2.189935e+00;-5.041283e+00
1;0.010000;-2.060009e+00;-6.552076e+00;3.526997e+00;6.198991e+00;1.105857e+01;-1.039457e-01;-1.731262e+00;1.777792e+01;9.683549e+00;4.319308e-01;3.200536e+00;2.275149e+00;-1.095512e+00;-3.975075e+00
2;0.020000;-2.918728e+00;-6.343182e+00;2.297457e+00;5.618773e+00;1.531142e+01;-2.318439e-01;-1.063391e+00;1.586983e+01;4.306219e+00;-1.539093e+00;5.358693e+00;4.759047e+00;-4.234838e+00;-3.045486e+00
3;0.030000;-3.672599e+00;-6.029516e+00;1.827837e+00;4.654898e+00;1.518107e+01;3.094444e-01;-4.614721e+00;1.212246e+01;1.684593e+00;-3.455334e+00;2.326509e+00;8.326373e+00;7.951323e-01;-2.502228e+00
4;0.040000;-3.207932e+00;-5.106764e+00;3.544283e+00;4.031946e+00;1.090312e+01;1.474872e+00;-6.135473e+00;1.349303e+01;3.559265e+00;-3.706962e+00;2.176614e-01;7.684958e+00;2.941372e+00;-1.775215e+00
5;0.050000;-2.179616e+00;-3.509071e+00;4.716394e+00;3.757370e+00;7.980014e+00;2.908420e+00;-4.476616e+00;1.310017e+01;5.112836e+00;-3.816444e+00;1.587121e+00;5.524820e+00;1.045405e+00;-1.019470e+00
6;0.060000;-2.755325e+00;-3.436801e+00;5.732023e+00;4.696539e+00;6.017981e+00;1.629367e+00;-2.295743e+00;8.639791e+00;7.345831e+00;-4.252626e+00;3.737511e+00;4.794142e+00;-1.760180e+00;-1.987114e+00
7;0.070000;-3.181939e+00;-4.661728e+00;6.210114e+00;7.451315e+00;6.267778e+00;2.323207e+00;1.348904e+00;6.567223e+00;1.050050e+01;-3.317779e+00;5.994846e+00;4.046094e+00;-2.522673e+00;-5.499954e+00
8;0.080000;-4.908094e-01;-2.246843e+00;8.063159e+00;1.037776e+01;7.331872e+00;5.329763e+00;6.247213e+00;5.534323e+00;1.234174e+01;-1.995437e+00;6.682675e+00;4.250410e+00;-1.986196e+00;-1.183238e+01
9;0.090000;1.504349e+00;3.518069e+00;6.212579e+00;4.644365e+00;6.687279e+00;1.057191e+01;6.598197e+00;2.299360e+00;8.921088e+00;1.458100e+00;5.905315e+00;3.287121e+00;5.668246e-01;-1.444643e+01
10;0.100000;1.099756e+00;2.379897e+00;3.419818e+00;4.308441e+00;6.634704e+00;1.103257e+01;7.792083e+00;3.651891e+00;5.580394e+00;3.885331e-01;9.003836e+00;7.200978e+00;4.092805e+00;-1.417440e+01
11;0.110000;9.493942e-01;2.265219e+00;4.402584e+00;4.321519e+00;5.653769e+00;1.019983e+01;8.927137e+00;5.045786e+00;4.618464e+00;-1.724710e+00;1.157550e+01;9.146634e+00;3.937900e+00;-1.420691e+01
12;0.120000;8.075695e-01;2.388332e+00;5.580002e+00;3.845680e+00;4.192264e+00;8.728410e+00;8.659559e+00;8.337810e+00;8.942728e+00;1.977024e-01;1.107518e+01;8.960427e+00;4.600814e+00;-1.411351e+01
13;0.130000;1.457820e+00;2.326733e+00;5.980823e+00;4.552644e+00;5.630063e+00;1.067728e+01;6.890176e+00;7.894403e+00;7.390873e+00;1.007154e+00;1.139710e+01;6.906665e+00;3.037950e+00;-1.409286e+01
14;0.140000;1.263815e+00;1.505595e+00;5.999158e+00;6.716137e+00;7.822931e+00;1.154069e+01;5.520242e+00;4.065550e+00;4.217462e+00;1.486056e+00;9.349468e+00;5.343023e+00;2.330246e+00;-1.418351e+01
15;0.150000;6.597328e-01;9.894540e-01;5.718990e+00;6.568390e+00;6.489956e+00;1.092783e+01;4.123517e+00;1.149603e+00;3.762511e+00;4.041048e+00;9.475818e+00;6.133222e+00;3.661867e+00;-1.442596e+01
16;0.160000;6.163502e-01;1.730695e+00;5.510548e+00;5.340155e+00;4.969384e+00;1.123098e+01;5.037192e+00;5.412547e-01;5.222049e+00;3.308406e+00;1.005841e+01;8.030642e+00;4.157492e+00;-1.496244e+01
17;0.170000;1.613091e+00;4.489085e+00;6.651228e+00;5.052625e+00;5.467521e+00;1.014431e+01;6.284448e+00;2.429954e+00;6.224546e+00;-3.538280e-01;8.235497e+00;6.349264e+00;3.222131e+00;-1.462616e+01
18;0.180000;1.514569e+00;3.749259e+00;6.417365e+00;5.880430e+00;6.218081e+00;6.808029e+00;6.600871e+00;5.740420e+00;7.184022e+00;-3.657796e+00;6.647710e+00;5.055261e+00;3.328454e+00;-1.403607e+01
19;0.190000;6.605330e-01;1.265745e+00;6.084135e+00;6.412404e+00;5.902080e+00;5.642190e+00;6.673985e+00;7.643118e+00;1.106458e+01;4.138913e-01;8.726540e+00;3.984090e+00;2.965125e+00;-1.413533e+01
20;0.200000;-1.516895e-01;7.235802e-01;6.979146e+00;8.455113e+00;7.054141e+00;7.459506e+00;5.448313e+00;5.798704e+00;1.165661e+01;3.776951e+00;1.042203e+01;3.458627e+00;2.059648e+00;-1.431843e+01
21;0.210000;1.158969e+00;-1.177703e+01;-5.215425e+00;6.326684e+00;6.868906e+00;1.833085e+01;7.441853e+00;7.438841e+00;6.361719e+00;3.707068e+00;-2.564990e+00;1.048615e+01;3.781449e+00;-6.751450e+00
22;0.220000;3.630905e-01;-1.572958e+01;-8.241133e+00;3.692544e+00;4.484488e+00;1.758023e+01;6.235469e+00;8.088009e+00;4.084045e+00;5.334660e+00;-6.454566e+00;1.338508e+01;4.186603e+00;-3.763885e-01
23;0.230000;3.252544e-01;-1.589860e+01;-8.555580e+00;3.675167e+00;4.083661e+00;1.740069e+01;5.715242e+00;7.694127e+00;3.485725e+00;4.035970e+00;-7.325753e+00;1.344954e+01;4.748476e+00;9.951096e-01
24;0.240000;6.044340e-01;-1.388659e+01;-5.401884e+00;7.180081e+00;1.278784e+00;1.636355e+01;3.202318e+00;5.188657e+00;5.232206e+00;-1.222608e+00;-3.079566e+00;1.045177e+01;4.116345e+00;9.725876e-01
25;0.250000;1.288892e+00;-1.241448e+01;-3.753317e+00;7.147265e+00;-1.047267e+00;1.276626e+01;-3.401349e+00;2.115061e+00;2.301880e+00;-4.576158e+00;1.769066e-03;8.401142e+00;3.310306e+00;3.687149e+00
26;0.260000;7.296200e-01;-1.278914e+01;-3.331257e+00;5.809224e+00;-3.367593e+00;1.022977e+01;-1.925319e+00;1.608540e+00;-1.119758e+00;-6.999038e+00;1.361624e+00;5.179360e+00;6.471803e-01;5.574448e+00
27;0.270000;-1.099615e-01;-1.267047e+01;-1.603927e+00;5.631696e+00;-4.582095e+00;1.124617e+01;6.200114e+00;5.892533e+00;9.183483e-01;-6.622269e+00;3.411800e+00;2.837397e+00;-5.545278e-01;5.805214e+00
