frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.766479e+00;-1.776075e+00;3.425039e+00;-1.677151e+01;-7.051370e+00;1.656163e+00;4.134347e+00;-4.595661e+00;-4.197426e-01;1.048256e+01;-2.438040e+00;3.763003e+00;-3.092328e+00;7.692284e+00
1;0.010000;-8.125173e+00;-2.806457e+00;3.756905e-01;-1.317127e+01;-5.276000e+00;2.148963e+00;8.488014e+00;-1.732322e+00;1.207524e+00;7.406115e+00;-1.271304e+00;3.872843e+00;-2.547543e+00;8.522400e+00
2;0.020000;-7.940959e+00;-5.041925e+00;-4.753775e+00;-9.384058e+00;-4.360930e+00;-1.095989e+00;7.035278e+00;-9.535117e-01;-4.778061e-01;7.296582e-01;-2.507883e+00;4.368889e+00;-8.181577e-01;8.234474e+00
3;0.030000;-6.878613e+00;-5.449288e+00;-8.726847e+00;-4.970465e+00;-7.056799e-01;-1.652010e+00;6.627646e+00;4.364622e-01;-4.288248e+00;-6.123532e+00;-5.237383e+00;3.694282e+00;-5.888534e-01;8.370392e+00
4;0.040000;-6.528326e+00;-5.605150e+00;-1.267767e+01;-2.739975e+00;2.370029e+00;-1.710308e+00;5.652533e+00;1.862953e+00;-5.186014e+00;-9.814128e+00;-5.703413e+00;2.754567e+00;-1.588094e+00;8.475067e+00
5;0.050000;-6.830954e+00;-6.943619e+00;-1.579979e+01;-2.812151e+00;3.588820e+00;-1.716829e+00;3.524717e+00;1.863931e+00;-6.914726e+00;-1.200733e+01;-5.542028e+00;9.982717e-01;-2.337102e+00;8.198685e+00
6;0.060000;-6.289456e+00;-6.634451e+00;-1.483360e+01;-6.010079e-01;5.795342e+00;1.299694e+00;6.516573e+00;4.349152e+00;-5.230045e+00;-9.089578e+00;-4.493599e+00;1.958721e+00;-2.687478e-01;8.370239e+00
7;0.070000;-6.323380e+00;-7.505964e+00;-1.531118e+01;-2.276346e+00;3.931863e+00;8.743954e-01;6.998993e+00;5.965937e+00;-3.135081e+00;-6.694975e+00;-3.761627e+00;2.949259e+00;-7.176876e-03;8.389931e+00
8;0.080000;-5.451954e+00;-6.440983e+00;-1.387548e+01;-1.554782e+00;3.710471e+00;1.283150e+00;7.748475e+00;7.825875e+00;-1.617526e+00;-4.946607e+00;-3.775545e+00;2.859672e+00;-5.235953e-01;8.670326e+00
9;0.090000;-4.396752e+00;-6.427500e+00;-1.274045e+01;-1.821711e+00;1.469658e+00;-7.947941e-01;5.318171e+00;7.042462e+00;-1.456662e+00;-5.387581e+00;-5.482786e+00;4.467302e+00;-1.927154e+00;8.245010e+00
10;0.100000;-2.663783e+00;-6.373507e+00;-1.061341e+01;-6.084995e-01;-1.577783e+00;-2.387030e+00;2.631052e+00;5.454560e+00;-5.688744e-01;-6.184540e+00;-7.301987e+00;6.399181e+00;-2.431873e+00;7.425789e+00
11;0.110000;-2.543702e-01;-5.599864e+00;-7.805479e+00;2.135059e+00;-2.394227e+00;-1.550749e+00;7.584243e-01;4.663436e+00;6.082439e-01;-7.255088e+00;-6.174227e+00;5.851711e+00;-4.138942e-01;5.547668e+00
12;0.120000;9.333677e-01;-3.806918e+00;-2.823961e+00;2.860637e+00;-2.725263e+00;-6.014347e-01;-1.414836e+00;2.159436e+00;3.027320e+00;-7.032146e+00;-3.395466e+00;2.151454e+00;4.764464e+00;2.843590e+00
13;0.130000;5.607362e-01;-9.953294e-01;1.634157e+00;9.119377e-01;-1.659995e+00;-3.464108e-01;-1.708818e+00;1.370676e+00;4.393355e+00;-3.551415e+00;-5.303930e+00;-2.551858e-01;7.660414e+00;7.902985e-01
14;0.140000;6.467185e-01;-3.379087e+00;1.088328e+00;3.615175e+00;1.433443e+00;-2.754623e+00;-5.320300e+00;2.844684e+00;5.944109e-01;-1.905734e+00;-4.541624e+00;2.049211e+00;7.853652e+00;6.270447e-01
15;0.150000;1.684069e+00;-5.750134e+00;-3.007832e+00;5.447580e+00;-3.710111e+00;-6.296778e+00;-7.437975e+00;3.689742e+00;3.799438e-01;-3.546900e-01;9.082985e-01;2.429187e+00;6.682127e+00;2.102173e+00
16;0.160000;1.997987e+00;-6.843579e+00;-6.697361e+00;5.914937e+00;-7.525027e+00;-4.330503e+00;-6.939738e+00;3.018147e+00;1.311837e+00;1.140418e+00;2.897933e+00;1.817999e+00;3.850319e+00;3.153351e+00
17;0.170000;1.776259e+00;-5.418086e+00;-9.549879e+00;5.393315e+00;-5.563231e+00;-3.922125e+00;-6.094397e+00;1.378396e-01;2.650709e+00;2.764849e+00;1.259486e+00;4.256680e+00;2.231723e+00;3.156944e+00
