frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.854239e-01;1.486809e+00;-1.215749e+01;8.229619e+00;-4.239788e-01;-4.209160e+00;3.479450e+00;-6.348470e+00;-1.202793e+01;1.379813e+01;-4.088446e+00;-9.876468e+00;-8.297359e+00;-3.374710e-01
1;0.010000;-1.372031e+00;1.360419e+00;-5.492858e+00;8.443997e+00;-2.615142e+00;-2.392760e+00;-2.751682e+00;-5.791903e-01;-8.101192e+00;8.815458e+00;5.851851e-01;-9.456159e+00;-1.210280e+01;1.992569e-01
2;0.020000;-2.666574e+00;2.481513e+00;2.420176e+00;4.829483e+00;-7.996653e+00;4.371309e-02;-5.471359e+00;1.886978e-01;-8.797434e+00;2.426672e+00;-1.488193e+00;-5.233509e+00;-1.245359e+01;3.779373e-01
3;0.030000;-2.853974e+00;4.072382e+00;6.522341e+00;1.672267e+00;-9.763806e+00;2.371107e+00;-3.468624e+00;-2.638716e+00;-9.648123e+00;-9.495578e-01;-4.953971e+00;-3.229463e+00;-1.248074e+01;-6.031265e-01
4;0.040000;-1.040867e+00;4.840430e+00;5.307175e+00;2.232889e+00;-3.368927e+00;5.645771e+00;-1.558161e-01;-2.865653e+00;-4.131291e+00;-3.173844e+00;-8.556844e+00;-1.135783e+00;-8.367590e+00;-2.171600e+00
5;0.050000;1.634035e-01;4.653704e+00;-7.393497e-01;4.480179e+00;1.228762e+00;2.762526e+00;3.726114e+00;-9.279680e-01;-1.781929e+00;-2.170835e+00;-9.003151e+00;-3.348800e+00;-7.105177e+00;-3.785461e+00
6;0.060000;-2.414289e-01;5.017158e+00;-2.790005e+00;5.096469e+00;4.862658e+00;4.015287e+00;6.869858e+00;1.897507e+00;-1.602340e+00;1.448683e+00;-3.821277e+00;-2.777194e+00;-2.696129e+00;-5.352455e+00
7;0.070000;-1.883088e+00;4.227759e+00;-6.021692e-01;3.334384e-01;3.173501e+00;8.786316e+00;3.651603e+00;3.711111e+00;9.652505e-01;1.820330e+00;5.215150e+00;3.705916e+00;-3.427084e+00;-7.236198e+00
8;0.080000;-6.990188e+00;-5.363206e+00;1.039507e+01;-7.737968e-01;-1.882418e+00;8.187414e+00;4.300605e+00;2.839897e+00;6.351700e+00;2.261518e+00;-3.637359e+00;8.277271e+00;1.093991e+00;-3.844139e+00
9;0.090000;-1.181772e+01;-1.034760e+01;1.139520e+01;1.380141e+00;2.500814e+00;9.719195e+00;7.915251e+00;8.764282e+00;1.328291e+01;5.803917e+00;-2.456191e+00;8.779062e+00;3.763716e+00;3.911301e+00
10;0.100000;-1.134536e+01;-8.858568e+00;1.218392e+01;2.784787e+00;3.710947e+00;8.399803e+00;4.370403e+00;7.035448e+00;1.137438e+01;3.834400e+00;-3.987385e+00;7.967818e+00;4.122695e+00;8.074226e+00
11;0.110000;-8.469707e+00;-5.275424e+00;1.298869e+01;3.426981e+00;3.479617e+00;4.253241e+00;-1.977697e+00;2.445324e+00;7.683044e+00;1.690045e+00;-4.090137e+00;7.039973e+00;2.541201e+00;8.229942e+00
12;0.120000;-2.746898e+00;-4.941649e-01;9.319447e+00;9.698990e-01;2.787156e+00;3.126168e-01;-5.182810e+00;1.315913e+00;4.083329e+00;-2.719765e-01;-2.425449e+00;6.408765e+00;-1.277824e+00;4.640045e+00
13;0.130000;2.913481e+00;3.931848e+00;3.658766e+00;-5.862665e-02;-1.189042e+00;-1.552849e-01;-3.950171e+00;6.566467e-01;-4.404667e+00;-2.502454e+00;-2.741967e+00;3.328735e+00;-4.104280e+00;-1.415642e+00
14;0.140000;4.619918e+00;5.786520e+00;5.365714e+00;1.396351e+00;-2.907089e+00;5.244013e+00;-5.209522e+00;-1.449480e-01;-5.258701e+00;-3.769366e+00;-6.099973e+00;-1.297968e+00;-2.129495e+00;-5.160309e+00
15;0.150000;4.761883e+00;7.864530e+00;6.623383e+00;3.065545e+00;-1.551485e+00;3.789207e+00;2.317467e-01;-1.169319e-01;-3.643800e+00;-3.032485e+00;-6.025624e+00;-9.440775e-01;-8.880301e-01;-6.255470e+00
16;0.160000;2.831024e+00;7.118690e+00;5.956375e+00;6.268064e+00;2.055016e+00;1.355595e+00;3.586392e+00;1.123930e+00;-4.754019e+00;-1.859954e+00;-3.519217e+00;3.374186e-01;-1.261996e+00;-4.841209e+00
17;0.170000;4.636216e-01;6.540919e+00;4.913852e+00;7.422963e+00;4.391434e+00;7.296162e-01;4.471509e+00;2.202420e+00;-5.005764e+00;-2.018986e+00;-2.241134e+00;7.898321e-01;-1.621080e+00;-3.154732e+00
18;0.180000;2.085996e+00;7.901503e+00;2.360821e+00;-1.110878e+00;1.996422e+00;-3.219867e+00;7.717165e+00;5.322509e+00;2.338886e-03;9.688816e-01;1.157391e+00;4.720874e+00;-5.460072e-02;2.512512e-01
19;0.190000;4.541671e+00;5.754591e+00;-3.950622e+00;-1.131000e+01;2.377195e+00;-1.751918e+00;9.261449e+00;1.456743e+00;2.387085e+00;6.093461e+00;5.621358e+00;3.013738e+00;-2.227775e+00;4.116760e+00
20;0.200000;4.846016e+00;2.583031e+00;-9.118418e+00;-1.784374e+01;3.791627e+00;9.874725e-02;7.084014e+00;-1.874067e+00;8.413792e+00;8.652818e+00;9.081110e+00;-4.151648e+00;-8.331375e-01;5.307182e+00
21;0.210000;2.555774e+00;-1.645036e+00;-1.339384e+01;-1.961854e+01;4.097641e+00;-9.413214e-01;4.184315e+00;-1.862901e+00;1.661154e+01;6.301485e+00;1.105518e+01;-1.151666e+01;1.049341e+00;4.906937e+00
