frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.142704e+00;-4.358907e+00;1.977222e+00;2.002559e+00;-2.082390e+00;3.140126e+00;6.352736e+00;-2.875694e+00;1.386498e+00;5.319350e-01;4.900833e+00;-5.936807e-02;-2.143749e+00;-1.899719e-03
1;0.010000;2.509856e+00;-2.986152e+00;3.312562e+00;3.767400e+00;1.544008e+00;1.268954e+00;2.761992e+00;-3.376737e+00;5.997252e-01;-2.477271e+00;-2.909069e-01;3.087978e-01;1.805441e+00;-3.066559e-01
2;0.020000;3.268178e+00;-3.068141e+00;3.718968e+00;2.120121e+00;8.457408e-01;6.786156e-02;1.595971e+00;-3.514970e+00;-1.954934e+00;-1.781435e+00;-3.263912e+00;4.376297e+00;2.331176e+00;-2.786026e-01
3;0.030000;2.719668e+00;-4.308383e+00;3.767847e+00;6.127596e-01;-5.339396e-01;1.465440e-01;5.844412e-01;-4.859633e+00;-3.691948e+00;-1.007751e+00;-4.452295e+00;4.222100e+00;2.164221e-01;1.855927e-01
4;0.040000;1.746877e+00;-4.022656e+00;3.478231e+00;-1.135776e+00;7.879214e-01;-3.088837e-01;-2.027701e+00;-6.132826e+00;-6.096000e+00;-1.772641e+00;-2.785827e+00;4.491712e+00;8.570477e-01;3.174515e-01
5;0.050000;1.254815e+00;-1.373716e+00;1.479229e+00;-3.242557e+00;5.594404e-01;-1.573444e+00;-7.387218e-01;-4.516500e+00;-2.662262e+00;6.599562e-01;2.552067e+00;4.028284e+00;1.923346e+00;8.036194e-01
6;0.060000;1.092425e+00;6.698494e-01;-2.298895e+00;-2.402879e+00;5.351253e-01;-2.075459e+00;-2.679759e+00;-2.616686e+00;1.646040e+00;3.183970e+00;2.598976e+00;1.753036e+00;-1.051810e-01;1.252914e+00
7;0.070000;1.841850e+00;-7.308884e-01;-4.627966e+00;8.574648e-01;1.965406e-01;-2.861924e+00;-4.064128e+00;3.277177e+00;1.118821e+00;3.165686e+00;-9.203253e-01;-1.630921e+00;-4.324845e+00;1.371223e+00
8;0.080000;1.107222e+00;-2.473216e-01;-4.658404e+00;2.840541e+00;-3.734674e-01;-7.658334e-01;-3.369963e+00;4.302694e+00;2.257150e-01;8.775177e-01;-2.892404e+00;-3.342383e+00;-3.581204e+00;2.131493e+00
9;0.090000;-2.530843e+00;2.800199e+00;-3.777395e+00;2.626071e-01;1.130427e+00;-2.985325e-01;-7.146368e-01;5.162083e+00;1.698111e+00;-1.324069e+00;-1.018821e+00;-3.913615e+00;-1.795249e+00;4.159515e+00
10;0.100000;-4.426802e+00;3.964213e+00;-3.235280e+00;-2.395402e+00;4.479935e-01;5.704999e-01;6.781807e-01;5.635907e+00;3.470408e+00;3.252563e-01;4.925871e-01;-4.617323e+00;-1.076800e+00;3.348389e+00
11;0.110000;-5.588257e+00;5.039930e+00;-2.128414e+00;-3.882487e+00;-1.702936e+00;-2.305827e-01;5.341635e-01;5.530223e+00;4.729058e+00;1.740833e+00;7.375164e-01;-5.173311e+00;7.269406e-01;-2.225128e+00
12;0.120000;-4.137692e+00;8.621971e+00;2.992294e+00;5.956497e-01;-1.354465e+00;2.920667e+00;1.087420e+00;3.984962e+00;-4.692322e-01;-2.121987e+00;4.342518e+00;-4.433030e-01;5.166651e+00;-1.075797e+01
