frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.721689e+00;1.798118e+01;-1.536863e+00;1.530360e+01;-1.971541e+00;7.844465e+00;4.348228e+00;4.174564e+00;5.337288e+00;-2.458356e+00;6.394171e+00;8.296430e+00;1.038033e-01;-3.563428e+01
1;0.010000;-1.474219e+01;2.278422e+01;-2.823666e+00;1.268556e+01;-3.090267e+00;8.683932e+00;3.615805e+00;5.677651e+00;6.035952e+00;-3.232440e+00;2.283453e+00;7.366824e+00;2.996130e+00;-3.628136e+01
2;0.020000;-1.696873e+01;2.305678e+01;-4.231336e+00;1.565306e+01;-1.550841e-01;8.046065e+00;2.668165e+00;5.400006e+00;1.238704e+00;-6.582347e+00;-9.649820e-01;3.049429e+00;2.123952e+00;-3.453716e+01
3;0.030000;-1.552063e+01;2.197388e+01;-2.727003e+00;2.098735e+01;2.460762e+00;5.537422e+00;-2.299099e-01;2.489717e+00;-3.345346e+00;-6.913541e+00;2.674330e+00;2.004660e+00;1.319056e+00;-3.202683e+01
4;0.040000;-1.459017e+01;1.641674e+01;-3.004072e+00;2.421155e+01;-9.295535e-02;6.963730e+00;2.884844e+00;1.908631e+00;2.359858e+00;-7.935344e+00;-7.713127e-01;3.264909e+00;4.331080e-01;-2.840517e+01
5;0.050000;-9.690495e+00;1.760143e+01;-3.242668e+00;2.047577e+01;-2.850368e+00;8.752232e+00;6.405565e+00;4.453025e+00;4.439590e+00;-5.101726e+00;6.703463e-01;4.612080e+00;2.371190e+00;-2.233089e+01
6;0.060000;-1.586969e+00;1.918730e+01;-3.280665e+00;1.422387e+01;-2.751474e+00;1.025662e+01;6.520802e+00;5.464475e+00;1.494865e+00;-6.462445e+00;4.146814e-02;2.131392e+00;3.492936e+00;-1.531116e+01
7;0.070000;5.326723e+00;1.418139e+01;-7.299041e+00;8.479384e+00;6.979263e-01;1.140259e+01;5.399599e+00;6.068556e+00;1.718311e+00;-7.882483e+00;-2.137551e-01;3.340064e+00;4.244780e+00;-9.561775e+00
8;0.080000;8.504446e+00;5.483876e+00;-9.178306e+00;8.158427e+00;5.575513e+00;8.672608e+00;4.462214e+00;6.297647e+00;-8.921332e-01;-4.498421e+00;1.044100e+00;6.260991e-01;5.832964e+00;-5.574654e+00
9;0.090000;6.320018e+00;-2.301926e+00;-1.091348e+01;7.483201e+00;1.112929e+01;6.397820e+00;5.876269e+00;4.674754e+00;-4.108336e+00;-3.715851e+00;4.206246e+00;2.483225e-02;4.839665e+00;-2.345757e+00
10;0.100000;1.464116e+00;-6.894260e+00;-1.036486e+01;4.624431e+00;1.534351e+01;5.957838e+00;7.095177e+00;8.518720e-01;-3.630126e+00;-4.915118e+00;8.021348e+00;5.383324e+00;2.185167e+00;5.689240e-01
11;0.110000;-1.431326e+00;-8.059887e+00;-9.773561e+00;3.025765e+00;1.652988e+01;6.080437e+00;6.765358e+00;-1.149891e+00;-1.796645e+00;-6.145294e+00;1.022230e+01;8.466504e+00;7.796648e-01;2.600677e+00
12;0.120000;-2.068829e+00;-6.786162e+00;-9.194989e+00;2.286620e+00;1.717342e+01;6.325855e+00;7.256894e+00;-1.414551e+00;1.604832e+00;-8.016901e+00;1.160267e+01;8.707129e+00;2.419266e-01;4.227829e+00
13;0.130000;-2.909639e+00;-8.288289e+00;-1.228370e+01;-9.247694e-01;1.460478e+01;5.153494e+00;5.983759e+00;-3.649362e+00;9.227147e-01;-9.038113e+00;1.143810e+01;6.506517e+00;1.763077e-01;4.468063e+00
14;0.140000;-1.823938e+00;-8.444841e+00;-1.361773e+01;-1.068907e+00;1.430090e+01;6.281662e+00;5.864783e+00;-3.598999e+00;1.844182e+00;-7.903649e+00;1.181827e+01;3.321751e+00;1.204854e+00;4.809036e+00
15;0.150000;-1.250204e+00;-9.243855e+00;-1.473473e+01;-2.180563e+00;1.219077e+01;4.432941e+00;5.010699e+00;-4.586696e+00;4.161915e+00;-8.237446e+00;9.041285e+00;-2.183009e+00;1.089538e+00;5.362747e+00
16;0.160000;4.001560e-01;-8.068828e+00;-1.465656e+01;-3.331157e+00;8.476760e+00;1.504355e+00;5.315430e+00;-3.391209e+00;8.614434e+00;-8.763854e+00;6.856388e+00;-6.805464e+00;2.987316e-01;5.919548e+00
17;0.170000;3.290113e+00;-5.069705e+00;-1.151014e+01;-2.420088e+00;6.554426e+00;4.295206e-01;5.985932e+00;-6.912775e-01;1.241438e+01;-7.414898e+00;6.989182e+00;-8.997879e+00;-7.069939e-01;4.586197e+00
18;0.180000;4.720098e+00;-4.235476e+00;-7.873265e+00;-3.450211e+00;3.796966e+00;-2.185324e+00;5.076680e+00;-1.671690e+00;9.904139e+00;-6.770248e+00;6.810062e+00;-1.104515e+01;-4.055144e+00;2.281113e-01
19;0.190000;5.983908e+00;-1.683868e+00;-4.733438e+00;2.230390e+00;5.300921e+00;1.388308e+00;1.681148e+00;-6.345388e+00;3.332958e+00;-4.116162e+00;5.909104e+00;-7.074908e+00;-7.148531e+00;-5.377327e+00
20;0.200000;5.067998e+00;-5.645435e-01;-3.922548e+00;6.736260e+00;9.362097e+00;7.045164e-01;1.142191e+00;-1.086109e+01;1.326162e+00;-5.083030e-01;4.205221e+00;-4.957871e+00;-6.387379e+00;-6.208542e+00
21;0.210000;5.566666e+00;-2.096918e+00;-5.085656e+00;5.437476e+00;1.009923e+01;-2.822461e+00;5.466106e+00;-1.132175e+01;4.215524e+00;1.183724e+00;5.357254e+00;-8.875656e+00;-2.397584e+00;-2.332062e+00
22;0.220000;6.148250e+00;-2.907020e+00;-5.483713e+00;4.293178e+00;1.099723e+01;-5.453595e+00;1.308756e+01;-7.909978e+00;9.455635e+00;5.339164e-01;6.539833e+00;-8.221581e+00;5.854608e-01;2.812622e+00
23;0.230000;5.984310e+00;-1.786870e+00;-5.381361e+00;3.317828e+00;1.052023e+01;-6.295385e+00;1.678738e+01;-4.676438e+00;1.305381e+01;8.560355e-01;6.875997e+00;-7.719599e+00;1.902735e+00;6.554985e+00
24;0.240000;4.936212e+00;-1.061280e+00;-4.910119e+00;1.587245e+00;8.689905e+00;-5.314669e+00;1.677914e+01;-2.521938e+00;1.617921e+01;2.234724e-01;2.617166e+00;-5.504875e+00;1.869707e+00;8.071342e+00
25;0.250000;2.734766e+00;-1.935194e+00;-3.878463e+00;-2.037464e+00;5.858629e+00;-5.714875e+00;1.425754e+01;-2.235766e+00;1.787671e+01;-5.140825e-01;-6.175106e+00;-4.349627e+00;3.982369e+00;8.862755e+00
