frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.672090e+00;2.047773e+00;5.997382e+00;1.086479e+01;-1.923418e+00;-1.690684e+01;-8.923717e-01;-7.058446e+00;1.274159e+01;-9.426616e+00;-2.463296e+00;1.061828e+01;3.429973e+00;8.631500e+00
1;0.010000;-1.165657e+00;2.243247e+00;4.676663e+00;1.565708e+01;-1.203016e+00;-1.646557e+01;-4.531901e+00;-3.948106e+00;1.167963e+01;-8.836993e+00;1.006139e+00;1.286631e+01;4.164336e+00;7.428543e+00
2;0.020000;-6.553380e-01;3.182071e+00;3.667800e+00;1.672817e+01;5.933962e-01;-1.493345e+01;-6.209971e+00;-2.310524e-01;1.145716e+01;-6.320421e+00;2.541937e+00;1.145991e+01;5.430718e+00;4.366219e+00
3;0.030000;-1.369270e+00;4.036680e+00;5.085103e+00;1.280353e+01;2.669823e+00;-7.605566e+00;-4.048892e+00;-2.792353e+00;1.095031e+01;-1.172005e+00;3.364554e+00;6.205293e+00;5.145587e+00;3.754425e-01
4;0.040000;-1.102699e+00;2.761983e+00;6.484672e+00;8.163242e+00;4.353713e+00;-7.334514e+00;1.202192e+00;-3.160162e+00;8.336945e+00;8.236122e-02;3.145248e+00;3.026378e+00;2.486445e+00;-2.914642e+00
5;0.050000;-8.553972e-01;6.688957e-01;6.503477e+00;2.501752e+00;2.214874e+00;-1.317260e+01;-6.066689e-01;-4.612746e+00;1.081287e+01;-8.871355e-01;2.288456e+00;2.711589e+00;2.624226e-02;-5.112267e+00
6;0.060000;-3.717470e-01;-1.196762e+00;3.197974e+00;-1.520492e+00;2.760921e+00;-1.129968e+01;2.169339e+00;-2.762152e+00;9.205563e+00;-3.731576e+00;2.710831e+00;2.465068e+00;1.160171e+00;-5.888039e+00
7;0.070000;-1.115251e-01;-4.029534e+00;-4.235483e+00;-7.504333e+00;7.855335e+00;-2.550260e+00;6.002306e+00;1.767353e+00;-2.440683e+00;-3.593845e+00;4.897241e+00;-1.575771e+00;5.728179e+00;-3.941628e+00
8;0.080000;-1.938660e-01;-4.719104e+00;-8.441848e+00;-9.953206e+00;9.140559e+00;9.623380e-01;5.685794e+00;3.446596e+00;-4.799871e+00;-3.332910e+00;7.296648e+00;-3.120814e+00;7.073119e+00;-2.325775e+00
9;0.090000;2.721698e-01;-3.369817e+00;-9.648834e+00;-1.041101e+01;7.023618e+00;-4.511652e-01;6.191571e+00;6.278725e-01;-6.404346e+00;-5.963071e+00;6.540167e+00;-4.130737e+00;5.469398e+00;-2.744873e+00
10;0.100000;8.514693e-01;1.001802e+00;-5.755772e+00;-5.434528e+00;3.676253e+00;-8.215462e+00;6.404805e+00;-4.718760e+00;-4.581427e+00;-9.569935e+00;3.031298e+00;-1.003106e+00;2.260008e-01;-2.595726e+00
11;0.110000;7.038071e-01;5.277145e+00;-3.046435e-01;-6.033943e+00;-1.529902e+00;-1.383425e+01;5.529675e+00;-8.180920e+00;2.281179e-01;-8.611476e+00;-5.773443e-01;1.744143e+00;-1.462834e+00;2.176941e+00
12;0.120000;7.478125e-01;4.548596e+00;1.551530e+00;-6.057236e+00;-2.249467e+00;-1.496950e+01;3.723584e+00;-8.050302e+00;4.970541e-01;-4.197291e+00;-1.646929e+00;1.435428e-01;-3.872323e-01;6.183441e+00
13;0.130000;7.001679e-01;2.255296e+00;3.723228e+00;-5.070001e+00;-3.313065e+00;-1.479999e+01;1.491549e+00;-5.262415e+00;-1.540689e+00;1.237011e-02;-2.667576e+00;-2.616296e-01;2.471795e+00;7.335381e+00
14;0.140000;7.312796e-01;-9.320030e-01;5.211207e+00;-2.707473e+00;-5.596359e+00;-1.028483e+01;-4.266561e+00;-1.417077e+00;-3.649828e+00;3.126863e+00;-3.198218e+00;-3.736339e-01;4.904979e+00;7.191612e+00
15;0.150000;9.928153e-01;-3.032076e+00;5.365975e+00;7.000370e-01;-9.240694e+00;-6.510155e+00;-9.788151e+00;2.261703e+00;-3.578373e+00;3.226645e+00;-4.897538e+00;-3.204107e-02;5.310779e+00;7.405136e+00
16;0.160000;1.387981e+00;-4.377123e+00;4.271583e+00;3.524032e+00;-1.135335e+01;-2.048405e+00;-1.383404e+01;4.991846e+00;-6.079157e+00;2.680241e+00;-6.732306e+00;9.187298e-01;5.940224e+00;7.475739e+00
17;0.170000;1.179395e+00;-4.538129e+00;3.207476e+00;6.491461e+00;-1.001170e+01;7.778206e-01;-1.573631e+01;4.648345e+00;-6.334875e+00;2.169624e+00;-7.674520e+00;1.472249e-01;5.740901e+00;6.860847e+00
18;0.180000;1.124435e+00;-3.647131e+00;1.710968e+00;8.173466e+00;-7.197269e+00;1.910182e+00;-1.469180e+01;3.572812e+00;-5.165792e+00;1.223381e+00;-7.126138e+00;-2.789345e+00;4.814198e+00;5.504608e+00
19;0.190000;1.105350e+00;-2.549908e+00;2.088128e-01;6.516350e+00;-2.749163e+00;2.773066e+00;-8.119604e+00;4.853955e+00;-3.405285e+00;-3.032351e-01;-8.866046e+00;-5.875843e+00;1.741458e+00;4.296707e+00
20;0.200000;1.012005e+00;-2.120770e+00;1.433164e+00;3.933967e+00;-3.160832e+00;6.102320e+00;-4.107795e+00;4.640862e+00;-4.791885e+00;-1.213045e-01;-9.084435e+00;-6.679040e+00;4.510183e-01;3.229401e+00
21;0.210000;-4.560802e-01;1.301289e-01;6.969354e-01;4.655890e+00;-1.563850e+00;6.455175e+00;1.117520e+00;3.747606e-01;-2.269026e+00;-4.110404e+00;-7.508564e+00;-8.200254e+00;-1.407112e+00;2.273193e+00
22;0.220000;-2.234930e+00;3.991173e+00;-4.211410e-01;4.679862e+00;1.723124e+00;5.975531e+00;6.178509e+00;-6.905118e+00;2.553197e+00;-8.707582e+00;-4.934518e+00;-1.045162e+01;-4.312492e+00;6.824188e-01
23;0.230000;-3.997137e+00;7.495008e+00;-9.936239e-01;1.951107e+00;1.259279e+00;6.107826e+00;1.016287e+01;-1.098882e+01;6.797809e+00;-1.088702e+01;-1.327752e+00;-1.018353e+01;-4.038314e+00;-1.184853e+00
24;0.240000;-5.868097e+00;8.436234e+00;-1.070384e-01;2.298175e+00;1.406533e+00;6.712327e+00;1.341893e+01;-8.639021e+00;1.313055e+01;-9.723627e+00;-3.630710e+00;-1.067350e+01;-7.726250e-01;-3.610718e+00
25;0.250000;-5.926916e+00;6.325368e+00;1.903821e-01;2.475571e+00;3.366333e+00;8.368612e+00;1.244124e+01;-5.804498e+00;1.474792e+01;-7.593179e+00;-2.063976e+00;-9.190405e+00;-1.842976e+00;-6.103294e+00
26;0.260000;-3.781254e+00;3.355210e+00;-1.961661e+00;9.700060e-02;3.027096e-01;5.768382e+00;9.840492e+00;-6.694696e+00;1.380576e+01;-5.402345e+00;5.429578e-01;-6.553706e+00;-1.737985e+00;-8.639839e+00
27;0.270000;-1.611375e+00;2.188528e+00;-1.835747e+00;9.817579e-01;-2.133782e+00;3.615446e-01;1.103532e+01;-1.085793e+01;1.274499e+01;-4.700506e+00;-8.161703e-01;-6.330257e+00;-1.083518e+00;-1.131621e+01
28;0.280000;-7.046727e-01;2.872930e+00;-1.269713e+00;1.892636e-01;-3.092799e+00;-3.533398e+00;1.024640e+01;-1.147098e+01;1.133304e+01;-3.669227e+00;-7.877247e-01;-8.193089e+00;-4.254099e+00;-1.341983e+01
29;0.290000;5.073979e-01;3.791956e+00;-3.314222e+00;-8.460536e-01;-4.309708e+00;-7.367363e+00;7.742846e+00;-9.283206e+00;1.083199e+01;-1.095813e+00;1.440277e+00;-9.963110e+00;-6.367158e+00;-1.557534e+01
30;0.300000;7.851574e-01;4.066782e+00;-1.795301e+00;2.539465e+00;-1.993945e+00;-6.972505e+00;7.551928e+00;-9.070236e+00;1.205042e+01;1.354720e+00;1.681693e+00;-1.139967e+01;-3.296564e+00;-1.632994e+01
31;0.310000;9.634557e-01;3.428307e+00;9.580086e-01;1.947722e-01;3.981380e-01;-6.975300e+00;4.755173e+00;-8.438684e+00;8.316856e+00;3.033055e+00;3.103600e+00;-1.203085e+01;2.579742e+00;-1.556918e+01
32;0.320000;-1.461106e+00;2.123622e+00;2.014199e+00;-4.223579e+00;7.419355e+00;-4.948943e+00;2.944575e+00;-3.932683e+00;2.173664e+00;-6.413679e-01;5.262724e+00;-5.954174e+00;7.776698e+00;-1.044849e+01
33;0.330000;1.575788e+00;1.715277e+00;-2.940066e+00;-8.137569e+00;8.855411e+00;2.305264e-01;-1.059882e+00;-8.978628e+00;-4.225496e+00;-3.504066e-01;1.100838e+01;-1.951626e+00;6.383482e+00;-1.942657e+00
34;0.340000;4.947099e+00;-4.371490e-01;-3.364488e+00;-7.029258e+00;6.687055e+00;2.434958e+00;-4.974925e+00;-3.172255e+00;-7.668013e+00;-1.402918e+00;1.796077e+01;-5.798182e-01;1.270124e+00;4.485695e+00
35;0.350000;6.379173e+00;-3.725427e+00;-1.966531e+00;-8.385561e+00;4.742290e+00;5.792786e+00;-1.007301e+01;4.869843e+00;-1.110288e+01;2.540384e+00;2.083969e+01;-7.205272e-01;-2.008457e-01;8.027382e+00
36;0.360000;6.037933e+00;-6.038873e+00;5.304743e-01;-1.088848e+01;3.709911e+00;6.387846e+00;-1.283180e+01;1.024709e+01;-1.547570e+01;7.468908e+00;1.922170e+01;-9.462676e-01;-1.740917e+00;8.814362e+00
37;0.370000;4.584961e+00;-7.300473e+00;1.682308e+00;-1.248444e+01;3.188790e+00;3.602322e+00;-1.219441e+01;1.080496e+01;-1.742423e+01;8.354528e+00;1.618203e+01;-1.808093e+00;-4.449715e+00;8.518082e+00
38;0.380000;3.776691e+00;-8.752821e+00;2.179245e+00;-1.365378e+01;1.368951e+00;4.181612e+00;-1.328020e+01;1.198723e+01;-1.967693e+01;7.345011e+00;1.371090e+01;-1.834993e+00;-4.772670e+00;8.662498e+00
39;0.390000;3.648260e+00;-8.851885e+00;1.327450e+00;-1.389164e+01;-1.689749e-01;4.696540e+00;-1.203169e+01;1.123168e+01;-1.911203e+01;4.277740e+00;1.224814e+01;-1.807370e-01;-2.592305e+00;8.116974e+00
40;0.400000;3.889273e+00;-7.615841e+00;1.142979e-01;-1.153694e+01;-3.901501e-01;4.069368e+00;-8.593779e+00;9.581042e+00;-1.719495e+01;2.383081e+00;1.059459e+01;1.397717e+00;6.010640e-01;7.202774e+00
41;0.410000;2.830891e+00;-6.662584e+00;-2.755575e-01;-7.349359e+00;-5.480078e+00;8.681925e+00;-7.457062e+00;1.011095e+01;-1.529974e+01;3.450411e+00;4.461524e+00;1.694266e+00;4.759130e+00;6.913216e+00
42;0.420000;9.112532e-01;-5.458333e+00;-3.738658e-01;-4.801140e+00;-7.273090e+00;9.187109e+00;-6.116550e+00;1.059956e+01;-8.602140e+00;4.353564e+00;-1.826356e+00;-9.098516e-01;5.108678e+00;7.170219e+00
43;0.430000;2.002265e-01;-4.971329e+00;1.875302e-01;-2.006150e+00;-7.667150e+00;7.799248e+00;-8.305782e+00;1.101230e+01;-2.274918e+00;6.292583e+00;-5.390123e+00;-3.378575e+00;4.060386e+00;6.873833e+00
44;0.440000;-3.213923e-01;-4.293484e+00;-1.792505e+00;5.989852e-01;-8.336370e+00;6.585981e+00;-6.849307e+00;7.885129e+00;1.352093e+00;8.257217e+00;-6.811589e+00;-1.470638e+00;2.209057e+00;6.066589e+00
45;0.450000;-5.963622e-01;-2.968041e+00;-4.677866e+00;1.139513e+00;-5.299583e+00;2.723505e+00;-4.330424e+00;5.474059e+00;1.247422e+00;9.096350e+00;-8.041862e+00;1.781863e+00;2.714844e-01;4.777466e+00
46;0.460000;-1.171406e+00;-1.314686e+00;-4.493556e+00;-1.156370e+00;-8.142138e-01;-1.043067e-01;-5.418940e+00;6.800132e+00;-1.021233e+00;4.339150e+00;-8.445328e+00;4.985776e+00;-1.495402e+00;3.110092e+00
47;0.470000;-1.601044e+00;-3.772945e-01;-1.348608e+00;1.088872e-01;5.295639e-01;2.428266e+00;-3.990891e+00;3.473193e+00;-8.341026e-01;2.366180e-01;-8.957034e+00;5.691107e+00;-1.613988e+00;1.864853e+00
48;0.480000;-2.012068e+00;7.249069e-02;5.441304e-01;4.966908e+00;-2.485504e-01;4.283793e+00;-5.816054e-01;1.582344e+00;-1.616701e+00;1.892222e+00;-8.895621e+00;6.366541e+00;-5.066433e+00;1.286240e-01
49;0.490000;-2.102230e+00;2.048945e+00;9.590104e-01;7.164482e+00;-1.298796e+00;5.144119e+00;4.442601e+00;3.586069e+00;-2.876368e+00;4.200528e+00;-1.275580e+01;9.108925e+00;-8.192474e+00;-1.579750e+00
50;0.500000;-2.328834e+00;3.583714e+00;5.539712e-01;5.423072e+00;2.842989e-01;7.712592e+00;7.118999e+00;4.274837e+00;-2.954901e+00;4.763844e+00;-1.461683e+01;1.200786e+01;-8.556952e+00;-2.999199e+00
51;0.510000;-2.908525e+00;2.765763e+00;-1.035988e+00;4.585236e+00;3.075194e+00;1.040760e+01;8.691877e+00;3.552347e+00;-1.716593e+00;6.910160e+00;-9.374832e+00;1.198488e+01;-7.236253e+00;-4.133141e+00
52;0.520000;-2.702783e+00;2.055493e+00;-2.915972e+00;5.463312e+00;3.997324e+00;1.200860e+01;1.004651e+01;3.199600e+00;-1.937103e-01;5.251292e+00;-5.710689e+00;1.085131e+01;-7.804787e+00;-5.679253e+00
53;0.530000;-1.482169e+00;3.426929e+00;-2.706630e+00;5.799223e+00;5.033030e+00;1.192560e+01;1.148069e+01;1.568957e+00;3.473454e+00;3.725945e+00;-5.147730e+00;1.159401e+01;-9.038900e+00;-7.362259e+00
54;0.540000;-3.827846e-01;5.098830e+00;-2.193331e+00;4.996731e+00;5.078442e+00;1.001763e+01;1.380007e+01;-1.262755e+00;7.108052e+00;5.735454e+00;-2.520873e+00;9.867341e+00;-8.174011e+00;-9.342979e+00
55;0.550000;3.025026e-01;6.284510e+00;-4.064948e+00;4.715471e+00;6.884966e+00;8.707018e+00;1.350696e+01;-5.333495e+00;6.735471e+00;6.567991e+00;-5.830765e-01;9.109100e+00;-4.836818e+00;-1.139015e+01
