frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.486689e+00;6.633426e+00;-2.455823e+00;4.613201e+00;-1.089436e+01;-4.448261e-01;-2.935454e+00;2.106833e+00;-3.505297e-01;8.906502e+00;1.491757e+01;8.186921e+00;1.731815e+00;1.597229e+00
1;0.010000;-2.874449e+00;-9.090343e-01;1.676043e+00;-3.016633e+00;-1.234504e+01;-7.301458e+00;-4.152678e+00;5.232217e+00;-1.184948e+00;1.243282e+01;7.836294e+00;1.012858e+01;7.521893e-01;4.339142e+00
2;0.020000;-3.536862e+00;-3.104876e+00;2.890125e+00;-4.648314e+00;-1.078420e+01;-7.236973e+00;-3.310682e+00;6.562284e+00;-1.507550e+00;1.402829e+01;5.186822e+00;1.028029e+01;-3.909198e-01;5.500458e+00
3;0.030000;-4.233076e+00;-3.146499e+00;3.823536e+00;-3.800182e+00;-7.921873e+00;-3.243321e+00;-5.103796e-01;6.169551e+00;-3.180943e+00;1.312347e+01;3.890289e+00;7.252080e+00;1.194581e+00;5.028534e+00
4;0.040000;-3.771464e+00;-2.365113e+00;5.006602e+00;-3.699498e+00;-7.224171e+00;1.414933e+00;3.059272e+00;4.365273e+00;-6.711616e+00;9.672910e+00;2.025025e+00;3.700793e+00;4.237098e-01;4.384712e+00
5;0.050000;-3.041998e+00;-2.604495e+00;5.327259e+00;-6.305714e+00;-9.154058e+00;3.202768e+00;5.010920e+00;2.274419e+00;-8.235449e+00;8.479623e+00;1.583399e+00;3.496909e+00;-4.354329e-01;3.921982e+00
6;0.060000;-2.965615e+00;-5.060048e+00;4.004548e+00;-8.376623e+00;-1.070324e+01;2.138045e+00;4.841693e+00;2.263017e-01;-6.921269e+00;9.086638e+00;2.196368e+00;5.241290e+00;-5.235207e-01;4.071014e+00
7;0.070000;-2.042525e+00;-6.375735e+00;3.386418e+00;-5.456036e+00;-8.541662e+00;2.753356e+00;4.603043e+00;-1.614904e-01;-4.400286e+00;8.573871e+00;1.410904e-01;4.636559e+00;7.930148e-02;4.517235e+00
8;0.080000;-2.064969e+00;-7.694078e+00;2.016509e+00;-3.385281e+00;-8.547478e+00;3.886988e+00;1.695071e+00;7.410588e-01;-9.610472e-01;7.650409e+00;4.636421e-01;3.024005e+00;-3.059065e-01;4.833611e+00
9;0.090000;-2.504632e+00;-7.296297e+00;5.070660e-01;-1.145642e+00;-8.041183e+00;8.627547e+00;-1.048814e+00;2.856267e+00;-2.618533e+00;5.063308e+00;4.571869e+00;4.589427e+00;2.821115e+00;4.809456e+00
10;0.100000;-2.671268e+00;-6.064858e+00;-7.325299e-01;6.277943e-02;-7.354834e+00;1.058648e+01;-9.355271e-01;4.876429e+00;-5.522870e+00;3.091008e+00;5.371652e+00;9.642070e+00;4.817514e+00;4.127251e+00
11;0.110000;-2.357248e+00;-6.037852e+00;-2.132123e+00;-1.652594e-01;-6.532898e+00;6.831399e+00;5.157197e-01;8.747059e+00;-3.776168e+00;4.995144e+00;1.731289e+00;1.531817e+01;5.363684e+00;3.490776e+00
12;0.120000;-1.519550e+00;-5.258176e+00;-3.308284e+00;-5.565672e-01;-4.188467e+00;6.274848e+00;2.795437e+00;1.078182e+01;-2.764874e-01;6.819254e+00;-2.144258e+00;1.694488e+01;5.432759e+00;2.864021e+00
13;0.130000;-2.129498e-01;-2.777204e+00;-3.754329e+00;-1.953917e+00;-3.868887e+00;2.708412e+00;9.410245e-01;6.437299e+00;-7.146835e-02;4.147321e+00;-1.001215e+00;1.589270e+01;7.823175e+00;1.726097e+00
14;0.140000;2.823381e-01;-1.959562e+00;-3.331218e+00;-1.976770e+00;-2.825260e-01;-4.418898e-01;-7.042925e-01;1.966352e+00;1.457002e+00;1.775090e+00;4.306940e+00;1.220849e+01;7.659080e+00;-3.079605e-01
