frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.130468e+00;-1.191088e+01;-4.237322e+00;1.353155e+00;5.761807e+00;-5.886941e+00;-6.399812e+00;-1.227620e+01;3.996390e+00;-1.092990e+01;-1.759415e-01;-3.331770e+00;5.288239e+00;5.985321e+00
1;0.010000;-2.130508e+00;-1.267474e+01;-6.417424e+00;1.777726e-02;4.530821e+00;-3.427829e+00;-5.867342e+00;-1.044458e+01;-2.002072e-02;-1.220254e+01;-3.414002e+00;-4.072799e+00;4.533712e+00;5.893158e+00
2;0.020000;-2.330138e+00;-1.243689e+01;-8.077913e+00;-1.391379e+00;1.868872e+00;-2.994182e+00;-9.456024e+00;-1.085272e+01;-2.763518e+00;-1.335038e+01;-6.999942e+00;-4.741237e+00;5.550474e+00;5.395042e+00
3;0.030000;-2.341915e+00;-1.056297e+01;-9.226011e+00;-3.112499e+00;9.776921e-01;-4.080038e+00;-1.068203e+01;-1.100546e+01;-1.420392e+00;-1.617044e+01;-7.420171e+00;-3.472790e+00;6.425710e+00;4.644798e+00
4;0.040000;-1.501758e+00;-9.028147e+00;-9.023560e+00;-4.097200e+00;9.956884e-01;-3.382902e+00;-1.023339e+01;-9.432364e+00;-1.159915e+00;-1.627663e+01;-7.371542e+00;-4.770675e+00;5.993293e+00;3.775993e+00
5;0.050000;-6.458168e-01;-9.381490e+00;-9.395769e+00;-6.540751e+00;1.702099e+00;-2.889516e+00;-1.244407e+01;-8.173618e+00;-4.355733e-01;-1.187868e+01;-8.165800e+00;-6.706934e+00;7.152738e+00;2.626465e+00
6;0.060000;1.519070e-01;-6.767330e+00;-7.733394e+00;-7.666791e+00;2.477499e+00;-2.874645e+00;-1.288523e+01;-5.656705e+00;2.146870e+00;-7.910807e+00;-8.794064e+00;-7.694415e+00;6.345743e+00;1.448097e+00
7;0.070000;-1.257996e+00;-4.852221e+00;-4.912713e+00;-5.948836e+00;1.962209e-01;-4.951294e+00;-9.089228e+00;-4.242077e+00;-3.010969e+00;-5.997407e+00;-8.173678e+00;-9.162654e+00;9.343857e-01;4.982605e-01
8;0.080000;-4.314073e+00;-3.132426e+00;-9.090295e-01;-2.453775e-01;1.697941e+00;-4.078725e+00;-5.338000e+00;-2.682005e+00;-8.076561e+00;-4.713871e+00;-4.779830e+00;-5.283600e+00;-1.766858e-01;-1.177902e-01
9;0.090000;-7.275256e+00;-2.484854e+00;1.637230e+00;4.771450e+00;2.561415e+00;-3.842190e+00;-5.834732e+00;-8.317327e-01;-6.955478e+00;-4.496627e+00;-2.334002e+00;9.212017e-01;6.398723e-01;-2.127151e-01
10;0.100000;-8.498870e+00;-2.032212e+00;1.684155e+00;5.506086e+00;1.458961e+00;-3.562452e+00;-8.919920e+00;-4.080319e-01;-3.652009e+00;-3.626375e+00;-1.456817e+00;2.904296e+00;5.985621e-01;-3.443298e-01
11;0.110000;-8.600001e+00;-3.640424e-01;2.458423e+00;4.669745e+00;2.859014e+00;-2.324984e+00;-1.251912e+01;-3.951859e+00;-1.859917e+00;-1.591844e+00;-3.023181e-01;2.386693e+00;-7.176695e-01;-1.266396e+00
12;0.120000;-9.182868e+00;1.232221e+00;2.147856e+00;1.337447e+00;3.230296e+00;-2.385565e+00;-1.170463e+01;-7.058103e+00;-2.027355e+00;-9.003265e-01;1.799744e+00;6.226783e-01;-1.727356e+00;-2.788025e+00
13;0.130000;-9.987065e+00;3.397971e-01;1.614865e+00;1.431464e+00;3.120769e+00;-8.094082e-01;-8.520203e+00;-3.826307e+00;-5.324913e+00;-4.036126e+00;1.469956e+00;2.339297e+00;1.521692e+00;-3.069962e+00
14;0.140000;-9.785598e+00;1.141399e-01;2.412025e+00;1.765240e+00;2.064012e+00;-2.094493e+00;-9.049578e+00;1.882358e+00;-5.687536e+00;-8.083875e+00;-1.876111e+00;1.245513e+00;3.199957e+00;-2.918297e+00
15;0.150000;-8.793349e+00;5.215102e-01;1.878988e+00;-4.127541e-01;8.757663e-01;-1.893010e+00;-8.690166e+00;1.283013e+00;-5.083983e+00;-9.805031e+00;-5.479296e+00;-2.538021e+00;1.209178e+00;-3.271889e+00
16;0.160000;-8.044576e+00;2.739097e+00;1.148024e+00;-6.526184e-01;2.047636e+00;1.404697e+00;-7.412369e+00;-2.340170e+00;-5.574299e+00;-9.600066e+00;-7.170023e+00;-4.275685e+00;9.758945e-01;-4.160866e+00
