frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.384625e+00;-1.431841e+01;-1.017493e+01;-1.020547e+01;1.822348e+00;-3.198171e+00;4.415121e-01;8.276366e+00;-4.342376e+00;-8.844629e+00;-8.050310e+00;-3.543460e+00;1.775563e+00;1.603812e+01
1;0.010000;4.104344e+00;-1.370082e+01;-6.755342e+00;-1.066375e+01;-2.696479e+00;-1.401367e+00;2.295556e-01;3.974554e+00;-4.361482e+00;-9.411900e+00;-7.004008e+00;-4.167005e+00;1.114789e+00;1.572083e+01
2;0.020000;3.593079e+00;-1.240270e+01;-5.135664e+00;-1.195044e+01;-8.460463e+00;-4.135418e-01;-4.771937e+00;-3.630319e-01;-3.810835e+00;-1.110944e+01;-6.272995e+00;-4.848341e+00;-6.910334e-01;1.434235e+01
3;0.030000;3.718469e+00;-9.289967e+00;-5.623354e-01;-1.381866e+01;-8.912413e+00;4.524531e-01;-8.217030e+00;1.771332e+00;-3.112153e+00;-7.320027e+00;-3.585079e+00;-1.656867e+00;6.223526e-01;1.218801e+01
4;0.040000;2.743297e+00;-3.947204e+00;3.517034e+00;-1.485478e+01;-3.773199e+00;-4.321593e+00;-6.233019e+00;6.267979e-01;-3.754694e+00;-6.078424e+00;-2.133556e+00;2.334914e+00;-2.754913e+00;9.370590e+00
5;0.050000;-5.651808e-01;2.663957e+00;2.321366e+00;-1.146489e+01;5.687369e-01;-8.750203e+00;7.447300e-01;4.489043e+00;-1.338050e+00;-5.060406e+00;-2.661621e+00;2.857200e+00;-5.141462e+00;7.232933e+00
6;0.060000;-2.948093e+00;4.410466e+00;-6.489881e-01;-6.494946e+00;-1.163871e+00;-1.016587e+01;5.892890e+00;4.703210e+00;8.229256e-01;-2.654078e+00;-2.464674e+00;4.994107e+00;-3.333475e+00;5.893517e+00
7;0.070000;-3.532458e+00;3.511173e+00;-2.217605e+00;-2.092577e+00;-2.921245e+00;-1.107959e+01;4.107314e+00;1.408391e+00;3.325808e+00;2.284169e-01;-1.651978e+00;4.855847e+00;-2.686724e+00;3.998726e+00
8;0.080000;-2.688611e+00;3.054726e+00;-1.760241e+00;2.300545e+00;9.335570e-01;-8.779684e+00;3.817522e+00;3.006232e+00;5.162813e+00;3.792462e+00;-1.643517e+00;3.781164e-01;-3.298550e+00;1.206406e+00
9;0.090000;-1.784724e+00;2.549209e+00;-3.543591e+00;3.536514e+00;2.706980e+00;-6.464610e+00;4.053939e+00;5.591090e+00;6.327306e+00;2.701467e+00;-1.984285e+00;-1.987797e+00;-1.259288e+00;-1.463074e+00
