frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.245230e+00;1.685886e-01;1.205080e+01;-3.461683e+00;-8.879129e+00;-2.180438e+00;-4.776347e+00;3.347878e-01;-1.253411e+01;-3.931428e+00;7.027786e+00;1.387625e+00;-1.929144e-01;-4.377617e+00
1;0.010000;-1.535192e-01;-8.106581e-01;7.964922e+00;-1.925469e+00;-2.634293e+00;-1.163579e+00;-3.597717e-01;4.864469e-01;-1.653522e+01;-5.489984e+00;2.709900e+00;3.142684e-01;3.288660e-01;-6.263351e+00
2;0.020000;9.197755e-01;-1.564987e+00;9.276639e+00;-9.768295e-02;-3.516458e+00;-5.752655e+00;1.217472e+00;3.472736e+00;-1.485154e+01;-2.190915e+00;1.136405e-01;8.311489e-01;3.625129e-01;-4.820984e+00
3;0.030000;2.088716e+00;-5.905130e-01;8.348830e+00;8.772507e-01;-6.235150e+00;-1.047219e+01;-2.688854e+00;5.349602e+00;-1.147903e+01;-1.300551e+00;2.037508e+00;3.018235e+00;1.053947e-01;-4.719032e+00
4;0.040000;2.242770e+00;1.823190e-01;5.430982e+00;1.360549e+00;-5.257257e+00;-1.213947e+01;-6.769525e+00;3.676274e+00;-9.387419e+00;-2.104925e+00;7.329226e+00;4.453302e+00;-2.216151e+00;-6.397751e+00
5;0.050000;5.378013e-01;1.320678e+00;2.048988e+00;-1.051743e+00;-1.386884e+00;-5.400883e+00;-7.249211e+00;2.847986e-01;-8.422660e+00;-4.106270e+00;8.708144e+00;4.239703e+00;-2.825020e+00;-9.276100e+00
6;0.060000;-1.742401e+00;4.737487e-01;-1.519339e+00;-5.144051e+00;2.318749e+00;2.392861e+00;-3.481386e+00;4.610972e-01;-1.004851e+01;-9.053422e+00;1.677717e+00;-1.213633e+00;-2.598875e+00;-1.159943e+01
7;0.070000;-2.174601e+00;-2.857941e-01;-3.160134e+00;-5.047363e+00;3.228644e+00;4.565880e+00;-7.096953e-01;-1.191125e-01;-1.006309e+01;-7.304495e+00;-3.094659e+00;-3.592064e+00;-7.411672e-02;-1.229515e+01
8;0.080000;-1.597304e+00;-4.544926e-02;-1.759476e+00;-3.845714e+00;3.181813e+00;7.134054e+00;5.076084e-01;4.993405e-01;-6.502611e+00;-2.167127e+00;-1.248497e+00;-3.202653e-02;1.267322e+00;-1.307441e+01
9;0.090000;-1.497002e+00;-8.416534e-01;-2.679838e+00;-3.448835e+00;3.656354e+00;8.789028e+00;1.412909e+00;9.322262e-02;-3.769574e+00;8.670146e-01;3.976042e+00;1.729006e+00;8.733674e-01;-1.509962e+01
