frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.835418e+00;1.460867e+01;4.289479e+00;1.125070e+01;-1.783634e+00;2.283805e+00;1.226913e+01;9.320868e+00;9.998646e+00;4.203763e+00;1.474133e+01;6.400678e+00;2.065563e+00;-6.717056e+00
1;0.020000;-9.979175e+00;1.621164e+01;5.211985e+00;1.419986e+01;1.374202e+00;3.781255e+00;1.388015e+01;1.312018e+01;1.363594e+01;4.372557e+00;1.256297e+01;5.566254e+00;4.891781e+00;-1.224953e+00
2;0.040000;-1.247447e+01;1.614541e+01;3.765657e+00;1.507189e+01;3.728777e+00;6.464642e+00;1.425734e+01;1.325224e+01;1.368180e+01;5.343974e+00;1.180618e+01;4.358984e+00;4.944293e+00;1.162682e+00
3;0.060000;-1.389647e+01;1.611949e+01;2.352035e+00;1.584133e+01;4.922199e+00;8.496258e+00;1.415512e+01;1.155957e+01;1.080636e+01;4.610378e+00;1.044075e+01;2.861946e+00;3.617105e+00;3.526154e-01
4;0.080000;-1.545388e+01;1.424725e+01;-1.685839e-01;1.634466e+01;3.344880e+00;7.516345e+00;1.020376e+01;5.847873e+00;5.097424e+00;3.052938e+00;1.134058e+01;4.247415e+00;1.844046e+00;-1.131226e+00
5;0.100000;-1.456306e+01;1.266883e+01;-2.145944e+00;1.247875e+01;-1.326545e+00;3.928401e+00;3.849848e+00;4.038541e+00;2.906720e+00;2.501186e+00;1.036250e+01;2.279932e+00;1.286547e+00;1.992798e-01
6;0.120000;-6.414765e+00;1.475549e+01;-5.130824e+00;4.098614e+00;-8.017408e+00;6.300685e-01;3.085633e+00;9.653139e+00;5.476187e+00;2.341168e+00;4.722232e+00;-2.250829e+00;2.653695e-01;5.154243e+00
7;0.140000;7.456322e-01;9.149051e+00;-9.387929e+00;2.842091e+00;-6.348335e+00;2.186859e+00;-1.278961e+00;8.549224e+00;6.945813e+00;-2.166227e+00;-1.198883e+00;-2.354189e+00;6.386433e-01;1.005881e+01
8;0.160000;4.390432e+00;1.216974e+00;-7.982747e+00;9.935524e-01;-4.314420e+00;7.255329e+00;-3.937601e+00;7.484821e+00;6.834905e+00;-4.396098e+00;-2.666334e+00;-2.360481e+00;2.218310e+00;1.228956e+01
9;0.180000;5.755052e+00;-6.315445e+00;-5.445189e+00;-3.863595e+00;1.443292e+00;8.058685e+00;-4.109875e+00;6.054849e+00;4.280089e+00;-4.226618e+00;-4.497582e+00;-1.081299e+00;3.379720e+00;1.147132e+01
10;0.200000;4.231045e+00;-1.209244e+01;-6.676156e+00;-6.635060e+00;4.747083e+00;6.476653e+00;-3.598633e+00;2.871862e+00;2.003033e+00;-3.628718e+00;-5.702262e+00;7.278440e-01;4.518972e+00;8.516594e+00
11;0.220000;4.243468e+00;-1.196325e+01;-7.467465e+00;-4.275107e+00;6.087001e+00;8.700590e+00;-1.985337e+00;2.743245e+00;2.417975e+00;-2.570242e+00;-4.860303e+00;7.253411e-01;7.032499e+00;5.026085e+00
12;0.240000;6.192468e+00;-9.039200e+00;-8.652223e+00;-6.002629e+00;5.137817e+00;9.573677e+00;-1.547729e+00;6.253222e+00;3.180228e+00;-1.001128e+00;-5.054510e+00;-1.980615e+00;4.868774e+00;1.373344e+00
13;0.260000;5.517488e+00;-6.796230e+00;-1.063501e+01;-1.160186e+01;5.754967e+00;8.745697e+00;-1.442842e+00;8.124024e+00;-4.615946e-01;2.698447e+00;-5.994337e+00;-6.097846e+00;-2.303495e+00;-1.509323e+00
14;0.280000;5.121311e+00;-7.817266e+00;-6.978536e+00;-5.755433e+00;1.126083e+01;9.832471e+00;2.212062e+00;1.483626e+00;8.018266e-01;4.037169e+00;-1.468726e+00;-1.979980e+00;-1.014448e+00;1.728714e+00
15;0.300000;9.757271e-01;-1.410600e+01;-6.758029e+00;-4.719932e+00;1.243176e+01;7.203566e+00;5.371966e-01;-1.878292e+00;2.818253e+00;1.758733e+00;2.532310e-01;-1.835472e+00;-3.260114e+00;4.779442e+00
16;0.320000;-1.197948e+00;-1.663390e+01;-7.557235e+00;-4.857550e+00;9.916560e+00;3.488333e+00;-4.273402e+00;-4.325549e+00;6.439757e-01;-1.604407e+00;1.387842e+00;-2.043169e+00;-2.754261e+00;6.644714e+00
17;0.340000;-7.758760e-01;-1.451702e+01;-5.707463e+00;-2.504460e+00;1.044058e+01;5.181135e+00;-2.116107e+00;-6.202898e-01;1.942026e+00;-1.252689e+00;2.601799e+00;9.841571e-01;8.915530e-01;7.425362e+00
18;0.360000;2.215624e-01;-1.444893e+01;-7.996266e+00;-7.452625e+00;3.149085e+00;1.483318e+00;-8.166976e-01;3.601885e-02;1.099454e+00;-4.672510e+00;-1.752823e+00;2.162375e+00;2.695598e+00;5.873489e+00
19;0.380000;5.870466e+00;-9.783319e+00;-2.781800e+00;-7.162670e+00;2.134268e+00;1.511553e+00;5.725773e+00;2.701282e+00;4.524781e+00;-4.182316e+00;-3.644767e+00;5.099797e+00;4.340355e+00;3.481895e+00
