frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.396480e+00;4.464679e+00;9.989160e+00;5.562982e+00;4.544180e+00;6.176140e+00;7.174920e+00;1.158195e+00;4.497714e+00;-7.289345e+00;5.637466e+00;3.695792e+00;-7.273594e+00;-1.236894e+01
1;0.020000;6.390647e+00;1.631964e+00;9.854030e+00;4.079912e+00;8.586828e+00;1.024650e+01;3.405333e-01;1.198889e+00;3.414275e+00;-6.026429e+00;7.076773e+00;4.802698e+00;-7.612935e+00;-1.715289e+01
2;0.040000;-1.618312e+00;6.366515e+00;-8.921628e-01;5.714197e+00;1.449449e+01;5.826036e+00;5.889244e+00;-6.326317e+00;4.315923e+00;-4.209833e+00;1.806735e+00;6.015892e+00;1.727190e+00;-1.568250e+01
3;0.060000;-6.528523e+00;2.519817e+00;-1.502527e+01;2.750671e+00;1.247450e+01;4.999054e+00;1.111664e+01;-6.293928e+00;6.241456e+00;-5.851736e-01;-5.423744e+00;7.799253e-01;5.368695e+00;-7.326256e+00
4;0.080000;-3.092509e+00;3.394399e+00;-1.603046e+01;2.218745e+00;7.224247e+00;-1.366182e+00;5.162172e+00;-7.438899e+00;6.764613e+00;-1.513433e-01;-4.014488e+00;8.998628e-01;6.503116e+00;5.291977e-01
5;0.100000;1.318550e-02;2.193124e+00;-1.265136e+01;3.213500e+00;3.580278e+00;-5.308172e+00;1.742401e-01;-4.439606e+00;7.482873e+00;-1.073456e+00;-7.322340e-01;-5.817528e-01;7.457424e+00;4.488945e+00
6;0.120000;2.951931e+00;-3.449593e-01;-8.056052e+00;3.357910e+00;2.339365e+00;-5.902479e+00;-2.639718e+00;-2.985737e-01;8.175983e+00;-1.008791e+00;1.473507e+00;-5.909820e-01;8.337664e+00;4.923378e+00
7;0.140000;5.002481e+00;-5.257968e+00;-3.752764e+00;8.379250e-01;2.468201e+00;-8.419222e+00;-3.763317e+00;2.969454e+00;4.526575e+00;1.541064e+00;6.273385e-01;1.165650e+00;6.113348e+00;3.861862e+00
8;0.160000;5.170036e+00;-1.091076e+01;-2.147595e+00;-3.927061e+00;5.370388e-01;-9.818338e+00;-4.342022e+00;5.453981e+00;2.026217e+00;2.374011e+00;4.224206e-01;8.913569e-01;2.004369e+00;5.382851e+00
9;0.180000;5.763680e+00;-1.474995e+01;-7.015724e-01;-7.750844e+00;-1.256523e+00;-8.769463e+00;-3.126299e+00;6.322788e+00;1.177973e+00;3.229135e+00;-6.613772e-01;2.257397e+00;-1.489374e+00;6.547043e+00
10;0.200000;5.690670e+00;-1.473875e+01;1.694748e+00;-8.154118e+00;-1.169054e+00;-5.670940e+00;8.737488e-01;7.647882e+00;3.271479e+00;4.793149e+00;-4.685044e-03;3.775692e+00;-1.945693e+00;7.062752e+00
11;0.220000;4.083267e+00;-1.312042e+01;3.094476e+00;-8.306618e+00;-3.393385e+00;-4.354935e+00;1.257246e+00;7.380644e+00;3.690094e+00;2.567885e+00;-3.400965e-01;2.463761e+00;-9.573017e-01;7.231796e+00
