frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.073119e+00;1.136823e+01;-5.824938e+00;4.886994e+00;-9.155157e+00;5.661141e+00;1.736704e+01;-9.260446e+00;-1.248989e+01;-1.066943e+01;-2.190378e+00;-1.543104e+01;7.561386e+00;-1.684494e-01
1;0.020000;-1.688803e+00;7.897610e+00;-1.023949e+01;-2.233172e+00;-1.453276e+01;6.425176e+00;1.482979e+01;-6.336360e+00;-1.772232e+01;-1.409809e+01;-6.076880e-01;-1.760047e+01;1.220232e+01;3.771492e+00
2;0.040000;-1.999354e+00;7.390537e+00;-1.277216e+01;-3.370759e+00;-1.607827e+01;8.845613e+00;1.393213e+01;-2.834919e+00;-2.090955e+01;-1.280319e+01;3.567700e+00;-1.632745e+01;1.668867e+01;5.838066e+00
3;0.060000;-3.169803e+00;7.065650e+00;-1.523805e+01;-1.878049e+00;-1.608612e+01;8.922955e+00;1.185159e+01;-1.606112e+00;-2.232807e+01;-1.368445e+01;4.863488e+00;-1.629252e+01;1.616370e+01;5.458069e+00
4;0.080000;-5.373563e+00;6.209020e+00;-1.388721e+01;4.319066e+00;-1.200355e+01;5.577693e+00;7.832510e+00;3.888530e+00;-2.204291e+01;-1.390860e+01;7.534784e+00;-1.691406e+01;1.055279e+01;5.067696e+00
5;0.100000;-6.988079e+00;6.034501e+00;-6.435107e+00;1.068633e+01;-1.098225e+01;-2.073202e-01;5.445080e+00;7.122540e+00;-1.923825e+01;-1.006052e+01;1.044209e+01;-1.636163e+01;7.289620e+00;5.299179e+00
6;0.120000;-7.521440e+00;5.910195e+00;-2.683121e+00;1.244841e+01;-1.257793e+01;-5.908686e+00;6.303118e+00;5.609911e+00;-1.729975e+01;-8.895437e+00;1.138796e+01;-1.825651e+01;4.641912e+00;4.201942e+00
7;0.140000;-5.867094e+00;6.332295e+00;-1.264557e+00;1.402986e+01;-1.021967e+01;-6.421953e+00;1.023818e+01;1.255563e+00;-1.488679e+01;-8.924444e+00;1.411130e+01;-1.869947e+01;5.777586e+00;1.597870e+00
8;0.160000;-4.416539e+00;7.470631e+00;5.399497e-01;1.444647e+01;-8.035255e+00;-7.478289e+00;1.178077e+01;-7.936777e+00;-1.171821e+01;-1.069422e+01;1.052461e+01;-1.626741e+01;3.889139e+00;-2.359009e+00
9;0.180000;-7.947410e+00;1.310526e+01;1.165056e+00;1.028805e+01;-3.583287e+00;-1.035665e+01;1.391880e+01;-1.347500e+01;-7.441074e+00;-5.771090e+00;1.638274e+00;-2.765177e+00;-5.196417e+00;-4.479584e+00
10;0.200000;-1.664770e+01;2.098069e+01;1.301700e+00;3.511886e+00;1.112663e+00;-3.763186e+00;1.235464e+01;-1.286355e+01;1.103601e+00;-4.052810e+00;-2.767063e+00;1.839746e+00;-3.495253e+00;-2.498131e+00
11;0.220000;-2.061578e+01;2.103695e+01;-1.270890e-02;3.033585e+00;4.615474e+00;1.932372e+00;1.456429e+01;-6.709962e+00;9.128031e+00;-3.341530e+00;-7.777205e+00;4.690998e+00;4.260475e+00;-5.430298e-01
12;0.240000;-1.937720e+01;2.273353e+01;2.062305e+00;8.159256e+00;1.175471e+01;5.719120e+00;1.551514e+01;-1.479106e+00;1.479337e+01;1.115124e+00;-7.163185e+00;7.704518e+00;9.175435e+00;-1.817856e-01
13;0.260000;-1.485916e+01;2.517569e+01;4.436428e+00;1.227477e+01;1.892047e+01;7.769352e+00;1.406098e+01;3.503902e-01;1.681556e+01;6.726724e+00;-4.731927e+00;8.929638e+00;9.039289e+00;-2.292259e+00
14;0.280000;-8.103987e+00;2.541475e+01;5.747582e+00;1.187533e+01;2.214837e+01;8.909616e+00;1.482394e+01;2.547808e+00;1.529111e+01;8.366386e+00;-3.932543e-01;1.043284e+01;6.156162e+00;-7.197014e+00
15;0.300000;4.226747e+00;1.019843e+01;-4.734436e+00;9.693837e-01;1.567561e+01;1.736616e+01;1.343401e+01;-2.691175e+00;1.010836e+01;1.332635e+01;1.922040e+01;1.132807e+01;-7.689274e+00;-4.613289e+00
16;0.320000;5.971310e+00;-3.795099e+00;-3.320111e+00;-1.041990e+01;1.286490e+01;1.143104e+01;1.542348e+00;2.709004e+00;4.465456e+00;1.619484e+01;2.067564e+01;9.586351e+00;-7.790957e+00;2.369057e+00
17;0.340000;5.666238e+00;-1.164049e+01;-3.605525e+00;-1.604614e+01;8.396912e+00;6.240859e+00;-4.641542e+00;4.196737e+00;2.942220e+00;1.715627e+01;1.417744e+01;5.668638e+00;-8.504047e+00;7.241142e+00
18;0.360000;5.450263e+00;-1.693446e+01;-4.059541e+00;-1.853356e+01;5.273245e+00;3.344437e+00;-6.557106e+00;7.515576e+00;4.700314e+00;1.729280e+01;8.825951e+00;2.351587e+00;-7.463205e+00;8.999695e+00
19;0.380000;4.289957e+00;-1.956563e+01;-3.822953e+00;-2.010319e+01;5.021115e+00;5.183201e-01;-6.711149e+00;1.209992e+01;6.293360e+00;1.910145e+01;3.616803e+00;8.467751e-01;-5.142227e+00;8.528069e+00
20;0.400000;3.367790e+00;-1.845633e+01;-7.755462e-01;-1.926787e+01;7.472284e+00;-3.311249e+00;-6.492008e+00;1.459263e+01;6.814540e+00;1.711980e+01;-2.914315e+00;4.901695e-01;-3.962166e+00;7.215149e+00
21;0.420000;2.760537e+00;-1.714238e+01;-9.550624e-01;-2.052343e+01;3.937961e+00;-9.612059e+00;-9.610481e+00;1.445188e+01;6.019006e+00;1.334320e+01;-4.747356e+00;1.936644e+00;-2.995532e+00;5.772919e+00
22;0.440000;3.662587e+00;-1.533744e+01;-9.923494e-02;-1.880620e+01;-5.249691e-02;-1.162415e+01;-1.301156e+01;1.353857e+01;3.722284e+00;9.679821e+00;-3.753640e+00;4.685182e+00;-1.657207e+00;4.555908e+00
23;0.460000;4.821928e+00;-1.459072e+01;1.716142e+00;-1.345455e+01;-9.653883e-01;-1.086128e+01;-1.252481e+01;9.241317e+00;4.800256e+00;6.722943e+00;-3.966449e+00;6.698184e+00;-2.164927e+00;2.969078e+00
24;0.480000;5.971363e+00;-1.351309e+01;2.600453e+00;-3.288816e+00;-4.362236e+00;-7.691092e+00;-1.089861e+01;7.707200e-01;7.288643e+00;3.249927e+00;-6.189272e+00;4.761680e+00;-3.025288e+00;7.232666e-01
25;0.500000;7.991036e+00;-1.497265e+01;3.524716e+00;1.167232e+00;-6.247751e+00;-2.211124e+00;-1.128233e+01;-5.253967e+00;3.990582e+00;-5.059776e-01;-9.539324e+00;2.550024e+00;-3.589778e+00;-7.796021e-01
