frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.326857e+00;-1.964809e+00;3.533678e+00;1.132395e+01;1.234795e+01;1.226911e+01;-2.267507e+00;-6.619377e-01;-2.234726e-01;5.570642e+00;9.803139e+00;-3.608406e+00;3.903150e+00;-1.563702e+01
1;0.020000;8.021769e+00;4.344442e+00;1.582321e+00;2.239650e+00;3.928918e+00;-2.652822e+00;-5.415997e+00;-7.017511e+00;-2.117133e+00;7.254071e+00;6.790740e+00;-3.733850e-01;7.460022e-02;-1.225655e+01
2;0.040000;7.178951e+00;8.080223e+00;-2.343488e+00;-2.814217e-01;2.852171e+00;-5.962576e+00;-2.509863e+00;-1.210810e+01;-1.789536e+00;4.485551e+00;8.950943e+00;-4.197359e+00;2.524873e+00;-8.030556e+00
3;0.060000;3.844202e+00;1.217960e+01;-6.584304e+00;3.722806e+00;1.294419e+00;-4.261465e+00;-2.357853e+00;-1.354124e+01;2.117802e+00;9.101677e-01;1.068739e+01;-5.806688e+00;5.097112e+00;-6.049095e+00
4;0.080000;-6.386261e-01;1.580109e+01;-9.133855e+00;8.590549e+00;1.012311e+00;-2.569996e+00;-3.158118e+00;-1.315285e+01;7.480218e+00;-2.504317e+00;8.305982e+00;-5.663655e+00;3.807450e+00;-6.353561e+00
5;0.100000;-3.029115e+00;1.862846e+01;-1.084245e+01;1.040925e+01;1.675627e+00;-3.299665e+00;-2.134134e+00;-1.058518e+01;1.075720e+01;-2.750414e+00;6.365027e+00;-5.781108e+00;1.653649e+00;-6.765381e+00
6;0.120000;-3.600766e+00;1.866688e+01;-1.066690e+01;8.779178e+00;3.232237e+00;-3.381432e+00;1.795826e-01;-1.021463e+01;1.008459e+01;-3.171661e-01;6.075204e+00;-3.879617e+00;-4.690638e-01;-5.767456e+00
7;0.140000;-2.903497e+00;1.533472e+01;-7.587125e+00;1.768724e+00;5.145898e+00;-3.041468e-01;-8.576851e-01;-1.032202e+01;1.029930e+01;2.623667e+00;5.204946e+00;-1.371463e+00;-2.688099e+00;-2.756126e+00
8;0.160000;-2.395859e+00;1.019308e+01;-4.996166e+00;-6.734082e+00;6.681036e+00;2.588758e+00;-4.342332e+00;-9.141747e+00;6.330969e+00;3.957923e+00;2.383873e+00;-1.207366e+00;-6.450958e+00;-3.932877e-01
9;0.180000;-1.155634e+00;7.077532e+00;-2.670127e+00;-1.261705e+01;6.220730e+00;5.555262e+00;-7.228914e+00;-8.468370e+00;3.001919e-01;6.893565e+00;-5.616636e-01;-1.872864e-01;-6.389046e+00;7.639084e-01
10;0.200000;4.147310e-01;6.406924e+00;-9.293535e-01;-1.451786e+01;5.029420e+00;6.329437e+00;-8.850393e+00;-9.521193e+00;-3.902568e+00;7.148910e+00;-2.057237e+00;-9.320927e-02;-3.742308e+00;6.549759e-01
11;0.220000;2.088137e+00;7.221483e+00;2.941053e-01;-1.120584e+01;6.502568e+00;6.944572e+00;-7.330478e+00;-8.293995e+00;-1.890882e+00;6.492720e+00;2.864237e-01;-1.994112e+00;1.085729e+00;-2.022339e+00
12;0.240000;3.305416e+00;7.943430e+00;3.359814e-01;-5.540689e+00;9.948025e+00;5.325878e+00;-6.298701e+00;-4.759941e+00;2.278315e+00;6.458952e+00;4.717554e+00;-5.361396e+00;5.460386e+00;-6.310333e+00
13;0.260000;1.953712e+00;5.996835e+00;2.201187e+00;-2.008944e-01;1.036011e+01;3.727863e+00;-6.726350e+00;-5.534204e+00;4.422364e-01;4.350546e+00;6.801030e+00;-6.134429e+00;1.740050e+00;-7.971970e+00
14;0.280000;2.314894e+00;6.059299e-01;6.411485e+00;2.543511e+00;-1.953288e+00;-3.831881e+00;-3.003379e+00;-2.504892e+00;1.873670e+00;3.986955e-01;9.514115e+00;-1.424299e+00;-7.150936e-02;-4.229454e+00
15;0.300000;2.803597e+00;-3.609837e+00;8.287045e+00;1.573431e+00;-9.940885e+00;-8.869656e+00;1.441180e+00;9.822097e-01;-4.832303e+00;2.668478e+00;6.819703e+00;-6.559443e-01;2.071840e+00;5.421906e-01
16;0.320000;9.646645e-01;-6.581903e+00;7.991225e+00;-1.697962e+00;-1.373489e+01;-8.337749e+00;4.440853e+00;2.186934e+00;-9.204157e+00;4.176957e+00;4.075162e+00;-1.511465e+00;-2.965899e-01;3.946938e+00
17;0.340000;-1.092196e+00;-7.426653e+00;8.643835e+00;-2.467278e+00;-1.234887e+01;-4.068907e+00;1.164804e+01;5.871672e+00;-5.369487e+00;4.739799e+00;3.707294e+00;-1.631179e+00;-2.605298e+00;5.322044e+00
18;0.360000;-2.708399e+00;-8.062044e+00;7.949998e+00;-4.761961e+00;-1.220482e+01;-4.194544e+00;1.485952e+01;8.125551e+00;-2.655311e+00;2.583312e+00;2.135830e-01;-3.370258e+00;-5.408418e+00;4.797798e+00
19;0.380000;-3.919640e-01;-6.967106e+00;7.507430e+00;-5.362756e+00;-1.039730e+01;-6.037502e+00;1.199272e+01;8.384539e+00;-4.409404e-01;3.928266e+00;-1.305848e+00;-3.241970e+00;-6.385055e+00;4.171791e+00
20;0.400000;1.972542e+00;-6.723976e+00;7.854231e+00;-4.992625e+00;-6.753186e+00;-7.035896e+00;9.318666e+00;8.820827e+00;-2.193012e-01;4.737157e+00;-3.806744e+00;-2.175001e+00;-7.173854e+00;2.686035e+00
21;0.420000;2.241954e+00;-8.679207e+00;6.652361e+00;-7.055945e+00;-2.631728e+00;-5.821810e+00;9.464571e+00;5.221422e+00;-2.694221e-01;3.022535e-01;-4.888165e+00;2.177921e+00;-2.656214e+00;1.584320e+00
22;0.440000;-4.837322e-02;-1.112173e+01;5.206851e+00;-6.511735e+00;2.384198e+00;1.403758e+00;1.576442e+01;5.438199e+00;-1.282072e-02;-6.859551e+00;-3.746445e+00;6.757864e+00;1.757198e+00;4.137054e+00
23;0.460000;-2.726318e+00;-1.153388e+01;1.304450e+00;-3.786723e+00;2.004272e+00;8.168061e+00;1.661252e+01;7.774811e+00;-3.498180e+00;-9.961057e+00;-5.174175e+00;7.525262e+00;3.388881e+00;5.911942e+00
24;0.480000;-4.707574e+00;-1.235473e+01;-2.695266e+00;-6.413221e-01;2.941321e+00;1.313483e+01;1.483272e+01;6.108463e+00;-5.987875e+00;-8.964164e+00;-5.362228e+00;6.871419e+00;3.270748e+00;6.116379e+00
25;0.500000;-5.525249e+00;-1.347980e+01;-5.585020e+00;2.644945e+00;3.868594e+00;1.422761e+01;1.147591e+01;3.786858e+00;-5.860106e+00;-5.881481e+00;-5.844984e+00;5.838108e+00;2.461442e+00;6.281471e+00
26;0.520000;-5.558612e+00;-1.436904e+01;-6.078672e+00;2.930139e+00;3.162603e+00;1.204365e+01;9.425345e+00;2.831528e+00;-5.548411e+00;-5.573489e+00;-6.205044e+00;5.480746e+00;3.825207e-01;6.964638e+00
27;0.540000;-3.675425e+00;-1.291096e+01;-4.600156e+00;9.431744e-02;-9.031305e-01;7.459104e+00;9.673100e+00;2.028989e+00;-2.240073e+00;-6.484785e+00;-5.839996e+00;5.907508e+00;-1.025377e+00;7.469490e+00
28;0.560000;-1.453480e+00;-1.115638e+01;-1.934088e+00;-1.965843e+00;-2.478908e+00;2.590501e+00;9.675934e+00;1.233557e+00;2.702205e+00;-5.745162e+00;-4.795443e+00;5.961301e+00;-7.347612e-01;6.642868e+00
29;0.580000;4.182615e-01;-1.050958e+01;-2.431943e-01;-2.141119e+00;-3.656158e-01;-2.963642e+00;5.894065e+00;-1.001816e+00;3.114974e+00;-3.416600e+00;-4.805782e+00;3.633634e+00;-8.736696e-01;4.284027e+00
30;0.600000;9.862957e-01;-6.161179e+00;-7.539942e-01;2.446985e-01;2.900763e-01;-8.268911e+00;2.167010e-01;-2.386626e+00;-1.262474e-02;-1.289410e+00;-2.760773e+00;-1.151670e+00;-1.082488e+00;2.677368e+00
31;0.620000;1.775694e-01;-1.351995e+00;-2.494996e+00;4.926833e+00;-3.807803e+00;-7.049061e+00;-1.097245e-01;-1.611524e+00;-1.945786e+00;-3.598212e+00;-1.621380e+00;8.523922e-01;3.550825e-01;2.802124e+00
