frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.699139e+00;-2.823950e+00;-4.180822e+00;7.215849e+00;1.538073e+00;-5.185652e-01;-4.877521e+00;8.719623e-01;-5.125303e+00;1.073917e+01;3.105984e+00;-1.101207e+00;1.952744e-02;-1.439980e+00
1;0.020000;-2.354626e+00;-1.623301e+00;-1.187081e+00;9.092168e+00;-6.118932e-01;3.113287e+00;-3.031726e+00;-1.566936e+00;-3.273916e+00;1.442076e+01;2.080561e-01;9.071562e-01;1.473170e+00;-1.047119e+00
2;0.040000;2.895012e+00;-3.544421e+00;-3.641210e+00;3.930517e+00;-6.387984e+00;5.070160e+00;-2.081843e+00;-6.962143e+00;-2.608800e+00;1.609264e+01;-3.080808e-01;2.651373e+00;1.952579e+00;1.692284e+00
3;0.060000;6.693554e+00;-6.146268e+00;-5.357563e+00;-1.673801e+00;-8.397030e+00;8.893339e+00;-1.733637e+00;-8.684505e+00;-6.923440e-01;1.424390e+01;2.445820e+00;2.992931e+00;-2.147568e+00;3.368446e+00
4;0.080000;8.703683e+00;-9.060253e+00;-3.961954e+00;-9.200504e+00;-5.720705e+00;9.306622e+00;1.025344e+00;-6.291162e+00;-4.053426e-01;1.239115e+01;4.204192e+00;1.927371e+00;-3.921476e+00;3.424957e+00
5;0.100000;7.945466e+00;-9.524435e+00;-2.759061e+00;-1.460470e+01;-3.631835e-01;7.699902e+00;5.191550e+00;-4.166417e+00;-2.728367e+00;1.239971e+01;3.725604e+00;-2.712202e-02;-2.926376e+00;3.883522e+00
6;0.120000;6.453562e+00;-9.067210e+00;-2.062689e+00;-1.724714e+01;4.153286e+00;6.299963e+00;3.901885e+00;-3.275620e+00;-3.566342e+00;1.412397e+01;2.005742e+00;-2.498980e+00;-1.021717e+00;5.076866e+00
7;0.140000;5.182437e+00;-8.802130e+00;-1.072969e+00;-1.802668e+01;7.110381e+00;3.161690e+00;1.659080e+00;-2.870075e+00;-3.969404e+00;1.587653e+01;1.873820e+00;-4.429243e+00;-1.678767e-01;6.286125e+00
8;0.160000;-5.564823e-01;-7.310362e-01;-7.081441e+00;-8.152925e+00;2.380948e+00;4.144268e+00;-2.485392e+00;-1.388562e+00;-3.597952e+00;1.489065e+01;4.905355e+00;-7.859503e+00;3.208946e+00;8.254776e+00
9;0.180000;-7.639308e+00;8.751851e+00;-9.803911e+00;-1.623058e-01;3.398616e+00;6.122875e-02;-3.155933e+00;-6.363213e-01;-3.564457e+00;1.389980e+01;4.799473e+00;-7.813462e+00;6.125676e+00;8.908974e+00
10;0.200000;-1.490544e+01;1.428357e+01;-7.414576e+00;3.073759e+00;6.845362e+00;-1.552798e+00;-5.687469e+00;3.272237e+00;-1.691010e+00;9.561758e+00;3.569816e+00;-5.059954e+00;6.498515e+00;7.430519e+00
11;0.220000;-2.087478e+01;1.362637e+01;-6.223755e+00;5.679607e+00;9.874651e+00;-1.094077e+00;-3.555861e+00;1.146388e+01;2.844768e+00;7.159100e+00;5.328030e+00;-3.471900e+00;1.773527e+00;4.838913e+00
12;0.240000;-2.205815e+01;1.117591e+01;-5.481077e+00;5.078136e+00;6.401411e+00;-1.945041e+00;-4.116323e+00;1.098866e+01;1.542451e+00;3.666190e+00;5.091340e+00;-9.136651e-01;-1.003001e+00;3.014229e+00
13;0.260000;-2.056429e+01;8.032484e+00;-3.268394e+00;6.163572e+00;1.339700e+00;-9.681225e-01;-5.484431e+00;4.397840e+00;4.742885e-01;1.752379e+00;2.160958e+00;1.377800e-01;8.758614e-01;8.640594e-01
14;0.280000;-1.452833e+01;8.209362e+00;2.512776e+00;1.366669e+01;1.656910e+00;-1.134615e-01;-2.260709e+00;-1.515486e+00;-1.492008e+00;4.256949e-01;-1.250904e+00;-1.260509e+00;1.371591e-01;-1.630432e+00
15;0.300000;-4.615696e+00;9.970647e+00;4.179691e+00;1.679639e+01;4.069499e+00;-6.216689e+00;-6.326818e-01;-9.294959e+00;-6.654458e+00;1.192716e+00;-4.127151e+00;3.958192e-01;-2.335406e+00;-2.925468e+00
16;0.320000;-7.116833e-01;7.148432e+00;5.330404e+00;1.246850e+01;5.050424e+00;-2.955956e+00;-2.673709e+00;-7.854175e+00;-6.613958e+00;-4.919815e-02;-6.588502e+00;7.568567e-01;-3.102262e+00;-1.476295e+00
17;0.340000;1.414106e+00;2.361126e+00;3.231472e+00;5.081629e+00;9.667149e-01;-7.087507e-01;-1.447655e+00;-9.471037e-01;-2.503479e+00;-4.084182e-01;-5.651585e+00;-1.038033e+00;-2.651233e+00;8.480988e-01
18;0.360000;2.896353e+00;5.476232e-01;5.368261e-01;1.127052e-01;-3.188429e+00;-1.401663e+00;-1.214163e+00;2.319314e+00;9.145595e-01;-2.041861e+00;-4.372325e+00;-7.755518e-02;-1.438504e+00;2.250542e+00
19;0.380000;4.936583e+00;9.120245e-01;-1.885271e-02;-3.698399e+00;-5.155129e+00;-1.364670e-01;-7.029371e-01;5.660530e+00;4.007190e+00;-5.299013e+00;-3.437951e+00;1.843985e+00;-2.154233e+00;1.540771e+00
20;0.400000;7.034741e+00;1.578696e+00;1.311265e+00;-8.517002e+00;-4.958231e+00;1.758339e+00;-9.064512e-01;1.031690e+01;7.658755e+00;-8.295137e+00;-2.574325e+00;3.720732e+00;-2.525264e+00;-1.852417e-01
21;0.420000;8.402275e+00;1.835151e+00;2.413912e+00;-9.384785e+00;-7.163140e+00;-1.053953e-01;-1.704240e+00;9.879933e+00;8.000844e+00;-9.290901e+00;-2.929466e+00;4.156723e+00;-2.526108e+00;-1.284889e+00
22;0.440000;8.922602e+00;2.964960e+00;3.645737e+00;-6.825029e+00;-8.785608e+00;-2.828763e+00;-1.805496e-01;7.086543e+00;7.148483e+00;-9.022661e+00;-2.146918e+00;4.579702e+00;-3.336255e+00;-2.711014e+00
23;0.460000;7.977744e+00;4.065305e+00;4.213465e+00;-2.379776e+00;-7.836253e+00;-6.890584e+00;4.354146e+00;4.399724e+00;4.739236e+00;-5.835215e+00;-1.866480e+00;5.331335e+00;-1.738458e+00;-4.240837e+00
24;0.480000;5.866586e+00;3.936593e+00;4.678728e+00;7.506351e-01;-3.278368e+00;-5.099947e+00;4.273129e+00;2.246024e+00;2.258859e+00;-3.303673e+00;-1.443844e+00;4.636720e+00;1.827196e+00;-5.135605e+00
25;0.500000;4.519953e+00;2.984203e+00;5.074339e+00;5.621763e+00;1.347753e+00;-2.562019e+00;4.731777e+00;-1.564162e+00;1.537210e+00;-2.959961e+00;-8.289915e-01;3.902004e+00;1.486804e+00;-6.708427e+00
26;0.520000;3.200553e+00;1.651240e+00;3.710949e+00;1.268519e+01;3.464392e+00;-7.486773e+00;8.814145e+00;-3.717497e+00;3.132250e+00;-1.921811e+00;-1.068059e+00;4.430494e+00;-1.059043e+00;-1.038169e+01
27;0.540000;9.869943e-01;3.896997e-01;-2.122903e-01;1.931054e+01;4.456077e+00;-1.559023e+01;1.207961e+01;-4.233218e+00;3.114591e+00;-2.037334e-02;-2.253363e+00;4.963433e+00;-9.518209e-01;-1.431559e+01
28;0.560000;-1.732656e+00;-2.757490e+00;-3.065619e+00;1.963919e+01;2.627636e+00;-1.876159e+01;1.237832e+01;-2.452919e+00;1.220536e+00;-7.525544e-01;-1.614076e+00;3.800673e+00;9.751180e-01;-1.646542e+01
29;0.580000;-5.521091e+00;-7.032614e+00;-1.123776e-01;1.552261e+01;1.868581e+00;-1.003634e+01;3.116251e+00;-2.930711e+00;3.228855e+00;-3.324634e+00;1.071618e+00;1.207658e+00;-1.412262e+00;-1.593006e+01
30;0.600000;-9.588173e+00;-5.474665e+00;-2.113299e+00;5.559935e+00;3.682146e-01;1.261160e+00;-5.060350e+00;-2.517723e+00;4.380909e+00;2.310294e+00;4.887952e+00;-1.168919e+00;3.573822e+00;-6.344391e+00
31;0.620000;-6.001713e+00;-8.074067e-01;-1.665151e+00;1.408953e+00;-1.683237e+00;-4.229431e-01;-8.581267e+00;-4.074307e+00;7.570326e-01;-2.266026e-01;4.156163e+00;-1.436508e-01;4.391183e+00;1.944321e+00
32;0.640000;-2.132126e+00;2.007035e+00;-1.233403e+00;-5.718149e+00;-3.558363e+00;1.833441e+00;-8.878343e+00;-1.004813e+00;-9.711762e-01;-3.363257e+00;4.451676e+00;1.802953e+00;6.207987e+00;5.715553e+00
33;0.660000;1.194880e+00;1.653290e+00;5.745640e-01;-1.332594e+01;-5.559469e+00;4.830412e+00;-8.292089e+00;4.226877e+00;-1.063133e+00;-5.349948e+00;2.943112e+00;2.514903e+00;7.106319e+00;5.779152e+00
34;0.680000;4.158028e+00;-1.914016e+00;1.193886e+00;-1.867542e+01;-3.599501e+00;6.689051e+00;-5.430140e+00;9.332517e+00;7.123882e-01;-8.289402e+00;9.579881e-01;2.603142e+00;2.609400e+00;4.419571e+00
35;0.700000;4.292870e+00;-2.154800e+00;-1.876410e+00;-1.765458e+01;-1.817378e+00;7.065796e+00;-2.497223e+00;1.098496e+01;1.914622e+00;-1.313951e+01;-1.137662e-02;8.634365e-01;-2.200895e+00;4.253677e+00
