frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.683527e+00;-2.476036e+00;-2.675373e+00;-5.019514e+00;2.926471e+00;-3.741034e+00;-6.035717e+00;1.292166e+01;-2.314623e+00;1.246826e+01;8.940865e+00;-2.526381e+00;1.006923e+01;4.545395e+00
1;0.020000;6.628007e+00;-2.666437e+00;-3.234184e+00;-5.602575e+00;4.831825e+00;-4.431784e+00;-1.151005e+01;7.592848e+00;-6.542023e+00;1.269562e+01;7.067222e+00;-7.001810e+00;7.343575e+00;3.315475e+00
2;0.040000;8.000742e+00;-1.063246e+00;-4.671549e+00;-7.334524e+00;7.875896e+00;-3.657441e+00;-1.472465e+01;3.416996e-01;-1.302569e+01;1.133067e+01;4.516354e+00;-1.061493e+01;2.852858e+00;-4.065857e-01
3;0.060000;9.295595e+00;2.685790e+00;-5.592096e+00;-5.402794e+00;1.455804e+01;-1.106002e+00;-1.211055e+01;4.118690e-01;-1.140364e+01;1.092357e+01;4.335568e+00;-6.953305e+00;2.026387e+00;-5.438927e+00
4;0.080000;7.998990e+00;3.831198e+00;-5.049221e+00;1.473840e+00;1.402186e+01;8.881121e-01;-6.078390e+00;3.645083e+00;7.416344e-02;7.107340e+00;4.895307e+00;-7.483339e-02;2.590498e+00;-1.060223e+01
5;0.100000;-6.456853e+00;-7.640784e+00;3.913062e+00;5.765266e+00;4.110079e+00;-7.481384e-01;9.690489e+00;4.139620e+00;3.198423e+00;2.134195e+00;7.633924e-01;8.284678e+00;-5.794537e+00;-2.871117e+00
6;0.120000;-8.862703e+00;-1.015666e+01;-1.075768e-01;1.704168e+00;1.537546e+00;-8.970318e-01;1.070407e+01;5.176172e+00;2.524866e+00;1.265563e+00;-1.432436e+00;4.737028e+00;-5.976941e+00;3.665352e+00
7;0.140000;-7.004525e+00;-6.363137e+00;1.320253e+00;7.992039e-01;-8.184385e-01;-4.238191e+00;5.916472e+00;-8.527832e-01;-2.860104e+00;-3.939915e+00;-5.865759e+00;-1.357342e+00;-9.215118e+00;6.354797e+00
8;0.160000;-4.242312e+00;-2.755799e-01;5.006752e+00;1.655784e-01;-3.711141e+00;-5.391369e+00;3.377208e+00;-4.964586e+00;-3.119740e+00;-3.982896e+00;-5.243333e+00;-3.895990e+00;-8.290833e+00;5.217842e+00
9;0.180000;-2.119526e+00;4.221276e+00;9.503737e+00;-6.517735e-01;-7.875602e+00;-3.626348e+00;3.846417e+00;-6.129038e+00;-3.696404e+00;-2.389113e+00;-3.601304e+00;-5.984900e+00;-6.752433e+00;1.397423e+00
10;0.200000;-4.439953e+00;4.858597e+00;6.962807e+00;-5.998812e+00;5.426372e+00;1.085411e+00;4.607002e+00;-3.897768e+00;-3.371975e+00;3.425942e+00;-5.652887e+00;-4.839290e+00;-5.031052e+00;1.335915e+00
11;0.220000;-6.553920e+00;4.611568e+00;7.226765e+00;-7.710652e+00;6.123384e+00;2.942212e+00;3.164573e+00;-2.975065e+00;-4.379274e+00;2.721300e+00;-5.538900e+00;-5.062825e+00;-5.661511e+00;3.324409e+00
12;0.240000;-5.775274e+00;4.750914e+00;1.240769e+01;-5.889020e+00;1.708118e+00;1.472179e+00;2.687732e+00;-1.875277e+00;-5.634647e+00;2.015000e+00;-9.374504e-01;-4.199054e+00;-5.126655e+00;3.262932e+00
13;0.260000;-3.344948e+00;6.051545e-01;1.458504e+01;-1.612953e+00;-6.526317e+00;-2.696023e+00;8.716097e-01;2.986069e-01;-7.809071e+00;-2.855555e+00;1.586968e+00;-1.854347e+00;-3.392343e+00;1.862617e+00
14;0.280000;-9.577036e-02;-2.297129e+00;9.080959e+00;8.128319e+00;-8.962541e+00;-5.702782e+00;-2.045356e+00;3.596910e+00;-6.363525e+00;-4.011542e+00;2.710226e+00;2.812457e+00;-2.003225e+00;1.590622e+00
15;0.300000;2.901767e+00;-2.229214e+00;5.753593e-01;1.218562e+01;-4.741927e+00;-8.480852e+00;-4.672352e+00;5.422133e+00;-6.518324e+00;-2.836528e+00;5.658690e+00;3.933243e+00;5.199103e-01;1.519386e+00
16;0.320000;4.768594e+00;-1.147356e+00;-5.729609e+00;9.603775e+00;-1.495785e+00;-7.664516e+00;-8.734024e+00;5.840017e+00;-7.004301e+00;-1.546360e+00;7.624542e+00;8.363714e-01;1.645324e+00;6.526566e-01
17;0.340000;5.485768e+00;2.373140e+00;-8.571773e+00;6.732697e+00;8.159389e-01;-2.175082e+00;-7.899436e+00;3.577834e+00;-5.479898e+00;4.186467e+00;6.906966e+00;-2.293774e+00;4.161583e+00;-1.044624e+00
18;0.360000;4.967771e+00;4.742472e+00;-7.255424e+00;4.781044e+00;1.398360e+00;9.464598e-01;-5.751952e+00;-1.219574e+00;-6.625906e+00;4.873529e+00;-2.380486e-01;-6.907576e+00;4.305293e+00;-3.179794e+00
19;0.380000;4.634015e+00;2.256218e+00;-8.191910e-01;7.621109e+00;-4.966335e-01;3.484321e+00;8.522582e-01;-3.009005e+00;-5.146893e+00;3.262924e+00;-4.374321e+00;-7.456690e+00;4.465947e+00;-4.428627e+00
20;0.400000;4.422688e+00;-1.836597e+00;2.412760e+00;1.087441e+01;-3.293687e+00;8.197350e+00;6.385059e-01;-4.827766e+00;-2.992344e+00;-9.357533e-01;-3.337543e+00;-6.275912e+00;6.274171e-01;-4.519272e+00
21;0.420000;3.756531e+00;-1.912737e+00;2.904722e+00;3.015854e+00;-1.409204e+00;7.641086e+00;-3.257349e+00;-3.513395e+00;-3.952065e+00;2.150831e-01;1.937231e+00;-3.827864e+00;-1.649550e+00;-1.378998e+00
22;0.440000;4.205542e+00;-1.031611e+00;-6.886158e-01;-1.539403e+00;-4.448595e-01;6.834794e+00;-5.466905e+00;-4.693844e+00;-7.187691e+00;-4.078298e-01;5.340453e+00;-1.740340e+00;-5.877075e-01;7.475967e-01
23;0.460000;5.248383e+00;4.137039e-03;-5.187051e+00;-1.556769e+00;-1.961082e+00;7.087190e+00;-3.656536e+00;-5.570120e+00;-1.073582e+01;-1.827290e+00;6.642189e+00;-4.451814e-01;2.384577e+00;6.546478e-01
24;0.480000;6.304533e+00;1.696098e+00;-8.193893e+00;1.573555e+00;-5.291047e+00;8.423245e+00;3.321403e+00;-7.799061e+00;-8.744186e+00;-2.403169e+00;5.224649e+00;-9.114242e-01;4.447588e+00;-8.377609e-01
25;0.500000;6.979827e+00;6.139464e-01;-7.548958e+00;7.264892e+00;-9.159780e+00;7.981043e+00;8.387924e+00;-1.122383e+01;-9.388294e-01;-2.872692e+00;2.192235e+00;-5.823429e+00;1.602174e+00;-1.865471e+00
26;0.520000;6.683538e+00;-3.792477e-01;-6.320793e+00;1.141725e+01;-1.034832e+01;5.838814e+00;9.308475e+00;-1.566354e+01;3.390668e+00;-1.466441e+00;1.506782e-01;-1.227657e+01;-2.018469e+00;-2.953911e+00
27;0.540000;7.116119e+00;-1.080738e+00;-8.395516e+00;8.424339e+00;-7.662871e+00;1.748944e+00;3.023666e+00;-1.308457e+01;4.162432e+00;1.616236e+00;-4.518251e-01;-1.334772e+01;-3.283314e+00;-1.154572e+00
28;0.560000;6.384254e+00;-1.576586e+00;-1.033193e+01;6.264851e+00;-3.798593e+00;-5.161003e+00;-2.912302e+00;-7.847139e+00;4.543557e+00;2.460289e+00;-2.016468e+00;-8.242546e+00;-4.446176e+00;1.554451e+00
29;0.580000;3.970976e+00;-2.757439e+00;-7.415997e+00;6.350374e+00;-3.862527e+00;-9.127666e+00;-4.223851e+00;-4.576117e+00;7.762764e+00;3.501980e+00;-4.011941e+00;-2.923545e+00;-2.206203e+00;3.019440e+00
30;0.600000;2.738828e+00;-3.330429e+00;-8.482151e-01;5.715031e+00;-5.416350e+00;-7.095804e+00;-3.578426e+00;-2.543423e+00;9.869204e+00;1.825824e+00;-5.407012e+00;3.576604e+00;1.719314e+00;3.559044e+00
31;0.620000;8.675146e-01;-5.705601e+00;3.202496e+00;1.166633e+00;-5.954000e+00;-6.037331e-02;-7.581697e-01;-2.927414e+00;5.543760e+00;-9.630532e-01;-5.422806e+00;7.386051e+00;1.302123e+00;4.049591e+00
32;0.640000;-3.231307e+00;-6.468599e+00;5.161835e+00;-4.062662e-01;-2.824880e+00;8.519368e+00;3.958146e+00;-2.559547e+00;3.103688e+00;-3.111902e+00;-2.525013e+00;8.315358e+00;-1.144764e+00;4.545288e+00
33;0.660000;-3.556742e+00;-4.665598e+00;7.045404e+00;-2.289056e+00;-3.219863e+00;7.871640e+00;1.935353e-01;-1.275389e+00;4.108546e+00;-5.347612e+00;-2.973311e+00;7.366716e+00;-1.486886e+00;3.449341e+00
34;0.680000;-3.093229e+00;-1.683816e+00;7.778815e+00;-6.514763e+00;-5.858870e-01;3.674067e+00;-4.398613e+00;4.659899e+00;4.790462e+00;-7.108476e+00;-5.694643e+00;2.587790e+00;1.065967e+00;9.107513e-01
35;0.700000;-6.367103e+00;3.409997e+00;6.042099e+00;-8.666079e+00;6.251817e+00;2.506164e+00;-5.096803e+00;9.179533e+00;3.465401e+00;-8.563232e+00;-6.490664e+00;7.002687e-01;2.790188e+00;3.863754e-01
36;0.720000;-9.334705e+00;6.342838e+00;7.345438e+00;-7.980411e+00;1.031260e+01;5.785750e+00;-4.972137e+00;1.136327e+01;4.411121e+00;-8.858910e+00;-5.677167e+00;2.086395e+00;1.322068e+00;-1.133896e+00
37;0.740000;-1.079532e+01;7.611803e+00;7.904648e+00;-5.352081e+00;1.394569e+01;8.845671e+00;-2.557788e+00;1.422874e+01;7.224372e+00;-4.650599e+00;-3.428946e+00;2.519002e+00;6.952639e-01;-5.179405e+00
38;0.760000;-8.683680e+00;6.648969e+00;2.130903e+00;-5.891968e+00;1.599091e+01;8.874015e+00;2.569427e-01;1.791821e+01;1.090006e+01;-3.717699e-01;-1.820274e+00;4.092243e+00;1.813346e+00;-1.131007e+01
39;0.780000;-4.872758e+00;8.000560e-01;-5.071129e+00;-3.806916e+00;1.288895e+01;7.323336e+00;7.702346e+00;1.246435e+01;1.295488e+01;5.767792e+00;1.460830e+00;1.096901e+01;1.309961e+00;-1.485622e+01
40;0.800000;-9.048368e+00;-2.753263e+00;-7.003354e+00;-8.284625e+00;1.204955e+01;7.976107e+00;1.512744e+01;8.075999e+00;1.074945e+01;-2.699068e-01;-1.611008e+00;1.186557e+01;2.107016e+00;-6.475983e+00
41;0.820000;-5.615152e+00;1.627634e+00;-4.751483e+00;-8.020823e+00;5.998510e+00;3.104696e-01;7.863995e+00;1.848851e+00;7.500249e+00;-1.816970e+00;6.954370e-01;1.456824e+01;4.619467e+00;9.135208e-01
42;0.840000;-3.118819e+00;2.462722e+00;-4.183411e+00;-7.497672e+00;-5.011708e+00;-1.072096e+01;2.527425e+00;-3.792517e+00;3.673458e+00;-5.597488e+00;-1.647925e-01;1.190447e+01;1.900563e+00;3.638397e+00
43;0.860000;-1.360801e+00;2.190576e+00;-2.599461e+00;-3.614089e+00;-1.199765e+01;-1.407079e+01;3.097561e+00;-4.976433e+00;6.754939e+00;-5.174409e+00;1.760168e+00;8.798628e+00;3.055396e+00;4.980408e+00
44;0.880000;-1.583217e+00;1.481081e+00;-1.300930e+00;-2.681874e+00;-1.423865e+01;-1.364733e+01;4.120265e+00;-5.624744e+00;8.117484e+00;-4.518288e+00;2.435508e+00;7.016750e+00;1.467605e+00;5.365135e+00
45;0.900000;-4.865270e-01;1.671640e+00;1.035199e+00;-1.702381e+00;-1.166258e+01;-1.181723e+01;5.195863e+00;-5.281288e+00;7.023054e+00;-5.969912e+00;1.072393e+00;2.480697e+00;-1.429348e-01;3.818626e+00
