frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.033858e+01;1.198106e+01;4.089103e+00;1.148343e+01;2.049799e+01;1.120486e+01;1.294717e+01;5.526206e+00;1.578905e+01;2.478144e+00;1.097249e+01;1.655688e+01;3.713541e+00;-9.402428e+00
1;0.020000;-2.152826e+01;7.455845e+00;2.048522e+00;6.317997e+00;1.462520e+01;1.103895e+01;1.776164e+01;6.945271e+00;1.301391e+01;1.411565e+00;3.699022e+00;1.009758e+01;-8.338754e-01;-5.709312e+00
2;0.040000;-1.378612e+01;8.918967e+00;3.800018e+00;1.443007e+00;2.855511e+00;-5.227763e+00;7.326889e-02;-6.531266e+00;1.906647e+00;-8.009378e+00;-4.087776e+00;5.473481e+00;-2.617355e+00;7.472763e-01
3;0.060000;-6.930671e+00;6.059906e+00;2.799057e+00;-1.667881e-01;-1.057274e+00;-9.367787e+00;-1.531521e+00;-6.820402e+00;-5.167656e-01;-1.046129e+01;-5.997308e+00;2.203673e+00;-2.581436e+00;4.394745e+00
4;0.080000;-1.021194e+00;1.920425e+00;2.996338e+00;1.288892e+00;-2.298465e+00;-1.121110e+01;-1.075058e+00;-5.672103e+00;-2.045077e+00;-9.727868e+00;-7.202807e+00;-4.196787e-01;-3.510510e+00;4.220482e+00
5;0.100000;2.614046e+00;-5.706964e-01;3.150095e+00;2.989461e+00;-3.305799e+00;-6.824056e+00;-2.132732e+00;-2.767925e+00;-6.630917e-01;-8.145050e+00;-7.510319e+00;-1.364705e+00;-3.452305e+00;1.732986e+00
6;0.120000;3.316623e+00;-2.839285e+00;-4.364100e-01;2.750016e+00;4.119301e-01;1.535820e+00;-6.019440e-01;2.400863e+00;5.667816e+00;-5.006062e+00;-9.255537e-01;-3.686261e-01;-2.346117e+00;2.155418e+00
7;0.140000;4.528740e+00;-6.639966e+00;-1.242281e+00;2.646189e+00;5.562592e-02;1.328424e+00;8.634167e-01;9.007797e+00;3.325480e+00;-9.328877e-01;4.039577e-01;9.196744e-01;-1.074487e+00;4.087669e+00
8;0.160000;4.577711e+00;-7.273422e+00;-9.325113e-01;2.134791e+00;-2.216094e+00;-5.330658e-02;-1.021380e+00;1.261589e+01;-1.004105e+00;2.389243e+00;1.452147e-01;6.915698e-01;1.685498e+00;4.719406e+00
9;0.180000;4.176858e+00;-4.666854e+00;2.890358e-01;3.687725e+00;-2.153609e+00;-3.879948e-01;6.829181e-01;1.218100e+01;1.904640e-01;2.970612e+00;2.628190e+00;8.763604e-01;4.646639e+00;3.392136e+00
10;0.200000;4.148245e+00;-7.915690e-01;1.566950e+00;6.051937e+00;-3.827667e-01;7.679510e-01;3.095525e+00;1.033941e+01;4.398371e+00;2.368710e+00;4.043994e+00;2.018226e+00;6.546293e+00;-1.053230e+00
11;0.220000;-2.188330e+00;3.889908e+00;3.969303e+00;4.316069e+00;3.708428e+00;6.483819e+00;7.205926e+00;5.188202e+00;1.097554e+01;-3.993831e+00;4.824711e+00;3.340332e+00;2.645176e+00;-3.209068e+00
12;0.240000;-2.956325e+00;5.227341e+00;4.938851e+00;4.299542e+00;3.747923e+00;6.623766e+00;6.100684e+00;2.433598e+00;1.006001e+01;-4.255877e+00;3.241163e+00;2.779222e+00;2.545887e+00;1.839371e+00
13;0.260000;-1.419407e+00;4.060046e+00;5.227020e+00;3.875810e+00;4.645676e+00;4.639675e+00;3.548337e+00;1.816740e+00;1.144969e+01;-2.310320e+00;1.613526e+00;3.325934e+00;2.193631e+00;5.148354e+00
