frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.925600e-01;-1.132347e+00;2.519798e+00;3.990604e+00;-4.812346e+00;-1.069041e+01;2.194128e-01;1.833444e+00;6.776687e+00;-8.841784e+00;8.525685e+00;5.583014e+00;4.172256e+00;-2.976158e+00
1;0.020000;2.276160e+00;-5.268928e+00;1.678457e+00;2.751884e+00;4.419250e-01;-1.016982e+01;-5.329841e+00;2.815609e+00;8.445936e+00;-5.765807e+00;9.147981e+00;2.035041e+00;2.914320e+00;3.819504e-01
2;0.040000;3.010981e+00;-6.236590e+00;-1.505954e+00;8.892117e-01;6.217307e+00;-6.603768e+00;-8.354266e+00;1.777534e+00;6.273395e+00;-1.667477e+00;1.014985e+01;6.384974e-01;6.339083e-01;1.436600e+00
3;0.060000;4.505443e+00;-3.456612e+00;-5.339139e+00;-8.023820e-01;9.307548e+00;-2.150389e+00;-7.689159e+00;-4.236600e-01;1.972101e+00;8.916852e-01;1.130172e+01;7.062654e-01;-2.439104e+00;6.069489e-01
4;0.080000;6.138462e+00;1.925200e+00;-9.875820e+00;-1.029353e-01;9.837109e+00;1.111951e+00;-4.462667e+00;-3.116488e+00;-1.588382e+00;3.235692e+00;1.170789e+01;3.302592e+00;-5.542721e+00;-2.039215e+00
5;0.100000;6.647388e+00;6.153108e+00;-1.456967e+01;4.730064e+00;1.248556e+01;-8.731298e-01;-1.010661e+00;-3.292824e+00;1.641140e-01;6.002010e+00;8.490270e+00;5.561422e+00;-4.423915e+00;-6.059387e+00
6;0.120000;4.202563e+00;6.361334e+00;-1.543388e+01;1.172242e+01;1.564407e+01;-2.571034e+00;-2.004391e+00;-4.520140e-01;8.054484e+00;5.605067e+00;5.906138e+00;5.331887e+00;1.150693e+00;-1.025846e+01
7;0.140000;-4.273452e+00;-4.733696e+00;-1.699712e+00;9.053299e+00;6.126096e+00;6.205925e+00;3.662206e+00;-3.855364e-01;6.091171e+00;8.745727e+00;4.049933e+00;3.206631e+00;4.458456e+00;-8.039719e+00
8;0.160000;-9.931606e+00;-1.008528e+01;-3.253060e+00;1.937073e+00;1.643038e+00;5.935791e+00;6.755532e+00;1.325953e+00;9.751740e-01;5.153005e+00;-3.758726e-01;4.039920e+00;1.383637e+00;-1.735802e+00
9;0.180000;-1.064725e+01;-6.305511e+00;-4.035041e+00;8.450837e-01;6.628590e-01;5.937519e+00;7.550128e+00;1.077669e+00;1.956640e+00;4.654598e+00;-1.316731e+00;3.971765e+00;1.292071e-01;2.716316e+00
10;0.200000;-9.331802e+00;9.955387e-01;-3.456078e-01;-1.113339e+00;-8.081608e-01;1.951669e+00;2.140748e+00;-3.362123e+00;-2.785103e+00;-9.573950e-01;-4.010218e+00;2.963301e+00;-2.385963e+00;4.395683e+00
11;0.220000;-7.743151e+00;5.253352e+00;7.689203e+00;-2.404477e+00;-4.453398e+00;-1.494325e+00;8.246326e-02;1.055574e-02;-4.925179e+00;-5.143083e+00;-7.640524e-01;6.061914e+00;-2.848878e+00;4.582848e+00
12;0.240000;-5.844619e+00;3.660113e+00;1.196778e+01;-2.184027e+00;-6.364244e+00;-3.198104e+00;4.664350e-01;2.656459e+00;-4.122691e+00;-6.968470e+00;-7.075324e-01;5.032059e+00;-5.216517e-01;3.514534e+00
13;0.260000;-6.618232e+00;4.670236e+00;8.938892e+00;6.501555e-01;-3.842379e+00;-2.978275e+00;4.422938e+00;2.397082e-01;4.785810e-01;-9.740886e+00;1.498659e+00;3.257428e+00;4.939270e-02;1.881317e+00
14;0.280000;-7.627839e+00;3.974373e+00;1.123838e+01;-3.343287e-01;-4.344637e+00;-2.086728e+00;2.302709e+00;-6.650419e-01;4.784131e-01;-9.759218e+00;5.689940e+00;3.468569e+00;-2.459278e-01;3.434532e+00
