frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.365836e+00;2.985059e+00;-1.003461e+01;2.471968e+00;-4.441824e-01;-5.445317e+00;2.708667e+00;-3.057980e+00;-1.147926e+01;-4.448021e+00;-5.732711e+00;-6.797305e+00;-1.772032e+00;-6.046524e-01
1;0.020000;9.443913e-01;3.123662e+00;-5.462951e+00;1.599734e+00;2.733141e+00;-3.236466e+00;-3.427450e+00;-3.733259e+00;-1.042951e+01;1.866026e+00;-3.091553e+00;-8.560291e+00;-1.598237e+00;-9.333267e-01
2;0.040000;-7.220936e-02;4.086995e+00;4.445757e-01;5.420284e-01;1.944360e+00;-1.504505e+00;-6.250628e+00;-6.675935e+00;-6.461483e+00;5.827971e+00;-2.498942e+00;-8.614598e+00;-3.650360e+00;-2.250496e+00
3;0.060000;4.952645e-01;4.579492e+00;1.323379e+00;2.791281e+00;1.859881e+00;7.032051e-01;-2.856501e+00;-8.051379e+00;-7.072846e+00;3.345711e+00;-3.117405e+00;-7.095803e+00;-5.205049e+00;-4.260353e+00
4;0.080000;1.582060e+00;3.577001e+00;-3.985762e+00;7.003551e+00;4.340529e+00;1.396944e+00;4.364105e+00;-5.166431e+00;-9.199137e+00;2.363159e+00;-2.600765e+00;-8.131917e+00;-4.373999e+00;-6.485222e+00
5;0.100000;-5.002125e+00;-3.130396e+00;7.087216e+00;2.019925e+00;5.194356e+00;6.557406e+00;7.535362e-01;4.451618e+00;1.983118e+00;-6.109529e+00;5.278919e+00;7.814605e+00;-4.983808e+00;-3.101753e+00
6;0.120000;-7.264780e+00;-4.401351e+00;8.274916e+00;2.658457e+00;5.588302e+00;4.987292e+00;-2.461679e+00;4.873593e+00;2.528527e+00;-3.570349e+00;9.330489e+00;1.189452e+01;-3.184179e+00;2.606636e+00
7;0.140000;-5.344991e+00;-2.801914e+00;8.246481e+00;2.523038e+00;5.722651e+00;3.170698e+00;-6.171095e+00;2.997746e+00;9.868455e-01;-4.304068e+00;6.730087e+00;8.699047e+00;-4.917754e+00;4.756104e+00
8;0.160000;-1.703155e+00;2.210140e-03;7.351270e+00;8.960773e-01;5.142556e+00;1.023101e+00;-9.091539e+00;2.200467e+00;-1.724281e-01;-5.232132e+00;3.605953e+00;5.141407e+00;-6.314717e+00;2.484276e+00
9;0.180000;2.951657e+00;4.981239e+00;4.392444e-01;-2.518628e+00;2.435078e+00;-8.427141e-01;-4.785585e+00;7.148876e-01;5.069818e-01;-6.888483e+00;-9.528570e-01;-1.646222e+00;-6.788389e+00;-2.232277e+00
10;0.200000;4.389725e+00;4.214549e+00;-8.469636e+00;-6.738857e+00;-1.285115e+00;-2.855816e+00;-6.166534e-01;-1.349968e+00;-2.056736e+00;-3.277036e+00;-3.394253e+00;-8.778234e+00;-5.015344e+00;5.709076e-01
11;0.220000;4.524361e+00;2.512212e-01;-1.086570e+01;-1.170977e+01;-1.347121e+00;-1.802682e+00;-8.256054e-01;-1.272120e+00;1.820993e-01;-1.835908e+00;-2.915089e+00;-1.247208e+01;-2.477777e+00;2.056526e+00
12;0.240000;2.680850e+00;-5.054874e+00;-1.072498e+01;-1.501550e+01;8.476162e-02;-2.156924e+00;2.021290e+00;1.708918e+00;8.455132e+00;-2.212777e+00;-6.714659e-01;-1.457971e+01;5.050089e+00;1.915359e+00
13;0.260000;-4.096031e-01;-8.430271e+00;-1.049213e+01;-1.415905e+01;-3.267203e+00;-5.274611e+00;3.183721e+00;6.003193e+00;1.371406e+01;-4.109561e+00;-1.824857e+00;-1.162766e+01;1.216507e+01;2.514839e+00
14;0.280000;-7.387605e-01;-6.856018e+00;-9.146423e+00;-1.179832e+01;-6.201875e+00;-8.576109e+00;3.183661e+00;9.049532e+00;1.504278e+01;-6.174662e+00;-4.742973e+00;-5.633164e+00;1.520959e+01;3.556915e+00
15;0.300000;7.327075e-01;-4.276914e+00;-7.125701e+00;-8.277054e+00;-7.233312e+00;-9.391836e+00;1.472512e+00;6.475652e+00;1.445587e+01;-6.126084e+00;-7.839309e+00;-4.293419e+00;1.267922e+01;4.025452e+00
16;0.320000;2.898461e+00;-2.325785e+00;-2.988790e+00;-2.152762e+00;-9.089074e+00;-7.423409e+00;3.528551e+00;1.922016e+00;1.182095e+01;-1.269125e+00;-7.468290e+00;-4.428267e+00;9.705871e+00;3.149132e+00
17;0.340000;4.266499e+00;-2.007321e+00;-9.311709e-01;2.263988e+00;-1.033710e+01;-4.040196e+00;4.865579e+00;-1.253510e+00;-5.516763e-01;1.260835e+00;-4.884465e+00;-1.562421e+00;1.138997e+00;1.562042e+00
18;0.360000;4.299494e+00;-2.329156e+00;-6.292454e-01;9.089178e-01;-7.359811e+00;4.424722e-01;4.905510e-01;-2.789867e+00;-7.715199e+00;2.293549e+00;-2.922705e+00;4.854329e-01;-5.169857e+00;1.056572e+00
19;0.380000;4.851721e+00;-1.062859e+00;-2.113303e+00;-2.825306e+00;-4.656684e+00;4.238223e+00;-4.983009e+00;-6.814514e+00;-1.089554e+01;9.167242e-02;-2.838783e+00;1.405244e+00;-6.372452e+00;-8.026199e-01
20;0.400000;6.012187e+00;4.415090e+00;-2.982368e+00;-6.947753e+00;2.650332e+00;7.233109e+00;-4.539564e+00;-5.115426e+00;-1.274870e+01;-8.069324e-01;-3.509953e+00;4.307002e+00;-7.671230e-01;-3.335220e+00
21;0.420000;5.754500e+00;6.721426e+00;-3.593750e+00;-6.080056e+00;7.470735e+00;5.966949e+00;-1.156031e+00;-5.756853e+00;-1.317136e+01;1.151975e+00;-2.963927e+00;6.021498e+00;1.879842e+00;-4.143051e+00
22;0.440000;4.333194e+00;5.338482e+00;-6.836802e-01;-2.023753e+00;4.543706e+00;7.063668e+00;-3.085804e-01;-1.124300e+01;-1.488588e+01;3.278210e+00;6.065454e-01;4.508109e+00;6.301429e-01;-3.075623e+00
23;0.460000;3.766375e+00;1.945529e+00;4.636209e+00;6.520759e+00;-2.509955e+00;4.197371e+00;7.833862e-01;-8.480252e+00;-8.546696e+00;1.617624e+00;2.958815e+00;5.204600e+00;-1.859408e+00;-6.747589e-01
24;0.480000;1.206044e+00;6.411729e-01;9.802044e+00;8.840097e+00;-3.047091e+00;1.273362e+00;3.913478e+00;-2.610242e+00;-2.337967e+00;-9.406295e-01;3.062008e+00;3.434542e+00;-2.486368e+00;1.091354e+00
25;0.500000;-3.847662e+00;2.522578e+00;1.303176e+01;9.899069e+00;-1.218930e+00;4.501880e+00;6.558198e+00;3.202829e-01;1.603072e+00;-2.008485e+00;2.326188e+00;3.779603e+00;-4.056246e+00;1.801949e+00
26;0.520000;-8.297679e+00;3.270955e+00;1.333414e+01;1.025619e+01;-1.505609e+00;4.851050e+00;6.609783e+00;2.665185e+00;5.365992e+00;1.522534e+00;4.098891e+00;9.118039e+00;-4.055114e-01;2.270187e+00
27;0.540000;-1.002055e+01;-7.094932e-01;8.932376e+00;8.210200e+00;-2.172738e+00;1.587537e+00;6.310737e+00;9.111363e+00;1.144614e+01;7.134263e+00;7.221978e+00;1.318284e+01;3.302682e+00;2.292740e+00
28;0.560000;-9.474092e+00;-4.018582e+00;5.288859e+00;8.623062e+00;1.173666e+00;-2.784021e+00;5.715380e-01;1.029034e+01;1.391452e+01;1.091609e+01;7.850405e+00;1.146268e+01;5.182446e+00;-2.765732e-01
29;0.580000;-5.879722e+00;-5.251705e+00;2.037745e+00;1.221846e+01;1.079176e+01;-3.859661e+00;-3.845348e+00;1.058592e+01;1.571831e+01;1.664418e+01;1.090003e+01;7.761924e+00;4.454660e+00;-5.535225e+00
