frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.489603e+01;1.757913e+01;-9.523899e+00;2.060528e+01;4.582339e+00;4.141552e+00;1.589563e+01;2.251860e+00;7.204772e+00;-5.470610e-02;6.863665e+00;6.389652e+00;8.457142e+00;-1.221502e+01
1;0.020000;-1.747641e+01;1.549027e+01;-1.096629e+01;2.105324e+01;3.818047e+00;2.123481e+00;1.231024e+01;3.576008e+00;8.459692e+00;-2.695444e-01;8.958182e+00;8.628563e+00;9.425793e+00;-1.095789e+01
2;0.040000;-1.507988e+01;1.638631e+01;-8.676927e+00;2.443055e+01;4.912672e+00;3.997792e+00;1.144594e+01;3.968904e+00;8.991583e+00;1.802094e-01;6.650139e+00;5.714957e+00;7.691145e+00;-9.546112e+00
3;0.060000;-1.568031e+01;1.379678e+01;-1.013197e+01;2.261908e+01;1.609720e+00;6.020363e+00;1.190947e+01;3.184175e+00;1.110279e+01;2.429362e+00;6.021192e+00;3.893786e+00;6.138684e+00;-9.965599e+00
4;0.080000;-7.423004e+00;1.459120e+01;-1.662330e+01;1.067102e+01;-3.499456e+00;4.921312e+00;7.489202e+00;-4.976645e-01;1.011361e+01;3.914678e+00;5.562438e+00;-1.071865e+00;1.633269e+00;-3.875870e+00
5;0.100000;-2.673462e+00;8.596822e+00;-1.519474e+01;8.138065e-01;-3.773346e+00;8.796327e+00;1.237447e+00;-2.224064e-01;8.232814e+00;2.697972e+00;3.176124e+00;-6.639695e+00;2.407010e+00;2.579025e+00
6;0.120000;1.785917e-01;5.731812e-01;-1.036053e+01;-4.878992e+00;-1.221204e+00;1.073500e+01;4.296861e-01;3.727091e+00;5.409548e+00;3.352826e+00;2.008735e+00;-7.686323e+00;3.697271e+00;5.698547e+00
7;0.140000;2.072609e+00;-8.470075e+00;-7.797482e+00;-1.162863e+01;2.764318e+00;7.287924e+00;1.544573e+00;1.943525e+00;3.160510e-01;3.711675e+00;-1.707125e+00;-6.551089e+00;1.391687e-01;5.097649e+00
8;0.160000;3.395604e+00;-1.250973e+01;-1.075832e+01;-1.591085e+01;2.969462e+00;2.352515e+00;3.549246e+00;-4.748663e+00;-3.244347e+00;2.029748e-01;-3.885755e+00;-5.459521e+00;-3.805162e+00;3.507103e+00
9;0.180000;7.095990e+00;-8.694499e+00;-1.149213e+01;-1.207433e+01;5.897635e+00;4.807711e+00;9.339875e+00;-3.361589e+00;9.037571e-01;2.897079e+00;3.494239e-01;-3.688388e-01;-1.064141e+00;2.195953e+00
