frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.241251e+01;-7.449019e+00;-1.194085e+01;2.663179e+00;8.883918e+00;1.499452e+00;1.061640e+01;4.824644e+00;5.453557e+00;1.647287e+00;1.607050e+00;-2.708110e+00;1.192352e+00;-8.535843e+00
1;0.020000;1.394348e+01;-1.141648e+01;-1.347389e+01;9.508438e-01;8.695451e+00;-5.699714e+00;7.935915e+00;5.603932e+00;6.687970e-01;-3.413925e+00;2.941170e+00;-5.996570e+00;-9.353857e-01;-2.127419e+00
2;0.040000;1.224517e+01;-1.272197e+01;-1.309862e+01;9.776306e-02;8.524487e+00;-8.082607e+00;1.675111e+00;1.101747e+01;-4.864537e+00;-4.565574e+00;1.075554e+00;-7.653866e+00;-3.933811e-01;1.189194e+00
3;0.060000;9.765020e+00;-1.244513e+01;-1.215500e+01;1.257610e-01;8.006985e+00;-7.204926e+00;-4.201417e+00;1.658271e+01;-8.010623e+00;-3.261517e+00;-3.485015e+00;-5.722818e+00;-7.676361e-01;1.297089e+00
4;0.080000;7.502771e+00;-1.037841e+01;-8.569300e+00;1.855834e+00;8.364450e+00;-4.999662e+00;-6.251522e+00;1.973151e+01;-7.399733e+00;-1.597201e+00;-7.240109e+00;-2.977749e+00;9.253979e-02;-2.121506e+00
5;0.100000;4.103554e+00;-8.362968e+00;-5.358984e+00;1.677765e+00;6.468770e+00;-3.985480e+00;4.730366e+00;1.464552e+01;6.025758e-01;3.917296e+00;-3.191247e+00;1.334683e+00;3.896906e-01;-6.304459e+00
6;0.120000;-1.760254e+00;-1.195322e+01;-1.798166e+00;8.876190e-01;6.091022e+00;-6.691260e+00;8.235699e+00;9.700657e+00;1.563495e+00;7.198744e+00;4.747006e+00;3.871888e+00;-3.955877e-01;-6.125488e-01
7;0.140000;-8.122330e-01;-1.167255e+01;-2.355852e+00;-1.560297e-01;6.126731e+00;-7.043332e+00;5.976965e+00;7.557886e+00;-3.033175e+00;1.266324e+00;-4.651983e-01;-1.713321e+00;-2.859657e+00;4.304443e+00
8;0.160000;1.571784e+00;-1.144010e+01;-5.487080e+00;-1.489873e+00;5.486275e+00;-8.241399e+00;3.548753e+00;8.491384e+00;-2.517401e+00;-3.651781e+00;-3.186003e+00;-5.277998e+00;-1.615309e+00;5.419235e+00
9;0.180000;2.428555e+00;-9.673431e+00;-1.064654e+01;-3.408127e-01;4.383652e+00;-6.943193e+00;-1.902259e+00;1.146792e+01;-1.352265e+00;-8.928647e+00;-3.273835e+00;-5.968950e+00;-2.805567e-01;4.252747e+00
10;0.200000;-4.192822e+00;-4.556965e+00;-7.702603e+00;-4.146045e+00;2.595689e+00;-1.562826e+00;-7.580966e+00;7.916475e+00;2.891997e+00;-1.573340e+01;-6.367619e+00;-1.244726e+00;-1.742546e+00;5.729935e+00
11;0.220000;-1.045002e+01;1.405392e+00;-5.821059e-01;-5.540931e+00;2.656054e+00;2.677053e+00;-6.201254e+00;4.339863e+00;5.451929e+00;-1.461671e+01;-6.395646e+00;2.091790e+00;-1.966312e+00;6.448784e+00
12;0.240000;-1.653175e+01;4.642953e+00;4.559245e+00;-5.164298e+00;4.533357e+00;7.949830e+00;-3.645769e+00;-8.466160e-01;8.203674e+00;-7.400202e+00;-2.726656e+00;-3.330464e-01;-4.762956e+00;4.448433e+00
13;0.260000;-2.187214e+01;4.755386e+00;8.485129e+00;-3.379660e+00;5.053552e+00;1.301721e+01;4.074160e+00;-1.907945e-02;1.323992e+01;4.324555e-01;3.474421e+00;1.715298e+00;-3.261802e+00;1.355103e+00
14;0.280000;-2.374253e+01;2.299330e+00;1.127715e+01;-3.437200e-01;6.644783e-01;1.111095e+01;1.147182e+01;1.952598e+00;1.476768e+01;4.924069e+00;9.148033e+00;5.638189e+00;9.809279e-02;1.919250e-01
15;0.300000;-1.958541e+01;8.812928e-01;1.113641e+01;4.473376e+00;4.999733e-02;6.667740e+00;5.249446e+00;-1.228589e+01;5.340443e+00;1.530972e+00;4.824684e+00;-2.650860e+00;-6.059295e+00;1.830925e+00
16;0.320000;-1.308741e+01;9.933348e-01;7.378303e+00;5.768773e+00;-1.384096e+00;6.712033e-01;-5.499265e+00;-2.552394e+01;-4.864776e+00;-1.237707e-01;3.680405e+00;-7.796594e+00;-7.753717e+00;3.173775e+00
17;0.340000;-5.234925e+00;2.983246e+00;1.814546e+00;3.016707e+00;-1.989379e+00;7.899524e-01;-5.926658e+00;-2.597187e+01;-9.452713e+00;1.017249e+00;4.665557e+00;-7.210701e+00;-5.095317e+00;2.416901e+00
18;0.360000;2.081989e+00;7.289126e+00;-2.757912e+00;-4.347210e+00;2.379227e-01;2.405664e+00;-1.802132e+00;-2.331565e+01;-1.051241e+01;2.480784e+00;4.606457e+00;-3.267088e+00;-1.830827e+00;-5.617447e-01
19;0.380000;6.999235e+00;8.300711e+00;-3.310954e+00;-6.524949e+00;4.822222e+00;3.974746e+00;2.389965e+00;-1.711020e+01;-5.676609e+00;1.957920e+00;7.204269e+00;5.464372e+00;5.819213e+00;-2.594452e+00
20;0.400000;1.033802e+01;1.591743e+00;-2.200393e+00;1.596216e+00;3.992118e+00;8.526140e-02;1.613253e+00;-1.137112e+01;-9.144583e-01;4.603390e+00;1.123005e+01;9.562794e+00;8.096691e+00;-2.145836e+00
21;0.420000;9.710173e+00;-3.894048e+00;4.309721e+00;7.370608e+00;-4.949504e+00;1.544224e+00;-2.979818e+00;-3.978608e+00;-4.028592e-01;8.709109e+00;1.114760e+01;8.899359e+00;6.445696e+00;-1.673454e+00
22;0.440000;5.768596e+00;-3.490573e+00;1.045239e+01;6.761106e+00;-1.219324e+01;-3.531592e-01;-3.451872e+00;9.154890e-01;-1.067401e+00;9.815050e+00;5.284714e+00;8.485668e+00;5.018015e+00;-1.783974e+00
23;0.460000;3.045899e+00;-4.865503e-01;1.265265e+01;2.023824e+00;-1.745772e+01;-1.333028e+00;-1.261905e+00;2.169607e-01;-5.065172e+00;7.282115e+00;2.579188e+00;1.027784e+01;4.500814e+00;-2.606194e+00
24;0.480000;1.420484e+00;1.527831e+00;1.126387e+01;-2.203678e+00;-2.095313e+01;-1.442715e+00;-3.538910e+00;-4.023665e+00;-6.209167e+00;4.299423e+00;2.958492e-01;7.980042e+00;3.031704e+00;-3.532242e+00
25;0.500000;4.847298e-01;-1.161014e+00;6.897837e+00;-4.489657e+00;-2.489275e+01;-5.659012e+00;-7.848367e+00;-5.886025e+00;-4.996482e+00;-4.317274e-01;-1.633120e+00;2.596169e+00;-2.935761e+00;-2.307777e+00
26;0.520000;2.154194e+00;-2.126819e+00;5.780413e+00;-3.189871e+00;-1.979412e+01;-5.556477e+00;-7.836715e+00;-1.493886e-01;-1.597388e+00;-1.626234e+00;2.128605e+00;2.666465e+00;-3.870947e+00;-3.624954e-01
27;0.540000;3.108112e+00;-3.364842e+00;3.010303e+00;-5.121594e+00;-1.407798e+01;-5.655802e+00;-7.344960e+00;5.435895e+00;9.384451e-01;-7.492886e+00;-5.299151e-02;1.605932e+00;-2.259774e+00;8.080673e-01
28;0.560000;4.485345e+00;-3.656101e+00;6.118411e-01;-6.380491e+00;-8.334151e+00;-2.931212e+00;-5.982037e+00;7.507795e+00;4.910092e+00;-8.882656e+00;-6.385168e+00;-7.974281e-01;-2.015541e+00;1.670929e+00
29;0.580000;2.087503e+00;-4.019256e-01;-1.428672e-01;-4.467350e+00;-2.779657e+00;-2.040922e+00;-2.574682e-01;6.365619e+00;4.620979e+00;-8.454494e-01;-8.811836e+00;-3.348308e+00;-2.379099e+00;2.544823e+00
30;0.600000;-3.660870e+00;1.227938e+00;3.012145e+00;-2.439090e+00;6.670065e-01;1.621022e+00;2.014948e+00;3.122534e+00;6.347849e+00;5.875594e+00;-5.589371e+00;-5.591279e+00;-1.530876e+00;2.540771e+00
31;0.620000;-8.161374e+00;6.100564e-01;4.773926e+00;-1.368945e+00;3.660714e+00;3.099053e+00;2.028325e+00;5.214803e+00;1.018048e+01;1.169397e+01;3.261476e+00;-1.065039e+00;2.051657e+00;1.477119e+00
32;0.640000;-8.791242e+00;1.939404e+00;4.562068e+00;7.928324e-02;6.080585e+00;3.714154e+00;1.973195e+00;7.244385e+00;9.336182e+00;6.351028e+00;5.714015e+00;2.676027e+00;2.909635e+00;1.034569e+00
33;0.660000;-4.461721e+00;7.802205e-01;-5.976188e-02;-2.227426e+00;5.303211e+00;4.556626e+00;2.184474e+00;5.739135e+00;5.518357e+00;-2.188410e+00;1.377809e+00;-4.348497e-01;6.866060e-01;3.786461e+00
34;0.680000;1.015668e+00;-3.646932e-01;-2.670486e+00;-4.156161e+00;2.780776e+00;2.478717e+00;1.471329e+00;7.225635e+00;4.318514e+00;-4.637511e+00;2.116330e-01;-2.787340e+00;4.757124e-01;5.358490e+00
35;0.700000;6.107937e+00;-6.864672e-01;-3.058908e+00;-2.488745e+00;8.649778e-01;2.947758e-01;6.974888e-01;1.207336e+01;5.378351e+00;-4.121320e+00;8.251583e-01;-6.565523e-01;3.479194e+00;4.153702e+00
36;0.720000;4.736345e+00;5.150568e+00;-3.261597e+00;5.421863e-01;5.305567e-01;-2.611049e+00;1.601750e+00;1.402330e+01;7.461036e+00;-2.304275e+00;-1.152688e+00;7.154408e+00;4.275542e+00;3.130684e+00
37;0.740000;1.824665e-02;1.332895e+01;-1.441301e+00;2.594098e+00;1.843536e+00;-4.055669e+00;2.360066e+00;1.251567e+01;8.090691e+00;-8.573670e-01;-1.083583e+00;1.282011e+01;3.705796e+00;1.379448e+00
38;0.760000;-4.877351e+00;1.535644e+01;-4.118160e-01;2.038256e+00;7.521635e+00;-3.946817e-01;9.325829e-01;8.594739e+00;5.098441e+00;2.240376e+00;3.307055e+00;8.420771e+00;3.432569e+00;-5.527191e-01
39;0.780000;-5.673366e+00;1.182251e+01;-5.772783e-01;2.866738e+00;9.180749e+00;5.479486e-01;-2.265697e+00;1.773557e+00;1.465575e+00;2.525800e+00;2.608080e-01;-1.466029e+00;1.092101e+00;-9.401932e-01
40;0.800000;-1.920690e+00;9.482388e+00;1.021466e+00;5.777788e+00;6.120143e+00;8.856001e-01;-2.901944e+00;-5.362948e+00;-4.374518e-01;2.195348e+00;-4.236290e+00;-6.540119e+00;-5.610180e-01;-1.599953e+00
41;0.820000;3.340641e+00;8.119021e+00;-7.877014e-01;5.295323e+00;-2.731133e-02;5.811499e-01;2.565761e+00;-1.283994e+01;-1.750325e+00;1.304471e+00;-9.993235e+00;-6.242362e+00;2.690395e+00;-3.252907e+00
42;0.840000;6.612784e+00;6.392544e+00;-4.313531e+00;2.192979e+00;-3.750281e+00;-1.663024e+00;7.075303e+00;-1.947621e+01;-9.940239e+00;1.116581e+00;-1.352755e+01;-4.709836e+00;5.551716e+00;-5.135147e+00
43;0.860000;7.032548e+00;5.909842e+00;-4.349983e+00;1.551982e+00;-4.303785e+00;3.544415e+00;3.445046e+00;-2.104144e+01;-1.531529e+01;8.308425e-01;-8.099846e+00;-2.250105e+00;1.663408e+00;-6.263664e+00
44;0.880000;5.941292e+00;7.175036e+00;1.536324e+00;4.311925e+00;-3.189287e+00;9.988687e+00;-2.685070e+00;-1.975264e+01;-1.530095e+01;-2.310109e-01;6.307292e-02;-2.082405e+00;-5.618443e+00;-6.799202e+00
45;0.900000;4.353552e+00;7.737937e+00;7.977751e+00;3.446640e+00;-1.145906e-01;1.044571e+01;-4.502145e+00;-1.284621e+01;-1.116765e+01;1.695327e+00;1.235372e+00;-4.767784e+00;-5.807412e+00;-8.129890e+00
