frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.465171e+00;1.393717e+01;8.292471e+00;2.832102e+00;4.260162e+00;2.097784e+00;2.623081e-01;8.277176e+00;-5.827510e+00;-9.415802e+00;8.850948e+00;2.894600e+00;-9.075645e-01;5.816139e+00
1;0.020000;-2.964315e-01;1.621825e+01;7.854610e+00;2.757621e+00;3.997103e+00;1.242448e+00;-2.559071e+00;8.181704e+00;-4.677253e+00;-1.179322e+01;7.693012e+00;4.743114e+00;1.906444e+00;7.473907e-01
2;0.040000;3.260782e+00;8.785240e+00;-4.126842e-01;5.636781e+00;3.418899e+00;3.041678e+00;3.026247e+00;-1.308301e+00;8.302188e-02;-4.439507e+00;4.897777e+00;-2.290009e+00;-1.107860e-01;-3.212914e+00
3;0.060000;3.846025e-02;1.476311e+00;-8.770029e+00;2.845435e-01;-2.373793e+00;-1.342419e+00;2.940936e+00;-4.793181e+00;2.896517e+00;-2.273066e+00;8.589661e-01;-4.570332e+00;-1.908275e+00;6.272530e+00
4;0.080000;5.352936e-01;-8.845608e-01;-1.012518e+01;-1.232235e+00;-3.169873e+00;-2.693557e+00;2.582976e+00;-4.334559e+00;6.182480e+00;-1.352547e+00;-2.145393e+00;-7.285390e+00;-2.652915e+00;1.132923e+01
5;0.100000;7.651949e-01;-3.632658e+00;-1.034104e+01;-3.496697e+00;-2.897828e+00;-2.963713e+00;2.623518e+00;-3.813191e+00;8.898811e+00;-1.342623e+00;-4.212245e+00;-8.603325e+00;-2.935158e+00;1.194772e+01
6;0.120000;1.400046e-01;-6.937051e+00;-8.296940e+00;-7.204031e+00;5.091319e-01;-3.744046e+00;3.867782e+00;-2.360274e+00;1.058350e+01;-2.984170e+00;-5.871331e+00;-8.843340e+00;-4.175643e+00;9.519569e+00
7;0.140000;-2.390013e+00;-7.355372e+00;-4.847062e+00;-7.892128e+00;3.362317e+00;-4.314769e+00;6.889805e+00;3.063540e+00;8.549109e+00;-5.679390e+00;-8.537934e+00;-5.549868e+00;-7.311505e+00;6.780106e+00
8;0.160000;-2.707425e+00;-6.553291e+00;-4.702537e-01;-6.630026e+00;-2.060434e+00;-7.144540e+00;4.603841e+00;5.317421e+00;4.500213e-01;-5.865558e+00;-9.291578e+00;5.395751e-01;-8.324548e+00;6.487022e+00
9;0.180000;-3.259826e-01;-5.531222e+00;4.312213e+00;-3.609561e+00;-4.934196e+00;-7.690257e+00;1.040146e+00;7.124739e+00;-4.347554e+00;-2.669874e+00;-6.707317e+00;5.800099e+00;-4.947116e+00;6.206322e+00
10;0.200000;6.336012e-01;-4.871450e+00;3.209507e+00;2.731688e+00;-5.728073e+00;-6.106751e+00;-1.676256e+00;6.895597e+00;-5.197476e+00;-1.902265e+00;-2.509406e+00;5.852910e+00;3.477303e-01;4.706909e+00
11;0.220000;8.098822e-01;-3.542524e+00;-1.828327e+00;8.641171e+00;-5.772967e+00;-7.982245e+00;-4.691659e+00;1.680856e+00;-4.899081e+00;-2.193355e+00;2.204303e+00;4.287338e+00;3.104512e-01;3.834473e+00
12;0.240000;2.943652e+00;-2.749551e+00;-1.498814e-01;3.580822e+00;-5.233215e+00;-7.330967e+00;-9.812851e+00;-5.847807e-01;-2.292947e+00;1.928895e+00;2.889533e+00;1.162168e+00;5.702986e-01;4.385353e+00
13;0.260000;6.602694e+00;-4.443131e+00;3.146768e+00;-5.587733e+00;3.890038e-01;-3.189478e+00;-1.194818e+01;-2.107198e+00;-3.186893e+00;8.097278e+00;1.554277e+00;-6.876993e-02;3.069648e+00;3.171562e+00
14;0.280000;9.033743e+00;-4.174445e+00;3.986526e+00;-1.214522e+01;4.062640e+00;-2.289517e+00;-1.093267e+01;-3.883425e+00;-7.574543e+00;1.305932e+01;1.499404e+00;5.878325e-01;2.094716e+00;1.516739e+00
15;0.300000;6.835393e+00;3.976829e-01;-2.047198e-01;-1.078650e+01;1.672650e+00;3.534923e-01;-1.057334e+01;-4.491988e+00;-9.243168e+00;1.364112e+01;2.605598e+00;3.036566e-01;1.323725e+00;1.799789e+00
16;0.320000;5.328757e+00;3.584342e+00;-4.135956e+00;-5.930887e+00;-2.810249e-01;1.468925e+00;-1.189500e+01;-5.892230e+00;-5.716899e+00;1.208097e+01;2.517696e+00;-1.477973e+00;8.231136e-01;1.739838e+00
17;0.340000;5.507879e+00;3.905335e+00;-4.578004e+00;-1.203704e+00;-1.131115e+00;1.925811e+00;-1.400933e+01;-5.926549e+00;-1.682270e+00;7.854410e+00;2.351517e+00;-1.118460e+00;7.988507e-02;2.273254e-01
