frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.226923e+00;-3.311729e-02;2.235326e+00;-3.959470e+00;-4.387316e+00;2.953623e+00;-3.637189e+00;2.481423e+00;-1.810906e+00;-1.662276e+00;-4.677539e-01;-1.869593e-01;5.246083e-01;4.062447e+00
1;0.020000;-2.114038e+00;-3.023305e-01;6.031431e+00;-5.099316e+00;-8.822313e+00;5.578685e+00;-5.992017e+00;4.674556e+00;-2.664129e+00;-3.860998e+00;2.211570e+00;4.121914e-01;6.560612e-02;4.214630e+00
2;0.040000;-2.226073e+00;-6.488442e-01;7.482523e+00;-5.725128e+00;-1.101205e+01;4.665310e+00;-6.117092e+00;4.046322e+00;-4.481609e+00;-4.061536e+00;2.984840e+00;8.877516e-01;-4.788617e-01;4.099022e+00
3;0.060000;-2.240520e+00;-2.072377e-01;8.416595e+00;-3.075995e+00;-1.078540e+01;6.609089e-01;-5.668022e+00;1.398150e+00;-3.719209e+00;-5.505950e+00;5.059968e+00;3.566866e-01;-2.535552e-01;3.237335e+00
4;0.080000;-2.788859e+00;-1.904407e+00;7.826427e+00;-2.627242e+00;-9.132153e+00;-7.804401e-01;-5.264380e+00;-3.438101e-01;-8.132861e-01;-6.916490e+00;7.136614e+00;-1.210614e+00;1.806284e+00;4.779289e+00
5;0.100000;-2.581970e+00;-2.971266e+00;6.829545e+00;-2.261543e+00;-9.647587e+00;-1.107571e+00;-3.919656e+00;-1.396263e+00;-2.489898e-01;-6.473802e+00;7.188313e+00;-1.299362e+00;1.150703e+00;5.576973e+00
6;0.120000;-1.210576e+00;-2.274874e+00;4.743151e+00;-7.572081e-01;-8.917440e+00;-2.176207e+00;-3.545424e+00;-3.149687e+00;1.313896e-01;-6.146925e+00;4.673968e+00;-5.199046e-01;-5.848984e-01;4.611588e+00
7;0.140000;-3.980646e-01;-1.892545e+00;4.241475e+00;-1.479596e+00;-5.485834e+00;-3.950574e+00;-4.209684e+00;-2.331274e+00;1.598987e+00;-7.158191e+00;1.396215e+00;1.655458e+00;-2.510275e+00;2.644981e+00
8;0.160000;-5.445676e-01;-2.988124e+00;7.699702e+00;-3.101904e+00;-3.272371e+00;-3.146494e+00;-6.166157e+00;-2.199631e-01;-3.244922e-01;-6.131741e+00;1.495352e+00;2.381687e+00;-2.851921e+00;1.870819e+00
9;0.180000;-2.498970e-01;-3.147359e+00;7.150705e+00;-4.943271e+00;-2.852886e+00;-4.194815e+00;-7.459414e+00;1.959543e+00;1.026158e+00;-4.773115e+00;3.068324e+00;2.050420e+00;-2.472075e-01;2.854591e+00
10;0.200000;-1.231966e-01;-1.258939e+00;1.848454e+00;-6.258699e+00;-1.286845e+00;-3.331877e+00;-6.693196e+00;5.657888e+00;3.931839e+00;-3.319142e+00;2.357597e+00;-1.388845e-01;1.016538e+00;3.765892e+00
11;0.220000;2.079906e-01;-9.935474e-02;-1.445198e+00;-4.810385e+00;1.124200e+00;-9.554428e-01;-4.996865e+00;6.899836e+00;4.368363e+00;-2.144700e+00;5.262041e-02;-2.956530e+00;-6.446494e-01;3.113976e+00
12;0.240000;1.786843e+00;7.005711e-01;-2.541366e+00;-6.380239e-01;3.401435e+00;2.905340e-01;-3.843852e+00;1.596533e+00;-1.072721e+00;-2.833004e+00;1.142160e+00;-5.812382e+00;-2.515190e+00;1.403221e+00
13;0.260000;3.230272e+00;8.161917e-01;-3.731266e+00;3.537490e+00;5.520557e+00;-4.037433e+00;1.305618e+00;-4.027043e+00;-8.785166e+00;-3.671994e-01;3.892677e+00;-8.228578e+00;1.043468e+00;4.156723e-01
14;0.280000;3.002584e+00;3.545485e-01;-4.644858e+00;3.902472e+00;5.739910e+00;-5.021578e+00;3.766068e+00;-2.702724e+00;-1.024455e+01;3.326068e-01;3.691777e+00;-9.252886e+00;2.136497e+00;5.633087e-01
15;0.300000;3.024374e+00;-1.121650e-01;-6.059170e+00;2.270164e+00;4.451803e+00;-1.679035e+00;3.346930e+00;2.292061e-02;-8.577171e+00;-5.052638e-01;3.281668e+00;-1.000337e+01;1.149114e+00;1.405548e+00
16;0.320000;2.817962e+00;1.419321e+00;-7.488719e+00;2.198267e-02;3.430342e+00;5.607214e-01;2.385380e+00;1.332872e+00;-3.808318e+00;-2.478425e+00;2.891547e+00;-8.527429e+00;1.949521e-01;1.456573e+00
17;0.340000;1.745804e+00;3.728247e+00;-7.214868e+00;-1.510795e+00;3.972318e+00;1.218944e-01;1.076664e+00;2.317357e+00;2.013962e+00;-3.439931e+00;1.386880e+00;-4.472375e+00;1.617483e+00;-2.425232e-01
18;0.360000;1.220976e+00;3.520750e+00;-3.745188e+00;1.262696e+00;2.422169e+00;-1.660343e+00;2.872736e+00;-4.808464e-01;2.968298e+00;1.161915e+00;-1.936202e+00;-2.971550e+00;2.853683e+00;-2.327538e+00
19;0.380000;1.793354e+00;3.258236e+00;-2.540813e+00;5.250363e+00;2.324279e+00;-3.842469e+00;5.188606e+00;-4.441298e+00;2.064642e+00;5.936862e+00;-6.287425e+00;-9.206724e-02;5.396421e+00;-4.036575e+00
20;0.400000;1.185956e+00;1.967257e+00;-2.422676e+00;8.106688e+00;3.286016e+00;-5.953313e+00;5.724236e+00;-3.597508e+00;2.729682e+00;4.848797e+00;-8.438366e+00;5.061852e+00;6.158206e+00;-4.741516e+00
21;0.420000;-2.428770e-02;-4.448247e-01;-3.557148e+00;3.263845e+00;7.068109e+00;-3.278811e+00;3.483630e+00;-2.800570e-01;4.736289e+00;2.508391e+00;-7.911399e+00;7.830592e+00;1.584651e+00;-3.437859e+00
22;0.440000;3.380075e-01;-6.907535e-01;-5.562967e+00;-8.523543e-01;8.261280e+00;-2.778861e+00;1.504264e+00;-1.241509e+00;5.224915e+00;5.987314e+00;-4.851853e+00;7.898398e+00;-1.026633e+00;-2.279488e+00
23;0.460000;2.451617e+00;-2.046108e-03;-7.881986e+00;-2.624530e+00;9.534679e+00;-3.317900e+00;-3.823776e-01;-2.811822e+00;2.400148e+00;7.538946e+00;-1.033993e+00;7.080611e+00;-2.494053e+00;-2.468323e+00
24;0.480000;4.743526e+00;7.121658e-01;-8.757673e+00;-2.483220e+00;8.825356e+00;-5.283621e+00;-1.327581e+00;-3.531470e+00;-3.321819e+00;7.054874e+00;8.928723e-01;5.744852e+00;-3.853631e+00;-2.224884e+00
25;0.500000;4.998433e+00;5.044012e-01;-6.412871e+00;-2.504399e+00;6.363719e+00;-4.796217e+00;-2.791287e+00;-3.215935e+00;-4.406525e+00;4.678593e+00;9.649954e-01;4.848149e+00;-6.332586e+00;-1.066978e+00
26;0.520000;3.763305e+00;-4.372320e-01;-3.176058e+00;-6.929820e-01;4.541149e-01;-2.945850e+00;-4.619083e-01;-9.111528e-01;-5.382633e+00;1.772754e+00;2.986926e+00;1.946278e+00;-7.568612e+00;-2.440948e-01
27;0.540000;2.437989e+00;-2.212176e-01;-1.209157e+00;1.413059e+00;-4.399864e+00;-9.447494e-01;3.990093e+00;5.321465e-01;-3.675023e+00;2.711148e-01;2.745478e+00;-6.026793e-02;-5.598453e+00;-1.445694e-01
28;0.560000;1.302189e+00;6.567268e-01;5.944571e-01;1.079660e+00;-5.923307e+00;3.014419e-01;4.578306e+00;-2.366552e-01;-3.442016e-01;1.937499e-01;5.999069e-01;-9.259701e-01;-2.450650e+00;-1.793594e-01
29;0.580000;-1.336909e+00;1.303327e+00;2.001849e+00;-7.688360e-01;-4.629826e+00;3.169899e+00;1.500665e+00;-1.555595e+00;3.750905e+00;1.782640e+00;-2.177589e+00;-2.417315e+00;5.298771e-01;-3.890381e-01
30;0.600000;-3.942189e+00;8.002481e-01;2.638985e+00;1.149353e+00;-1.916000e+00;6.647656e+00;1.733877e+00;3.095675e-01;4.629742e+00;3.547629e+00;-1.085056e+00;-2.111172e+00;1.549731e+00;-1.376297e+00
31;0.620000;-4.357372e+00;9.140272e-01;3.204093e+00;1.111280e+00;-2.789536e-01;9.345925e+00;3.232038e+00;-5.223751e-02;3.834870e+00;4.413819e+00;-4.124341e-01;-6.076994e-01;1.455867e+00;-2.073227e+00
32;0.640000;-3.948697e+00;8.643084e-01;2.936141e+00;1.895517e+00;1.112682e+00;1.063762e+01;4.469139e+00;-1.427380e+00;3.082767e+00;3.738869e+00;-2.019126e+00;1.177996e+00;2.659336e+00;-2.903442e+00
33;0.660000;-3.402052e+00;5.273857e-01;2.054358e+00;5.246867e+00;2.576598e+00;9.308657e+00;5.455047e+00;-7.073116e-01;3.121519e+00;1.828586e+00;-4.682481e+00;3.748129e+00;2.337546e+00;-4.384544e+00
34;0.680000;-3.322268e+00;-2.895412e-01;1.297194e+00;8.335371e+00;5.291630e+00;6.156126e+00;6.384697e+00;1.026372e+00;5.370965e+00;2.084937e+00;-9.015860e+00;4.928498e+00;2.550249e+00;-6.644554e+00
35;0.700000;-4.012717e+00;-2.121497e+00;-8.403482e-01;8.328094e+00;7.588923e+00;4.784598e+00;1.047812e+01;4.406072e+00;6.695317e+00;8.096323e+00;-1.178270e+01;3.785789e+00;1.630353e+00;-8.910797e+00
