frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.267398e+00;8.522927e+00;3.730181e-02;-3.317874e+00;3.074398e+00;1.231768e+01;-5.622299e+00;-1.234253e+01;-6.328689e+00;-3.792591e+00;1.091404e+01;3.503688e+00;-6.044955e+00;-6.324112e+00
1;0.020000;1.617749e+00;1.191424e+01;-2.686067e+00;-1.478264e+00;5.708353e+00;1.084118e+01;-2.752195e+00;-1.467091e+01;-4.424888e+00;-2.229608e+00;9.320075e+00;6.728855e+00;-6.773683e+00;-5.260773e+00
2;0.040000;-3.298623e+00;1.442169e+01;-4.597973e+00;2.912466e+00;8.239535e+00;7.696286e+00;-1.499859e+00;-1.256211e+01;-4.304662e+00;-3.612721e+00;9.070730e+00;8.075887e+00;-6.858338e+00;-5.847809e+00
3;0.060000;-5.228224e+00;1.339098e+01;-4.281418e+00;3.805038e+00;5.400112e+00;6.984719e+00;-2.260340e+00;-1.201689e+01;-8.623788e-01;-3.276908e+00;9.176336e+00;5.934052e+00;-5.468752e+00;-4.508026e+00
4;0.080000;-2.821681e+00;8.508216e+00;-4.217244e+00;-2.405835e+00;8.079786e-01;1.179229e+01;-7.804762e+00;-1.529677e+01;1.826049e+00;-1.726566e+00;1.007217e+01;3.107374e+00;-3.478462e+00;-2.298737e-01
5;0.100000;-8.964195e-01;3.938104e+00;-4.499101e+00;-5.924777e+00;-2.732491e+00;1.378774e+01;-1.292204e+01;-1.211458e+01;-1.167666e-01;-6.195498e-02;9.695809e+00;1.088640e+00;-3.541172e+00;2.602272e+00
6;0.120000;-9.821224e-01;1.739007e+00;-5.542805e+00;-8.950752e+00;-4.727745e+00;1.354070e+01;-1.427787e+01;-8.679629e+00;-2.278669e+00;1.158612e+00;7.548610e+00;2.746859e-01;-5.578346e+00;3.568054e+00
7;0.140000;-3.655505e-01;1.902969e+00;-5.139472e+00;-9.191711e+00;-4.378506e+00;1.345817e+01;-1.212460e+01;-6.902119e+00;-3.368293e+00;9.256115e-01;7.143402e+00;1.350532e+00;-6.590227e+00;3.700356e+00
8;0.160000;1.005783e+00;3.526794e+00;-3.711065e+00;-7.846123e+00;-2.712223e+00;1.334289e+01;-9.858017e+00;-6.389140e+00;-4.450643e+00;3.636653e-01;7.298361e+00;2.986625e+00;-7.479821e+00;1.753845e+00
9;0.180000;2.770885e+00;4.468362e+00;-1.511659e+00;-7.421561e+00;-1.507068e+00;1.312064e+01;-7.056093e+00;-5.200789e+00;-3.911944e+00;-7.641826e-01;8.028306e+00;5.839324e+00;-7.970443e+00;-2.991241e+00
