frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.687822e+00;1.102602e+01;2.122190e+00;4.396636e+00;9.565146e-01;5.455421e+00;-2.792034e+00;-1.325367e+00;-6.376360e+00;-4.440215e+00;-7.868737e+00;2.415899e+00;-3.303256e-01;-6.145409e+00
1;0.050000;2.870060e+00;5.731015e+00;7.441259e+00;4.535265e-01;1.174491e+00;1.114195e+01;3.198171e+00;-1.991500e+00;6.002720e-01;-8.174785e+00;3.362350e+00;5.063305e-01;-1.894672e+00;-7.622551e+00
2;0.100000;4.236213e+00;2.549160e+00;3.030351e+00;-1.952454e+00;3.227916e-01;1.024220e+01;-2.307734e+00;-2.489120e+00;-5.995687e-01;-6.681893e+00;8.103685e+00;3.177440e+00;-2.175656e+00;-3.592148e+00
3;0.150000;2.339558e+00;-2.145705e+00;8.478756e-01;-1.405291e+00;1.305708e+00;5.337238e+00;-9.299049e+00;-1.612840e+00;-2.783928e+00;-4.461987e+00;7.264399e+00;3.645051e+00;6.235609e-01;6.414413e-01
4;0.200000;-3.441925e-01;-4.029350e+00;1.488323e+00;-2.115860e-01;5.906224e-01;9.204454e-01;-1.045404e+01;-1.698595e+00;-4.821723e+00;-1.521760e+00;6.113829e+00;2.110059e+00;3.778995e+00;2.167625e+00
5;0.250000;-2.049834e+00;-1.654465e+00;4.359597e+00;5.591741e-01;6.150484e-02;-4.725684e+00;-6.784508e+00;-3.723213e+00;-3.890027e+00;-5.131295e-01;1.890573e+00;-2.903361e-01;3.388265e+00;8.280182e-01
6;0.300000;-6.423148e+00;8.723437e+00;4.753081e+00;1.296982e+00;-1.421622e+00;-9.051299e+00;3.363668e+00;-7.912620e+00;3.078980e-01;-1.496869e+00;-1.967816e+00;7.767491e-01;-5.503268e-01;-1.074692e+00
7;0.350000;-9.969850e+00;8.793997e+00;7.752886e-01;3.058425e+00;6.229486e-01;-9.835095e+00;2.237039e+00;-8.492820e+00;2.517477e+00;1.341089e+00;3.365509e+00;1.502122e+00;-3.114540e+00;8.307419e-01
8;0.400000;-7.638429e+00;7.891149e+00;-2.670453e+00;2.014361e+00;1.433973e+00;-8.649138e+00;2.328220e+00;-6.843692e+00;4.521789e+00;8.936179e-01;7.401934e-01;-1.802173e+00;-5.315014e+00;2.343254e+00
9;0.450000;-9.609842e-01;1.978776e+00;-9.924485e+00;-3.103633e-01;2.110769e+00;-3.678546e+00;7.142274e+00;-7.319231e-01;8.212079e+00;-2.310566e+00;-6.585793e+00;-3.980183e+00;-3.611830e+00;2.640610e+00
10;0.500000;3.658971e+00;-9.573602e+00;-7.047482e+00;-3.020317e+00;-3.850355e-01;2.472314e+00;3.702920e+00;9.846182e+00;3.817352e+00;1.881788e+00;-7.887887e+00;-5.357463e+00;2.914868e+00;4.158569e+00
11;0.550000;2.449397e+00;-1.103208e+01;-6.775117e+00;-3.476138e+00;-2.604224e+00;1.746312e+00;2.939107e+00;1.224759e+01;2.582891e+00;3.581751e+00;-8.655688e+00;-2.388123e+00;4.058616e+00;5.743073e+00
12;0.600000;2.423431e+00;-8.403398e+00;-3.701430e+00;-1.431462e+00;-3.913934e+00;-7.949514e-01;2.987966e+00;1.143568e+01;2.122605e+00;3.125866e+00;-8.108439e+00;4.273710e-01;2.621779e+00;5.008331e+00
13;0.650000;2.900995e+00;-4.918655e+00;3.982854e-01;4.470291e-01;-4.316362e+00;-2.220658e+00;3.187545e+00;9.200161e+00;2.135493e+00;3.879624e+00;-2.904686e+00;2.327347e+00;-2.845473e-01;1.898323e+00
14;0.700000;4.266401e+00;-2.989589e+00;1.559242e+00;9.376197e-01;-8.084044e-01;9.496708e-01;1.691347e+00;5.179982e-01;-1.735933e+00;6.703180e+00;5.574528e+00;8.649907e-01;-1.695753e+00;-2.683670e+00
15;0.750000;4.929240e+00;-1.946705e+00;3.343475e+00;-1.356154e+00;4.870269e+00;6.898251e-01;-1.140890e+00;-6.425913e+00;-6.610316e+00;8.194292e+00;7.563962e+00;-3.935079e+00;1.586586e+00;-5.141304e+00
