frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.030563e+00;1.937279e+00;3.808854e+00;4.242859e-01;4.452267e+00;7.100825e-01;3.912853e+00;-1.770020e-02;-3.135404e+00;3.471534e+00;-9.601884e-01;-2.039673e+00;-9.623915e+00;-5.055359e+00
1;0.050000;4.091839e+00;-5.301408e+00;-2.719156e+00;-6.150532e-01;3.916414e+00;1.424046e+00;5.218427e+00;2.970743e+00;7.515174e-01;2.030919e+00;6.544715e+00;-6.960184e+00;2.946815e-01;-1.302559e+00
2;0.100000;1.096780e+00;-8.140335e+00;-5.893974e+00;1.214434e+00;8.064270e-03;4.255740e+00;4.249636e+00;1.525742e+00;2.539266e+00;-3.138525e+00;4.220961e+00;-1.095627e+01;5.937243e+00;1.497581e+00
3;0.150000;7.819557e-02;-5.354479e+00;-5.402227e+00;3.075307e+00;-1.342122e+00;4.955827e+00;2.790434e+00;1.450163e+00;2.117867e+00;-4.354086e+00;-1.849311e+00;-1.123108e+01;5.935269e+00;2.669983e+00
4;0.200000;-2.673237e+00;4.366683e+00;-4.646915e+00;2.765284e+00;1.797001e+00;-1.926129e+00;3.285439e+00;-4.908867e-01;6.095341e-01;1.080434e+00;-1.201153e+01;-3.445965e+00;6.023579e-01;2.468407e+00
5;0.250000;-8.601219e+00;1.641435e+01;-4.336433e-01;4.048140e+00;7.370279e+00;-7.307552e+00;3.773245e+00;3.167588e+00;6.099467e-01;3.030915e+00;-1.059686e+01;2.525292e+00;-3.566803e+00;7.849197e-01
6;0.300000;-1.413154e+01;1.956749e+01;8.787516e+00;1.084527e+01;8.991592e+00;-7.921352e+00;6.671505e+00;4.487955e+00;-1.742982e+00;5.879353e+00;-2.656150e+00;8.686617e+00;-4.633285e+00;-1.290802e+00
7;0.350000;-9.865993e+00;1.799745e+01;1.995912e+00;2.046666e+00;4.141445e+00;-8.177107e+00;4.621943e+00;-1.918406e+00;-7.657026e+00;7.946117e+00;4.295601e+00;1.535204e+01;-2.925143e+00;-1.160156e+00
8;0.400000;-1.460283e+00;1.257831e+01;-1.991114e+00;-5.387025e+00;-1.643677e+00;-6.246114e+00;1.877163e+00;-3.362328e+00;-1.006135e+01;5.716030e+00;1.389268e+00;1.178149e+01;-8.335223e-01;-1.980507e+00
9;0.450000;4.480314e+00;2.392704e+00;4.518929e+00;-5.667426e+00;-1.113636e+01;1.850176e-02;-2.524867e+00;4.142971e-01;-6.567183e+00;1.046339e+00;2.553024e-01;7.670122e+00;5.567784e-01;-2.786842e+00
10;0.500000;5.258845e+00;-1.798749e+00;5.575130e+00;-2.584409e+00;-1.775732e+01;6.222856e-01;-6.404222e+00;-4.344139e-01;1.711153e+00;-2.703861e+00;2.545938e+00;4.064404e+00;-2.959757e+00;-2.792328e+00
11;0.550000;4.929859e+00;-6.137167e+00;1.400335e+00;-1.833455e+00;-1.210212e+01;3.309003e+00;-1.054928e+01;-4.715860e+00;2.597786e+00;-4.120359e-01;5.258186e+00;2.264804e+00;-4.189746e+00;-6.820679e-01
12;0.600000;4.294195e+00;-1.028757e+01;-1.071503e+00;-3.499721e+00;-2.064672e+00;5.628620e+00;-8.727629e+00;-1.030647e+00;3.679640e+00;-1.911748e+00;6.409311e-02;-2.817291e+00;-2.407002e-01;2.240372e+00
13;0.650000;3.546737e+00;-1.289249e+01;-1.693592e+00;-4.849029e+00;3.195118e+00;4.068396e+00;-7.711296e+00;-2.393175e+00;3.391921e+00;-4.841663e+00;-1.542145e+00;-6.160706e+00;1.373477e+00;3.294563e+00
14;0.700000;3.273735e+00;-1.275742e+01;-6.099653e-01;-1.738328e+00;7.996506e+00;4.860250e+00;-2.350510e+00;-1.000523e+00;5.668573e+00;-5.316557e+00;2.405939e+00;-4.957144e+00;6.013629e+00;2.671623e+00
15;0.750000;1.651221e+00;-1.258465e+01;-1.624594e+00;1.755061e+00;4.177572e+00;1.725505e+00;1.867161e+00;1.347439e+00;5.486741e+00;-7.523159e+00;2.636179e+00;-3.776457e+00;8.259442e+00;1.423096e+00
