frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.047068e+00;1.030488e+00;-9.979055e+00;5.299663e+00;-3.506927e-01;6.986203e+00;7.622528e-02;2.307556e+00;4.261287e+00;-1.293823e+01;-5.964537e+00;-2.265312e+00;9.468945e+00;1.046951e+00
1;0.050000;-1.301414e+00;-2.143608e+00;-8.395815e+00;3.213869e+00;7.131290e-02;8.480978e+00;-2.551035e+00;2.430014e+00;1.535124e+00;-7.424137e+00;-9.037207e+00;-1.486238e+00;7.936000e+00;3.415207e+00
2;0.100000;-6.350145e-01;-1.567527e+00;-7.580069e+00;3.436547e+00;-7.180061e-01;8.514492e+00;-3.122639e+00;1.187021e+00;2.501721e+00;-3.512311e+00;-8.575661e+00;-2.472802e+00;5.787865e+00;3.046021e+00
3;0.150000;4.004898e-01;6.890206e-01;-5.375607e+00;2.021713e+00;9.676962e-01;3.661547e+00;-2.641943e+00;-3.780831e+00;4.996764e+00;2.066489e+00;-7.319805e+00;-1.700011e+00;6.870451e-01;1.649101e+00
4;0.200000;2.691975e-01;2.801555e+00;-3.653892e+00;8.855610e-01;2.803348e+00;1.548732e+00;-3.550495e+00;-6.199676e+00;5.444545e+00;4.814168e+00;-6.235893e+00;2.954698e-02;-6.413870e-01;1.277634e+00
5;0.250000;6.572876e-01;2.857449e+00;-3.101661e+00;-8.631744e-01;2.228881e+00;-1.060621e+00;-4.908701e+00;-2.080529e+00;6.399926e+00;5.147070e+00;-4.368706e+00;-9.318109e-01;-6.355529e-01;8.887482e-01
6;0.300000;1.417181e+00;8.397493e-01;-1.174646e+00;-4.491043e+00;2.194211e+00;-2.635893e+00;-5.130142e+00;4.168812e+00;6.378958e+00;6.356688e+00;-4.140171e+00;-2.023712e+00;-1.742006e+00;8.296585e-01
7;0.350000;2.586103e+00;2.274961e-01;4.265442e-01;-5.668188e+00;2.433836e+00;-2.361115e+00;-4.396122e+00;5.220919e+00;2.009930e+00;8.411755e+00;-5.225700e+00;-1.126698e+00;-3.864545e+00;-2.278366e-01
8;0.400000;4.719206e+00;1.018494e+00;-7.925410e-01;-4.494522e+00;4.201391e+00;5.124571e-01;-5.169535e-01;2.028641e+00;-5.988470e+00;8.886413e+00;5.645676e-01;7.695639e-01;-3.821078e+00;-1.903503e+00
9;0.450000;3.830472e+00;-2.401947e+00;-1.416942e+00;-6.860874e+00;6.924692e+00;3.928159e+00;7.843933e-01;1.079849e+00;-5.094325e+00;4.953984e+00;2.020127e+00;3.270989e+00;-4.037876e+00;-4.498901e-01
10;0.500000;2.241006e+00;-6.724508e+00;7.379363e-01;-6.838491e+00;2.477647e+00;-9.414430e-01;2.782891e+00;2.094469e-01;-3.903323e+00;2.263572e+00;1.382590e+00;4.390630e+00;-3.823300e+00;2.109360e+00
11;0.550000;1.585036e+00;-7.705676e+00;4.371771e+00;-5.063133e+00;-3.966373e+00;-6.993586e+00;3.732120e+00;-1.695057e+00;-6.979798e+00;5.704789e-01;1.280479e+00;4.407037e+00;-2.322210e+00;2.482368e+00
12;0.600000;1.005543e+00;-4.386274e+00;7.586037e+00;-1.342815e+00;-8.459333e+00;-9.022914e+00;5.132177e+00;-3.050447e+00;-7.358362e+00;-1.685242e+00;5.190698e+00;9.290419e-01;-4.875245e-01;8.131866e-01
13;0.650000;-2.110030e+00;2.581917e+00;8.050468e+00;3.648200e+00;-9.164965e+00;-6.615525e+00;4.046690e+00;-3.371564e+00;-3.479378e+00;-4.926819e+00;1.092524e+01;-3.025497e+00;-2.533092e-01;-1.603439e+00
14;0.700000;-6.067157e+00;6.339397e+00;9.219571e+00;6.639472e+00;-3.071671e+00;-3.291098e+00;3.740332e+00;-4.127874e-01;-3.388605e-01;-6.165252e+00;1.471358e+01;-1.963532e-01;-1.351893e+00;-4.839767e+00
15;0.750000;-6.550846e+00;6.543973e+00;1.107790e+01;1.047725e+01;1.428028e+00;-7.103763e-01;6.523201e+00;1.958638e+00;-3.857422e-01;-6.818628e+00;1.479038e+01;1.431631e+00;-8.991776e-01;-8.533745e+00
