frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-7.475951e+00;4.458231e+00;-1.814287e+01;1.341839e+01;-2.597768e+00;9.638981e+00;9.237762e+00;-5.695081e+00;-1.825792e+00;-4.809437e+00;-5.315544e+00;1.054630e+01;7.901453e-01;-2.437660e+00
1;0.050000;-4.280315e+00;-1.908054e+00;-1.442174e+01;9.195095e+00;-5.781107e-01;8.821431e+00;5.322221e+00;-6.158332e+00;-4.810699e+00;-3.704940e+00;-7.374090e+00;8.357804e+00;2.518253e+00;2.849243e+00
2;0.100000;3.448973e-01;-4.445420e+00;-7.884000e+00;7.555885e+00;5.516192e+00;1.196998e+01;7.606020e+00;-4.996222e-01;-8.494110e-01;2.268270e+00;-3.822029e+00;1.073657e+01;6.850091e+00;3.565521e+00
3;0.150000;3.591088e+00;-9.044847e+00;-5.230277e+00;-2.499893e+00;7.138143e+00;9.322004e+00;-3.760457e-01;2.145964e+00;-1.930292e+00;2.864116e+00;-4.185059e+00;5.294028e+00;6.859433e+00;3.382721e-01
4;0.200000;4.546457e+00;-1.360992e+01;-3.981222e+00;-7.652506e+00;6.210653e+00;1.513859e+01;-1.510715e+01;1.151510e+01;-8.990629e+00;4.316948e+00;-6.055147e+00;2.789232e+00;8.415448e+00;2.645645e-01
5;0.250000;3.672029e+00;-1.631667e+01;-2.322813e+00;-7.601303e+00;4.859985e+00;1.365618e+01;-1.755088e+01;1.237558e+01;-1.223462e+01;5.301600e+00;-7.003580e+00;5.078891e+00;8.129315e+00;2.655518e+00
6;0.300000;4.407777e+00;-1.135523e+01;5.109863e-01;-6.976469e+00;7.726148e+00;6.342868e+00;-6.756987e+00;1.015960e+01;-5.410955e+00;7.445370e+00;-5.730940e+00;9.049847e+00;5.137059e+00;3.686554e+00
7;0.350000;3.984708e+00;-4.824639e+00;3.321792e+00;-3.520575e+00;3.615763e+00;-7.285383e+00;1.519912e+01;2.186084e-01;3.151161e+00;5.724833e+00;-9.843807e-01;5.619188e+00;-1.067091e+00;2.910156e+00
8;0.400000;-3.705209e+00;2.890663e+00;5.886474e+00;-5.409725e+00;-6.738462e+00;-1.113624e+01;1.672905e+01;-1.563373e+00;2.110764e+00;5.326338e-01;2.942072e+00;-1.291283e-01;-1.003730e+01;3.014938e+00
9;0.450000;-1.110189e+01;1.228110e+01;1.040569e+01;-8.686674e+00;-7.518188e+00;-8.329933e+00;1.100191e+01;1.874947e+00;-1.741482e+00;-2.754499e+00;7.757144e+00;-4.793212e+00;-9.360839e+00;3.006485e+00
10;0.500000;-1.562384e+01;2.085783e+01;1.835829e+01;-9.217516e+00;-8.078272e+00;-5.709972e+00;5.183774e+00;-4.311116e+00;-2.830698e+00;-6.185015e-01;8.084475e+00;-9.205046e+00;-5.728429e+00;3.609390e-01
11;0.550000;-1.251459e+01;2.221750e+01;2.000060e+01;-3.629618e+00;-3.056223e+00;-6.217890e+00;-5.953651e+00;-1.313325e+01;1.521292e+00;6.348388e+00;8.316626e+00;-1.119280e+01;-1.371198e+00;-6.302414e-01
12;0.600000;-2.088403e+00;1.430437e+01;6.674316e+00;-3.606300e+00;1.519680e-01;-7.195242e+00;-8.853222e+00;-1.125366e+01;5.570743e+00;1.706962e+00;2.479806e+00;-1.066987e+01;-2.813234e+00;-1.714165e+00
13;0.650000;1.202679e+01;4.077969e-01;-1.900772e+00;1.692278e+00;-2.687670e+00;-1.031335e+01;-7.591860e+00;-6.420677e+00;1.042014e+01;-4.851412e+00;-4.932232e-01;-7.721386e+00;-2.616298e+00;-6.498703e+00
14;0.700000;1.445449e+01;-7.479544e+00;-2.211040e+00;8.264623e+00;-2.554632e+00;-1.189702e+01;-5.146078e+00;3.911539e+00;1.017657e+01;-6.974030e+00;3.502816e+00;-5.353633e+00;-3.515022e+00;-6.807388e+00
15;0.750000;9.761969e+00;-8.433176e+00;-9.063407e+00;1.867431e+01;-1.409530e+00;-6.804993e+00;-2.943991e+00;6.833767e+00;7.673903e+00;-1.279630e+01;7.881031e+00;-8.406775e+00;-2.190326e+00;-4.564003e+00
