frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.696583e-01;-6.054731e+00;1.661641e+00;2.068282e+00;-2.226212e+00;-3.312005e+00;-2.291503e+00;1.156898e+01;3.117285e+00;4.230990e-01;1.904943e+00;-2.625921e+00;3.701648e+00;8.715744e-01
1;0.050000;1.456406e+00;-6.768619e+00;4.320297e-01;-3.873496e-01;-6.097603e-02;-1.480655e+00;-3.418540e+00;9.735838e+00;1.006872e+00;1.131725e+00;4.286981e+00;-4.652116e+00;4.029369e+00;2.823830e+00
2;0.100000;3.206079e+00;-7.243389e+00;-5.941963e-02;-3.842109e+00;1.702862e+00;1.996548e+00;-1.152102e+00;5.121538e+00;-1.851589e+00;2.521515e+00;5.061575e+00;-5.694304e+00;3.163580e+00;2.005394e+00
3;0.150000;5.035802e+00;-7.030939e+00;3.494339e-01;-6.433989e+00;1.808335e+00;5.573113e+00;2.693760e+00;5.754914e-01;-1.270144e+00;5.830441e+00;3.941759e+00;-4.033955e+00;-1.241611e+00;-2.956848e-01
4;0.200000;4.746056e+00;-5.752272e+00;-4.724216e-01;-3.563601e+00;1.226022e+00;7.098919e+00;4.092893e+00;-3.833761e-01;1.328084e+00;8.010266e+00;2.014056e+00;-1.321304e+00;-4.838863e+00;-4.731842e+00
5;0.250000;4.924582e+00;-2.005047e+00;-2.093315e-02;-3.099090e+00;2.353558e+00;2.517077e+00;-3.731072e+00;2.273884e+00;-8.214635e+00;-1.116304e+00;3.109464e+00;2.400392e+00;-2.159579e+00;-4.503510e+00
6;0.300000;2.459799e+00;-2.958139e+00;9.864988e-01;-4.500270e-01;2.727797e+00;-1.578801e+00;-6.818644e+00;2.431051e+00;-5.834489e+00;-4.638108e+00;4.689320e+00;3.794012e-01;-2.111797e-01;1.904655e+00
7;0.350000;-1.189885e+00;-1.265359e+00;4.250240e-01;1.900520e+00;1.482752e+00;-4.838047e+00;-6.470814e+00;6.008701e-01;-3.015141e+00;-4.639560e+00;2.178260e+00;7.689676e-01;-9.029641e-01;4.267609e+00
8;0.400000;-4.067183e+00;1.164899e+00;-5.159283e-02;4.268165e+00;2.898922e-01;-7.430132e+00;-5.716082e+00;-1.005075e+00;-3.490782e-01;-4.905838e+00;-1.503590e+00;1.159144e+00;-6.889563e-01;2.535767e+00
9;0.450000;-2.531986e+00;3.947921e+00;-1.481402e+00;6.449668e+00;1.602406e+00;-6.010783e+00;-3.383545e+00;-2.792043e+00;2.657543e+00;-2.862704e+00;-3.819200e+00;1.789088e+00;9.224672e-01;-6.173782e-01
10;0.500000;1.910238e+00;3.471491e+00;-1.570312e+00;5.126438e+00;-4.014943e+00;-2.160959e+00;3.138581e+00;-2.980167e+00;4.282429e+00;-1.670432e-01;-6.287346e+00;-3.018711e+00;1.209502e+00;-3.943443e+00
11;0.550000;4.778089e+00;3.852771e+00;1.276015e+00;1.471255e+00;-8.956624e+00;6.828406e+00;9.949516e+00;-4.762248e+00;8.287802e-01;-1.898595e+00;-4.042676e+00;-7.483150e+00;2.149972e+00;-4.885132e+00
12;0.600000;1.455652e+00;6.234568e+00;-2.126453e+00;-3.397648e+00;-9.295769e-01;6.524156e+00;6.979192e+00;-7.138823e+00;-1.929759e+00;2.150217e+00;-1.214961e+00;-1.645408e+00;-2.057189e+00;-2.297112e+00
13;0.650000;-4.457309e+00;8.812328e+00;-3.623924e+00;-3.582690e+00;3.641050e+00;4.723101e+00;3.465010e+00;-8.031573e+00;1.083102e+00;2.234081e+00;-4.780517e-01;5.502807e+00;-3.376302e+00;7.574158e-01
14;0.700000;-9.370043e+00;6.959054e+00;-1.214352e-01;1.031684e+00;3.480713e+00;-7.562008e-01;1.058849e+00;-5.255130e+00;3.683466e+00;2.317996e-01;-2.845023e+00;1.005112e+01;-1.055225e+00;2.159279e+00
15;0.750000;-8.925962e+00;4.635460e+00;4.397233e+00;2.440490e+00;-4.127070e+00;-7.693737e+00;1.604503e+00;4.076719e-02;4.477262e+00;-2.305000e+00;-6.995508e+00;8.423944e+00;1.355327e+00;3.948502e+00
