frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.092889e+00;2.447009e+00;-3.356748e+00;3.353622e+00;-6.080769e+00;-7.649856e+00;6.480217e-03;-2.000746e+00;2.692091e+00;9.737682e-02;-5.695553e-01;5.876318e-01;-4.001504e+00;4.761200e-01
1;0.050000;-5.773438e+00;1.208137e+00;-6.975174e-03;4.583996e+00;3.791618e-01;-3.962040e+00;-1.829922e+00;-6.474976e+00;-4.665527e-01;2.642723e+00;2.462427e+00;-1.037966e+00;-6.230010e+00;2.923660e-01
2;0.100000;-5.896898e+00;1.739573e-02;-6.377702e-01;-2.438598e-01;9.248110e+00;-5.683233e+00;1.405849e-01;-6.147394e-01;-9.647136e-01;1.695257e+00;1.923237e+00;-2.747079e+00;-3.044898e+00;4.715652e-01
3;0.150000;-7.410543e+00;1.471352e+00;-7.384782e-01;-3.210087e+00;8.243968e+00;-8.822553e+00;-8.697376e-01;7.639170e-02;-1.838281e+00;-1.853551e+00;-6.787322e-01;-5.336569e+00;-3.009822e+00;1.961571e+00
4;0.200000;-6.249329e+00;4.144797e+00;8.741331e-01;-3.458696e+00;3.642327e+00;-1.086811e+01;-3.833534e+00;-4.642688e+00;-3.955628e+00;-1.833763e+00;-1.442078e+00;-6.524934e+00;-2.360296e+00;1.803604e+00
5;0.250000;-5.776783e+00;7.550817e+00;5.939384e-01;-2.676115e-01;-5.302442e+00;-9.643219e+00;2.142982e-01;-9.063327e+00;-8.089273e+00;-2.204171e+00;4.937572e-01;-6.583823e+00;-3.951674e+00;-4.073334e-02
6;0.300000;-6.500772e+00;6.054556e+00;-8.200204e-01;3.989313e+00;-1.934553e+00;-6.553662e+00;1.761649e+00;-6.540300e+00;-7.352190e+00;-7.194076e-01;4.301033e+00;-5.181993e+00;-4.214755e+00;-2.480774e-01
7;0.350000;-4.104593e+00;-4.688768e-01;-8.194518e-01;1.057730e+00;2.976703e+00;-4.117343e+00;-2.705627e+00;-2.417315e+00;-8.760782e+00;1.009723e+00;6.709800e+00;-2.745234e+00;8.630068e-01;2.390930e+00
8;0.400000;2.038994e-01;-1.899813e+00;2.480674e-02;-2.432587e+00;3.262767e+00;-2.476537e+00;-2.116163e+00;1.849116e+00;-9.982801e+00;3.340032e+00;6.461588e+00;4.777569e-01;3.792423e+00;3.241768e+00
9;0.450000;4.950691e+00;1.166529e+00;3.308764e-01;-2.557003e+00;4.617809e+00;1.053180e+00;3.030651e+00;5.511332e+00;-8.164593e+00;4.408878e+00;6.403427e+00;2.387235e+00;5.622973e+00;4.001465e-01
10;0.500000;8.195101e+00;1.455069e-02;5.156898e+00;-1.298138e+00;3.433056e-01;1.087552e+01;3.380030e+00;3.225647e+00;4.840922e+00;1.472972e+00;-2.094037e+00;7.936871e+00;4.144489e+00;-4.329262e+00
11;0.550000;2.280551e+00;-8.260196e+00;4.124303e+00;5.540089e+00;-1.912903e+00;1.566507e+01;-2.808613e+00;5.750475e-01;1.287861e+01;1.449191e+00;-2.562628e+00;9.920815e+00;5.866594e-01;-1.956711e-01
12;0.600000;2.065461e+00;-9.797997e+00;1.171446e-01;2.687216e-01;-5.797987e+00;1.225905e+01;-5.122974e+00;-5.682869e-01;9.683084e+00;-2.110914e+00;-5.763284e+00;7.645734e+00;4.931958e-01;3.252487e+00
13;0.650000;4.648411e+00;-7.391196e+00;-9.224153e-02;-1.501697e+00;-6.132801e+00;1.245021e+01;-2.367048e+00;3.238284e+00;1.062453e+01;-2.505395e+00;-6.896235e+00;6.285816e+00;1.831835e+00;2.560051e+00
14;0.700000;9.422610e+00;-1.641944e+00;1.348901e-01;-3.995358e+00;-6.917849e+00;1.018747e+01;1.624488e+00;7.053574e+00;9.510744e+00;-3.930629e+00;-7.954612e+00;1.703421e+00;3.763025e+00;-2.987457e+00
15;0.750000;1.503853e+01;5.384880e+00;-4.885302e+00;1.715651e-01;1.365135e+00;-2.713937e+00;1.149542e+01;1.079297e+01;-6.551671e-01;-9.583101e-01;-7.941079e-01;-6.787678e+00;5.715352e+00;-9.049561e+00
