frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.709663e-01;-7.397414e+00;6.219497e+00;7.477915e+00;3.181956e+00;-2.322384e+00;-3.900766e+00;-7.237170e+00;-9.989021e+00;-4.853131e+00;6.226746e+00;4.421903e+00;1.702196e+00;5.881371e+00
1;0.050000;-3.862213e+00;-1.499494e+00;1.065829e+01;3.541883e+00;-2.713759e+00;-5.389633e+00;-4.073117e+00;-1.386058e+01;-6.416552e+00;-3.436454e+00;6.088234e+00;4.627482e+00;5.435700e+00;4.805626e+00
2;0.100000;-5.855795e+00;-8.352604e-01;1.003260e+01;-5.164433e-01;-7.143554e+00;-5.742443e+00;-1.421884e+00;-1.119993e+01;-5.409036e+00;-5.239707e+00;-1.155185e+00;2.457906e+00;8.084390e+00;5.783890e+00
3;0.150000;-4.850693e+00;-4.442078e+00;4.385964e+00;1.236486e+00;-1.523544e+00;-2.692579e+00;-1.272689e+00;-8.517241e+00;-5.560618e+00;-5.382746e+00;-5.013809e+00;1.135279e+00;7.512941e+00;6.654968e+00
4;0.200000;-1.499886e+00;-7.252997e+00;-2.199605e+00;1.487909e+00;6.909190e+00;3.723653e+00;4.158592e-01;-4.633715e+00;-5.962984e+00;-6.058240e+00;-6.964060e+00;-1.257240e+00;5.532150e+00;6.168343e+00
5;0.250000;2.820232e+00;-7.261651e+00;-5.695064e+00;-2.795242e+00;1.166553e+01;5.610409e+00;-1.672698e+00;-1.704315e+00;-5.722660e+00;-4.861863e+00;-3.996516e+00;2.980661e-01;4.607771e+00;4.909035e+00
6;0.300000;5.022484e+00;-5.429098e+00;-9.245948e+00;-7.081940e+00;9.190201e+00;3.133688e+00;-2.778699e+00;-1.417161e+00;-3.998421e+00;-5.400476e-01;1.875510e+00;2.846641e+00;3.141102e+00;2.675140e+00
7;0.350000;6.822838e+00;-1.088228e+00;-1.081574e+01;-6.323456e+00;8.937490e+00;1.325122e+00;-1.942928e+00;-2.646580e+00;-3.274929e+00;1.823819e+00;4.906775e+00;3.131656e+00;1.282545e+00;-1.088127e+00
8;0.400000;7.852274e+00;3.530043e+00;-1.084201e+01;-2.251907e+00;9.655766e+00;4.398660e+00;5.129242e-02;-3.979007e+00;-5.368443e-01;3.020468e+00;7.885127e+00;1.306566e+00;-6.640418e-01;-6.142227e+00
9;0.450000;6.564369e+00;6.083814e+00;-8.825133e+00;6.433350e+00;9.312220e+00;6.506206e+00;2.147441e+00;-3.175575e+00;1.259694e+00;1.227241e-01;6.631322e+00;-6.786661e-01;-3.933401e+00;-1.148035e+01
10;0.500000;3.343013e+00;6.071318e+00;-3.020655e+00;1.479485e+01;1.068971e+01;4.538638e+00;6.384128e+00;2.312865e+00;5.638852e-01;-4.865438e+00;-1.151903e+00;-3.278655e+00;-5.515604e+00;-1.590829e+01
11;0.550000;6.894999e-01;6.263152e+00;1.061278e+01;-6.828499e-02;-6.680054e+00;2.826469e+00;3.701554e+00;1.238216e+01;9.130808e+00;8.823690e+00;-5.345481e+00;-4.269153e+00;-8.827358e+00;-1.091206e+01
12;0.600000;-3.536705e+00;3.555898e+00;7.573910e+00;-6.866776e+00;-1.619986e+01;7.117090e-01;4.934726e-01;1.339188e+01;6.434715e+00;1.022293e+01;-7.085987e+00;-5.075938e+00;-8.452465e+00;-3.390259e+00
13;0.650000;-4.453821e+00;4.325644e+00;5.593653e+00;-5.175274e+00;-1.525644e+01;1.235955e+00;1.017996e+00;1.341702e+01;1.058201e+01;1.235401e+01;-4.798375e+00;-7.550811e+00;-9.767782e+00;7.678528e-01
14;0.700000;-4.947454e+00;4.713373e+00;9.976597e-01;-2.806652e+00;-1.329069e+01;-7.481621e+00;3.133542e+00;1.125760e+01;1.071198e+01;4.327058e+00;1.985969e+00;-1.133322e+00;-4.300226e+00;3.656090e+00
15;0.750000;-3.137199e+00;6.629658e-01;-5.430200e+00;-1.086380e+00;-6.734165e+00;-1.038184e+01;-2.825046e-01;5.609750e+00;8.187975e+00;-5.457074e+00;-8.836452e-02;3.018292e+00;4.162087e+00;7.618858e+00
