frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.692329e+00;1.497099e+01;-5.279639e+00;7.483835e-01;-3.349943e-01;1.766605e+01;-6.208138e+00;-9.124233e+00;-4.144130e-01;5.351374e-01;9.030218e+00;4.727278e+00;-1.071649e+00;-3.829803e-01
1;0.050000;-4.473412e+00;1.276547e+01;-5.306068e+00;-1.557731e+00;-2.698687e+00;1.961750e+01;-6.247787e+00;-1.055880e+01;4.201591e-02;7.409229e-01;7.628698e+00;5.227779e+00;-4.242716e-01;1.668015e-01
2;0.100000;-6.710553e-01;1.000073e+01;-2.559995e+00;-4.594863e+00;-5.103836e+00;2.189297e+01;-5.074333e+00;-9.411034e+00;-1.302589e+00;2.963018e-02;7.394069e+00;6.084953e+00;1.276780e+00;-1.468063e+00
3;0.150000;2.623195e+00;1.522239e+00;3.562265e+00;2.027095e+00;-4.906653e+00;8.248012e+00;2.036421e+00;1.365608e-01;-5.443275e+00;-4.203277e+00;6.874875e+00;1.095082e+01;1.084456e-01;-4.357338e+00
4;0.200000;2.386443e+00;-4.118328e-01;9.142763e+00;6.446483e+00;-5.150863e+00;-1.012927e+01;4.907507e+00;2.808880e+00;-3.108895e+00;-1.522979e+00;5.066689e+00;6.055974e+00;-3.431680e+00;-2.625320e+00
5;0.250000;3.435668e+00;-2.194456e+00;1.058904e+01;3.559831e+00;-5.018072e+00;-1.385948e+01;6.301621e+00;3.401584e+00;-1.229205e+00;5.831871e-01;4.731539e+00;5.001539e+00;-4.719496e+00;-7.014313e-01
6;0.300000;4.353053e+00;-4.453481e+00;6.624850e+00;1.981924e+00;-3.450477e+00;-1.270817e+01;6.989388e+00;6.208748e+00;1.210543e+00;1.903070e+00;3.346187e+00;2.813414e+00;-2.292232e+00;-3.762589e-01
7;0.350000;5.365888e+00;-7.943939e+00;-3.363939e+00;2.055292e-01;3.232379e+00;-3.994942e+00;7.964610e+00;7.186130e+00;3.080332e+00;3.019872e+00;1.529692e+00;-1.019214e+00;1.809228e+00;-8.380127e-02
8;0.400000;6.008212e+00;-1.057139e+01;-8.406644e+00;-1.436863e+00;1.096869e+01;1.512498e+00;1.261673e+01;3.847165e+00;3.734345e+00;2.283713e+00;-2.128325e+00;-6.188139e+00;1.474169e+00;-4.306793e-01
9;0.450000;4.936808e+00;-1.188005e+01;-5.791724e+00;-6.583146e+00;1.423801e+01;1.647390e+00;1.146951e+01;8.552135e-01;1.127785e+00;4.219420e-01;-6.448851e+00;-9.702537e+00;-4.211969e-01;4.340820e-01
10;0.500000;2.557091e+00;-9.689780e+00;-4.644217e+00;-8.368144e+00;7.615605e+00;6.431212e-01;4.364286e+00;3.144130e-02;-4.936532e-01;4.964707e-01;-9.965302e+00;-9.436246e+00;4.489937e-01;1.497276e+00
11;0.550000;-1.695430e+00;-2.835368e+00;-4.799157e+00;-3.786839e+00;-2.128715e+00;6.415324e-01;-2.273151e+00;-1.663005e-01;7.185069e-01;-1.651985e+00;-9.567613e+00;-8.339264e+00;2.023383e+00;1.603622e+00
12;0.600000;-6.693215e+00;5.593031e+00;-6.398125e-01;1.119718e+00;-2.971304e+00;-4.270684e+00;-3.447014e+00;-5.804209e-01;3.507241e+00;-4.997492e-01;-8.259850e+00;-4.180942e+00;1.236405e+00;9.988327e-01
13;0.650000;-7.656916e+00;6.854973e+00;-1.477862e+00;3.194792e+00;-4.501081e-01;-9.396536e+00;-9.227203e+00;-3.834111e+00;1.832855e+00;2.510843e-01;-6.653217e+00;-3.143027e+00;-9.706926e-02;6.143112e-01
14;0.700000;-4.259620e+00;1.193433e+00;3.172828e+00;3.815317e+00;-1.556804e+00;-1.000189e+01;-1.185746e+01;1.079272e+00;1.740208e-01;-2.326234e+00;-2.383008e+00;-7.940809e-01;1.224419e+00;2.559738e+00
15;0.750000;-5.243845e-01;-2.920587e+00;9.177304e+00;3.228502e+00;-2.284160e+00;-7.508093e+00;-1.231494e+01;8.119906e+00;-3.435614e+00;-6.080604e-02;-1.958008e-01;1.941693e+00;2.855781e+00;2.551186e+00
