frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.972855e+00;-3.906426e+00;-2.773739e+00;-1.726551e+00;-1.983133e+00;-8.752489e-01;3.603964e+00;-1.789907e+00;5.035348e+00;9.309803e+00;6.705315e+00;3.214472e+00;4.406747e-01;2.298912e+00
1;0.050000;-3.644820e+00;-3.478463e+00;-9.939276e-01;-4.439036e+00;4.942608e+00;-1.383486e-01;4.922069e+00;2.734674e+00;2.471863e+00;8.397486e+00;6.772207e+00;5.730571e+00;-3.384001e+00;2.686493e+00
2;0.100000;-7.256060e+00;-3.072042e+00;4.306586e+00;6.192501e-01;7.422319e+00;1.481257e+00;5.249359e+00;1.049396e+00;-1.414227e+00;3.381782e+00;1.421165e+00;2.461132e+00;-3.503143e+00;3.979584e+00
3;0.150000;-6.343328e+00;-9.801731e-01;6.375435e+00;1.367135e+00;5.778332e+00;2.425613e-01;1.379194e+00;-4.623795e+00;-5.944039e+00;-9.654465e-01;-1.867831e+00;4.627206e-01;-2.460814e+00;2.871140e+00
4;0.200000;-4.538347e+00;3.722459e+00;8.554653e+00;-7.258595e-01;9.125347e-01;2.152385e+00;-1.189155e+00;-7.031607e+00;-7.992642e+00;-2.706432e+00;-5.183363e+00;-4.542005e-01;8.972319e-01;-1.881294e+00
5;0.250000;-1.368920e+00;2.969303e+00;4.148705e+00;-3.032363e+00;-6.844730e-01;7.017031e+00;-4.668722e+00;-6.970299e+00;-8.589011e+00;2.372981e+00;-6.755434e+00;-2.682637e+00;3.203948e+00;-3.440590e+00
6;0.300000;3.036416e+00;8.870699e-01;-3.430079e+00;1.809914e+00;-6.673584e-01;2.348360e+00;-4.489538e+00;-4.953836e+00;-5.324201e+00;2.298968e+00;-7.884720e+00;-2.250816e+00;2.417130e+00;-3.148308e+00
7;0.350000;5.419678e+00;9.674196e-01;-9.688108e+00;7.705787e+00;1.599630e+00;-5.956820e+00;1.477505e+00;-2.054737e+00;-1.714147e+00;4.592959e+00;-6.489128e+00;-4.989421e-01;1.165786e+00;-3.607666e+00
8;0.400000;6.567888e+00;1.361872e+00;-1.117060e+01;5.153316e+00;-2.557430e-01;-6.814118e+00;2.774048e-01;-8.870373e-01;-1.732270e+00;1.951876e+00;-5.067982e+00;-2.587617e+00;1.426462e+00;-3.859947e+00
9;0.450000;6.561871e+00;-6.084428e-01;-6.387212e+00;3.363146e-01;-1.834133e+00;4.067733e+00;-5.127512e+00;-2.810909e+00;3.540963e+00;-1.203396e+00;-1.004994e+00;-3.662000e+00;9.663348e-01;-2.579849e+00
10;0.500000;4.611535e+00;-4.614413e+00;7.722578e-01;2.818601e-01;-1.060766e+00;6.069136e+00;-7.902365e+00;1.511205e+00;6.516564e+00;-4.003505e+00;1.858922e+00;-2.324990e+00;1.994334e+00;-2.888107e-01
11;0.550000;2.413727e+00;-4.911910e+00;4.207398e+00;-1.297762e-01;-1.884390e+00;4.177589e+00;-8.798635e+00;4.917239e+00;6.307488e+00;-7.826737e+00;1.882360e+00;-2.730244e+00;3.986057e+00;-7.055664e-02
12;0.600000;-1.046599e+00;3.685575e-01;3.848268e+00;2.322009e-02;8.527260e-01;6.765804e-01;-2.407911e+00;5.300519e+00;4.283340e+00;-1.072765e+01;-2.202533e+00;2.554603e-01;1.978930e-01;-8.914337e-01
13;0.650000;-4.400043e+00;4.055701e+00;-2.240530e-01;-1.640879e+00;-5.424690e-02;-2.394879e+00;5.957251e+00;5.522164e+00;1.024564e+00;-2.137442e+00;5.531755e+00;3.146002e-01;-3.828267e+00;1.258072e+00
14;0.700000;-3.649703e+00;3.843974e+00;1.410135e-01;-3.072671e+00;-4.974701e+00;-5.264501e+00;6.246778e+00;5.078197e+00;1.268959e+00;-9.747353e-01;6.965686e+00;1.838389e+00;-2.455423e+00;3.630157e+00
15;0.750000;-3.361340e-01;3.395509e+00;2.313405e+00;-2.529662e+00;-8.109253e+00;-6.788699e+00;5.470296e+00;5.008738e+00;2.261473e+00;-1.760522e+00;5.318560e+00;2.914105e+00;-1.064208e+00;3.044350e+00
