frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.833755e+00;6.881198e+00;-1.431704e-02;1.218773e+01;9.195539e+00;1.108972e+01;6.000364e+00;4.107546e+00;1.243682e+01;4.435157e+00;6.012633e+00;-6.976662e-01;-2.289098e+00;-1.961537e+01
1;0.010000;7.116068e+00;1.026009e+01;-1.652465e-01;9.217416e+00;4.034521e+00;7.582142e+00;1.630416e+00;-6.213291e+00;8.456379e+00;-5.819082e-01;7.636700e+00;7.474554e+00;4.883051e+00;-1.728919e+01
2;0.020000;1.076066e+01;1.075138e+01;-6.768633e+00;-1.267393e+00;-1.979139e+00;4.792628e+00;-2.412385e+00;-2.870457e+00;5.266490e+00;-2.777838e+00;7.234265e+00;5.937301e+00;7.430008e+00;-1.215683e+01
3;0.030000;9.320458e+00;8.766990e+00;-9.703290e+00;-8.770994e+00;-2.018229e+00;3.969734e+00;-6.940502e+00;-5.113363e-02;1.912145e+00;-4.278069e+00;7.255195e+00;5.197795e+00;6.641588e+00;-7.418411e+00
4;0.040000;7.002789e+00;8.367771e+00;-7.420484e+00;-1.081742e+01;-1.142420e+00;7.362636e+00;-5.397878e+00;2.822766e-01;-2.064085e-02;-5.565972e+00;4.647560e+00;3.355174e+00;7.041655e+00;-4.239067e+00
5;0.050000;4.403557e+00;5.107867e+00;-8.970110e+00;-1.280847e+01;-1.799580e+00;7.424895e+00;-4.833660e+00;-1.175354e+00;-2.807071e+00;-6.519093e+00;3.530203e+00;7.925565e+00;1.101939e+01;-3.157188e+00
6;0.060000;4.258562e+00;5.720865e+00;-9.143318e+00;-1.214767e+01;-1.489429e+00;5.943021e+00;-2.333618e+00;2.063289e-01;-3.344051e+00;-5.044080e+00;4.041992e+00;1.159696e+01;1.415931e+01;-2.072166e+00
7;0.070000;3.518064e+00;4.511151e+00;-9.397513e+00;-1.101155e+01;-2.829535e+00;5.994270e-01;-4.041499e+00;-2.029495e+00;-3.745356e+00;-3.165981e+00;4.077814e+00;1.553746e+01;2.089088e+01;-1.851227e+00
8;0.080000;3.381499e+00;2.608931e+00;-6.437805e+00;-8.695042e+00;6.990299e-01;-1.973387e+00;-5.481163e+00;-6.541590e+00;-7.283498e+00;-1.336694e+00;5.016984e+00;1.546578e+01;1.958569e+01;-1.385460e+00
9;0.090000;3.992168e+00;3.328045e+00;-5.603094e-01;-5.746117e+00;6.120936e+00;-2.643744e+00;-3.248327e+00;-5.560592e+00;-7.905331e+00;3.632874e-01;1.060539e+00;1.033008e+01;1.699942e+01;-1.759796e+00
