frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.871729e+00;6.068235e+00;5.950525e+00;1.506070e+01;1.049482e+01;5.099613e+00;-9.409170e-01;4.424598e+00;1.923352e+00;-1.909506e+00;-2.285972e+00;8.132637e+00;1.285205e+00;-8.123985e+00
1;0.020000;1.069046e+00;5.944986e+00;6.689172e+00;1.480097e+01;1.303536e+01;4.732751e+00;-3.010702e-01;5.698052e+00;3.893083e+00;-2.204231e+00;-1.132498e+00;7.332801e+00;3.471212e-01;-6.111137e+00
2;0.040000;1.754856e-02;6.512208e+00;5.802328e+00;1.454152e+01;1.406846e+01;2.709495e+00;2.627220e-01;6.440806e+00;4.881762e+00;-1.221509e-01;1.319904e-01;5.706989e+00;-1.028431e+00;-4.835030e+00
3;0.060000;7.148819e-01;5.590141e+00;5.304322e+00;1.430141e+01;7.988797e+00;-8.097305e-01;2.304329e+00;3.488117e+00;-2.341986e-01;1.341513e+00;2.108589e+00;3.289447e+00;-1.966872e+00;-2.138695e+00
4;0.080000;1.602099e+00;1.569026e+00;8.400109e+00;1.141077e+01;-2.183562e+00;-9.351482e-01;2.410912e+00;-1.984356e+00;-7.119515e+00;-3.250438e+00;3.577557e+00;1.957172e+00;-4.790452e+00;2.180923e+00
5;0.100000;1.836375e+00;-1.362137e+00;1.112180e+01;5.972099e+00;-8.772240e+00;7.372646e-01;-2.292777e+00;-7.654937e+00;-9.650424e+00;-6.833683e+00;3.743390e+00;-2.302425e+00;-7.425040e+00;4.816177e+00
6;0.120000;1.482409e+00;-1.136324e+00;1.341760e+01;8.831482e-01;-8.730673e+00;4.470816e+00;-4.819261e+00;-1.002456e+01;-6.927052e+00;-6.229897e+00;5.252135e+00;-6.136649e+00;-8.067285e+00;5.540504e+00
7;0.140000;6.893921e-01;-2.521890e-02;1.327507e+01;-3.787457e+00;-5.710590e+00;9.186019e+00;-7.422284e+00;-7.711587e+00;-3.101941e+00;-2.747094e+00;4.660911e+00;-1.087912e+01;-7.196460e+00;4.929695e+00
8;0.160000;1.833344e-01;-5.326986e-01;1.066722e+01;-4.905811e+00;-4.259903e+00;1.136912e+01;-1.184176e+01;-1.962412e+00;-2.636268e+00;-1.715503e+00;4.880162e+00;-1.479751e+01;-7.554795e+00;3.912453e+00
9;0.180000;7.069483e-01;-7.219861e-01;8.472536e+00;-5.433800e+00;-3.975728e+00;1.135914e+01;-1.544713e+01;3.430393e-01;-5.730695e+00;-3.425179e+00;6.406879e+00;-1.751549e+01;-5.257825e+00;2.150253e+00
