frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.739266e+00;-2.497188e+00;2.785519e+00;-1.164376e+01;-6.849557e+00;7.464832e+00;-1.017384e+01;1.918313e+00;-7.235733e+00;-1.238878e+00;-2.052714e+00;-1.196133e+00;4.426061e+00;6.737343e+00
1;0.020000;-5.033823e+00;-1.203208e+00;4.410836e+00;-9.767344e+00;-8.091817e+00;7.408747e+00;-7.883539e+00;4.634071e+00;-5.367785e+00;1.096743e+00;-1.252363e+00;-8.970404e-01;4.586671e+00;6.259689e+00
2;0.040000;-4.327170e+00;7.713175e-02;4.700800e+00;-6.491994e+00;-7.177297e+00;6.007654e+00;-4.295575e+00;5.607261e+00;-2.722895e+00;1.870996e+00;-1.910591e+00;-6.190341e-01;2.362609e+00;5.243866e+00
3;0.060000;-3.369044e+00;1.692417e-01;5.152842e+00;-1.617023e+00;-4.120753e+00;7.196687e+00;-3.857812e+00;2.254273e+00;-1.846804e+00;1.410746e+00;-1.468336e+00;-1.387593e+00;-4.667789e-02;3.331535e+00
4;0.080000;-2.745035e+00;7.929094e-01;4.522347e+00;2.578673e-01;-3.320750e+00;7.691386e+00;-3.938995e+00;-1.058102e+00;-9.134102e-01;1.476867e+00;3.197038e-01;1.141943e+00;-1.379630e+00;2.119942e+00
5;0.100000;-2.410291e+00;-1.652038e+00;4.204027e+00;2.097584e+00;-7.275348e+00;5.251294e+00;-2.556181e-01;1.081237e+00;-3.997646e+00;-1.586614e+00;2.476511e+00;3.231919e+00;-2.289343e+00;2.446396e+00
6;0.120000;-1.002195e+00;-5.765960e+00;1.784617e+00;6.342614e+00;-8.516110e+00;2.537141e-01;5.145073e-02;5.567353e+00;-1.993230e+00;-2.744865e+00;2.310821e+00;1.077523e+00;-1.207302e+00;2.331657e+00
7;0.140000;3.078342e-01;-7.147033e+00;-1.157818e+00;7.763475e+00;-6.243585e+00;-2.888921e+00;-7.156630e-01;7.130356e+00;3.363120e+00;-2.451499e+00;3.321237e-01;-1.854987e+00;-1.357552e+00;1.285606e+00
8;0.160000;2.457990e+00;-4.490730e+00;-2.510109e+00;6.339257e+00;-2.413775e+00;-2.875878e+00;-2.966734e+00;5.088365e+00;5.753348e+00;-4.247520e+00;-2.954936e+00;-3.433535e+00;-1.237093e+00;-6.709824e-01
9;0.180000;3.267569e+00;-1.452319e+00;-2.714853e+00;3.434366e+00;-2.639523e-01;-6.662631e-01;-3.394887e+00;2.392568e+00;2.876131e+00;-1.621498e+00;-1.773893e+00;-5.128718e+00;-1.585091e-01;-2.563942e+00
10;0.200000;3.187465e+00;5.117474e-01;-2.269508e+00;1.639916e+00;3.101905e+00;-1.088416e+00;-1.844219e+00;-4.017661e+00;2.544636e+00;6.722667e-01;-5.826479e-01;-1.717564e+00;-1.120907e+00;-3.040092e+00
11;0.220000;4.391620e+00;8.048162e-01;-1.899371e+00;1.832889e+00;6.348684e+00;-1.771459e+00;2.382770e+00;-4.524762e+00;3.909238e+00;3.833120e+00;1.729111e+00;2.650122e+00;-4.099000e-01;-2.974541e+00
12;0.240000;2.838993e+00;3.911598e+00;-2.575672e+00;1.436682e-01;1.278109e+01;-6.840788e+00;1.037630e+01;-6.313533e+00;4.313056e+00;6.077889e+00;1.738364e+00;2.870044e+00;-1.110532e+00;-2.349503e+00
13;0.260000;1.187720e+00;6.500393e+00;-2.756867e+00;-1.572176e+00;1.317651e+01;-1.007163e+01;1.241242e+01;-5.209419e+00;3.870211e+00;5.100079e+00;7.996441e-01;1.774855e+00;-6.157937e-01;-2.679489e+00
14;0.280000;2.039618e+00;5.710287e+00;-2.373733e+00;-2.661740e+00;1.021739e+01;-9.736437e+00;1.116793e+01;-6.243937e+00;1.232576e+00;4.812629e-01;-1.813336e+00;2.182153e+00;-8.993400e-01;-4.285103e+00
15;0.300000;4.041865e+00;2.752298e+00;-2.661744e+00;7.219002e-01;4.330046e+00;-3.412700e+00;2.919256e+00;-5.713629e+00;-2.688984e+00;-3.138825e+00;1.316565e+00;1.530565e+00;-7.069804e-01;-6.188133e+00
16;0.320000;9.061451e-01;2.978055e+00;-6.641309e+00;3.180500e+00;4.317310e+00;-1.921810e+00;1.675177e-02;-2.592754e+00;-1.095828e+00;-4.990266e+00;2.785971e+00;-2.245181e-01;1.164220e+00;-5.004196e+00
