frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.153397e+01;1.636207e+01;-1.296968e+00;6.493711e+00;3.870039e+00;6.744766e-02;4.726898e+00;3.276033e+00;1.116795e+01;1.862423e+00;6.251538e+00;4.454987e+00;-5.211389e-01;3.383118e+00
1;0.020000;-1.928159e+01;1.144256e+01;-7.761316e-01;-1.274544e+00;-7.676109e+00;-4.506842e+00;1.845499e+00;-8.944632e+00;5.157725e+00;2.027938e+00;2.629521e+00;2.195898e+00;2.628675e+00;4.942581e+00
2;0.040000;-1.563267e+01;6.761527e+00;3.022664e+00;-4.840498e+00;-1.258080e+01;-4.714972e+00;1.367427e+00;-1.677717e+01;1.260355e+00;-6.988397e-01;-2.861822e+00;1.687413e+00;6.026005e+00;4.924141e+00
3;0.060000;-1.136738e+01;2.322510e+00;7.154796e+00;-5.175358e+00;-1.198961e+01;-4.076712e+00;1.691292e+00;-1.691659e+01;6.605110e-01;-6.715338e-01;-5.542377e+00;1.649856e+00;7.200846e+00;2.629791e+00
4;0.080000;-6.506908e+00;4.643835e-01;7.611418e+00;-3.750200e-01;-5.925993e+00;2.030401e+00;2.239669e+00;-1.387660e+01;2.014063e+00;4.432389e+00;-3.943144e+00;-6.274481e-01;4.544985e+00;-1.307526e+00
5;0.100000;-3.243449e+00;-3.380327e+00;-1.675851e+00;9.423637e-02;1.283667e+01;9.412048e+00;3.816109e-01;-3.917381e+00;5.735383e+00;9.855505e+00;-1.945511e+00;3.276888e+00;1.785213e+00;-1.221054e+00
6;0.120000;-2.460530e+00;-4.404349e+00;-4.972987e+00;-5.927337e+00;1.385858e+01;5.953944e+00;-4.944010e+00;-1.006956e+00;9.456733e+00;1.441085e+01;1.465266e+00;1.274454e+01;4.135489e+00;1.118248e+00
7;0.140000;-7.854309e-01;-3.751840e+00;-8.046205e+00;-1.137577e+01;1.091467e+01;3.225349e+00;-8.679998e+00;-3.385635e+00;5.905651e+00;1.402093e+01;4.934796e+00;1.579768e+01;8.362947e+00;1.180412e+00
8;0.160000;1.498508e-02;-3.963137e+00;-1.053212e+01;-1.569008e+01;6.588735e+00;1.715826e+00;-1.026119e+01;-7.293282e+00;-7.145691e-01;6.819654e+00;6.210571e+00;1.287027e+01;1.378449e+01;-4.334183e-01
9;0.180000;1.872833e+00;-3.812193e+00;-6.924655e+00;-8.907596e+00;9.208298e+00;3.803857e+00;-4.953880e+00;-6.849466e+00;-7.047491e+00;-9.731231e-01;5.839986e+00;9.745852e+00;1.518553e+01;6.910706e-02
10;0.200000;3.702999e+00;-5.620137e+00;-2.431787e+00;-5.293379e-01;6.074921e+00;5.156956e+00;2.518512e+00;-5.233158e+00;-1.070452e+01;2.207264e+00;5.842388e+00;3.652185e+00;1.175863e+01;-4.832687e-01
11;0.220000;4.197356e+00;-7.423387e+00;2.517242e+00;6.551235e+00;-4.629951e+00;4.008957e+00;5.028976e+00;-4.765234e+00;-9.941681e+00;5.762856e-01;5.169772e+00;-4.820972e+00;5.074883e+00;-1.722801e+00
