frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.971066e+00;-2.328587e+00;1.125649e+00;2.242299e+00;4.894357e+00;2.910131e+00;9.180494e+00;8.698110e+00;5.621779e+00;4.594718e+00;5.713697e+00;1.041610e+01;3.936900e+00;-1.398866e+01
1;0.020000;-1.054367e+01;-7.358027e-01;-3.760617e-01;2.892805e+00;7.659629e+00;2.327919e-01;1.482759e+01;7.353572e+00;6.972338e+00;2.559244e+00;4.125816e+00;5.626127e+00;-1.589105e+00;-1.158890e+01
2;0.040000;-1.319192e+01;1.127091e+00;-3.222618e+00;4.769028e+00;5.517641e+00;-4.908962e-01;1.367468e+01;4.537969e+00;8.786792e+00;2.665386e+00;7.659370e+00;6.981463e+00;-1.094391e+00;-9.134880e+00
3;0.060000;-1.494247e+01;2.325857e+00;-5.079506e+00;6.614047e+00;5.091436e+00;1.698699e+00;1.122881e+01;2.532538e+00;6.918898e+00;1.546553e+00;1.064571e+01;5.853836e+00;7.662258e-01;-7.825821e+00
4;0.080000;-1.577580e+01;1.865707e+00;-6.802226e+00;6.585817e+00;5.360152e+00;5.975910e+00;9.483139e+00;3.543214e+00;7.020967e+00;3.528428e+00;1.384607e+01;3.592414e+00;2.377399e+00;-7.135574e+00
5;0.100000;-1.189220e+01;5.047679e+00;-5.017602e+00;5.148625e+00;-7.213956e-01;1.201275e+00;8.997261e-01;-1.981385e+00;1.843606e+00;9.735264e-01;1.125354e+01;3.354659e+00;2.338488e+00;-4.981613e+00
6;0.120000;-6.151893e+00;9.467588e+00;-1.589276e+00;3.082871e+00;-1.000393e+01;-6.634132e+00;-2.781701e+00;-2.823290e+00;1.406265e+00;-1.779627e+00;6.684165e+00;4.071218e+00;-2.379198e-01;-2.111320e+00
7;0.140000;-7.748871e-01;7.898611e+00;-1.668687e-01;4.460179e+00;-1.076505e+01;-9.126216e+00;3.308158e-01;1.878913e+00;5.029256e+00;-9.846897e-01;4.387746e+00;4.264408e+00;5.898151e-01;3.205872e-01
8;0.160000;3.300734e+00;3.489952e+00;2.405901e+00;3.279247e+00;-5.934337e+00;-1.026019e+01;2.312341e-01;5.931538e+00;3.373256e+00;7.386110e-01;5.598917e+00;1.099900e+00;3.140205e+00;1.165619e+00
9;0.180000;3.781036e+00;2.367791e+00;5.692475e+00;1.646067e+00;-2.524150e+00;-9.428151e+00;-2.157376e+00;9.445227e+00;1.147543e+00;1.540466e+00;6.148721e+00;-1.043669e+00;2.939764e+00;1.598892e-01
