frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.420795e-01;-6.281320e+00;1.963159e+00;3.200144e+00;4.814062e+00;-2.180979e+00;-5.381480e+00;4.003029e-01;-1.210695e+01;-9.589137e+00;-9.001565e+00;-5.649951e+00;-2.647937e+00;1.675140e+00
1;0.050000;-3.773053e+00;-3.672811e+00;6.829670e+00;-1.093765e+00;6.424964e+00;5.864713e+00;-3.029722e+00;-3.154688e-01;-7.485083e+00;-4.805459e+00;-1.383709e+01;-8.401855e+00;-4.660571e+00;2.407433e+00
2;0.100000;-4.026671e+00;-4.286961e+00;1.088821e+01;-1.876747e+00;2.159764e+00;6.780666e+00;8.907499e-01;6.256332e-01;-8.785217e+00;-2.969057e+00;-1.243521e+01;-6.926825e+00;-5.362568e+00;2.521629e+00
3;0.150000;-1.724920e+00;-8.395025e+00;1.070617e+01;-7.478333e-01;-3.194825e+00;1.522312e-01;4.655911e+00;4.119578e+00;-9.976093e+00;-5.515679e+00;-7.002336e+00;-2.530826e+00;-7.733941e+00;2.477097e+00
4;0.200000;-5.172033e-01;-7.935666e+00;6.935777e+00;4.228686e+00;-5.738796e+00;-2.495564e+00;5.613602e+00;9.544860e+00;-8.156803e+00;-7.144984e+00;-2.826285e+00;-1.914639e+00;-1.255507e+01;2.975441e+00
5;0.250000;-1.926850e+00;-4.246478e+00;2.344981e+00;8.328846e+00;-8.881502e+00;-2.784550e+00;4.792509e+00;9.324560e+00;-6.113668e+00;-7.975749e+00;-6.600828e-01;-3.226947e+00;-1.435550e+01;3.131577e+00
6;0.300000;-2.460314e+00;-2.613374e+00;2.315688e+00;7.707034e+00;-1.501791e+01;1.574800e+00;8.054500e+00;2.143097e-01;-1.296525e+00;7.211483e-02;-1.182574e+00;-5.449344e+00;-1.322435e+01;3.436249e+00
7;0.350000;-2.235597e+00;-4.258921e+00;4.872293e+00;1.459866e+00;-1.522103e+01;4.673437e+00;6.400211e+00;-4.987145e+00;-1.253326e+00;4.392569e+00;-1.767432e+00;-8.820675e+00;-1.187936e+01;4.124809e+00
8;0.400000;-9.034643e-01;-6.117402e+00;6.544885e+00;-2.854090e+00;-1.062436e+01;5.501336e+00;4.372397e+00;-6.353053e+00;-1.477111e+00;3.340180e+00;-2.524788e+00;-9.048100e+00;-8.119503e+00;2.602798e+00
9;0.450000;1.637783e+00;-3.664718e+00;5.705162e+00;-3.053102e+00;-3.380689e+00;6.911353e+00;1.816423e+00;-5.660750e+00;1.319474e+00;7.031560e-01;-4.285062e+00;-6.882155e+00;-4.798172e+00;-1.026794e+00
10;0.500000;-1.082249e+00;5.457239e+00;-7.522461e-01;1.585428e+00;4.950432e+00;1.548056e+00;7.631164e+00;-3.457963e+00;6.180560e+00;-2.611057e+00;-2.560689e+00;-5.101286e+00;-5.708532e+00;-3.526245e+00
11;0.550000;-6.421058e+00;8.064043e+00;1.304017e-01;3.769709e+00;5.443265e+00;-2.872726e+00;7.494632e+00;-4.235467e+00;1.712369e+00;1.598066e+00;5.825891e+00;5.526657e-01;-3.411292e-01;-1.928581e+00
12;0.600000;-6.646169e+00;5.738728e+00;-4.205769e+00;-8.289318e-01;2.570010e+00;-5.241634e+00;1.771394e+00;-5.778287e+00;5.582771e+00;4.865880e+00;9.365110e+00;1.022109e+01;9.481204e+00;-1.212616e-01
13;0.650000;-3.316176e+00;2.547654e+00;-7.741836e+00;-5.190376e+00;2.722673e-01;-6.218338e+00;-6.268586e+00;-7.290000e+00;1.114124e+01;6.403815e+00;9.378505e+00;1.639329e+01;1.126099e+01;8.190613e-01
14;0.700000;-5.112553e-01;-1.330578e+00;-1.068106e+01;-5.674427e+00;-4.341894e+00;-3.804932e+00;-1.227488e+01;-4.039018e+00;1.214311e+01;1.026730e+01;1.134814e+01;2.257100e+01;1.139497e+01;3.217010e-01
15;0.750000;-2.646256e+00;2.376310e+00;-1.191693e+01;3.932369e+00;-1.124026e+01;8.120842e-01;-6.979022e+00;-4.027898e+00;9.259978e+00;1.607378e+01;1.546066e+01;1.814505e+01;1.253417e+01;4.905472e-01
16;0.800000;-6.534791e+00;4.873244e+00;-5.367831e+00;4.352136e+00;-1.589221e+01;8.262482e-01;-6.503963e-02;-6.027762e+00;4.611021e+00;1.961834e+01;1.499711e+01;1.078005e+01;9.984026e+00;2.220940e+00
17;0.850000;-8.081998e+00;3.981098e+00;6.780398e-01;3.509026e+00;-1.456697e+01;-4.530087e-01;9.272442e-01;-5.327243e+00;1.360705e+00;1.376991e+01;7.603177e+00;7.324775e+00;1.126754e+01;3.627563e+00
18;0.900000;-8.414147e+00;3.510360e+00;5.752912e+00;1.041548e+00;-6.640366e+00;1.257496e-01;2.490855e+00;-3.305037e+00;-3.488067e+00;6.848211e+00;1.990690e+00;4.531351e+00;1.433612e+01;2.999954e+00
