frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.226295e+00;3.014289e+00;-4.767484e+00;3.607569e-01;-3.537609e+00;-8.923607e+00;-5.187839e+00;-7.849455e+00;2.517601e+00;-1.234330e+01;-6.232851e+00;6.493261e-01;-1.917237e+00;4.166008e+00
1;0.050000;-6.472876e+00;-2.864270e+00;-3.190226e+00;-2.402481e+00;-3.963356e+00;-7.663549e+00;-6.796107e+00;-6.009718e+00;1.957480e+00;-1.135573e+01;-5.425272e+00;-3.267270e+00;-2.846833e+00;5.430115e+00
2;0.100000;-3.793442e+00;-1.117511e+01;1.727426e+00;-6.294137e+00;-4.559103e+00;-4.958602e+00;-1.008341e+01;3.296134e+00;-2.387178e+00;-5.575134e+00;-3.644114e+00;-3.618097e+00;-3.321838e+00;5.900223e+00
3;0.150000;-2.922717e+00;-1.259551e+01;6.232393e+00;-6.351140e+00;-5.013714e+00;-2.856981e+00;-1.249249e+01;1.083628e+01;-6.607273e+00;5.762755e-01;-4.544174e+00;-2.606702e-02;-2.413968e+00;5.677658e+00
4;0.200000;-3.145709e+00;-9.880178e+00;6.860723e+00;-5.452392e+00;-4.764812e+00;-3.219570e+00;-9.663117e+00;9.955875e+00;-6.005710e+00;-8.083099e-01;-3.029328e+00;-2.348650e-01;-5.247173e-01;2.706947e+00
5;0.250000;-6.812625e-01;-7.136861e+00;4.018581e-01;-4.590427e+00;6.199436e-01;-3.936497e+00;-2.904183e+00;1.193918e+00;8.535320e-01;-6.100206e-01;-5.273745e+00;-4.416713e+00;2.112993e+00;2.092606e+00
6;0.300000;1.834336e+00;-8.213092e+00;-5.188966e-02;-5.042948e+00;2.219385e+00;-3.467818e+00;-3.248143e+00;1.603395e+00;3.623545e-01;3.078603e+00;-6.364138e+00;-6.137806e+00;3.399419e+00;4.500565e+00
7;0.350000;2.464283e+00;-6.406682e+00;-2.660861e+00;-1.051166e+00;9.414654e-01;4.567375e-01;-5.723414e+00;5.808224e+00;-7.500953e-01;6.592690e+00;-5.264051e+00;-6.256514e+00;5.989441e+00;5.900803e+00
8;0.400000;2.726746e-02;5.410097e-01;-7.051522e+00;5.288257e+00;-4.910402e-01;1.529886e+00;-3.959668e+00;4.260186e+00;3.312231e+00;4.844557e+00;-2.166693e+00;-5.954070e+00;8.483897e+00;5.752357e+00
9;0.450000;-3.530481e+00;8.902758e+00;-9.193575e+00;1.061827e+01;7.942505e-01;3.819962e-01;-1.173721e+00;8.774355e-01;6.568388e+00;3.602190e+00;-1.736972e+00;-1.017781e+00;7.001279e+00;2.175209e+00
