frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.676869e+00;9.456272e+00;-2.258878e+00;-2.218212e+00;1.316454e+01;-4.793873e+00;-5.691940e+00;-1.135882e+00;1.383505e+00;5.374627e+00;-5.857062e+00;-3.202341e-01;-3.200089e+00;-2.463127e+00
1;0.050000;2.395717e+00;2.500751e+00;1.638703e+00;-6.510508e-01;2.637668e+00;-8.657942e+00;-2.293754e-01;2.593207e+00;-9.088373e-01;1.754700e+00;-6.300440e-01;2.117674e+00;-4.536407e+00;-2.570564e+00
2;0.100000;5.329567e+00;-3.547789e+00;2.456902e+00;-3.246852e+00;-4.777790e+00;-8.725683e+00;2.686787e+00;1.351623e+00;-1.771220e+00;-7.746158e-01;2.019539e+00;4.929133e+00;-2.867402e+00;-5.939484e-01
3;0.150000;5.451594e+00;-7.178270e+00;2.579532e+00;-4.321580e+00;-4.835421e+00;-5.336430e+00;5.051262e+00;1.764506e+00;-2.771698e+00;-1.608905e+00;-2.859949e+00;6.551643e+00;-2.831378e+00;1.779541e+00
4;0.200000;3.493170e+00;-1.047338e+01;1.219671e+00;-2.166795e+00;-4.056120e+00;1.416665e+00;7.025209e+00;4.883893e+00;-4.373693e+00;-1.967735e+00;-9.051722e+00;7.942329e+00;-2.690168e+00;3.186470e+00
5;0.250000;1.072400e+00;-1.100852e+01;-6.012311e-01;1.074455e+00;-2.456650e+00;6.916793e+00;7.359571e+00;6.119329e+00;-4.610356e+00;-3.860859e+00;-1.197770e+01;8.709785e+00;-4.497446e+00;3.461510e+00
6;0.300000;1.062212e-01;-9.226445e+00;-2.206135e-02;1.392410e+00;-9.974270e-01;6.193403e+00;4.432391e+00;5.403986e+00;-4.185431e+00;-5.826090e+00;-1.162484e+01;9.646134e+00;-7.302892e+00;2.758560e+00
7;0.350000;-8.152981e-01;-3.779117e+00;1.822562e+00;2.167145e+00;1.448982e+00;2.637630e+00;3.736084e+00;4.402594e+00;2.101630e+00;-7.426442e+00;-6.375571e+00;6.164561e+00;-4.945525e+00;1.953728e+00
8;0.400000;-3.669586e+00;3.523071e+00;6.454890e-01;4.777601e+00;3.362342e+00;-2.723866e-01;-2.527189e-01;3.598693e+00;3.965459e+00;-7.811405e+00;-3.831780e+00;1.610824e+00;1.163187e+00;1.005859e+00
9;0.450000;-6.075140e+00;6.952554e+00;9.416559e-01;1.198322e+00;5.722536e+00;-1.607209e+00;-2.842898e+00;4.705606e+00;1.861233e+00;-5.979390e+00;-3.207960e-01;1.007328e+00;4.300201e+00;3.983917e-01
