frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.893795e+00;6.732121e+00;-1.467770e+01;5.191689e-01;-6.263903e+00;1.104028e+01;2.909202e+00;-8.411527e-01;3.718978e+00;-2.626236e+00;-2.903813e+00;-3.362863e+00;-4.369642e+00;4.885109e+00
1;0.050000;-1.476392e+00;1.532250e+00;-1.288772e+01;-3.118258e+00;-5.193373e+00;1.477696e+01;1.661524e+00;-7.825580e-01;8.138957e-01;-1.531927e+00;-9.802999e-01;-4.037749e+00;-2.918646e+00;5.744392e+00
2;0.100000;3.846824e+00;-3.018971e+00;-8.586695e+00;-7.651318e+00;-2.671036e+00;1.413566e+01;3.469781e+00;-1.176484e+00;-4.780059e-01;9.832077e-01;8.533692e-01;-1.144201e+00;-2.370229e+00;3.160011e+00
3;0.150000;7.420402e+00;-4.628860e+00;-3.522168e+00;-1.205503e+01;1.338619e+00;8.802523e+00;7.621480e+00;-4.370983e+00;-6.037211e-01;5.553554e+00;7.439036e-01;3.354371e+00;-2.330282e+00;2.067413e-01
4;0.200000;7.287088e+00;-9.520933e+00;-5.329838e-01;-1.416016e+01;6.115521e+00;4.588995e+00;8.642038e+00;-6.320647e+00;-3.791285e+00;3.901902e+00;-1.949895e+00;3.518219e-01;-7.336111e-01;2.205803e+00
5;0.250000;6.293355e+00;-1.196822e+01;-5.913029e-01;-1.489555e+01;7.517942e+00;3.014885e+00;8.709446e+00;-5.133267e+00;-3.967595e+00;2.112851e+00;-3.531130e+00;-2.221346e+00;-1.978475e+00;3.460762e+00
6;0.300000;5.589235e+00;-1.065033e+01;-8.394361e-01;-1.275526e+01;5.648984e+00;1.703956e+00;5.238729e+00;-4.370861e+00;-2.688758e+00;2.489343e+00;-3.510193e+00;-2.464952e+00;-1.520051e+00;2.386337e+00
7;0.350000;4.442543e+00;-7.389376e+00;2.779963e+00;-6.909163e+00;3.047247e-01;-6.020504e+00;-5.591816e+00;-1.673323e+00;5.249538e-01;9.917765e-01;-6.539063e+00;2.146353e+00;1.961210e+00;1.014336e+00
8;0.400000;1.779728e+00;-2.456634e+00;1.262758e+01;2.403074e+00;-4.130905e+00;-1.290267e+01;-1.206393e+01;3.579082e+00;2.956814e+00;1.928416e+00;-5.867719e+00;7.382866e+00;5.324180e+00;1.157890e+00
9;0.450000;-1.913624e+00;4.711730e+00;1.144546e+01;9.686037e+00;-8.861628e+00;-1.051425e+01;-1.239724e+01;6.359756e+00;2.923566e+00;-1.897266e+00;-3.646582e+00;7.171339e+00;7.437679e+00;6.633224e-01
10;0.500000;-5.664267e+00;9.131395e+00;1.432334e+01;1.492242e+01;-9.789730e+00;-6.839170e+00;-8.078785e+00;5.162059e+00;-2.914944e-01;-4.307166e+00;1.272911e+00;6.475136e+00;3.602704e+00;-9.694748e-01
11;0.550000;-4.236377e+00;5.980039e+00;1.224018e+01;1.623629e+01;-8.874762e+00;-3.095066e+00;-5.396186e+00;1.996281e+00;-3.524943e+00;-4.415956e+00;3.004079e+00;5.160395e+00;7.071733e-03;-7.368088e-01
12;0.600000;2.689162e+00;1.018875e+00;4.046043e+00;1.063503e+01;-3.437859e+00;3.729040e+00;-1.156150e+00;-6.118369e-01;-6.259384e+00;-4.266524e-01;3.863255e+00;2.428727e+00;-4.364857e+00;-9.300919e-01
13;0.650000;6.757084e+00;-4.946814e+00;1.660743e+00;-4.610672e-01;8.134165e+00;4.738191e+00;7.904264e-01;-1.016747e+00;-6.018620e+00;-1.445751e+00;3.549306e+00;-6.297483e-01;-8.439762e+00;-1.221153e+00
14;0.700000;6.462333e+00;-8.916327e+00;-6.442971e-01;-3.784332e+00;1.263847e+01;6.926744e+00;1.960139e+00;-5.526514e-01;-2.659021e+00;-6.510904e+00;3.442725e+00;1.514063e+00;-6.358417e+00;-3.659286e-01
15;0.750000;3.706012e+00;-5.248341e+00;-6.352160e+00;1.959410e-01;9.828447e+00;1.065633e+01;1.828288e+00;1.748835e+00;-2.474106e+00;-6.052097e+00;4.910402e+00;-1.534630e+00;-1.395115e+00;1.473572e+00
16;0.800000;-2.101376e+00;3.173611e+00;-1.272073e+01;5.225750e+00;8.263691e+00;8.951281e+00;5.551485e+00;1.701231e-01;-1.755782e+00;-4.628433e+00;3.004399e+00;-2.460679e+00;-1.535585e+00;2.827934e+00
17;0.850000;-7.242838e+00;1.088984e+01;-1.533546e+01;8.798063e+00;9.103012e+00;6.719614e+00;9.766890e+00;-1.444845e-01;4.485254e-01;-2.055175e+00;6.169839e-01;-1.041970e+00;-2.613048e+00;8.583679e-01
18;0.900000;-1.346829e+01;1.591089e+01;-1.443397e+01;1.278067e+01;8.522144e+00;3.459129e+00;9.399103e+00;-3.742189e-01;3.300852e+00;-3.274632e-02;-4.410534e-01;3.780966e-01;-2.489802e+00;-4.229828e+00
19;0.950000;-1.199899e+01;1.905255e+01;-9.903618e+00;1.173691e+01;-5.192781e+00;-8.666770e+00;-8.231938e-01;-6.719321e+00;6.073637e+00;4.651512e+00;1.970389e+00;4.081291e+00;1.459010e-01;-4.850342e+00
20;1.000000;-6.824738e+00;1.643024e+01;-6.750436e+00;8.494258e+00;-9.423471e+00;-8.640353e+00;-3.005060e+00;-7.531303e+00;7.367491e+00;6.196043e+00;-8.949194e-01;-1.549177e-01;1.319434e+00;-2.452278e+00
21;1.050000;-2.765049e+00;1.174978e+01;-2.200199e+00;5.630841e+00;-7.898861e+00;-6.576481e+00;-4.169866e+00;-4.524439e+00;7.282737e+00;8.055059e+00;-5.159664e-01;-1.750923e+00;2.990279e+00;-3.073761e+00
22;1.100000;-3.448200e-02;6.596420e+00;1.238580e+00;1.491752e+00;-6.124920e+00;-7.458559e+00;-5.852288e+00;-3.324856e+00;3.448364e+00;7.577460e+00;-3.659576e+00;-3.628231e+00;1.087031e+00;-7.991051e+00
23;1.150000;2.886488e+00;3.376583e+00;-1.978023e+00;-2.066507e+00;4.665156e+00;7.788896e+00;3.273178e+00;9.101346e-01;1.753411e-01;6.366159e+00;7.391076e-01;-2.562309e+00;1.080366e+00;-1.149702e+01
24;1.200000;3.169407e+00;-7.171579e+00;-1.388072e+00;-1.636349e+01;7.698822e+00;1.109314e+01;4.192201e+00;-1.031710e+00;-4.065233e+00;4.753067e+00;-4.160862e-01;-6.539230e+00;-1.194523e+00;-4.265167e+00
25;1.250000;3.082377e+00;-1.051123e+01;-2.105002e+00;-1.742310e+01;1.080597e+01;9.188993e+00;4.778290e+00;-3.824021e+00;-3.573285e+00;2.634511e+00;6.437445e-02;-8.015136e+00;9.208555e-01;1.499268e+00
26;1.300000;2.678972e+00;-1.269658e+01;-3.957683e+00;-1.797099e+01;1.119896e+01;5.865091e+00;3.563342e+00;-5.950976e+00;-4.547401e+00;8.069921e-01;-9.158421e-01;-8.919730e+00;2.504563e+00;3.908272e+00
27;1.350000;3.036303e+00;-1.190010e+01;-4.265732e+00;-1.597796e+01;1.191413e+01;4.382663e+00;3.431513e+00;-3.893099e+00;-3.555990e+00;2.566143e+00;-1.775606e+00;-7.437364e+00;3.710391e+00;3.558113e+00
28;1.400000;2.677779e+00;-7.034771e+00;-4.764111e+00;-1.097173e+01;8.408235e+00;2.723081e+00;2.182046e-01;-7.617407e-01;-6.727905e-01;4.419232e+00;-2.734394e+00;-6.092665e+00;3.491386e+00;1.041931e+00
29;1.450000;6.794481e-01;-3.140756e+00;4.826181e+00;-2.988434e+00;-1.438205e+00;-8.746305e+00;-1.074726e+01;-2.631716e+00;3.580708e+00;-1.401195e+00;-3.383157e+00;-1.066767e+00;4.794299e+00;8.324127e-01
30;1.500000;-8.074474e-02;-9.427795e-01;1.302167e+01;1.505045e+00;-5.772430e+00;-1.229069e+01;-1.414463e+01;2.794270e+00;2.566221e+00;-2.522984e+00;-2.061255e+00;3.416240e+00;6.710021e+00;1.616005e+00
31;1.550000;-2.733997e+00;3.106601e+00;1.387102e+01;7.850976e+00;-1.094711e+01;-1.120812e+01;-1.067182e+01;6.739082e+00;6.889658e-01;-4.578506e+00;1.384818e+00;5.691098e+00;5.019238e+00;1.149963e+00
32;1.600000;-5.010874e+00;6.160366e+00;1.767302e+01;1.543747e+01;-1.491427e+01;-1.173429e+01;-2.599136e+00;5.630760e+00;-2.977670e+00;-6.863395e+00;7.314824e+00;8.390155e+00;4.054976e-01;-7.210999e-01
33;1.650000;-3.077264e+00;3.294452e+00;1.379206e+01;1.721496e+01;-1.139109e+01;-1.096023e+01;-1.631432e+00;5.220109e+00;-2.905596e+00;-7.277315e+00;7.412913e+00;7.431693e+00;-1.286678e-01;-1.945465e+00
34;1.700000;-5.573673e-01;-1.637146e+00;2.475859e+00;8.065742e+00;-6.185381e+00;-1.039683e+01;5.202491e+00;1.226419e+01;5.381892e+00;-4.114427e+00;1.896486e+00;1.488760e+00;-3.495087e+00;-8.219910e-01
35;1.750000;5.958376e-01;-5.068000e+00;2.415791e+00;7.219324e-01;-3.595285e+00;-8.235170e+00;6.121040e+00;1.498774e+01;5.557725e+00;-3.299076e+00;-3.177109e-01;-1.796970e+00;-4.276295e+00;2.421104e+00
