frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.192316e+01;9.069213e+00;-6.929847e+00;2.075454e+00;3.805066e+00;-5.745735e+00;7.934076e+00;9.346218e-01;1.050078e+01;-3.601817e+00;-2.166935e+00;6.027609e+00;2.364895e+00;4.554649e+00
1;0.050000;-1.628329e+01;4.335364e+00;-9.289888e+00;1.160811e+00;6.213464e+00;-2.366169e+00;1.098953e+01;4.637947e+00;1.143949e+01;-3.983834e+00;-8.828349e-01;7.096999e+00;2.829087e+00;3.082573e+00
2;0.100000;-1.656562e+01;2.329464e+00;-1.024446e+01;7.274191e-01;7.134748e+00;-1.319857e+00;1.234443e+01;8.570827e+00;1.390303e+01;-2.489005e+00;2.132957e+00;8.938850e+00;3.274807e+00;1.352539e-01
3;0.150000;-9.453552e+00;5.103992e+00;-6.919725e+00;3.257419e+00;7.827382e+00;-9.362087e-01;1.054045e+01;5.207229e+00;9.903372e+00;-4.312194e+00;-3.427787e-01;4.003976e+00;6.240922e-01;-2.957626e+00
4;0.200000;3.021443e+00;1.695957e+00;-2.484617e+00;6.222058e+00;-7.504983e-01;-1.319731e+00;6.768889e+00;-1.591925e+00;1.149867e+00;-6.721492e-01;2.534026e+00;-7.590185e+00;-2.450146e+00;-4.332222e+00
5;0.250000;8.088409e+00;-2.420378e+00;-6.877961e-01;9.519393e+00;-6.993658e+00;3.480248e+00;1.856437e+00;-4.408531e-01;-1.527332e+00;-1.590925e+00;3.168364e+00;-1.181921e+01;3.360164e-02;-3.534744e+00
6;0.300000;9.165936e+00;-3.689940e+00;-9.875631e-01;7.681319e+00;-5.760127e+00;3.130531e+00;2.418702e+00;-8.932800e-01;-2.796958e+00;1.225871e+00;-1.418152e-01;-1.016669e+01;1.026757e+00;-3.181046e+00
7;0.350000;6.189557e+00;-2.150127e+00;5.651259e-01;-1.342643e+00;1.334052e+00;3.010088e+00;3.802398e+00;2.277973e+00;-2.829017e+00;3.396915e+00;-1.181726e+00;-4.831944e+00;-2.816326e+00;-2.495277e+00
8;0.400000;-3.135641e+00;-1.302345e+00;1.872138e+00;-9.515343e+00;5.448922e+00;4.261139e+00;3.330192e+00;4.666109e+00;2.154813e+00;2.172777e+00;6.882100e-01;2.978913e+00;-3.695673e+00;2.902145e-01
9;0.450000;-5.319254e+00;-6.551023e-01;1.720877e+00;-9.705014e+00;5.114197e+00;2.581370e+00;7.352771e-01;1.179934e+00;-7.465534e-01;1.745653e-02;-1.660847e+00;2.469337e+00;-4.127316e+00;3.294090e+00
