frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.064753e+00;-6.632535e+00;4.114367e+00;8.662445e+00;1.623059e+01;1.668191e+00;8.291278e+00;-2.699864e+00;1.560312e+00;-1.439964e+01;-2.721836e+00;2.839777e+00;-1.186388e+01;-1.058614e+01
1;0.010000;-8.475016e+00;-9.113760e+00;5.875563e+00;9.339724e+00;1.736888e+01;3.429049e+00;1.090240e+01;6.003308e-01;5.099735e+00;-1.135739e+01;-1.251671e+00;2.280633e+00;-1.472475e+01;-1.094783e+01
2;0.020000;-9.085453e+00;-1.077789e+01;6.765482e+00;1.076228e+01;1.795889e+01;6.307239e+00;1.046081e+01;3.075943e-01;9.754083e+00;-7.074633e+00;1.967458e+00;4.746674e+00;-1.052374e+01;-1.274173e+01
3;0.030000;-7.735695e+00;-1.117793e+01;5.911141e+00;1.283984e+01;1.829155e+01;9.763264e+00;9.302064e+00;1.179379e+00;1.542912e+01;-2.549507e+00;5.861584e+00;1.027586e+01;-5.390875e+00;-1.652655e+01
4;0.040000;4.718409e+00;-3.297020e+00;2.055540e-01;9.418398e+00;1.127319e+01;1.296668e-01;1.208010e+01;3.273884e+00;1.453726e+01;-1.425574e+00;1.788986e+00;7.462572e+00;-3.490325e+00;-1.227647e+01
5;0.050000;2.504781e+00;-7.685495e+00;-4.219957e+00;7.754066e+00;1.847829e+01;-4.798123e+00;4.014771e+00;-7.619506e+00;4.570645e+00;-2.082393e+00;-5.364851e-01;-4.246125e-01;3.302212e+00;-2.149345e+00
6;0.060000;-9.672289e-01;-1.161484e+01;-5.587729e+00;4.286512e+00;1.759147e+01;-8.063992e+00;2.443214e+00;-1.236723e+01;4.162696e+00;-1.623907e+00;-1.345654e-01;-4.727363e+00;3.184952e+00;6.323967e+00
7;0.070000;-3.765074e+00;-1.291462e+01;-6.150936e+00;5.249957e+00;1.926325e+01;-7.274312e+00;3.076594e+00;-1.045354e+01;6.026094e+00;1.084077e+00;-3.216611e-01;-3.703039e+00;1.055283e+00;1.103897e+01
8;0.080000;-5.527500e+00;-1.299301e+01;-6.115108e+00;7.995840e+00;2.075082e+01;-6.510926e+00;3.510038e+00;-5.489728e+00;8.182261e+00;3.626564e+00;1.136684e-01;-1.882139e+00;-3.093331e+00;1.279842e+01
9;0.090000;-6.177774e+00;-1.277241e+01;-6.691858e+00;8.555133e+00;2.037740e+01;-7.422061e+00;1.626913e+00;-4.080392e+00;7.158422e+00;4.148532e+00;5.826616e-01;-1.986775e-01;-5.300462e+00;1.289030e+01
10;0.100000;-6.003256e+00;-1.192740e+01;-6.881991e+00;8.897353e+00;1.817068e+01;-8.327320e+00;1.724992e+00;-3.848995e+00;4.271612e+00;3.846839e+00;3.211382e+00;6.054568e-01;-5.204107e+00;1.245768e+01
11;0.110000;-5.612906e+00;-1.216987e+01;-6.973207e+00;8.917194e+00;1.618059e+01;-9.011343e+00;4.841579e+00;-3.397933e+00;1.869097e+00;3.227810e+00;4.982107e+00;9.225225e-02;-3.881287e+00;1.310760e+01
12;0.120000;-4.239943e+00;-1.355831e+01;-6.729888e+00;8.220802e+00;1.424950e+01;-9.436953e+00;7.716298e+00;-4.926338e+00;-1.953067e+00;2.270366e+00;4.993705e+00;-7.983847e-01;-2.604757e+00;1.215504e+01
13;0.130000;-2.065245e+00;-1.614214e+01;-6.974744e+00;4.296876e+00;1.008140e+01;-1.427238e+01;9.262362e+00;-9.556734e+00;-5.101084e+00;-2.663753e+00;6.450089e-01;-4.860775e+00;-1.392530e+00;9.005219e+00
14;0.140000;1.195526e+00;-1.241111e+01;-4.075816e+00;5.093799e+00;1.018108e+01;-1.763369e+01;1.538085e+01;-9.893107e+00;-4.641496e+00;-6.004061e+00;-4.985090e+00;-4.782152e+00;4.009126e-01;5.612160e+00
15;0.150000;2.634024e+00;-5.093702e+00;-2.167684e+00;9.996020e+00;8.414522e+00;-1.497220e+01;1.968011e+01;-6.428604e+00;-4.416595e+00;-5.138214e+00;-6.758764e+00;3.130722e-02;-1.030506e+00;1.583008e+00
16;0.160000;3.383640e+00;-3.138103e-01;6.564732e-01;1.536488e+01;1.019869e+01;-6.943732e+00;1.919222e+01;-5.697315e+00;-3.579426e-02;-1.402161e+00;-4.571587e+00;2.829551e+00;-4.824391e+00;-4.381416e+00
17;0.170000;5.693597e+00;1.123570e+00;6.288883e+00;2.163077e+01;1.807265e+01;-5.509332e+00;1.015587e+01;-4.619155e-01;6.867478e+00;2.291792e+00;1.348201e-01;2.832548e+00;-5.453278e+00;-1.091848e+01
18;0.180000;9.871790e+00;-1.724138e-01;9.492878e+00;2.306895e+01;2.271434e+01;-1.138962e+01;7.020725e+00;3.490248e-01;6.845625e+00;-6.593735e-01;2.457351e+00;-6.695790e-01;-4.003614e+00;-1.519513e+01
19;0.190000;7.218456e+00;-6.265211e-01;9.695490e+00;2.441150e+01;2.093514e+01;-6.530424e+00;6.360207e+00;1.108957e+00;5.811974e+00;-2.325408e+00;-1.311122e+00;1.356483e+00;-1.178748e+00;-1.752689e+01
