frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.172682e+00;2.192186e+00;3.690526e+00;-3.134795e+00;-5.338279e+00;1.461771e+00;-7.832803e+00;3.977189e+00;3.032219e+00;-3.504694e+00;-1.566188e+01;-4.187223e+00;-4.886414e+00;1.666412e+00
1;0.010000;7.253799e-01;6.018612e+00;-6.316118e-01;-6.775188e-02;-5.911315e+00;-3.143795e+00;-8.825957e+00;4.847136e-01;6.578200e+00;-1.087731e+01;-1.449579e+01;-9.178505e+00;-6.697991e+00;1.277054e+00
2;0.020000;-1.119972e+00;1.191211e+01;-4.181498e+00;3.560913e+00;-7.743102e+00;-5.502092e+00;-9.980349e+00;-3.985540e+00;9.507411e+00;-1.291593e+01;-1.440096e+01;-1.007749e+01;-8.316383e+00;1.417519e+00
3;0.030000;-2.681643e+00;1.681797e+01;-2.912441e+00;8.391603e+00;-6.637134e+00;-2.405354e+00;-7.990899e+00;-5.445459e+00;9.052505e+00;-1.119499e+01;-1.049891e+01;-1.012454e+01;-7.987891e+00;6.606598e-01
4;0.040000;-4.600689e+00;1.844978e+01;8.758020e-02;1.025571e+01;-6.599225e+00;-2.994407e+00;-7.417120e+00;-6.364942e+00;4.343243e+00;-1.005001e+01;-7.704526e+00;-1.088319e+01;-7.744028e+00;-1.145554e+00
5;0.050000;-5.601900e+00;1.751463e+01;3.120865e+00;1.125049e+01;-4.375405e+00;-3.220552e+00;-5.318742e+00;-1.399334e+00;5.562619e+00;-9.290010e+00;-5.190217e+00;-9.455555e+00;-6.816336e+00;-2.754875e+00
6;0.060000;-5.327002e+00;1.683154e+01;2.718351e+00;1.017915e+01;-9.259710e-01;-9.208274e-01;-3.098754e+00;1.866697e+00;5.120034e+00;-1.198674e+01;-6.251180e+00;-1.119906e+01;-5.977978e+00;-3.828285e+00
7;0.070000;-5.281502e+00;1.713791e+01;1.651012e+00;9.796032e+00;1.613239e+00;1.023531e-02;-2.018998e+00;2.831495e-01;8.026079e+00;-7.958191e+00;-4.953254e+00;-9.781702e+00;-6.134493e+00;-4.614700e+00
8;0.080000;-6.557867e+00;1.591327e+01;3.394053e+00;1.186102e+01;2.822139e+00;1.416644e+00;-1.327637e+00;5.094666e-01;9.688259e+00;-3.089809e+00;-1.286559e+00;-6.625433e+00;-7.462815e+00;-5.010895e+00
9;0.090000;-7.373886e+00;1.489750e+01;3.797599e+00;1.321192e+01;2.233158e+00;3.475456e+00;1.356840e-03;2.905700e-01;5.487629e+00;-4.719381e+00;-2.145116e+00;-7.116825e+00;-7.758065e+00;-4.235947e+00
10;0.100000;-6.914122e+00;1.388405e+01;1.906285e+00;1.058836e+01;-1.750704e+00;2.603042e+00;-2.387454e+00;-2.649340e+00;5.172453e+00;-5.187152e+00;-3.791848e+00;-5.950342e+00;-6.066182e+00;-2.264091e+00
11;0.110000;-3.794350e+00;1.186283e+01;3.402124e+00;8.293085e+00;-8.830623e+00;-1.350121e+00;-3.839479e+00;7.285213e-02;8.907935e+00;-7.488961e+00;-4.644568e+00;-1.757674e+00;-2.779800e+00;5.616684e-01
12;0.120000;-1.136979e+00;7.307716e+00;4.906128e+00;5.025168e+00;-1.380467e+01;-3.058886e+00;-4.792231e+00;1.216845e+00;6.882732e+00;-1.079960e+01;-4.895166e+00;1.979928e-01;-1.428215e+00;2.191292e+00
13;0.130000;4.790401e-01;3.990053e+00;7.006460e+00;3.429011e+00;-1.568986e+01;-3.043627e+00;-5.866075e+00;6.099429e-01;-1.894698e-01;-9.407834e+00;-7.466380e+00;-1.840293e+00;-2.061605e+00;2.363518e+00
14;0.140000;1.348858e+00;2.173512e+00;7.501789e+00;3.605493e+00;-1.183112e+01;-3.428184e+00;-6.136901e+00;-8.870573e-01;-3.017360e+00;-8.500664e+00;-9.518816e+00;-3.708390e+00;-3.554055e+00;1.186790e+00
15;0.150000;2.761520e+00;3.095813e+00;6.823357e+00;7.490640e+00;-4.563638e+00;-2.134997e+00;-5.371108e+00;-1.533660e+00;-2.475236e+00;-9.851384e+00;-7.101721e+00;-6.126262e+00;-3.296527e+00;-1.176949e+00
16;0.160000;3.346076e+00;4.692543e+00;7.157678e+00;1.109759e+01;-3.720522e-01;-3.385730e-01;-5.304574e+00;-2.573931e+00;-5.183554e-02;-7.053621e+00;-5.000543e+00;-1.065916e+01;-4.457353e+00;-1.897148e+00
17;0.170000;3.607386e+00;9.952540e-01;4.213946e+00;8.254295e+00;1.750811e+00;2.971220e+00;-5.431164e+00;-6.424165e+00;5.326433e-01;-3.706219e+00;-5.433748e+00;-1.270827e+01;1.132634e+00;1.026291e+00
18;0.180000;4.195644e+00;-3.890691e+00;8.537674e-01;4.189314e+00;1.225467e+00;5.942587e+00;-3.442142e+00;-5.270395e+00;-1.090372e+00;-2.283681e+00;-8.793058e+00;-1.135918e+01;6.291643e+00;3.425514e+00
19;0.190000;2.747091e+00;-8.050527e+00;-9.941783e-01;2.410048e+00;6.928701e-01;8.215138e+00;-1.729173e+00;-3.314475e+00;-4.696560e+00;-1.341312e+00;-1.160167e+01;-6.426361e+00;8.065945e+00;4.774582e+00
