frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.821757e+00;2.819688e+00;-6.798569e+00;6.893902e-01;7.705729e+00;4.008728e+00;-2.475147e+00;-2.589370e+00;5.770688e+00;-5.320415e+00;-1.559396e+00;-5.333719e+00;-3.761405e+00;2.404434e+00
1;0.100000;-7.072156e+00;6.363545e+00;-5.059145e+00;1.514463e+00;6.277026e+00;2.935522e+00;-3.317030e+00;-2.675230e+00;7.534024e+00;-6.189866e+00;3.060865e-01;-6.105598e+00;-5.242594e+00;1.494705e+00
2;0.200000;-9.489327e+00;8.371738e+00;-5.953324e+00;1.471922e+00;5.249418e+00;1.793647e+00;3.110505e+00;3.560328e-01;5.805027e+00;-7.221199e+00;4.617662e-01;-3.760850e+00;-3.934895e+00;-1.096573e-01
3;0.300000;-4.912845e+00;1.880257e+00;-1.233635e+01;1.829214e+00;6.226322e+00;1.117368e+00;5.673326e+00;7.422419e-01;2.408094e+00;-7.615857e+00;-1.273763e+00;8.340413e-01;1.510126e+00;2.339592e+00
4;0.400000;-2.672710e-01;-4.038077e+00;-9.194574e+00;-8.889961e-02;6.817689e+00;1.174051e+00;2.221298e+00;1.951390e+00;-1.628520e+00;-5.592381e+00;-3.380925e+00;-1.461551e+00;3.047284e+00;3.301628e+00
5;0.500000;4.343553e+00;-6.351319e+00;-2.377453e+00;1.204681e-01;9.737496e+00;2.803865e+00;3.165391e+00;5.604928e+00;-1.836917e+00;-6.003380e-04;-1.719239e+00;1.194438e-01;3.167147e+00;1.458618e+00
6;0.600000;8.005285e-01;2.364479e+00;-2.303211e+00;8.371966e+00;3.614316e+00;3.815107e+00;8.348661e+00;4.056640e+00;6.128525e+00;-6.549730e-01;3.764953e+00;1.335046e+00;-2.861713e-01;1.810066e+00
7;0.700000;-3.359082e+00;9.462658e+00;-2.084354e+00;1.100418e+01;1.134728e+00;2.590985e+00;1.034108e+01;4.017419e+00;7.076418e+00;2.261176e-01;3.793579e+00;2.615850e+00;-2.299612e+00;9.054871e-01
8;0.800000;-6.358407e+00;1.559362e+01;-1.795334e+00;8.780885e+00;1.802759e-01;6.364346e-03;3.959414e+00;-3.253279e+00;6.337900e-01;-1.690699e+00;4.475479e+00;3.655236e+00;9.208789e-01;-2.216049e+00
9;0.900000;-6.111381e+00;1.703769e+01;-2.244628e+00;-1.639057e+00;7.785988e-02;4.361157e+00;-5.277943e+00;-1.269659e+01;-2.728296e+00;-2.334950e+00;5.046242e+00;3.340988e+00;2.592970e+00;-3.855125e+00
10;1.000000;-1.999376e+00;1.076423e+01;-1.638187e+00;-4.875486e+00;1.273372e+00;-5.669060e-01;-1.217925e+01;-9.873718e+00;-3.784237e-01;-5.108325e+00;5.904443e+00;7.819001e+00;5.602442e+00;-4.139160e+00
11;1.100000;4.131467e+00;-2.938157e+00;2.949167e+00;-4.235655e+00;1.150949e+00;-5.593518e+00;-7.732693e+00;4.798931e+00;-1.529493e-01;-1.856740e+00;4.845869e+00;6.981521e+00;7.558225e+00;-2.535370e+00
12;1.200000;2.591059e+00;-8.132717e+00;3.052757e+00;-6.331034e+00;-2.596160e+00;-3.082668e+00;-5.454580e+00;9.571964e+00;-3.595524e-01;6.079082e-01;1.146885e+00;5.383119e+00;3.972835e+00;7.759094e-01
13;1.300000;9.937992e-01;-9.709830e+00;2.551718e+00;-5.828430e+00;-3.804934e+00;6.366913e-01;-1.346647e+00;8.065933e+00;-3.029931e+00;2.902508e-03;3.796291e-01;4.708983e+00;1.478559e-01;2.236946e+00
14;1.400000;1.708694e+00;-1.028368e+01;7.000036e-01;-2.817005e+00;-1.788008e+00;3.020355e+00;2.502234e+00;5.093499e+00;-7.441094e+00;-2.044250e+00;-2.328029e+00;3.551254e+00;-3.317006e+00;3.028793e+00
15;1.500000;3.213531e+00;-1.019700e+01;-1.926840e+00;8.263874e-01;-9.998798e-01;7.071435e-01;2.867052e+00;2.050877e+00;-1.030908e+01;-3.631700e+00;-5.611690e+00;1.897605e+00;-3.259706e+00;3.008186e+00
16;1.600000;3.089593e+00;-7.122247e+00;-2.124120e+00;3.493134e+00;-9.718895e-03;-1.676442e+00;2.458391e+00;3.281097e-01;-8.611396e+00;-3.886350e+00;-4.519300e+00;-2.020352e+00;7.697058e-01;1.592957e+00
17;1.700000;1.689412e+00;-4.120705e+00;-2.634249e-01;2.714520e+00;-2.715904e+00;-5.111331e+00;-1.101650e+00;6.053100e-01;-2.988727e+00;-1.788934e+00;-4.097199e+00;-8.505667e+00;1.620630e+00;3.667526e-01
18;1.800000;3.605682e+00;-4.254134e+00;1.746371e+00;1.847332e+00;-8.278416e+00;-5.265533e+00;-3.419712e+00;1.624574e+00;-6.227217e-01;3.276222e-01;-1.280568e+00;-6.677248e+00;9.672165e-01;5.053940e-01
19;1.900000;6.106406e+00;-4.680282e+00;2.719026e+00;-6.702385e-01;-9.321991e+00;-4.631199e+00;-4.536394e+00;-4.442468e-01;6.946564e-02;3.073053e+00;2.683353e-02;-2.540692e+00;-3.661418e-02;-2.455978e-01
