frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.295465e+00;1.419734e+00;-1.226393e+01;-9.215075e+00;9.598675e-01;5.015947e+00;9.166190e+00;-5.113942e+00;1.038797e+00;4.973058e+00;8.617325e-01;-1.111035e+00;-2.684947e+00;5.466270e+00
1;0.100000;4.047547e+00;-3.222824e+00;-6.441845e+00;-1.026278e+01;-1.254864e-01;4.946315e+00;5.326447e+00;-3.080466e+00;-4.395760e-01;3.839617e+00;1.573745e+00;-2.863258e+00;1.285068e+00;2.585739e+00
2;0.200000;3.495812e+00;-1.973019e+00;3.158464e-01;-5.080422e+00;-2.227092e+00;5.445660e+00;-3.173603e+00;1.423560e+00;3.270382e-01;2.498531e+00;-1.341789e+00;-3.241948e-01;5.130807e+00;9.258041e-01
3;0.300000;2.310958e-01;1.466446e+00;6.477934e+00;3.098074e+00;-3.914264e+00;4.248876e+00;-5.652449e+00;1.113237e+00;6.468781e-01;4.088348e-01;3.742638e-01;2.647837e+00;4.658077e+00;-6.797028e-01
4;0.400000;2.451000e+00;-2.654149e+00;-1.949138e+00;-7.139645e-01;3.307729e+00;1.243956e+01;-7.838566e-01;-7.913482e-01;-5.937505e+00;-1.390684e-01;2.552701e+00;7.802619e-01;-9.429212e-01;-3.899689e-01
5;0.500000;4.742913e+00;-7.376653e+00;-3.629198e+00;-8.616975e+00;1.029437e+01;8.737203e+00;2.323678e-01;1.535308e+00;-6.907162e+00;-3.374202e+00;4.129117e+00;-4.945433e+00;-2.572767e+00;1.735611e+00
6;0.600000;1.227887e+00;-3.863892e+00;-8.278932e+00;-6.151917e+00;9.684498e+00;7.129189e+00;2.376953e+00;1.783309e-01;-4.516334e+00;-4.168580e+00;3.956409e+00;-4.344927e+00;-5.048947e+00;4.249557e+00
7;0.700000;-4.477951e+00;3.101297e+00;-1.358725e+01;-2.108274e+00;1.014698e+01;4.396267e+00;6.912900e+00;-1.180468e+00;-3.449922e+00;-1.589369e+00;1.813818e+00;-2.079424e+00;-7.072948e+00;4.240433e+00
8;0.800000;-8.512111e+00;1.055942e+01;-1.425424e+01;-3.817797e-01;9.560689e+00;-1.131528e+00;9.404520e+00;-2.331331e+00;-2.279347e+00;4.040456e+00;1.184791e+00;2.579528e+00;-3.934982e+00;1.692398e+00
9;0.900000;-8.855008e+00;1.435935e+01;-9.079057e+00;6.749058e-02;2.950665e+00;-9.085017e+00;3.152702e+00;-7.210590e+00;1.417002e-01;9.148723e+00;1.268398e+00;5.471350e+00;-4.585681e-01;-4.483032e-02
10;1.000000;-5.276192e+00;1.263977e+01;-6.153097e+00;2.605391e-01;5.931139e-01;-7.817693e+00;1.750792e+00;-7.548594e+00;2.497367e+00;1.074990e+01;1.706073e+00;4.301810e+00;-1.857658e+00;-1.967102e+00
11;1.100000;2.058658e+00;3.600724e+00;-7.554745e+00;-4.227130e+00;-8.565569e-01;1.818854e+00;4.526739e+00;-5.215903e+00;2.596692e+00;5.826573e+00;-4.524231e-01;-1.102995e+00;-2.357681e+00;-4.537422e+00
12;1.200000;5.033990e+00;-4.198106e+00;-5.887845e+00;-6.770112e+00;-7.364092e-01;4.082667e+00;4.726719e+00;-5.902356e+00;4.913268e+00;-1.603182e+00;1.477131e+00;-8.501434e+00;5.845065e-01;-1.731140e+00
13;1.300000;3.607967e+00;-2.359334e+00;-5.989974e+00;-3.906283e+00;-1.359660e+00;2.960741e+00;2.447601e+00;-4.647772e+00;3.540699e+00;-1.094534e+00;-1.406263e+00;-6.709752e+00;1.552904e+00;3.411865e-01
14;1.400000;-8.982906e-01;3.354123e+00;-2.505469e+00;1.340551e+00;-3.770907e+00;2.500365e+00;-4.568743e+00;-1.004007e+00;1.482085e+00;-1.291326e+00;-5.094088e+00;-1.049153e+00;2.463140e+00;9.794540e-01
15;1.500000;-5.955084e+00;6.218388e+00;4.190735e+00;6.996773e+00;-4.145784e+00;-1.850620e+00;-7.495622e+00;1.262052e+00;2.386352e+00;-1.611719e+00;-3.669895e+00;2.754008e+00;3.388613e+00;7.761383e-02
16;1.600000;-4.457259e+00;1.769345e+00;-1.444073e+00;7.448127e+00;-2.313833e-01;-1.857000e+00;-3.589608e+00;7.211185e+00;5.240561e+00;-4.250080e-01;-3.423426e+00;1.401015e+00;-1.532116e-01;5.549469e-01
