frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.070730e+00;-1.186868e+01;-9.293984e+00;4.976395e+00;6.283829e+00;8.734783e+00;-2.638636e+00;8.544430e+00;-2.058882e+00;-2.272565e+00;5.917549e-01;2.399819e+00;1.555170e+00;4.801033e+00
1;0.100000;8.987934e+00;-9.285748e+00;-4.899638e+00;4.365192e+00;6.688865e+00;3.753487e+00;-5.420040e+00;6.705367e+00;1.127386e+00;-5.549750e-01;2.624915e+00;3.178487e+00;2.364167e+00;2.616966e+00
2;0.200000;9.967719e+00;-3.720073e+00;-3.455680e+00;4.723673e+00;1.638321e+00;-3.639990e+00;-9.181554e+00;5.791240e+00;8.102741e+00;-1.445895e+00;-1.368357e+00;5.601968e+00;9.475493e-01;8.181686e-01
3;0.300000;5.852403e+00;-9.044539e+00;-2.570522e-01;-4.782753e-01;-1.542797e+00;-9.005346e+00;-9.674964e+00;3.574635e+00;4.573068e+00;-4.711693e+00;-5.086514e+00;9.838331e-01;-2.642459e+00;4.779488e+00
4;0.400000;3.503494e+00;-1.013735e+01;2.391057e+00;-1.507484e+00;-9.087315e-01;-5.738976e+00;-5.243944e+00;4.052631e+00;7.203007e+00;-3.376416e+00;-1.487318e+00;-4.634454e-01;-1.382094e+00;7.522911e+00
5;0.500000;-2.206688e+00;-5.429028e+00;6.012146e-01;-1.214928e+00;-1.728889e+00;-4.062754e+00;-2.040608e+00;4.533564e+00;7.648054e+00;-4.309001e-01;-1.997204e-01;-6.498711e-01;-1.275135e+00;7.489861e+00
6;0.600000;-9.205931e+00;5.491909e+00;2.814945e+00;-1.527325e+00;3.697248e+00;-2.093407e+00;1.564087e+00;8.499098e+00;7.001224e+00;5.718337e+00;4.158292e+00;-1.182351e+00;2.209525e+00;4.296837e+00
7;0.700000;-1.904439e+01;1.534705e+01;1.047941e+01;-6.761730e+00;3.111868e+00;9.575062e-01;-1.865875e+00;2.348763e+00;3.969579e+00;1.126337e+01;6.170215e+00;-7.364180e+00;2.301579e+00;-4.092079e+00
8;0.800000;-2.272515e+01;1.718773e+01;1.946452e+01;-8.483009e-01;7.703771e+00;9.248053e+00;-2.214771e+00;-6.112745e+00;6.020956e-01;2.003687e+01;1.528318e+01;-5.457500e+00;7.676256e+00;-1.063693e+01
9;0.900000;-8.417286e+00;1.665074e+01;1.391835e+01;-1.057295e+00;9.040721e+00;6.889114e+00;-8.756925e+00;-8.512611e+00;-1.658878e+00;1.410938e+01;1.107143e+01;-6.963425e+00;6.897133e+00;-1.154491e+01
10;1.000000;1.161121e+00;9.898145e+00;1.749839e+01;-6.053980e+00;-4.080296e-01;-7.757757e+00;-1.854935e-01;-1.538018e+01;4.148561e+00;-1.386381e+00;-1.596474e+00;5.486345e+00;-5.791121e+00;-1.080332e+01
11;1.100000;5.080640e+00;-2.560142e+00;2.767493e+00;-7.164747e+00;2.062593e+00;-4.408617e+00;6.954005e+00;-1.319414e+01;-9.394493e-01;-1.026734e+01;-7.631603e+00;7.233561e+00;-7.058869e+00;-1.884697e+00
12;1.200000;5.821401e+00;-9.836439e+00;-6.393860e+00;-5.515507e+00;1.214010e+00;-3.841387e+00;8.364623e+00;-9.180721e+00;-7.694044e+00;-1.163015e+01;-1.019350e+01;1.538664e+00;-6.237844e+00;1.982246e+00
13;1.300000;4.494163e+00;-1.015148e+01;-1.180589e+01;1.512089e-01;-3.146687e-01;2.720837e+00;1.066204e+01;-7.012272e-02;-9.841101e+00;-5.382643e+00;-7.515093e+00;-3.719949e+00;-8.215846e-01;3.205757e+00
14;1.400000;3.798136e+00;-5.274650e+00;-1.239702e+01;1.986105e+00;-3.162283e+00;3.044537e+00;9.413239e+00;2.874427e+00;-9.392321e+00;-1.814816e+00;-3.454081e+00;-4.042178e+00;-4.744868e-01;2.745628e+00
15;1.500000;4.639399e+00;3.705340e+00;-1.202197e+01;5.645884e+00;-1.029280e+01;5.135574e-01;5.659862e+00;5.919681e+00;-1.030267e+01;-3.277644e+00;-5.101357e-01;-1.174531e+00;-4.887469e-01;6.841888e-01
16;1.600000;5.222320e+00;9.027208e+00;-9.410286e+00;1.028109e+01;-2.308302e+01;4.686371e+00;4.604973e+00;-3.933120e-01;-2.488371e+00;-4.576557e+00;-8.569431e-01;4.594761e+00;2.220961e+00;-1.981262e+00
