frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.644016e+00;-4.386965e+00;2.407138e+00;1.007839e+00;-1.016398e+01;-4.282617e+00;-4.738634e+00;5.286174e+00;5.087157e+00;2.657893e+00;-1.151320e+00;-1.070132e-01;3.959530e+00;7.542557e+00
1;0.020000;-1.220824e+00;-4.511129e+00;-6.743782e-01;-2.978115e+00;-7.463831e+00;1.226057e+00;-5.336334e+00;5.923252e-01;5.174063e+00;5.749098e+00;5.655708e-01;-7.890568e-01;5.206674e-01;6.407753e+00
2;0.040000;-4.087968e-01;-3.308540e+00;-2.320852e+00;-4.010474e+00;-4.016663e+00;4.906323e+00;-3.000237e+00;-1.985255e+00;3.833333e+00;3.614430e+00;3.411089e+00;1.761380e+00;-3.286093e+00;4.748016e+00
3;0.060000;4.342918e-01;-1.485929e+00;-2.708534e+00;-3.468391e+00;-1.310428e+00;6.517745e+00;-2.666537e+00;-2.148958e+00;2.285107e+00;3.629643e-01;4.507415e+00;4.949994e+00;-3.159865e+00;2.914146e+00
4;0.080000;7.126763e-01;-8.485010e-01;-1.637161e+00;-1.103474e+00;-1.033961e+00;5.414782e+00;-1.885068e+00;-1.077521e+00;1.135890e+00;-2.014986e+00;3.009842e+00;2.851532e+00;-2.524079e+00;1.091835e+00
5;0.100000;9.714873e-01;-6.506968e-02;2.858948e-01;3.363483e+00;1.117190e+00;3.958978e+00;-3.920815e+00;-3.373599e+00;2.599144e-01;-3.234320e+00;3.556907e+00;1.431840e+00;-1.432343e+00;-5.200195e-02
6;0.120000;7.168238e-01;6.621833e-01;2.052145e+00;4.633994e+00;1.838862e+00;3.734011e+00;-5.211776e+00;-4.213866e+00;2.470002e+00;-2.532602e+00;3.106672e+00;-2.596490e-01;-1.840690e+00;-1.309639e+00
7;0.140000;1.081371e-02;2.942410e-01;1.002321e+00;4.598113e+00;1.955786e+00;4.598054e+00;-3.020615e+00;-1.127810e+00;3.904685e+00;-1.521861e+00;5.153261e-01;-2.912018e+00;-5.346135e+00;-3.032089e+00
8;0.160000;-7.774730e-01;-1.114645e+00;-7.794410e-01;3.472005e+00;1.477856e+00;5.710620e+00;-9.336462e-01;3.343264e+00;5.062057e+00;-4.693692e-01;4.502079e-01;-4.046821e+00;-6.033000e+00;-4.649147e+00
9;0.180000;-4.347179e+00;-2.974916e+00;3.167172e+00;3.632109e+00;4.065371e+00;1.375414e+00;3.498894e+00;6.103673e+00;1.380723e+00;2.859044e+00;2.985501e-01;-6.050867e+00;-2.750542e+00;-3.306648e+00
10;0.200000;-8.168154e+00;-4.094875e+00;5.727500e+00;6.019928e+00;5.026065e+00;-4.194692e+00;5.963005e+00;3.807251e+00;2.065229e-01;2.557165e+00;-8.169121e-02;-3.428857e+00;1.907933e+00;4.261322e-01
11;0.220000;-7.350313e+00;-1.814250e+00;5.635640e+00;6.524992e+00;5.383747e+00;-5.663087e+00;5.379061e+00;1.699009e+00;-7.526169e-01;9.967760e-01;-2.086729e+00;-4.031804e+00;1.912872e+00;2.185837e+00
12;0.240000;-2.226830e+00;2.693634e+00;2.039145e+00;2.204984e+00;3.278236e+00;-7.307633e+00;2.146087e+00;-2.376885e+00;-3.046454e+00;7.129713e-01;-2.579315e+00;-3.607891e+00;-1.088339e+00;1.743317e+00
13;0.260000;3.067277e+00;4.990963e+00;-8.645955e-01;-3.032146e+00;1.526748e+00;-5.036704e+00;1.671642e+00;-3.574260e+00;-5.394866e+00;-7.755113e-02;-2.891543e+00;-6.364526e-01;-1.217547e+00;-2.470703e-01
14;0.280000;4.174456e+00;3.381965e+00;-1.090258e+00;-4.288757e+00;9.183292e-01;-4.077155e+00;1.967704e+00;-1.121019e+00;-5.388688e+00;-8.044999e-01;-2.588527e+00;-1.112441e-01;1.846783e+00;-1.289383e+00
15;0.300000;3.966341e+00;2.949733e+00;-3.121898e+00;-6.559470e+00;-9.298019e-01;-4.943797e+00;1.786945e+00;1.110287e-01;-4.044379e+00;-4.222908e+00;-3.805658e+00;2.952924e+00;4.497491e+00;-2.054932e+00
16;0.320000;4.523963e+00;3.548690e+00;-3.479945e+00;-6.590714e+00;-1.651910e+00;-3.116212e+00;2.022940e+00;-3.902617e-01;-4.092619e+00;-4.351138e+00;-3.077141e+00;5.543041e+00;5.480453e+00;-2.526459e+00
17;0.340000;4.753997e+00;3.155189e+00;-3.237954e+00;-3.263785e+00;-9.665384e-01;-9.796162e-01;2.807495e+00;-1.100507e+00;-4.332513e+00;-2.153735e-01;-1.629159e+00;4.090722e+00;5.269495e+00;-3.499008e+00
18;0.360000;3.811461e+00;2.928221e+00;-2.401934e+00;-1.621103e-01;9.489393e-01;2.159509e+00;3.469893e+00;1.547219e+00;-3.747313e+00;-6.573439e-02;4.695028e-01;2.400243e+00;3.283407e+00;-5.093292e+00
