frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.756644e+00;2.237481e+00;-8.401451e+00;-2.856358e+00;4.454408e-01;1.181262e+00;-4.898378e+00;-6.806793e+00;-6.559827e+00;-1.104150e+01;-7.676087e+00;-3.373645e+00;-6.652794e+00;-4.570580e+00
1;0.020000;4.292830e+00;2.476578e-01;-8.344219e+00;-3.799133e+00;2.503584e+00;3.904169e+00;-1.972094e+00;-5.147069e+00;-3.619514e+00;-7.747818e+00;-7.169733e+00;-3.047536e+00;-4.398932e+00;-2.961769e+00
2;0.040000;4.926456e+00;-1.761329e+00;-8.067301e+00;-6.889851e+00;3.500457e+00;5.581898e+00;2.150306e+00;-2.767758e-01;-7.260656e-01;-3.241124e+00;-5.974537e+00;-4.121580e+00;-6.765683e+00;4.888458e-01
3;0.060000;3.295926e+00;-5.580758e+00;-7.382083e+00;-6.883476e+00;2.175222e+00;3.376606e+00;5.649976e+00;2.542888e+00;-2.151057e+00;-2.839725e+00;-6.979952e-01;-6.760576e+00;-9.936092e+00;5.355782e+00
4;0.080000;8.783264e-01;-8.636134e+00;-6.055581e+00;-5.662607e+00;1.916604e+00;3.322858e+00;1.011640e+01;3.638344e+00;-2.532372e+00;-3.159124e+00;1.549865e+00;-6.321311e+00;-1.141466e+01;8.776543e+00
5;0.100000;-1.365252e+00;-1.090370e+01;-3.699373e+00;-6.194370e+00;3.981543e+00;4.894788e+00;1.349594e+01;3.569395e+00;-2.705423e+00;-3.614717e+00;1.624251e+00;-7.067290e+00;-1.337694e+01;1.001955e+01
6;0.120000;-3.031079e+00;-1.182014e+01;-2.396584e+00;-7.095343e+00;6.136313e+00;7.736604e+00;1.320877e+01;4.183548e+00;-2.810357e+00;-5.618917e+00;1.129583e+00;-9.534441e+00;-1.460840e+01;9.624748e+00
7;0.140000;-2.670152e+00;-1.027787e+01;-2.907211e+00;-7.487188e+00;5.570910e+00;9.275700e+00;1.103147e+01;3.099102e+00;-1.416544e+00;-5.036369e+00;1.270066e+00;-1.092316e+01;-1.334431e+01;8.203522e+00
8;0.160000;-5.526791e-01;-9.131521e+00;-4.727619e+00;-7.453629e+00;4.552779e+00;8.366508e+00;8.296576e+00;2.496389e+00;2.908991e+00;-2.779381e+00;1.895624e+00;-1.106567e+01;-1.141741e+01;6.827606e+00
9;0.180000;1.471357e+00;-9.033741e+00;-7.022923e+00;-7.013960e+00;3.632888e+00;6.513069e+00;6.147291e+00;3.247876e+00;4.161908e+00;-8.612179e-01;3.131393e+00;-1.119175e+01;-8.687619e+00;6.581558e+00
10;0.200000;2.038278e+00;-8.542006e+00;-6.807123e+00;-8.845087e+00;4.294220e+00;3.329396e+00;2.796944e+00;4.793125e+00;3.612132e+00;2.117999e+00;6.923859e+00;-1.063312e+01;-5.067452e+00;6.395195e+00
