frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.417072e+00;5.770822e-01;4.394674e+00;4.909570e+00;2.913377e+00;7.019806e-02;-2.490581e+00;-2.344714e+00;1.232845e+00;-3.296776e-01;3.145022e-01;4.823761e-01;3.047517e+00;-8.341774e+00
1;0.020000;5.110961e+00;-4.995027e-01;2.632300e+00;-5.039475e+00;-1.270205e+00;-8.608150e-01;-9.055252e+00;-1.038715e+01;-1.577720e+00;-5.225379e+00;-2.734507e+00;2.959424e+00;-2.523142e+00;-1.421700e+00
2;0.040000;5.424448e+00;-1.229897e+00;1.029660e+00;-7.846708e+00;-1.539833e+00;-2.675833e+00;-1.157138e+01;-1.415239e+01;-4.366977e+00;-6.747441e+00;-5.199594e+00;2.773970e+00;-5.127832e+00;3.006569e+00
3;0.060000;5.434542e+00;-7.949722e-01;-7.540761e-01;-6.846746e+00;-1.861491e-01;-2.756432e+00;-1.217671e+01;-1.594163e+01;-3.198688e+00;-7.690658e+00;-5.644299e+00;2.559122e+00;-4.141819e+00;3.495697e+00
4;0.080000;4.699267e+00;-1.131401e-01;-2.267621e+00;-3.697303e+00;1.724776e+00;-1.895711e+00;-1.073372e+01;-1.621713e+01;-1.704832e+00;-7.394518e+00;-4.499222e+00;3.693231e+00;-1.596526e+00;1.695763e+00
5;0.100000;3.748881e+00;5.977435e-01;-2.335630e+00;-9.812064e-01;1.936516e+00;-1.996970e+00;-1.038964e+01;-1.453308e+01;-2.074080e+00;-5.382231e+00;-3.205954e+00;4.174309e+00;-2.226266e+00;1.130753e+00
6;0.120000;3.823975e+00;1.441579e+00;-6.205489e+00;-4.277397e+00;-4.004035e+00;-2.707216e+00;-7.265448e+00;-8.620901e+00;7.744538e-01;-5.835418e+00;-6.078749e+00;-7.122731e-01;-5.241264e+00;3.326065e+00
7;0.140000;4.719910e+00;6.051888e-01;-9.960173e+00;-7.888660e+00;-5.488718e+00;-6.775427e-01;-5.835118e+00;-7.247282e+00;-8.121599e-01;-7.746063e+00;-5.451713e+00;-8.304524e-01;-4.619787e+00;4.842010e+00
8;0.160000;6.751406e+00;-6.083930e-01;-1.212910e+01;-8.554176e+00;-3.191869e+00;3.962466e+00;-3.805796e+00;-7.596103e+00;-2.297281e+00;-6.639216e+00;-5.831781e+00;4.030442e-01;-5.240274e+00;4.219963e+00
9;0.180000;8.477260e+00;-8.287864e-01;-9.941717e+00;-5.631174e+00;-1.107956e+00;7.643166e+00;-1.431547e+00;-6.922925e+00;-2.595832e+00;-3.679246e+00;-9.275268e+00;2.221844e+00;-5.442133e+00;3.427063e+00
10;0.200000;8.545386e+00;7.925758e-01;-6.253589e+00;-3.496315e+00;-8.547153e-01;4.227007e+00;-1.628234e+00;-8.758831e+00;-1.333988e+00;-2.273763e+00;-9.430463e+00;2.493288e+00;-5.306254e+00;2.903625e+00
11;0.220000;6.807900e+00;1.575320e+00;-1.047479e+00;-2.594794e+00;-1.061468e+00;2.883787e-01;-3.502149e+00;-1.098366e+01;-2.796631e-01;-1.598087e+00;-9.285290e+00;-6.608338e-01;-5.180288e+00;1.650070e+00
12;0.240000;6.537929e+00;-4.761479e-01;-2.640474e-01;-1.540576e+00;-1.866345e+00;-3.255941e+00;-6.135277e+00;-5.009941e+00;2.419996e+00;-2.012777e+00;-9.687130e+00;-5.540281e+00;-2.480491e+00;2.928566e+00
13;0.260000;6.509583e+00;-2.880500e+00;-2.105673e+00;-1.648974e+00;-1.150340e+00;-1.972216e+00;-8.629456e+00;3.400127e+00;6.143963e-01;-5.108897e+00;-6.204976e+00;-5.673368e+00;-1.991682e+00;6.043449e+00
