frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.882957e-02;2.894092e+00;3.061286e+00;3.083095e+00;1.402103e+01;7.242123e+00;2.355718e+00;2.276560e+00;5.630712e+00;8.020488e+00;3.464905e+00;-1.580624e+00;-2.583202e+00;-8.712975e+00
1;0.050000;-1.880350e-01;-1.218638e+00;-3.361606e+00;-3.853093e+00;7.893813e+00;1.837173e+00;-6.480934e+00;-3.332306e+00;4.828872e+00;8.802332e+00;4.348712e-01;-2.872626e+00;-2.659553e-02;-6.544418e-01
2;0.100000;-5.065155e-01;-6.326950e-01;-7.449315e+00;-3.193397e+00;4.231915e+00;3.734928e+00;-1.193127e+01;-5.238766e+00;3.138257e+00;5.020175e+00;-2.856353e+00;-7.926804e+00;6.551216e-01;4.035904e+00
3;0.150000;-2.385808e+00;2.366699e+00;-1.002364e+01;-6.502614e-01;2.278488e+00;5.359283e+00;-1.337486e+01;-5.470768e+00;3.326462e+00;1.615504e+00;-4.404643e+00;-9.619030e+00;-1.069004e+00;5.134483e+00
4;0.200000;-4.691747e+00;4.048429e+00;-7.118743e+00;2.026882e+00;-1.498491e+00;8.567924e-01;-1.014442e+01;-2.415952e+00;3.798835e+00;-1.039116e+00;-2.261950e+00;-1.494505e+00;-2.212739e-02;4.619743e+00
5;0.250000;-4.085500e+00;3.682120e+00;-1.988149e+00;2.983642e+00;-4.865652e+00;-2.603374e+00;-4.910988e+00;2.054895e+00;4.598691e+00;-2.331476e+00;-2.873508e+00;5.320446e+00;4.001584e+00;4.068413e+00
6;0.300000;-1.847648e+00;-7.156488e-01;1.165749e+00;-1.466227e-02;-4.658442e+00;-5.750128e+00;-1.638566e+00;1.546365e+00;-4.066820e-01;-3.962574e+00;-3.241161e+00;2.240765e+00;4.076784e+00;2.666283e+00
7;0.350000;-4.598808e-01;-5.368731e+00;5.211736e+00;-2.620220e+00;-4.917870e+00;-7.623409e+00;3.375495e+00;2.644808e+00;-3.502051e+00;-6.440183e+00;-2.334176e+00;-9.318576e-01;2.160463e+00;2.701874e+00
8;0.400000;-3.539486e-01;-4.680202e+00;5.642074e+00;-1.702031e+00;-6.990503e+00;-5.985136e+00;3.380591e+00;3.626915e+00;-4.311494e+00;-5.035599e+00;-1.237171e+00;5.063901e-01;2.568656e+00;1.966805e+00
9;0.450000;-3.221670e+00;1.501191e+00;3.223409e+00;-1.294200e+00;-2.444605e+00;-5.963350e+00;5.913460e+00;5.225116e+00;3.144717e-01;-2.801153e+00;-1.071046e+00;2.902153e+00;5.135196e-02;1.213142e+00
10;0.500000;-2.875431e+00;1.390752e+00;1.462904e+00;-2.660827e+00;2.652118e+00;-8.713633e+00;1.570305e+00;7.359701e+00;6.505768e+00;-2.045031e-01;-3.483856e+00;1.475395e+00;1.759075e+00;2.970131e+00
