frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-7.470435e+00;2.490879e+00;7.876227e+00;1.465123e+01;2.850037e+00;7.002513e+00;1.736164e+01;8.345976e+00;1.711154e+00;-5.104802e+00;-2.614743e+00;-3.531401e+00;-1.291390e+01;-1.185648e+01
1;0.010000;-6.289973e+00;1.797015e+00;6.744375e+00;1.327820e+01;2.607362e+00;8.251296e+00;2.013779e+01;6.759561e+00;3.167001e+00;-5.343123e+00;-3.067615e+00;-5.543327e+00;-1.639247e+01;-1.076958e+01
2;0.020000;-6.225690e+00;2.004231e+00;5.517892e+00;1.248243e+01;4.027289e+00;8.990159e+00;1.930807e+01;4.648407e+00;5.157080e+00;-6.278593e+00;-4.654921e+00;-7.271360e+00;-1.705657e+01;-1.022409e+01
3;0.030000;-6.693843e+00;1.843065e+00;4.506418e+00;1.222406e+01;5.030545e+00;1.016851e+01;1.711855e+01;2.982608e+00;8.161055e+00;-7.510609e+00;-3.911784e+00;-2.677051e+00;-1.285923e+01;-1.026358e+01
4;0.040000;-7.110280e+00;4.562168e-01;2.862519e+00;1.368564e+01;7.316304e+00;8.258378e+00;1.299547e+01;3.228822e+00;6.494885e+00;-8.251348e+00;-4.363952e+00;-5.123472e-02;-8.124219e+00;-1.043228e+01
5;0.050000;-7.164571e+00;-4.159279e-01;1.770362e+00;1.555137e+01;9.657660e+00;5.979205e+00;9.431613e+00;2.747790e+00;2.437987e+00;-5.460054e+00;-6.450543e+00;-4.935916e+00;-7.797369e+00;-1.062771e+01
6;0.060000;-6.735969e+00;4.648304e-02;2.871021e+00;1.586071e+01;9.921219e+00;6.634067e+00;1.001095e+01;2.611196e+00;1.783876e-01;-1.674643e+00;-5.208127e+00;-6.913039e+00;-9.304354e+00;-1.077248e+01
7;0.070000;-6.903441e+00;-7.194614e-01;2.954515e+00;1.690293e+01;1.214723e+01;8.373795e+00;1.031580e+01;1.650925e+00;-1.098572e+00;-5.894423e-01;-2.063914e+00;-6.378711e+00;-1.059205e+01;-1.156499e+01
8;0.080000;-6.631478e+00;-2.182349e+00;3.379064e+00;1.765012e+01;1.262230e+01;6.620408e+00;4.929418e+00;1.886661e-01;5.096145e-01;-3.552409e+00;3.715117e-01;-5.914084e+00;-1.009438e+01;-1.211507e+01
9;0.090000;-4.779845e+00;-2.432880e+00;5.357035e+00;1.968222e+01;1.553587e+01;7.983833e+00;4.490631e+00;-1.582120e+00;1.075702e+00;-7.993341e+00;-3.994705e-01;-4.527247e+00;-1.068552e+01;-1.242345e+01
