frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.949155e+00;5.188475e+00;-7.696021e+00;-1.660996e+01;2.147740e+00;8.264874e+00;3.506631e+00;1.513868e+01;9.782608e+00;-1.930310e+00;3.414953e+00;1.677145e+00;-1.046879e+01;-7.198326e+00
1;0.010000;7.645193e+00;6.399174e+00;-8.537407e+00;-2.171390e+01;-2.718087e+00;8.184114e+00;1.663780e-02;1.060221e+01;8.452282e+00;-2.344201e+00;-6.407437e-01;-1.838589e+00;-8.450832e+00;-3.250931e+00
2;0.020000;6.867992e+00;6.255147e+00;-7.032473e+00;-2.139099e+01;-5.364692e+00;6.569903e+00;-2.947693e+00;8.770502e+00;8.284532e+00;-4.221207e+00;-4.105393e+00;-5.015118e+00;-6.700066e+00;-1.381805e+00
3;0.030000;5.688692e+00;6.017025e+00;-4.910007e+00;-1.762797e+01;-3.812267e+00;6.682095e+00;-4.031818e+00;7.535345e+00;6.524484e+00;-4.743625e+00;-5.595392e+00;-8.903700e+00;-9.919673e+00;-6.349792e-01
4;0.040000;4.627632e+00;5.360325e+00;-4.834511e+00;-1.634657e+01;-3.547589e+00;5.708574e+00;-6.051756e+00;7.905811e+00;1.811613e+00;-5.175236e+00;-5.112575e+00;-1.179009e+01;-1.156844e+01;-3.695831e-01
5;0.050000;3.425390e+00;3.773695e+00;-3.156741e+00;-1.754424e+01;-3.426892e+00;5.845771e+00;-7.224253e+00;9.701210e+00;-1.988882e+00;-4.808399e+00;-5.037043e+00;-1.742411e+01;-5.320779e+00;5.016479e-01
6;0.060000;2.300706e+00;2.036918e+00;-1.414050e+00;-1.919507e+01;-3.720969e+00;6.785902e+00;-9.738699e+00;9.009694e+00;-6.871399e+00;-1.555751e+00;-2.565860e+00;-2.186444e+01;-1.540843e+00;1.255707e+00
7;0.070000;1.430605e+00;-2.344602e-01;-4.422348e-01;-1.988817e+01;-3.121265e+00;6.705549e+00;-1.323536e+01;6.495107e+00;-1.474969e+01;2.498551e+00;-1.829192e+00;-2.210677e+01;-9.868121e-01;8.506470e-01
8;0.080000;2.981607e+00;-1.191924e+00;1.996533e+00;-1.621124e+01;1.008483e+00;1.012497e+01;-1.150550e+01;8.914505e+00;-2.014575e+01;7.972819e+00;-1.476596e+00;-1.966332e+01;-7.805394e-01;4.941101e-01
9;0.090000;4.184071e+00;-3.885986e+00;1.581823e+00;-1.591951e+01;1.720214e+00;7.491590e+00;-1.227269e+01;1.006029e+01;-2.174706e+01;1.122612e+01;-3.177265e+00;-1.752442e+01;-1.214606e+00;1.860199e-01
