frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.198999e-01;-3.108818e+00;7.714211e+00;-7.053276e+00;1.289747e+01;-7.124816e+00;-5.844718e+00;-9.705940e-01;-7.162371e-01;6.294728e+00;4.667243e+00;-2.238850e+00;1.405912e+00;-2.439697e+00
1;0.010000;-2.064347e-01;-4.508220e+00;1.686311e+00;-9.149820e+00;1.161399e+01;-9.360286e+00;-8.706873e+00;2.407786e-01;-2.066937e+00;9.912203e+00;-8.793850e-01;-4.063678e+00;-2.526792e+00;3.631432e+00
2;0.020000;2.040195e-01;-4.510472e+00;-2.037525e+00;-8.457554e+00;1.272156e+01;-9.542394e+00;-6.063906e+00;3.987512e+00;-1.837943e+00;1.421049e+01;-2.914435e+00;-2.828907e+00;-4.907971e+00;5.967888e+00
3;0.030000;7.460091e-01;-4.805023e+00;-5.205044e+00;-8.886469e+00;1.361153e+01;-8.572856e+00;-5.342706e+00;7.313782e+00;-4.167060e+00;1.493513e+01;-3.526900e+00;-1.801841e+00;-6.910334e+00;6.189766e+00
4;0.040000;1.133322e+00;-4.869800e+00;-6.810813e+00;-1.178537e+01;1.097536e+01;-7.953020e+00;-6.582061e+00;4.464326e+00;-7.520236e+00;1.208411e+01;-2.643875e+00;-1.353062e+00;-6.612195e+00;5.005959e+00
5;0.050000;2.542713e+00;-3.905785e+00;-5.744103e+00;-1.225048e+01;7.419808e+00;-6.834208e+00;-6.233808e+00;-2.291824e-01;-8.062091e+00;9.293633e+00;2.322407e-01;-7.429969e-01;-4.746974e+00;2.491722e+00
6;0.060000;5.586751e+00;-1.667810e+00;-2.136807e+00;-6.529114e+00;4.880596e+00;-3.785168e+00;-5.247591e+00;-4.688019e+00;-6.186225e+00;6.015047e+00;1.783200e+00;-6.493659e-01;-4.060222e+00;-1.372765e+00
7;0.070000;7.794426e+00;3.009341e-01;4.837132e-02;-7.281666e-01;3.476342e+00;-2.443363e+00;-1.134103e+00;-7.851722e+00;-5.070542e+00;1.499972e-01;-3.011181e+00;-6.628356e+00;-2.756094e-01;-5.810547e+00
8;0.080000;7.810032e+00;7.819006e-01;7.906771e-01;4.909267e-01;7.697496e+00;-1.060492e+00;1.881020e+00;-6.890811e+00;-3.659154e+00;-5.271448e+00;-8.857125e+00;-1.221651e+01;-1.229139e+00;-8.784836e+00
9;0.090000;-6.554375e-01;1.464492e+00;-6.819975e-02;1.629684e+00;3.937850e+00;8.376842e-01;-3.652598e+00;-4.249736e+00;3.372673e+00;-1.192474e+01;-9.605780e-01;-6.744874e+00;-2.796911e+00;-4.949219e+00
10;0.100000;-8.468182e+00;-3.641279e+00;1.714905e+00;4.493527e+00;3.023713e+00;-2.426098e+00;-7.114786e+00;-6.694365e+00;4.680238e+00;-9.353581e+00;4.344562e+00;-2.954715e+00;-3.306841e+00;2.145012e+00
11;0.110000;-9.975161e+00;-6.602510e+00;5.175519e-01;3.878613e+00;2.421922e+00;-1.653550e+00;-5.152641e+00;-6.702856e+00;6.169125e+00;-6.186517e+00;6.370126e+00;-2.364048e+00;-1.382521e+00;6.119278e+00
12;0.120000;-7.008046e+00;-6.565209e+00;-2.305501e+00;-2.861433e-01;-2.008153e+00;-2.157560e+00;-2.771205e+00;-3.877769e+00;9.196231e+00;-3.384780e+00;6.089073e+00;-3.187634e+00;1.131384e+00;7.290215e+00
13;0.130000;2.354927e-01;-7.116242e+00;-6.737785e+00;-2.215773e+00;-6.339105e+00;-3.404817e+00;-6.415098e-01;-5.593028e+00;7.014515e+00;2.360237e+00;2.956321e+00;-4.613109e+00;2.377419e+00;7.192810e+00
14;0.140000;4.774732e+00;-1.032178e+01;-9.509794e+00;4.390012e+00;-1.160138e+01;-4.720490e+00;5.001633e+00;-6.121071e+00;2.927700e+00;9.619780e+00;-4.023555e+00;4.811978e-02;1.981157e-02;6.417870e+00
15;0.150000;4.126865e+00;-1.273745e+01;-9.394055e+00;8.457996e+00;-1.434612e+01;2.084469e+00;5.703753e+00;-6.353245e+00;7.376304e+00;3.222908e+00;-4.647628e+00;2.746592e+00;1.057413e+00;6.178017e+00
16;0.160000;3.386620e+00;-1.654072e+01;-8.961930e+00;6.163211e+00;-1.245071e+01;1.108576e+01;4.825211e+00;-7.455441e+00;9.447371e+00;-4.731359e+00;-9.817904e+00;-3.197632e-01;-1.279539e-01;7.015953e+00
