frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.508636e+00;2.083145e+00;-5.705884e+00;1.192550e+00;-3.967886e-01;-3.463372e+00;-8.050896e+00;-1.263939e+00;-1.081276e+00;6.153994e-01;-2.399263e+00;4.050756e-01;-3.986706e+00;-7.252075e+00
1;0.010000;8.537009e+00;1.010178e+00;-8.922115e+00;-1.617246e-01;-1.388844e+00;-4.209445e+00;-1.143944e+01;-6.030463e+00;-1.301302e-01;1.400686e+00;-2.144795e+00;-2.490268e-01;-4.155425e+00;-2.482635e+00
2;0.020000;9.355392e+00;8.519554e-01;-1.022330e+01;-8.775692e-01;-2.101469e-01;-5.787006e+00;-9.459126e+00;-6.330323e+00;6.411350e-02;1.031086e+00;5.663481e-01;-4.459891e-01;-3.455370e+00;3.519440e-02
3;0.030000;9.658059e+00;2.207399e+00;-1.192928e+01;-6.561937e-01;2.723202e+00;-6.203675e+00;-8.211680e+00;-6.641110e+00;-1.207569e+00;7.518411e-01;3.588130e+00;-3.897138e-01;-4.680345e+00;2.862320e-01
4;0.040000;9.406108e+00;4.043532e+00;-1.135142e+01;-5.095520e-01;5.762816e+00;-5.025754e+00;-8.365651e+00;-6.704558e+00;-1.189167e+00;1.600016e+00;2.616273e+00;1.755186e+00;-7.246511e+00;-1.425125e+00
5;0.050000;8.242004e+00;5.508488e+00;-8.939010e+00;-5.339060e-01;6.994712e+00;-4.422307e+00;-6.810673e+00;-4.262403e+00;-9.019094e-01;3.758154e+00;-8.781009e-01;5.192357e+00;-7.124784e+00;-4.061028e+00
6;0.060000;6.006007e+00;4.158036e+00;-7.687303e+00;1.430823e+00;9.089098e+00;-6.254411e+00;-4.235630e+00;-4.198875e-01;-2.026987e+00;6.900273e+00;-2.033251e+00;5.036306e+00;-6.107320e+00;-6.832703e+00
7;0.070000;3.043676e+00;1.084190e+00;-8.328594e+00;2.929929e+00;1.247364e+01;-5.566446e+00;-6.271248e-01;6.749289e+00;-7.086315e-01;7.780194e+00;-2.838461e+00;4.066188e+00;-6.174079e+00;-1.012858e+01
8;0.080000;-1.102306e+00;-2.224501e+00;-8.336704e+00;4.957809e+00;1.326480e+01;-5.636352e+00;2.852030e+00;1.311158e+01;-2.768627e-01;7.163972e+00;-2.768858e+00;2.630494e+00;-4.897024e+00;-1.331967e+01
9;0.090000;-2.262331e+00;-2.084530e+00;-1.834547e+00;5.315168e+00;7.980234e+00;-2.503784e+00;6.298197e+00;1.156537e+01;8.748404e-01;5.474647e+00;-6.207896e+00;4.557052e+00;-4.665033e-01;-1.336437e+01
10;0.100000;-5.170090e+00;-8.138351e+00;-2.964792e+00;-2.735962e+00;7.921685e+00;-1.984496e+00;8.160995e+00;1.452655e+00;3.649162e+00;8.734175e+00;-8.746789e+00;3.687152e+00;-1.486011e-01;-5.883965e+00
11;0.110000;-8.250744e+00;-1.246486e+01;-5.013634e+00;-7.337107e+00;2.735876e+00;-2.077005e+00;4.275108e+00;-3.555187e+00;-3.039539e-02;7.025276e+00;-1.002502e+01;1.347029e+00;-1.325318e-01;9.370117e-01
12;0.120000;-1.007958e+01;-1.231620e+01;-3.266346e+00;-7.472628e+00;4.381771e-01;1.023223e+00;4.898853e+00;-4.663955e+00;-1.505881e+00;6.798137e+00;-9.825117e+00;8.664384e-01;-4.105908e-01;5.549217e+00
13;0.130000;-9.956533e+00;-9.020008e+00;-3.251703e+00;-7.276809e+00;3.032417e-01;1.886807e+00;6.845779e+00;-5.251145e+00;-5.472782e-01;8.091217e+00;-7.433002e+00;2.775693e+00;-6.956911e-01;7.709724e+00
14;0.140000;-9.306551e+00;-4.672611e+00;-4.005685e+00;-5.815909e+00;2.904554e+00;4.708402e-01;6.176029e+00;-4.720191e+00;2.112159e+00;7.738565e+00;-7.101866e+00;2.451172e+00;-2.073187e+00;6.959305e+00
15;0.150000;-7.069411e+00;4.230733e-01;3.069351e+00;-2.268178e+00;8.941603e-01;-7.352819e+00;-8.039217e-01;-8.382943e+00;-1.925458e+00;2.956572e-01;-9.642884e+00;2.094954e+00;-4.422656e+00;5.746468e+00
16;0.160000;-3.478298e+00;-1.595517e+00;1.114086e+01;-9.480195e-01;-7.435447e+00;-7.574951e+00;-1.382777e+00;-7.565633e+00;-5.946633e+00;-5.526791e+00;-6.509228e+00;4.770586e+00;-3.219523e+00;7.683784e+00
17;0.170000;-2.277316e+00;-4.118091e+00;1.119007e+01;-1.271160e+00;-1.275341e+01;-3.553989e+00;-3.895641e+00;-3.383878e+00;-4.721787e+00;-6.599350e+00;-1.201016e+00;2.509176e+00;-3.370342e+00;9.988373e+00
18;0.180000;-2.538536e+00;-3.713525e+00;1.021018e+01;-2.920367e+00;-1.421811e+01;-2.231340e+00;-5.977741e+00;-1.612985e+00;-4.176146e+00;-5.793512e+00;3.112703e+00;2.828212e-01;2.291866e-01;1.090165e+01
19;0.190000;-3.794514e+00;-2.258271e+00;1.109860e+01;-4.439940e+00;-1.208398e+01;-3.291919e+00;-8.391513e+00;6.374760e-01;-4.335131e+00;-4.463035e+00;5.863435e+00;1.098291e+00;1.101254e+00;1.041424e+01
20;0.200000;-4.629815e+00;-1.144673e+00;1.164703e+01;-3.636862e+00;-1.247438e+01;-2.123979e+00;-9.773312e+00;1.270470e+00;-4.499146e+00;-4.251358e+00;6.673565e+00;5.301161e-01;8.957237e-01;9.747490e+00
21;0.210000;-4.515942e+00;-4.732423e-01;1.184997e+01;-2.741017e+00;-1.328148e+01;-2.358586e-01;-9.966408e+00;7.958803e-01;-3.827902e+00;-6.746877e+00;6.524447e+00;-8.324900e-01;1.247076e+00;9.146034e+00
22;0.220000;-3.490561e+00;-1.304822e+00;1.270289e+01;-2.085665e+00;-1.399617e+01;2.111769e+00;-1.032635e+01;4.502697e-01;-2.457695e+00;-9.002825e+00;7.976082e+00;-1.497155e+00;5.267133e-01;7.699631e+00
23;0.230000;-2.166346e+00;-1.515104e+00;1.398158e+01;5.376520e-01;-1.249350e+01;3.441222e+00;-9.322102e+00;8.881998e-01;-6.247458e-01;-8.378817e+00;9.599613e+00;1.718359e-01;-1.453546e+00;3.583145e+00
24;0.240000;-1.462141e+00;-7.375970e-01;1.282503e+01;3.172186e+00;-3.040991e+00;-3.258360e+00;-2.079535e+00;3.817790e+00;-4.045318e+00;-4.493001e+00;1.543734e+00;2.646581e+00;-3.286927e+00;-3.740845e-01
25;0.250000;-3.173417e+00;-2.584662e+00;1.467108e+01;-1.692237e+00;-7.147760e-01;-2.452159e+00;-2.685922e+00;1.481117e+00;-5.849191e+00;-3.920685e+00;-2.218628e-01;3.349767e+00;-4.493650e+00;2.068169e+00
26;0.260000;-2.643893e+00;-4.402016e+00;1.775648e+01;-5.713054e+00;-3.462771e+00;-1.220157e+00;-2.810602e+00;1.264071e+00;-5.443158e+00;-4.759280e+00;4.197402e-01;1.334250e+00;-7.402412e+00;4.248451e+00
27;0.270000;-1.878055e+00;-5.344204e+00;1.849886e+01;-6.766636e+00;-6.223466e+00;1.271043e+00;-3.554014e+00;3.143723e+00;-4.901521e+00;-6.317370e+00;2.080143e+00;-2.062201e+00;-6.394976e+00;4.902626e+00
28;0.280000;-1.780443e+00;-5.178749e+00;1.674347e+01;-5.529843e+00;-7.433391e+00;2.759672e+00;-5.358097e+00;3.570565e+00;-3.394633e+00;-7.564492e+00;4.412206e+00;-5.645081e+00;-2.997031e+00;5.058067e+00
29;0.290000;-1.578082e+00;-4.016357e+00;1.531701e+01;-5.338999e+00;-6.912488e+00;1.344912e+00;-4.757773e+00;3.333538e+00;-3.161108e+00;-4.637065e+00;3.207675e+00;-5.062831e+00;-3.546105e+00;4.731560e+00
30;0.300000;-1.704211e+00;-3.634129e+00;1.386998e+01;-4.968437e+00;-6.506324e+00;-2.588048e-01;-5.115293e+00;3.996397e+00;-4.065210e+00;-2.052308e+00;1.363989e+00;-2.258245e+00;-4.813435e+00;4.795845e+00
31;0.310000;-9.358230e-01;-4.413795e+00;9.963055e+00;-3.499152e+00;-6.818822e+00;-1.519702e+00;-6.910769e+00;3.500032e+00;-5.295163e+00;-9.122787e-01;2.546549e+00;-1.377130e+00;-4.497437e+00;5.430847e+00
32;0.320000;2.475071e-01;-4.712303e+00;6.220180e+00;-2.898200e+00;-7.728587e+00;-1.292006e+00;-8.604725e+00;3.177440e+00;-6.835919e+00;-2.131295e-01;4.484583e+00;-3.109144e+00;-2.551165e+00;6.235062e+00
33;0.330000;1.366399e+00;-4.034714e+00;2.022735e+00;-2.768437e+00;-7.289218e+00;4.763532e-01;-9.268217e+00;2.441014e+00;-4.676058e+00;-1.189547e-01;7.022562e+00;-5.195057e+00;-1.672857e+00;6.367218e+00
34;0.340000;2.616602e+00;-4.356633e+00;-1.635934e+00;-3.317145e+00;-6.150395e+00;3.671885e+00;-9.903032e+00;2.487773e+00;-3.226156e+00;7.792854e-01;1.023310e+01;-7.496353e+00;-3.584683e+00;6.442772e+00
35;0.350000;3.059037e+00;-4.821237e+00;-2.231518e+00;-3.546903e+00;-5.163756e+00;5.037187e+00;-8.424957e+00;1.200589e+00;-3.817001e+00;-3.058677e-01;1.213681e+01;-9.182980e+00;-4.630041e+00;6.172523e+00
36;0.360000;3.789660e+00;-4.131903e+00;-3.040268e+00;-3.698584e+00;-3.532469e+00;4.223457e+00;-4.212123e+00;-1.854565e+00;-3.738583e+00;-1.048925e+00;1.400649e+01;-1.144720e+01;-3.257799e+00;5.405731e+00
37;0.370000;4.527638e+00;-4.528857e+00;-2.244136e+00;-5.439531e+00;-3.823833e+00;5.304081e+00;-1.765179e+00;-6.074142e+00;-3.244474e+00;-7.072887e-01;1.304923e+01;-1.263281e+01;3.155768e-03;5.135475e+00
38;0.380000;5.244153e+00;-5.573037e+00;-4.824817e-01;-6.213206e+00;-5.604932e+00;7.611067e+00;-5.278873e-01;-9.708982e+00;-4.870323e+00;2.585659e-01;9.734842e+00;-1.198846e+01;2.192775e+00;4.481651e+00
39;0.390000;6.078812e+00;-6.289347e+00;1.115700e+00;-4.605567e+00;-6.390637e+00;8.912000e+00;2.873315e+00;-1.242505e+01;-6.300090e+00;1.139333e+00;4.871798e+00;-8.411913e+00;3.954870e+00;3.455719e+00
40;0.400000;6.242542e+00;-5.813659e+00;2.705722e+00;-8.244729e-01;-6.822597e+00;6.403017e+00;4.944257e+00;-1.321581e+01;-7.670894e+00;8.520975e-01;-2.411258e+00;-2.193983e+00;5.984316e+00;2.105637e+00
41;0.410000;6.313499e+00;-5.073413e+00;4.168110e+00;3.998422e+00;-7.437978e+00;1.749774e+00;5.817389e+00;-1.556850e+01;-7.953544e+00;3.570703e+00;-8.848942e+00;4.387525e+00;6.461209e+00;7.888031e-01
42;0.420000;5.810196e+00;-4.798955e+00;4.952149e+00;4.947374e+00;-7.620114e+00;8.225403e-01;4.085964e+00;-1.594928e+01;-7.064798e+00;3.499967e+00;-8.548022e+00;4.578145e+00;6.009352e+00;5.524673e-01
43;0.430000;5.952312e+00;-4.604181e+00;4.793911e+00;4.133374e+00;-7.774810e+00;1.370573e+00;5.479816e+00;-1.603077e+01;-5.421230e+00;2.269614e+00;-9.601349e+00;3.314138e+00;6.740475e+00;5.513306e-01
44;0.440000;6.482437e+00;-4.637970e+00;2.089061e+00;6.189346e-04;-8.785651e+00;4.113990e+00;8.211501e+00;-1.435123e+01;-6.718714e+00;1.143530e+00;-6.330646e+00;1.835818e+00;4.036149e+00;1.231590e+00
45;0.450000;6.596496e+00;-4.125486e+00;-6.538484e-01;-5.212150e+00;-8.843471e+00;8.030262e+00;7.258324e+00;-1.226191e+01;-7.791202e+00;-3.441443e-01;7.590489e-01;-1.198864e+00;2.073355e+00;2.701546e+00
46;0.460000;6.385006e+00;-3.336422e+00;-2.145097e+00;-7.141579e+00;-8.094600e+00;8.760845e+00;6.126258e+00;-1.193046e+01;-5.168981e+00;-4.110889e-01;3.901202e+00;-3.896657e+00;2.637034e+00;3.743408e+00
47;0.470000;6.023104e+00;-2.810846e+00;-2.980571e+00;-7.391620e+00;-8.751744e+00;8.228773e+00;6.285654e+00;-1.191556e+01;-2.170655e+00;-1.969862e+00;4.386519e+00;-6.018316e+00;2.428757e+00;3.802910e+00
48;0.480000;6.610152e+00;-3.031672e+00;-3.183737e+00;-5.710346e+00;-9.945941e+00;8.512972e+00;6.803413e+00;-1.065282e+01;-1.158746e+00;-3.230196e+00;2.553195e+00;-7.011791e+00;4.428136e+00;3.243965e+00
49;0.490000;7.241239e+00;-3.368417e+00;-2.220111e+00;-4.222835e+00;-1.120100e+01;8.452348e+00;7.073716e+00;-1.021986e+01;-1.334097e+00;-3.319997e+00;8.481913e-01;-7.432191e+00;5.715349e+00;2.104324e+00
50;0.500000;7.382120e+00;-3.220657e+00;1.425635e+00;-2.951800e+00;-1.110220e+01;6.682084e+00;8.221300e+00;-1.174405e+01;-4.109726e+00;-2.623301e-01;-2.172060e+00;-6.390469e+00;5.315386e+00;6.432877e-01
