frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.093499e+00;-1.050100e+01;8.672333e-01;6.801190e+00;1.611926e+01;-1.289520e+01;8.957280e+00;3.589891e+00;-1.428989e+00;-3.126244e+00;4.826691e+00;1.140755e+01;1.735821e+00;4.413300e-01
1;0.010000;5.108471e-01;-1.049112e+01;1.497215e+00;-8.565760e-02;7.787189e+00;-1.815826e+01;9.023605e+00;1.508070e+00;-3.786365e+00;1.195408e+00;6.403885e-01;6.282623e+00;-7.380462e-01;2.240288e+00
2;0.020000;2.317460e+00;-7.975564e+00;2.464129e+00;-3.854153e+00;-5.188723e+00;-2.074981e+01;1.496465e+01;3.880730e+00;-1.160895e+01;6.533142e+00;-6.034497e+00;1.734908e+00;-3.792017e+00;5.702057e+00
3;0.030000;9.262023e-01;-8.767031e+00;7.789218e-01;-3.784772e+00;-7.031582e+00;-1.877962e+01;1.812487e+01;5.962924e+00;-1.268587e+01;6.976150e+00;-8.187554e+00;2.723443e+00;-4.545508e+00;9.174232e+00
4;0.040000;-1.605564e+00;-1.044188e+01;-2.925654e+00;-3.604120e+00;-6.078209e+00;-1.483887e+01;2.129344e+01;8.149658e+00;-1.020522e+01;5.886352e+00;-8.868772e+00;3.161358e+00;-5.772087e+00;1.073422e+01
5;0.050000;-3.113718e+00;-1.055253e+01;-4.194940e+00;-4.583740e+00;-5.170156e+00;-1.103773e+01;2.366933e+01;9.995661e+00;-8.915491e+00;4.567868e+00;-9.291532e+00;2.333245e+00;-7.993053e+00;1.090603e+01
6;0.060000;-3.375309e+00;-9.175816e+00;-2.224592e+00;-6.071545e+00;-6.194458e+00;-1.015135e+01;1.928568e+01;8.319965e+00;-8.816408e+00;3.579286e+00;-7.730239e+00;3.868293e+00;-9.104764e+00;1.077020e+01
7;0.070000;-3.243642e+00;-9.024191e+00;-3.520784e-02;-5.835618e+00;-7.107399e+00;-1.146901e+01;1.216795e+01;7.488677e+00;-6.902945e+00;2.737343e+00;-6.677524e+00;5.092690e+00;-1.114874e+01;1.076056e+01
8;0.080000;-9.842625e-01;-8.743586e+00;1.447813e+00;-5.017822e+00;-8.880531e+00;-1.174062e+01;6.660131e+00;8.619779e+00;-4.777174e+00;-1.351054e+00;-6.944257e+00;3.937372e+00;-1.252006e+01;1.002190e+01
9;0.090000;-5.981541e-02;-5.585346e+00;-2.100748e-01;-3.715913e+00;-7.586895e+00;-1.053925e+01;5.342442e+00;7.646126e+00;-1.961673e+00;-4.032854e+00;-6.925796e+00;2.051273e+00;-9.300220e+00;9.539604e+00
