frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.685873e+00;4.564343e+00;4.889146e+00;-4.185387e+00;8.076004e+00;-6.622263e+00;-7.014079e+00;5.816460e-01;-3.116050e+00;4.181037e-01;-4.453559e+00;-1.540265e+00;-2.623747e+00;-4.000977e+00
1;0.010000;4.804220e+00;3.938344e+00;3.240575e+00;-1.167933e+01;1.046004e+01;-8.725544e+00;-1.076674e+01;1.862648e+00;6.003278e-01;4.990385e+00;-5.511254e+00;-2.545070e+00;-4.671168e-01;-1.887398e+00
2;0.020000;5.511865e+00;4.295095e+00;2.277315e-01;-1.207780e+01;1.181783e+01;-1.054812e+01;-1.170962e+01;1.580028e+00;1.676180e+00;6.299472e+00;-2.956531e+00;-2.119281e+00;2.529897e+00;-1.554253e+00
3;0.030000;6.876165e+00;4.821737e+00;-2.915970e+00;-8.218503e+00;1.143860e+01;-1.033019e+01;-1.035017e+01;-3.263844e+00;-5.323094e-01;7.383653e+00;-3.826272e+00;-2.173556e+00;2.902293e+00;-2.575256e+00
4;0.040000;8.514209e+00;4.379828e+00;-2.206779e+00;-3.831594e+00;8.386992e+00;-6.200076e+00;-7.067174e+00;-5.233437e+00;-2.436938e+00;5.373338e+00;-1.494289e+00;-1.180748e+00;1.095917e+00;-4.338402e+00
5;0.050000;8.792466e+00;4.079010e+00;2.978227e-01;2.160523e+00;5.067713e+00;-1.596616e+00;-1.375518e+00;-4.220276e-01;-4.803573e+00;1.482587e-01;3.961823e+00;1.052126e+00;1.048754e+00;-7.111763e+00
6;0.060000;7.411554e+00;4.740997e+00;1.548030e+00;6.380123e+00;5.333644e+00;3.061419e-01;8.524551e-01;1.831287e+00;-6.039015e+00;-1.891063e+00;5.286215e+00;1.089244e-01;1.546270e+00;-9.914856e+00
7;0.070000;6.011574e+00;6.816645e+00;2.017480e+00;8.025141e+00;9.071050e+00;1.802478e+00;-1.816232e+00;3.455694e+00;-2.693633e+00;1.764665e+00;7.703609e+00;2.910836e+00;-3.647757e-02;-1.229084e+01
8;0.080000;4.845161e+00;8.102610e+00;3.421530e+00;9.723322e+00;8.292932e+00;1.438447e+00;-3.635472e+00;3.522227e+00;-1.246358e+00;1.198707e+00;6.347085e+00;3.018605e+00;-7.592177e-01;-1.372930e+01
9;0.090000;7.971952e-01;1.804970e+00;5.889417e+00;7.026002e+00;8.092780e+00;-6.893953e+00;6.448635e+00;1.168573e+01;-4.829352e+00;-1.395432e+00;1.724009e+00;-3.185010e-01;4.675574e-01;-9.803894e+00
10;0.100000;-2.125128e+00;-4.028960e+00;2.177381e+00;1.355174e+00;5.992119e+00;-8.722048e+00;8.334503e+00;1.143155e+01;-2.317118e+00;1.973311e+00;1.496348e+00;2.054906e-01;-1.228841e+00;-2.660606e+00
11;0.110000;-1.866574e+00;-4.497828e+00;2.130940e+00;1.123413e+00;6.796138e+00;-5.453050e+00;7.104218e+00;8.570111e+00;-1.834613e+00;2.597543e+00;-2.877069e-01;1.260266e+00;-2.640803e+00;5.927582e-01
12;0.120000;-2.622967e-01;-3.283678e+00;3.857904e+00;1.822560e+00;8.642414e+00;-4.944954e-01;5.020242e+00;4.608958e+00;-1.416484e+00;4.415861e-01;-2.529148e+00;2.751223e+00;-4.432907e+00;6.906738e-01
13;0.130000;3.118089e+00;-2.392166e+00;2.873442e-01;-2.274709e+00;7.598023e+00;1.074326e+00;6.473236e-01;-1.818682e+00;-2.849499e+00;1.427197e+00;2.779196e+00;3.642153e+00;-7.378455e+00;2.422409e-01
14;0.140000;5.922718e+00;-2.053126e+00;-6.156720e+00;-2.459909e+00;3.444114e+00;1.663432e-01;-1.096597e+00;-4.475277e+00;-2.809831e+00;4.968011e+00;9.012786e+00;-1.719781e+00;-9.568129e+00;8.203278e-01
15;0.150000;7.691562e+00;-3.093387e+00;-1.011468e+01;2.744865e+00;-3.615250e+00;-3.763466e-01;-1.553802e+00;-7.233809e+00;9.417076e-01;7.101675e+00;9.280384e+00;-6.630437e+00;-5.697708e+00;2.245163e+00
16;0.160000;7.409349e+00;-5.264622e+00;-1.124607e+01;4.142169e+00;-4.526958e+00;-5.023113e+00;-2.474666e+00;-8.671867e+00;9.636599e-01;8.302033e+00;4.906650e+00;-9.988716e+00;-4.542304e+00;3.291138e+00
17;0.170000;7.450664e+00;-7.468925e+00;-1.017982e+01;3.843072e+00;-3.411631e+00;-4.645878e+00;-1.290785e+00;-5.741302e+00;2.331737e+00;1.173997e+01;1.851444e+00;-9.244801e+00;-4.559766e+00;3.734367e+00
18;0.180000;8.748898e+00;-1.026237e+01;-1.277375e+01;3.197099e+00;-6.175245e+00;-2.038434e+00;-1.071527e+00;-2.657431e+00;5.261800e+00;1.459427e+01;-3.174279e+00;-9.235992e+00;-5.120632e+00;5.227661e+00
19;0.190000;9.255587e+00;-1.153849e+01;-1.476548e+01;4.588846e+00;-9.469278e+00;2.246298e+00;-2.454890e+00;3.645687e-01;8.575577e+00;1.242266e+01;-3.461444e+00;-9.660688e+00;-6.461137e+00;5.451004e+00
20;0.200000;8.487814e+00;-1.203961e+01;-1.583574e+01;2.596354e+00;-7.934521e+00;5.260777e+00;-6.036863e-01;5.019414e+00;9.353322e+00;8.002576e+00;-2.624836e+00;-1.072614e+01;-7.132292e+00;5.327301e+00
21;0.210000;8.109543e+00;-1.154964e+01;-1.531823e+01;5.649304e-01;-1.739085e+00;5.402244e+00;4.560382e+00;9.088711e+00;7.383905e+00;7.450909e+00;-3.185081e+00;-9.542030e+00;-7.137647e+00;6.344704e+00
22;0.220000;5.907797e+00;-1.255878e+01;-1.615622e+01;-3.463331e+00;-7.716990e-01;4.189965e+00;4.080301e+00;6.754455e+00;3.109594e+00;4.071535e+00;-6.779397e+00;-1.336725e+01;-9.560648e+00;7.138496e+00
23;0.230000;3.505352e+00;-1.239702e+01;-1.367729e+01;-4.932867e+00;1.657971e+00;5.834917e+00;5.862555e+00;6.748414e+00;2.316669e+00;4.689964e+00;-5.433292e+00;-1.447149e+01;-8.574127e+00;8.251152e+00
24;0.240000;2.104352e+00;-1.144898e+01;-1.297451e+01;-3.680553e+00;8.231440e-01;5.240903e+00;4.196106e+00;5.335448e+00;1.027904e+00;4.422583e+00;-5.142766e+00;-1.404370e+01;-6.495970e+00;8.255508e+00
25;0.250000;2.093786e+00;-7.860452e+00;-1.246928e+01;-7.819304e-01;1.489924e+00;4.714146e+00;2.308243e+00;5.353881e+00;-2.223091e+00;3.138882e+00;-6.779670e+00;-1.100062e+01;-1.364349e+00;7.296608e+00
26;0.260000;1.013157e+00;-3.925265e+00;-1.065724e+01;-1.019755e+00;5.949051e+00;1.875130e+00;4.834036e+00;4.815303e+00;-1.988188e+00;-4.281580e-02;-8.802063e+00;-7.931784e+00;2.982471e+00;6.846947e+00
27;0.270000;-3.467380e+00;1.423090e+00;-9.934315e+00;-7.331740e+00;1.057225e+01;-7.490943e+00;5.705909e+00;4.826880e+00;-2.510480e+00;-3.557085e+00;-1.241654e+01;-9.180830e+00;1.026325e+00;6.742958e+00
28;0.280000;-9.317490e+00;5.830860e+00;-6.330859e+00;-9.175825e+00;1.177492e+01;-1.030945e+01;3.531577e+00;5.449138e+00;-4.813269e+00;-5.051850e+00;-1.147798e+01;-6.134709e+00;-2.421385e+00;6.628258e+00
29;0.290000;-1.408223e+01;6.724668e+00;-3.358750e+00;-5.955814e+00;1.495821e+01;-6.768011e+00;3.004233e+00;5.359054e+00;-3.554184e+00;-1.237806e+00;-8.093899e+00;-2.761281e+00;-5.369730e+00;6.153969e+00
30;0.300000;-1.668132e+01;5.936309e+00;-2.764090e+00;-4.657672e+00;1.459531e+01;-8.121632e+00;3.987215e+00;7.044207e+00;-1.543858e+00;4.124972e-01;-8.895662e+00;-9.881983e-01;-6.615812e+00;5.436195e+00
31;0.310000;-1.684123e+01;4.811470e+00;-2.935243e+00;-3.959743e+00;1.426983e+01;-9.160742e+00;6.216978e+00;8.866385e+00;8.787506e-01;2.188111e+00;-7.581460e+00;1.350199e+00;-5.606009e+00;5.295486e+00
32;0.320000;-1.649863e+01;3.096918e+00;-2.203662e+00;-3.143994e+00;1.558100e+01;-5.424226e+00;7.396679e+00;9.442295e+00;1.424163e+00;1.966009e+00;-4.647738e+00;1.106121e+00;-5.340364e+00;5.075829e+00
33;0.330000;-1.693621e+01;2.895451e+00;1.499598e+00;-5.962925e-01;1.639523e+01;9.811292e-01;8.376083e+00;1.023500e+01;4.355060e-01;3.722426e-01;-2.241661e+00;5.695844e-01;-4.868419e+00;3.573769e+00
34;0.340000;-1.658359e+01;2.010696e+00;5.019714e+00;-7.418985e-01;1.109489e+01;4.275405e+00;1.096342e+01;1.287288e+01;3.307484e+00;5.173914e-01;-1.762952e+00;-2.001722e+00;-7.396514e+00;1.495377e+00
35;0.350000;-1.380669e+01;-7.700980e-01;6.231589e+00;-1.433324e+00;7.858611e+00;5.866128e+00;1.176818e+01;1.079474e+01;5.181120e+00;-5.312562e-03;4.850464e-01;-3.263323e+00;-7.420393e+00;-5.654678e-01
36;0.360000;-1.031208e+01;-2.497591e+00;6.325518e+00;-3.769183e-01;8.492663e+00;5.743974e+00;9.820271e+00;8.243994e+00;4.043494e+00;-6.940253e-01;-4.181008e-01;-5.358160e+00;-3.710037e+00;-2.900398e+00
37;0.370000;-4.143364e+00;6.996050e-01;4.829496e+00;3.497362e-01;8.166019e+00;1.114311e+00;4.295122e+00;2.290902e+00;-5.930003e-01;-8.714013e-01;-2.070750e+00;-6.280210e+00;-1.521451e+00;-3.756798e+00
38;0.380000;1.828786e+00;-1.279446e+00;1.489025e+00;1.856236e+00;2.147256e+00;-2.197003e+00;2.448627e+00;-9.788040e+00;-7.394995e+00;-4.188045e+00;-5.193312e+00;-4.927906e+00;2.719412e+00;-7.877197e-01
39;0.390000;4.176441e+00;-3.988274e+00;8.522861e-01;6.223065e+00;-2.615959e+00;-2.294811e+00;1.877536e+00;-1.358723e+01;-8.038644e+00;-5.712147e+00;-6.795311e+00;-3.640120e+00;5.570951e+00;1.493225e+00
40;0.400000;4.769982e+00;-5.169736e+00;-1.261957e+00;7.739535e+00;-5.419075e+00;-1.846249e+00;2.379711e+00;-1.187858e+01;-6.724501e+00;-8.749052e+00;-6.524639e+00;-5.975348e+00;6.978808e+00;2.192947e+00
41;0.410000;5.417428e+00;-4.207132e+00;-4.386781e+00;3.372511e+00;-6.391563e+00;-3.240050e+00;4.671887e+00;-6.925297e+00;-3.797419e+00;-6.316587e+00;-1.108958e+00;-9.288105e+00;6.317443e+00;2.791237e+00
42;0.420000;5.850620e+00;-2.861348e+00;-7.533452e+00;-6.183910e-02;-7.671417e+00;-5.125336e+00;7.801716e+00;-5.054296e+00;-1.119489e+00;-2.979662e+00;9.382854e-01;-7.525388e+00;6.479776e+00;3.147026e+00
43;0.430000;6.214697e+00;-1.171607e+00;-9.410895e+00;-1.143372e+00;-7.310005e+00;-7.633247e+00;1.143147e+01;-1.863873e+00;1.657100e+00;-1.282815e+00;1.713176e+00;-5.537201e+00;7.649478e+00;2.608742e+00
44;0.440000;6.178328e+00;4.115582e-01;-9.724087e+00;-3.884295e+00;-4.968498e+00;-9.212542e+00;1.186634e+01;2.083335e+00;-1.180204e-01;-4.816742e-01;2.336111e+00;-6.751808e+00;8.864646e+00;1.885071e+00
45;0.450000;6.719291e+00;2.086340e+00;-9.645504e+00;-6.695684e+00;-1.841535e+00;-1.107932e+01;1.074920e+01;4.773817e+00;-2.994195e+00;4.473542e+00;1.771159e+00;-4.786022e+00;8.599932e+00;1.064880e+00
46;0.460000;7.161947e+00;2.991062e+00;-9.339715e+00;-7.642855e+00;5.684853e-02;-1.145229e+01;9.583481e+00;5.033736e+00;-3.782261e+00;6.604366e+00;2.878151e+00;-3.037755e+00;7.442307e+00;2.286911e-01
47;0.470000;7.852109e+00;4.170557e+00;-8.893038e+00;-8.246009e+00;2.368616e+00;-1.094700e+01;8.177969e+00;6.172431e+00;-5.689931e+00;6.073829e+00;5.899158e+00;-2.799100e+00;7.500423e+00;-8.198318e-01
48;0.480000;8.392431e+00;5.877502e+00;-8.800938e+00;-9.023712e+00;3.619432e+00;-8.365395e+00;9.423321e+00;4.914574e+00;-8.860011e+00;5.952072e+00;7.945763e+00;-2.643668e+00;9.816260e+00;-1.707741e+00
49;0.490000;8.540274e+00;6.887020e+00;-9.213656e+00;-9.447320e+00;5.642356e+00;-6.299729e+00;9.020580e+00;1.284947e+00;-1.145677e+01;5.638688e+00;7.419245e+00;-3.389115e-01;9.677205e+00;-2.029114e+00
50;0.500000;8.193376e+00;6.919672e+00;-9.115179e+00;-7.821818e+00;9.242193e+00;-4.949391e+00;7.534808e+00;-3.571672e+00;-1.084948e+01;7.121259e+00;7.307433e+00;1.970047e+00;9.372055e+00;-1.840958e+00
51;0.510000;6.344653e+00;6.106776e+00;-5.628212e+00;-7.204549e+00;1.174785e+01;-2.109595e+00;3.153423e+00;-5.007404e+00;-1.100976e+01;4.984956e+00;9.637842e+00;1.759764e+00;7.366429e+00;-1.595688e+00
52;0.520000;3.239212e+00;6.109055e+00;-2.017207e+00;-8.291237e+00;1.485312e+01;1.990490e+00;-3.012119e+00;-3.044737e+00;-1.109650e+01;1.932377e+00;1.158136e+01;6.188822e-01;1.739507e+00;-1.088379e+00
53;0.530000;1.271911e+00;7.042906e+00;-1.656995e-01;-7.607430e+00;1.689447e+01;4.065570e+00;-5.420651e+00;-2.441788e-01;-8.593758e+00;7.302078e-01;1.217283e+01;1.041899e+00;-5.118957e-01;-2.256020e+00
54;0.540000;1.011865e+00;7.198523e+00;4.587772e-01;-5.572742e+00;1.527368e+01;2.399059e+00;-4.629479e+00;5.274251e+00;-5.263103e+00;1.849115e+00;1.487082e+01;3.017740e+00;1.150057e+00;-5.868690e+00
55;0.550000;2.821944e+00;6.041744e+00;3.693223e-02;5.053458e-01;9.361622e+00;1.938963e+00;-2.520902e+00;6.760911e+00;-3.479056e+00;-2.478390e+00;1.187530e+01;2.818600e+00;6.377294e+00;-9.871162e+00
56;0.560000;1.450839e+00;4.134292e+00;-1.403949e+00;9.575138e-01;7.171744e+00;2.113538e+00;-3.656039e+00;2.926580e+00;-6.750237e+00;-7.411208e+00;1.035680e+01;2.199352e+00;5.879729e+00;-1.190030e+01
57;0.570000;1.881227e-01;3.764840e+00;-1.528253e+00;-3.424888e-01;5.018922e+00;2.672821e+00;-2.205183e+00;4.078097e+00;-5.369081e+00;-3.286022e+00;1.025729e+01;2.040817e+00;5.093678e+00;-1.329070e+01
58;0.580000;-8.089375e-01;3.689448e+00;-8.795733e-01;1.401850e+00;4.204812e+00;-1.014606e+00;-1.863957e+00;5.138766e+00;-4.858100e+00;-2.574138e+00;6.131645e+00;4.321914e-01;4.020548e+00;-1.416634e+01
59;0.590000;-1.943730e+00;2.447810e+00;-1.688640e+00;3.570710e+00;4.730937e+00;-2.895280e+00;-6.158390e-01;7.461297e+00;-2.084512e+00;-4.654124e+00;5.625854e+00;1.794223e+00;2.465961e+00;-1.478255e+01
60;0.600000;-5.675813e+00;-5.447943e-01;3.732934e+00;-2.602766e+00;1.356483e+01;3.009957e+00;8.986845e-01;1.525918e+01;-1.765213e+00;3.926109e+00;1.131027e+01;4.771741e+00;6.455609e+00;-1.240184e+01
61;0.610000;-8.973679e+00;-6.296691e+00;5.914895e+00;-7.997377e+00;1.912448e+01;1.050879e+00;2.117682e+00;1.216081e+01;-5.547407e+00;5.223081e+00;5.159971e+00;6.723950e+00;1.242967e+00;-3.924393e+00
62;0.620000;-9.264162e+00;-6.212633e+00;3.346427e+00;-1.116533e+01;1.692084e+01;-3.116138e+00;4.937115e-01;9.795723e+00;-4.631423e+00;5.313226e+00;2.524338e+00;4.849174e+00;6.084113e-01;1.730385e+00
63;0.630000;-6.873260e+00;-2.555013e+00;4.012445e+00;-1.099728e+01;1.631601e+01;-6.228383e+00;-1.841316e+00;6.948877e+00;-3.608670e+00;6.360448e+00;1.650516e+00;3.568133e+00;-4.315042e-02;3.355148e+00
64;0.640000;-7.301497e-01;1.020936e+00;5.809641e-01;-1.409704e+01;1.264163e+01;-9.167551e+00;-6.912526e+00;-4.298115e-01;-3.452035e+00;1.137892e+01;2.162841e+00;-7.866855e-01;-3.385015e+00;3.570152e+00
65;0.650000;3.386574e+00;7.919040e-01;-4.510828e+00;-1.363565e+01;7.209536e+00;-3.332124e+00;-1.014694e+01;-4.770704e+00;-2.773955e+00;1.207492e+01;2.456365e+00;-5.137697e+00;-1.142283e+00;3.960381e+00
66;0.660000;4.781666e+00;-2.847285e-01;-7.245638e+00;-1.052894e+01;2.835651e+00;1.949985e+00;-9.291463e+00;-5.953838e+00;2.507455e-01;9.541459e+00;3.042088e+00;-4.391643e+00;-1.568349e+00;4.361374e+00
67;0.670000;5.616192e+00;-2.717906e+00;-9.048591e+00;-9.391219e+00;-9.653645e-01;6.680993e+00;-8.386699e+00;-7.730904e+00;8.140424e-01;6.854825e+00;2.873933e+00;-5.003827e+00;-3.091644e+00;4.574303e+00
68;0.680000;6.170097e+00;-4.693098e+00;-8.636543e+00;-1.088843e+01;-2.046981e+00;8.754428e+00;-5.625241e+00;-9.080349e+00;1.042023e+00;4.192573e+00;4.438133e+00;-5.849380e+00;-5.088191e+00;4.824028e+00
69;0.690000;6.742613e+00;-5.193376e+00;-7.202702e+00;-1.175230e+01;-1.884562e+00;9.497912e+00;-3.157144e+00;-6.786356e+00;1.196243e+00;3.234864e+00;4.320718e+00;-4.402894e+00;-5.111822e+00;4.669434e+00
70;0.700000;6.719012e+00;-4.885044e+00;-8.204747e+00;-1.113008e+01;-3.634096e+00;1.143442e+01;-3.478599e+00;-2.826309e+00;-5.176383e-01;3.216578e+00;1.136339e+00;-2.266191e+00;-5.246247e+00;4.405403e+00
71;0.710000;6.311989e+00;-3.859575e+00;-1.043947e+01;-1.003116e+01;-3.647247e+00;1.339683e+01;-2.480756e+00;-1.245918e+00;-3.149902e-01;3.788850e+00;4.036121e-01;-8.209848e-01;-6.656674e+00;4.643097e+00
72;0.720000;5.907207e+00;-3.740506e+00;-1.281035e+01;-1.002913e+01;-3.979433e+00;1.315719e+01;-2.268303e+00;-2.710270e+00;-5.768911e-01;2.403443e+00;3.584538e-01;-1.376284e+00;-8.398436e+00;4.463135e+00
73;0.730000;6.978471e+00;-3.319627e+00;-1.246340e+01;-1.004483e+01;-3.018579e+00;1.443861e+01;-2.255898e+00;-2.512512e+00;1.293700e-01;3.236133e+00;3.590585e+00;-7.023215e-01;-8.243893e+00;4.453606e+00
74;0.740000;7.719685e+00;-4.041914e+00;-1.108883e+01;-1.124993e+01;-2.105951e+00;1.418900e+01;-3.383927e+00;-2.462685e+00;2.620006e-02;4.565889e+00;4.348624e+00;-1.551619e+00;-7.607695e+00;4.595833e+00
75;0.750000;7.900678e+00;-4.638794e+00;-1.002939e+01;-1.064316e+01;-1.890099e+00;1.403178e+01;-3.735223e+00;-8.427067e-01;1.580709e+00;4.338183e+00;4.174897e+00;-1.491881e+00;-6.330781e+00;4.908791e+00
76;0.760000;7.582587e+00;-6.083609e+00;-9.855151e+00;-1.078825e+01;-2.300454e+00;1.200068e+01;-4.807443e+00;-8.511333e-01;1.504176e+00;2.505684e+00;3.995943e+00;-2.908351e+00;-7.949826e+00;5.279816e+00
77;0.770000;7.003764e+00;-5.780670e+00;-1.066041e+01;-9.120444e+00;-3.806442e+00;1.140573e+01;-5.170541e+00;9.885311e-01;1.052011e+00;2.971704e+00;3.184854e+00;-3.934079e+00;-9.308714e+00;5.573891e+00
78;0.780000;7.108188e+00;-5.785540e+00;-1.120550e+01;-7.278966e+00;-5.737394e+00;1.388700e+01;-5.906985e+00;1.789510e+00;1.431222e+00;4.719528e+00;4.092423e+00;-5.303420e+00;-1.071523e+01;5.648880e+00
79;0.790000;7.534192e+00;-5.785293e+00;-1.178306e+01;-5.768145e+00;-5.257919e+00;1.607134e+01;-6.001296e+00;1.979924e+00;2.832972e+00;6.397021e+00;4.608798e+00;-6.262762e+00;-1.042174e+01;5.417908e+00
80;0.800000;7.516405e+00;-5.778429e+00;-1.318159e+01;-5.759064e+00;-4.413521e+00;1.379264e+01;-7.707923e+00;8.245068e-01;3.835614e+00;7.065084e+00;6.176161e+00;-6.447600e+00;-1.011074e+01;5.373734e+00
81;0.810000;7.343125e+00;-6.117792e+00;-1.474006e+01;-6.491868e+00;-4.496065e+00;1.121861e+01;-9.228478e+00;9.244404e-01;3.017601e+00;8.363459e+00;7.948915e+00;-5.755236e+00;-8.721649e+00;5.226974e+00
82;0.820000;7.214678e+00;-4.846466e+00;-1.383497e+01;-6.779076e+00;-2.397141e+00;1.100471e+01;-8.605184e+00;1.883663e+00;2.290469e+00;9.071120e+00;1.004265e+01;-4.735829e+00;-5.076425e+00;4.842331e+00
83;0.830000;6.368829e+00;-3.288236e+00;-1.436779e+01;-5.806520e+00;-2.516816e+00;6.660040e+00;-1.011924e+01;7.059021e-01;-5.490342e-01;6.983110e+00;8.748809e+00;-6.168578e+00;-1.180045e+00;4.273247e+00
84;0.840000;6.790794e+00;-1.339032e+00;-1.226429e+01;1.299672e-01;-1.878161e+00;2.307907e+00;-7.421065e+00;2.750331e+00;2.472873e+00;7.893382e+00;1.039611e+01;-3.855864e+00;2.671221e+00;3.617203e+00
85;0.850000;5.828269e+00;-2.665416e+00;-8.249003e+00;4.286755e+00;-3.784405e+00;-1.702551e+00;-8.695003e+00;-3.906788e+00;6.790995e+00;3.440817e+00;7.049378e+00;-4.375748e+00;2.652806e+00;2.234482e+00
86;0.860000;5.409445e+00;-4.488513e+00;-4.737143e+00;1.159204e+01;-3.295310e+00;-2.596178e-01;-9.583566e+00;-6.730362e+00;1.123368e+01;6.402749e-01;7.739509e+00;-3.616471e+00;8.220019e-01;1.361748e+00
87;0.870000;5.338380e+00;-3.812591e+00;-1.865304e+00;1.594436e+01;-4.798458e+00;-3.517551e-01;-9.281079e+00;-5.088232e+00;1.479792e+01;5.760723e-01;6.698021e+00;-4.660999e+00;-8.743310e-01;9.211655e-01
88;0.880000;4.203866e+00;-3.290554e+00;-6.053388e-01;1.499913e+01;-3.100304e+00;-2.382031e+00;-1.021816e+01;-4.951143e+00;1.333205e+01;-6.057807e-01;5.621498e+00;-7.715465e+00;-3.933818e+00;6.838684e-01
89;0.890000;1.848803e+00;-3.547047e+00;3.375546e+00;9.249633e+00;2.705911e+00;2.290782e+00;-1.208585e+01;-3.856836e+00;9.674742e+00;-6.718017e+00;5.812463e+00;-4.309586e+00;-1.237623e+00;1.168282e+00
90;0.900000;1.253114e+00;-3.667131e+00;3.755462e+00;3.376317e+00;3.255334e+00;3.352610e+00;-1.122073e+01;-2.769014e+00;8.761921e+00;-7.222065e+00;5.837463e+00;1.086254e+00;1.878481e+00;1.270996e+00
91;0.910000;1.883613e+00;-3.241710e+00;1.825576e+00;3.271320e+00;4.551492e+00;1.658800e+00;-9.247685e+00;-1.583708e+00;8.094200e+00;-5.555763e+00;6.042160e+00;5.190694e+00;2.395978e+00;5.461121e-02
