frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.356026e+00;-3.045073e+00;1.469243e+00;2.222716e+01;1.681930e+01;3.669631e+00;7.825766e-01;7.071743e+00;1.253316e+00;8.928761e+00;3.971820e+00;9.944533e-01;7.429938e+00;-3.060723e+01
1;0.010000;-1.964274e+00;-4.158185e+00;5.077118e-01;2.250807e+01;1.493218e+01;5.411467e+00;4.662033e+00;1.002809e+01;4.354319e+00;1.317736e+01;5.927523e+00;-2.277324e+00;6.685076e+00;-3.182456e+01
2;0.020000;-1.249862e+00;-3.213248e+00;6.363494e-01;2.301182e+01;1.301912e+01;4.976093e+00;4.293129e+00;1.044161e+01;6.683871e+00;1.366390e+01;7.716519e+00;-2.118288e+00;9.751304e+00;-3.200889e+01
3;0.030000;-8.821659e-01;-2.641402e+00;2.578043e-01;2.269358e+01;1.500437e+01;4.864678e+00;3.190984e+00;1.045484e+01;8.748572e+00;1.269555e+01;7.529952e+00;1.883270e+00;1.175560e+01;-3.212672e+01
4;0.040000;-6.413736e-01;-2.478493e+00;1.198060e+00;2.154292e+01;1.433393e+01;4.188905e+00;2.377794e+00;9.917274e+00;6.999106e+00;1.229741e+01;6.255095e+00;4.025456e+00;1.336654e+01;-3.214630e+01
5;0.050000;-1.331499e+00;-2.976093e+00;2.858689e+00;2.225851e+01;1.371165e+01;3.273191e+00;2.678159e+00;7.327010e+00;4.035699e+00;1.340575e+01;4.615734e+00;2.656484e+00;1.371659e+01;-3.250934e+01
6;0.060000;-2.483437e+00;-3.569460e+00;2.440025e+00;2.257363e+01;1.652269e+01;4.192298e+00;4.062176e-03;3.084898e+00;1.195765e+00;1.431905e+01;6.807877e+00;2.567122e+00;1.187279e+01;-3.325096e+01
7;0.070000;-2.077005e+00;-3.448138e+00;1.171529e+00;2.018129e+01;1.861793e+01;7.139463e+00;1.113407e+00;5.799522e+00;1.442229e+00;1.384547e+01;9.046334e+00;4.094596e+00;1.087185e+01;-3.278358e+01
8;0.080000;-9.173183e-01;-4.135459e+00;4.603364e-01;1.668252e+01;1.397427e+01;1.007973e+01;4.087636e+00;8.019412e+00;3.680715e+00;1.306863e+01;6.447634e+00;6.628053e+00;8.735279e+00;-3.141300e+01
9;0.090000;3.778343e-01;-4.088055e+00;1.484120e+00;1.543634e+01;1.007882e+01;1.152478e+01;3.414471e+00;7.776541e+00;5.040616e+00;1.047525e+01;2.957475e+00;8.392852e+00;8.623172e+00;-3.019686e+01
10;0.100000;-1.327486e-01;-4.454099e+00;1.360231e+00;1.399397e+01;8.812112e+00;8.865034e+00;2.353973e+00;5.000666e+00;7.289248e+00;1.003313e+01;1.499424e+00;8.099012e+00;8.690315e+00;-2.954890e+01
11;0.110000;-7.452660e-01;-4.055929e+00;-2.217046e-01;1.419834e+01;1.199031e+01;6.234913e+00;5.811064e+00;7.592382e-01;5.732674e+00;8.102211e+00;-4.080153e-01;8.578268e+00;8.987131e+00;-2.881288e+01
12;0.120000;4.966316e-01;-2.016729e+00;1.650527e-01;1.423701e+01;1.230250e+01;2.603235e+00;4.018815e+00;-1.113376e+00;2.727804e+00;6.632966e+00;-4.114037e-01;9.154395e+00;9.359955e+00;-2.777831e+01
13;0.130000;7.548390e+00;6.190797e+00;4.480870e+00;1.410248e+01;8.307606e+00;-2.106331e+00;-1.306317e+00;-5.719738e-01;5.441090e+00;6.656870e+00;-2.581311e+00;3.737475e+00;3.279877e+00;-2.416031e+01
14;0.140000;1.382449e+01;8.739042e+00;4.591631e-01;6.616285e+00;9.657698e-01;-7.251545e+00;-2.927778e+00;-1.038188e+00;2.298129e+00;4.123369e+00;-4.662885e+00;3.209168e+00;2.821874e+00;-1.941502e+01
15;0.150000;1.744341e+01;1.016671e+01;-2.278553e+00;-3.049356e+00;-6.420965e+00;-5.634150e+00;-1.720856e+00;-3.939089e+00;9.882388e-01;3.256686e+00;-5.272389e+00;4.402547e+00;1.368225e+00;-1.599798e+01
16;0.160000;1.720929e+01;7.184956e+00;-5.540680e+00;-8.204222e+00;-1.469956e+01;-7.644952e+00;-4.264486e+00;-9.685905e+00;-1.847839e-02;6.671143e-02;-8.548183e+00;2.408507e+00;-3.262698e+00;-1.413539e+01
17;0.170000;1.732088e+01;8.291203e+00;-4.686881e+00;-6.443628e+00;-1.604351e+01;-6.539298e+00;-2.085852e+00;-6.205726e+00;4.119618e+00;-4.726810e-01;-7.944595e+00;1.413716e+00;-4.541550e+00;-1.334178e+01
18;0.180000;1.693061e+01;1.025416e+01;-2.520270e+00;-3.552332e+00;-1.341966e+01;-8.150433e+00;-1.733889e+00;-2.162260e+00;7.322068e+00;-2.625418e-01;-8.542856e+00;-9.484544e-01;-3.419312e+00;-1.359558e+01
19;0.190000;1.603550e+01;1.247270e+01;-6.254977e-01;1.112148e+00;-6.554697e+00;-7.809546e+00;-5.473642e-01;8.797808e-01;7.732537e+00;2.364876e+00;-6.271739e+00;-1.918246e+00;-2.186603e+00;-1.456907e+01
20;0.200000;1.461230e+01;1.479716e+01;2.719018e+00;4.922169e+00;-3.565413e+00;-8.937794e+00;1.937913e+00;2.462480e+00;4.166550e+00;-8.391218e-01;-6.164772e+00;-2.458989e+00;-1.516233e+00;-1.653918e+01
21;0.210000;1.217974e+01;1.307084e+01;2.051315e+00;6.575045e+00;-3.744443e+00;-1.259353e+01;-7.597251e-01;2.504251e+00;7.054472e-02;-2.455845e+00;-8.259718e+00;-7.002348e+00;-4.049456e+00;-1.793197e+01
22;0.220000;9.748568e+00;1.310753e+01;3.054697e+00;1.246502e+01;1.013359e+00;-1.106657e+01;-1.862441e+00;2.950385e+00;-3.544044e-01;2.515122e+00;-6.344494e+00;-7.591187e+00;-4.922356e+00;-1.865706e+01
23;0.230000;6.576078e+00;1.515837e+01;4.068675e+00;1.390030e+01;7.120962e-01;-1.267772e+01;-2.604798e+00;2.316132e-01;1.185804e+00;4.216861e+00;-9.177116e+00;-1.824075e+00;-6.904045e+00;-1.811772e+01
24;0.240000;5.006121e+00;1.011598e+01;5.819783e+00;1.491049e+01;2.023754e-01;-1.077787e+01;7.593292e+00;8.203440e-01;2.145916e+00;6.202374e+00;-4.683592e+00;9.576846e+00;-6.874271e+00;-1.084930e+01
25;0.250000;4.912141e+00;2.016697e+00;3.559530e+00;3.937798e+00;-1.017395e+01;-2.018531e+01;8.742550e+00;-6.589673e+00;-5.596126e+00;3.833537e+00;-1.178135e+01;1.563857e+01;-2.114759e+01;-3.263161e+00
