frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;8.487661e+00;-6.338801e+00;-6.972600e+00;-5.326343e+00;5.627094e+00;4.815430e+00;4.206238e-01;6.015790e+00;-4.125321e+00;1.189295e+01;-1.464935e+01;-6.140416e+00;1.666202e+00;-3.069443e+00
1;0.010000;5.959437e+00;-8.206002e+00;-6.426482e+00;-7.504471e+00;6.067381e+00;4.082053e+00;-1.524973e+00;6.072518e+00;-6.681812e+00;1.023920e+01;-1.524469e+01;-7.829392e+00;1.796633e+00;-1.340019e+00
2;0.020000;5.730122e+00;-9.499558e+00;-5.404830e+00;-7.979830e+00;7.016768e+00;4.090428e+00;-5.942097e-01;5.698419e+00;-7.844612e+00;8.706138e+00;-1.643482e+01;-6.938912e+00;2.441802e+00;-9.136429e-01
3;0.030000;5.914793e+00;-8.427916e+00;-5.586475e+00;-8.270315e+00;7.511340e+00;2.080743e+00;-1.222610e-03;4.266112e+00;-7.744780e+00;7.445008e+00;-1.832174e+01;-4.871520e+00;1.839477e+00;-2.315498e+00
4;0.040000;6.548294e+00;-4.413705e+00;-4.442549e+00;-6.307778e+00;1.114247e+01;3.731932e+00;2.457744e+00;7.448393e+00;-4.212903e+00;8.915395e+00;-1.727301e+01;-1.756376e+00;3.312814e+00;-4.238235e+00
5;0.050000;6.190952e+00;-2.024293e+00;-4.191958e+00;-5.019815e+00;1.430294e+01;3.141103e+00;3.102820e+00;5.472300e+00;-5.859913e+00;9.915440e+00;-1.805086e+01;-1.514615e+00;4.588515e+00;-7.283989e+00
6;0.060000;5.558364e+00;-4.182310e-01;-2.855298e+00;-4.050536e+00;1.698046e+01;3.214774e+00;4.715852e+00;-1.608534e-01;-7.614491e+00;1.064373e+01;-1.703191e+01;6.624985e-01;4.453986e+00;-1.096742e+01
7;0.070000;5.467121e+00;2.962017e-02;-2.178832e+00;-3.154423e+00;1.722206e+01;3.905966e+00;5.765996e+00;-7.804067e-01;-3.926872e+00;8.979047e+00;-1.539485e+01;7.172012e-01;3.764486e+00;-1.385215e+01
8;0.080000;5.570772e+00;-1.317945e+00;-2.907317e+00;-9.197183e-01;1.752816e+01;3.005060e+00;5.326482e+00;1.351561e+00;-5.680962e-01;4.930779e+00;-1.629558e+01;5.728416e-01;4.739158e+00;-1.583510e+01
9;0.090000;6.266653e+00;-1.682692e+00;-3.461591e+00;-2.104685e-01;1.878602e+01;5.371249e+00;7.376119e+00;1.010585e+00;3.252745e-01;2.857660e+00;-1.760580e+01;-2.090763e+00;2.194584e+00;-1.645200e+01
10;0.100000;8.496474e+00;1.236725e+00;-3.356001e+00;-5.702463e+00;1.586609e+01;3.549672e+00;9.548731e+00;4.698313e+00;6.659555e-01;6.774059e+00;-1.851372e+01;-3.423327e+00;1.509577e+00;-1.443306e+01
11;0.110000;9.814600e+00;8.860383e-01;-2.136526e+00;-9.292761e+00;1.434630e+01;2.953384e+00;8.460652e+00;7.759412e+00;-3.214749e+00;9.362850e+00;-1.858415e+01;-2.669641e+00;3.443529e+00;-1.213773e+01
12;0.120000;9.376108e+00;-9.309182e-01;-2.863281e+00;-8.408613e+00;1.281192e+01;3.682258e+00;4.870491e+00;9.299711e+00;-4.307679e+00;1.231160e+01;-1.740414e+01;-4.727777e+00;5.048615e+00;-1.069292e+01
13;0.130000;7.180765e+00;-6.950603e+00;-3.354847e+00;-7.555438e+00;7.386747e+00;6.070026e+00;-1.179476e+00;1.072657e+01;-3.252927e+00;1.398767e+01;-1.228239e+01;-7.647414e+00;2.101782e+00;-7.314545e+00
14;0.140000;7.430937e+00;-9.184785e+00;-2.639309e+00;-8.952008e+00;3.301311e+00;7.939099e+00;-4.643110e+00;1.173171e+01;-2.116119e+00;1.362842e+01;-9.922920e+00;-9.217984e+00;8.247393e-01;-2.403984e+00
15;0.150000;7.587363e+00;-8.193810e+00;-1.760228e+00;-1.212247e+01;1.123404e+00;6.290948e+00;-6.717812e+00;1.158205e+01;1.849751e+00;1.316615e+01;-7.076956e+00;-1.007672e+01;-1.287009e+00;1.121086e+00
16;0.160000;7.312438e+00;-6.931491e+00;-2.304110e+00;-1.421052e+01;-4.845219e-01;3.864966e+00;-8.183298e+00;1.035020e+01;2.004216e+00;1.300212e+01;-6.448555e+00;-9.356109e+00;-2.780764e+00;3.521767e+00
17;0.170000;5.536637e+00;-4.917293e+00;-2.481533e+00;-1.441441e+01;7.303410e-01;-8.857741e-01;-6.194784e+00;4.654871e+00;1.907073e+00;1.279435e+01;-7.399837e+00;-5.867611e+00;-5.145502e+00;5.118744e+00
18;0.180000;3.779737e+00;-4.037274e+00;-1.364953e+00;-1.146851e+01;7.715934e+00;-5.285198e+00;-4.901531e+00;-3.286810e-01;-8.311062e-01;1.337579e+01;-5.786904e+00;-2.254724e+00;-4.694674e+00;5.427757e+00
19;0.190000;3.027750e+00;-3.494191e+00;4.534090e-01;-7.410236e+00;1.504238e+01;-5.525678e+00;-3.072830e+00;-2.167924e+00;-3.596626e+00;1.254071e+01;-5.977081e+00;-4.294553e+00;-4.943361e+00;3.335846e+00
