frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.511547e+01;1.089802e+01;-5.529872e-01;-2.277976e+00;1.640137e+00;2.734515e+00;3.528275e+00;-7.915629e+00;-1.346565e+01;-7.576671e+00;-1.379740e+00;3.358761e+00;2.048987e+00;-2.217155e+01
1;0.010000;1.555013e+01;1.072416e+01;-1.077121e+00;-3.935258e+00;2.460308e-01;6.645315e+00;1.362095e-01;-1.054061e+01;-1.492355e+01;-1.016825e+01;6.401300e+00;8.768282e-01;-1.213503e+00;-1.974586e+01
2;0.020000;1.399978e+01;7.235512e+00;-5.283250e-01;-6.435887e+00;-1.052835e+00;9.749236e+00;-5.266684e+00;-1.312651e+01;-1.701930e+01;-1.490053e+01;1.029596e+01;1.071718e+00;-2.624395e+00;-1.631731e+01
3;0.030000;1.185813e+01;4.429896e+00;2.699520e-01;-9.209308e+00;-8.162947e-01;1.249943e+01;-7.748758e+00;-1.340783e+01;-1.824988e+01;-1.571454e+01;1.110787e+01;4.618312e+00;-2.047289e+00;-1.233948e+01
4;0.040000;1.059836e+01;3.377161e+00;8.498465e-01;-1.045164e+01;-4.452953e-01;1.471925e+01;-8.954395e+00;-1.369496e+01;-1.887314e+01;-1.352948e+01;1.120931e+01;5.976330e+00;-1.069585e+00;-9.211014e+00
5;0.050000;1.025168e+01;4.456886e+00;2.409184e+00;-1.005155e+01;6.260395e-02;1.500762e+01;-1.124431e+01;-1.147538e+01;-1.791327e+01;-1.039482e+01;1.204439e+01;6.476970e+00;-1.162289e+00;-7.494560e+00
6;0.060000;9.606875e+00;4.648883e+00;2.801575e+00;-1.013882e+01;1.077299e-01;9.906140e+00;-1.545308e+01;-9.877535e+00;-1.734533e+01;-8.589933e+00;9.327651e+00;4.590937e+00;-2.338773e+00;-6.991653e+00
7;0.070000;7.336067e+00;4.492194e+00;3.338046e-01;-1.103413e+01;4.201213e+00;4.242904e+00;-1.599294e+01;-1.458079e+01;-1.500890e+01;-8.413598e+00;5.911104e+00;3.287178e+00;-4.805292e+00;-5.582375e+00
8;0.080000;4.678170e+00;7.614295e+00;-1.437683e+00;-8.418692e+00;9.010683e+00;3.120598e+00;-9.154963e+00;-1.287494e+01;-1.084793e+01;-6.969222e+00;8.594685e+00;6.303915e+00;-5.151907e+00;-4.445244e+00
9;0.090000;1.794275e+00;9.202637e+00;-4.126449e+00;-4.346725e+00;1.148766e+01;-6.543074e-01;-3.284872e+00;-6.393346e+00;-9.564614e+00;-4.361108e+00;7.624199e+00;8.862240e+00;-5.588856e+00;-4.411613e+00
10;0.100000;-5.591516e-01;1.102280e+01;-5.706838e+00;-3.992603e-01;1.196286e+01;-2.229139e+00;5.463314e-01;-2.932357e+00;-1.123528e+01;1.848964e+00;6.225996e+00;1.055614e+01;-2.058537e+00;-4.184898e+00
11;0.110000;-3.931611e+00;1.194320e+01;-6.113041e+00;1.434844e+00;1.300185e+01;-1.995001e+00;2.847614e-01;-4.314476e+00;-1.304651e+01;3.547286e+00;1.006247e+00;8.483692e+00;-1.602994e+00;-4.038849e+00
12;0.120000;-5.949329e+00;1.230903e+01;-6.870045e+00;2.112381e+00;1.412866e+01;-1.667141e+00;-2.124252e-01;-6.657749e+00;-1.187996e+01;4.369774e+00;-4.227192e-02;6.778896e+00;-2.337348e+00;-3.686615e+00
13;0.130000;-6.346668e+00;1.019114e+01;-7.824450e+00;1.426699e-01;1.335420e+01;-3.412752e-01;9.860840e-01;-7.506917e+00;-8.984465e+00;3.210532e+00;1.911106e-01;5.252218e+00;-5.253729e+00;-2.961708e+00
14;0.140000;-4.159537e+00;9.580827e+00;-5.638371e+00;-3.262991e+00;1.151145e+01;2.847738e+00;1.653712e+00;-1.218780e+01;-7.850228e+00;4.409410e+00;2.313105e+00;5.486375e+00;-7.072403e+00;-1.017395e+00
15;0.150000;-1.335728e+00;7.439138e+00;-4.454782e+00;-6.589809e+00;7.144732e+00;5.459010e+00;-2.770348e+00;-1.454352e+01;-5.205699e+00;6.413936e+00;1.686499e+00;2.197139e+00;-6.161103e+00;1.221329e+00
16;0.160000;1.456899e+00;4.703694e+00;-3.571150e+00;-6.492057e+00;3.320480e+00;9.287507e+00;-7.181955e+00;-1.229442e+01;-2.587062e+00;5.543461e+00;4.111470e+00;2.155085e+00;-2.134134e+00;2.859787e+00
17;0.170000;2.219301e+00;1.764546e+00;-4.064719e+00;-7.685440e+00;-8.846302e-01;1.119327e+01;-1.384380e+01;-1.084686e+01;-2.906141e+00;1.809665e+00;5.254818e+00;2.774156e+00;-5.906339e-01;3.970848e+00
18;0.180000;2.624939e+00;1.235782e+00;-3.989415e+00;-9.036006e+00;-4.170994e+00;1.210771e+01;-1.613218e+01;-7.779466e+00;-9.097137e-01;1.237305e+00;6.022665e+00;1.537335e+00;2.746546e-01;4.796791e+00
19;0.190000;2.478411e+00;-1.154875e+00;-4.589814e+00;-1.132092e+01;-6.801664e+00;1.100459e+01;-1.753444e+01;-7.818466e+00;-5.169387e-01;-1.249237e-01;4.281058e+00;-4.926453e-01;-3.274948e+00;5.926437e+00
20;0.200000;3.563743e+00;-1.473561e+00;-5.052179e+00;-1.173685e+01;-5.390024e+00;1.160588e+01;-1.510509e+01;-8.196220e+00;-5.995135e-01;-5.347028e-01;4.590931e+00;9.666071e-01;-4.991752e+00;6.213234e+00
21;0.210000;5.742840e+00;-7.010381e-01;-3.687577e+00;-1.116500e+01;-2.932543e+00;1.300073e+01;-1.126973e+01;-7.380699e+00;2.031574e-01;-6.217179e-01;6.219108e+00;2.979618e+00;-4.364272e+00;5.211998e+00
22;0.220000;7.848545e+00;-3.939493e-01;-1.459347e+00;-1.044224e+01;-1.455532e+00;1.286567e+01;-9.367933e+00;-6.245454e+00;1.507229e+00;2.051096e-01;6.679379e+00;3.568527e+00;-3.121575e+00;2.079269e+00
23;0.230000;9.484643e+00;1.023956e+00;2.768018e+00;-9.937864e+00;1.866114e+00;1.628798e+01;-9.445478e+00;-4.745933e+00;3.190924e+00;3.554904e+00;1.005573e+01;7.727154e+00;7.360284e-01;-3.378242e+00
24;0.240000;8.926317e+00;3.405407e+00;4.610860e+00;-1.184044e+01;3.390653e+00;2.094116e+01;-1.207544e+01;-6.362107e+00;2.981219e-01;2.346607e+00;1.291965e+01;8.178064e+00;4.451911e+00;-7.025574e+00
25;0.250000;8.721542e+00;2.854787e+00;3.419954e+00;-1.526752e+01;2.340825e+00;2.224810e+01;-1.082358e+01;-4.622977e+00;-1.755630e+00;-9.853368e-01;9.094592e+00;5.702993e+00;3.131086e+00;-8.914268e+00
26;0.260000;8.305177e+00;1.811968e+00;1.664176e+00;-1.643343e+01;1.744897e+00;2.230130e+01;-9.551161e+00;-4.524515e+00;-4.089555e+00;5.337033e-01;4.491635e+00;1.874120e+00;8.779536e-01;-1.088781e+01
27;0.270000;7.114937e+00;9.727293e-01;3.290035e+00;-1.440924e+01;4.770598e+00;2.610827e+01;-4.905806e+00;-7.070069e-01;-2.134082e+00;2.937101e+00;4.086785e+00;4.423027e-01;2.865424e+00;-1.256605e+01
28;0.280000;6.398732e+00;-5.535491e-01;3.126411e+00;-1.359191e+01;6.081439e+00;2.587774e+01;-2.927851e+00;-3.792023e+00;-1.846433e+00;2.780529e+00;4.619627e+00;1.690790e+00;2.647720e+00;-1.416183e+01
29;0.290000;3.482107e+00;-1.164588e+00;2.524294e+00;-7.797185e+00;1.035021e+01;1.085987e+01;-1.689960e+00;-5.254640e+00;-9.583697e-01;2.305503e+00;2.569737e+00;6.841532e+00;2.686766e+00;-1.359210e+01
30;0.300000;2.753396e+00;-2.808664e+00;4.057961e+00;1.503448e+00;8.628191e+00;-1.135532e+01;-1.298141e-02;-5.615282e-01;6.851025e-01;4.725960e+00;1.213075e+00;5.087441e+00;9.302520e+00;-6.333778e+00
31;0.310000;4.151791e+00;-5.130533e+00;5.655105e+00;-6.496650e-02;1.796055e+00;-1.579402e+01;-4.980143e+00;3.579783e-01;-5.063095e-01;2.336391e+00;9.497648e-01;3.244785e+00;5.222199e+00;1.658249e-01
32;0.320000;5.249460e+00;-7.407646e+00;6.078455e+00;-1.517391e-01;-4.552024e+00;-1.308521e+01;-8.742664e+00;3.087250e+00;-2.161067e+00;4.573951e-01;2.359928e+00;4.157383e+00;4.697425e+00;3.674126e+00
33;0.330000;3.877635e+00;-9.057323e+00;6.003435e+00;1.038568e+00;-1.258958e+01;-8.973681e+00;-1.092164e+01;6.147286e+00;-1.681105e+00;-4.131993e+00;5.240272e+00;3.222300e+00;6.284536e+00;5.319427e+00
34;0.340000;1.450435e+00;-8.909206e+00;5.684746e+00;1.143444e+00;-1.640303e+01;-7.988897e+00;-1.082195e+01;8.392464e+00;-1.165051e+00;-8.030669e+00;6.426454e+00;1.227391e+00;5.366563e+00;6.238083e+00
35;0.350000;5.300808e-01;-6.825797e+00;5.961931e+00;1.487926e+00;-1.648900e+01;-6.112478e+00;-7.159330e+00;1.130706e+01;1.382180e+00;-8.126810e+00;7.511994e+00;3.371436e+00;5.803307e+00;6.199516e+00
36;0.360000;-4.875002e-01;-7.635957e+00;3.414939e+00;-7.988995e-01;-2.031216e+01;-9.507478e+00;-9.834703e+00;7.798592e+00;1.301509e+00;-1.177648e+01;2.028976e+00;9.393692e-02;1.929586e+00;5.788574e+00
37;0.370000;9.936333e-02;-7.471998e+00;2.988958e+00;5.141786e-01;-1.773829e+01;-7.511999e+00;-9.354746e+00;9.096315e+00;7.114645e+00;-9.676990e+00;1.071784e+00;-1.065512e+00;3.104580e+00;6.532669e+00
38;0.380000;1.628976e+00;-7.321582e+00;2.214444e+00;1.398214e+00;-1.408208e+01;-4.301301e+00;-9.316170e+00;1.076574e+01;9.860131e+00;-7.185526e+00;3.172401e-02;-2.931738e-01;4.729194e+00;6.657471e+00
39;0.390000;2.868297e+00;-6.861566e+00;2.873022e+00;1.990282e+00;-1.187636e+01;-2.291687e+00;-9.926163e+00;1.195187e+01;1.152952e+01;-4.714972e+00;4.061187e-01;1.830750e+00;6.150652e+00;4.266891e+00
40;0.400000;4.426312e+00;-4.839825e+00;7.773905e+00;2.332474e+00;-6.639128e+00;-5.142622e-01;-8.888309e+00;1.093628e+01;1.113260e+01;-1.561600e+00;2.056244e+00;7.428901e+00;6.744860e+00;-8.475952e-01
41;0.410000;3.369873e+00;-3.884753e+00;7.493889e+00;-9.460672e-01;2.984006e+00;-3.232762e+00;-2.184322e+00;1.413631e+00;6.847423e+00;3.072934e-01;-2.972835e+00;7.833847e+00;9.852189e-01;-2.443314e+00
42;0.420000;4.162830e+00;-6.255528e+00;-9.117854e-01;-4.927474e+00;-3.246479e-01;-5.772821e+00;-2.956276e-01;4.560362e+00;1.154012e+01;2.630000e+00;-9.539548e+00;1.820684e+00;6.493984e-01;1.798203e+00
43;0.430000;5.706946e+00;-1.081879e+01;-2.381508e+00;-5.584569e+00;-5.164234e+00;-4.417882e+00;-2.133789e+00;7.060315e+00;1.084813e+01;2.431890e+00;-1.008092e+01;3.077788e-01;1.575355e+00;5.500656e+00
44;0.440000;6.597890e+00;-1.524928e+01;-3.299819e+00;-6.533675e+00;-7.452215e+00;1.355596e-01;-3.817049e+00;1.199197e+01;8.828585e+00;4.545798e+00;-9.633325e+00;-1.328387e+00;3.458640e+00;6.285957e+00
45;0.450000;6.624224e+00;-1.749635e+01;-3.936183e+00;-7.102736e+00;-4.513920e+00;1.515408e+00;2.019019e+00;1.719854e+01;8.766346e+00;1.056339e+01;-1.363686e+01;1.875199e+00;2.727691e+00;5.893654e+00
46;0.460000;5.321778e+00;-2.064791e+01;-6.778595e+00;-9.331372e+00;-3.129128e+00;-3.729734e-01;2.716349e+00;1.464773e+01;1.622981e+00;8.715490e+00;-1.967083e+01;2.325270e+00;-1.409683e+00;6.271042e+00
47;0.470000;4.918835e+00;-2.081856e+01;-6.674500e+00;-8.164230e+00;1.301946e+00;2.861516e+00;7.111176e+00;1.555100e+01;2.452235e+00;7.039626e+00;-1.770201e+01;4.163414e+00;1.440187e+00;7.178062e+00
