frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.580330e+00;-5.404416e+00;-3.237832e+00;5.667407e+00;4.041917e+00;6.490480e+00;1.124076e+01;2.235698e+01;1.228227e+00;-5.097404e+00;4.889036e+00;7.465456e+00;1.645769e+00;-1.386308e+01
1;0.010000;-4.079844e+00;-5.158371e+00;-2.443484e+00;6.097668e+00;3.981188e+00;7.760308e+00;1.123831e+01;2.094781e+01;2.051747e+00;-4.955350e+00;3.787114e+00;7.982488e+00;1.045397e+00;-1.750011e+01
2;0.020000;-4.851580e+00;1.208055e+00;-3.632768e+00;6.616431e+00;4.802719e+00;7.206537e+00;1.454494e+01;1.571878e+01;7.331029e+00;4.408178e-01;8.061047e+00;1.113143e+01;4.725306e+00;-2.222517e+01
3;0.030000;-9.263592e+00;4.246119e+00;-6.733972e+00;5.795589e+00;6.278466e+00;7.271046e+00;1.547431e+01;1.563152e+01;1.048879e+01;6.285368e+00;7.194533e+00;1.071378e+01;5.472615e+00;-1.468095e+01
4;0.040000;-1.286103e+01;7.236349e+00;-7.797587e+00;8.922710e+00;7.434913e+00;5.719882e+00;1.156601e+01;1.467338e+01;8.142487e+00;4.373438e+00;5.881720e+00;9.141123e+00;3.553745e+00;-9.328140e+00
5;0.050000;-1.741606e+01;7.957259e+00;-9.594237e+00;1.135461e+01;9.422893e+00;5.239528e+00;1.196975e+01;1.293187e+01;6.574298e+00;6.134213e+00;7.280111e+00;1.057452e+01;4.882965e+00;-7.090981e+00
6;0.060000;-1.998856e+01;7.152853e+00;-1.099314e+01;1.156291e+01;7.583995e+00;4.098751e+00;1.139920e+01;1.326156e+01;7.222425e+00;5.372252e+00;5.430003e+00;1.047240e+01;3.934017e+00;-4.326302e+00
7;0.070000;-2.249435e+01;5.087632e+00;-1.096330e+01;1.088844e+01;4.652736e+00;4.699828e+00;1.050236e+01;9.500934e+00;4.465172e+00;4.154505e+00;5.898251e+00;1.023483e+01;5.492260e+00;-2.397484e+00
8;0.080000;-2.228180e+01;4.941997e+00;-1.076155e+01;1.049292e+01;4.304156e+00;4.987532e+00;1.015686e+01;8.610142e+00;4.578776e+00;3.701459e+00;7.325046e+00;6.689168e+00;6.514776e+00;-1.863174e-01
9;0.090000;-2.254559e+01;2.033296e+00;-1.007613e+01;8.349401e+00;2.377724e+00;-1.133928e-01;1.007724e+01;1.111691e+01;6.201975e+00;3.551468e+00;7.753576e+00;6.936652e+00;7.567206e+00;2.238464e+00
10;0.100000;-2.100142e+01;-3.709316e-03;-8.445782e+00;6.248922e+00;2.361422e+00;-3.469114e+00;1.087429e+01;1.309787e+01;7.395990e+00;1.878918e+00;4.530552e+00;7.561697e+00;8.005414e+00;4.553925e+00
11;0.110000;-1.526469e+01;3.299737e+00;-5.068602e+00;6.307599e+00;2.304371e+00;-6.343452e+00;6.412673e+00;1.032759e+01;6.152737e+00;-2.296060e+00;-9.354372e-01;2.745452e+00;3.771310e+00;6.034714e+00
12;0.120000;-6.475439e+00;4.504011e+00;-8.141276e+00;-1.020413e+00;1.239060e+00;-4.750500e+00;-3.373937e+00;3.489326e+00;7.237217e+00;-1.420280e+00;-2.700214e+00;1.950407e-01;2.288013e+00;6.912979e+00
13;0.130000;4.884720e-03;4.980631e-01;-1.025599e+01;-7.299702e+00;3.228159e-01;-5.251055e-01;-1.122477e+01;3.550977e+00;1.006043e+01;-4.367824e-01;-5.295969e+00;-3.137051e+00;1.001264e+00;7.010445e+00
14;0.140000;1.720009e+00;-3.092822e+00;-1.048078e+01;-1.055968e+01;-5.835743e-01;2.430247e+00;-1.420460e+01;6.314589e+00;1.084765e+01;1.501297e+00;-4.684688e+00;-7.047308e+00;3.030151e+00;6.593369e+00
15;0.150000;1.581284e+00;-3.931987e+00;-1.129081e+01;-1.123499e+01;1.726894e-01;4.973203e+00;-1.164094e+01;6.103129e+00;1.131980e+01;3.721565e+00;-2.753259e+00;-6.992510e+00;6.236172e-01;5.701118e+00
16;0.160000;1.558968e+00;-2.233209e+00;-9.100446e+00;-1.202712e+01;-6.783352e-01;7.919419e+00;-1.093963e+01;3.541540e+00;1.085610e+01;2.375417e+00;2.125727e+00;-5.752209e+00;-1.710528e+00;5.388489e+00
17;0.170000;1.806903e+00;8.287857e-01;-7.213859e+00;-1.378930e+01;-2.267367e+00;8.955791e+00;-1.146442e+01;6.164560e-01;1.049612e+01;2.449279e+00;7.255550e+00;-5.413145e+00;-8.851864e-01;3.859184e+00
18;0.180000;3.777811e+00;2.993249e+00;-9.975090e+00;-1.545580e+01;-2.788157e+00;1.020141e+01;-1.075492e+01;9.323101e-01;7.916841e+00;-2.278945e+00;8.937025e+00;-5.305326e+00;3.578879e+00;1.120216e+00
19;0.190000;6.405640e+00;3.206471e+00;-1.646145e+01;-1.432801e+01;-2.419043e-01;3.959002e+00;-1.015034e+01;2.199837e+00;3.014240e+00;-6.389280e+00;8.654627e+00;-8.454178e+00;6.280283e+00;-6.781464e-01
20;0.200000;7.355039e+00;1.640275e-01;-1.556609e+01;-1.015218e+01;-2.728138e-01;2.650199e+00;-4.698087e+00;1.215691e+00;4.486079e+00;-4.569321e+00;8.472498e+00;-8.699111e+00;6.757738e+00;6.635666e-01
21;0.210000;7.398226e+00;-6.449492e+00;-1.626654e+01;-1.046191e+01;-1.035232e+00;2.305296e+00;1.569647e+00;-3.047742e+00;6.588213e+00;-5.384740e+00;4.386319e+00;-1.008335e+01;4.663270e+00;2.935562e+00
22;0.220000;7.124558e+00;-1.080331e+01;-1.774210e+01;-1.033016e+01;-1.343645e+00;2.290355e+00;5.238670e+00;-4.126346e+00;7.336240e+00;-6.015287e+00;3.542899e+00;-1.488886e+01;6.447909e+00;3.918411e+00
23;0.230000;6.972241e+00;-1.220390e+01;-1.933914e+01;-6.497243e+00;-2.899285e+00;3.800548e+00;6.091322e+00;-4.684017e+00;7.241673e+00;-6.418608e+00;5.209120e+00;-1.707688e+01;1.001451e+01;3.746315e+00
24;0.240000;6.606799e+00;-1.061539e+01;-1.926472e+01;-2.384648e+00;7.229004e-01;5.653472e+00;8.227234e+00;-4.124232e+00;9.704510e+00;-5.847128e+00;8.042428e+00;-1.428858e+01;1.359075e+01;3.693542e+00
25;0.250000;4.755000e+00;-9.858129e+00;-2.010994e+01;-2.312020e+00;2.809770e+00;6.991786e+00;7.694598e+00;-4.121053e+00;1.102645e+01;-7.448121e+00;4.737403e+00;-1.180148e+01;1.221906e+01;3.786041e+00
