frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;7.654706e+00;-2.206467e+00;9.300622e+00;8.768652e+00;-1.257843e+01;-4.672876e+00;-1.851015e+00;-9.011378e+00;7.487473e+00;3.605950e+00;-2.327946e+00;8.184699e-01;-4.077752e+00;-2.670898e+00
1;0.010000;5.934837e+00;-2.001455e+00;6.248367e+00;6.931497e+00;-7.804616e+00;-5.938382e+00;-1.324186e+00;-1.109916e+01;7.544233e+00;7.187066e+00;-2.979464e+00;-1.601697e+00;-6.485135e+00;-1.295570e+00
2;0.020000;5.490736e+00;-2.088355e+00;3.651956e+00;6.588912e+00;-3.214598e+00;-4.697012e+00;-1.330473e+00;-1.054342e+01;6.450181e+00;1.138345e+01;-1.390999e+00;-3.515288e+00;-8.327468e+00;-1.224350e+00
3;0.030000;5.919728e+00;-1.185442e+00;2.330550e+00;6.688222e+00;6.769505e-01;-1.501151e+00;-1.707239e+00;-1.110539e+01;4.757681e+00;7.866738e+00;2.044829e+00;-4.303002e+00;-7.520230e+00;-1.823601e+00
4;0.040000;5.545489e+00;1.097893e+00;1.963660e+00;5.274806e+00;3.535408e+00;1.238414e+00;-1.295957e+00;-1.492592e+01;2.496588e+00;7.096473e-01;5.268126e+00;-4.840935e+00;-3.560657e+00;-2.911049e+00
5;0.050000;5.212226e+00;2.326187e+00;2.107635e+00;4.620293e+00;3.320155e+00;2.866634e+00;1.250559e+00;-1.376096e+01;2.474631e+00;1.122014e+00;9.456669e+00;-4.338181e+00;1.928611e+00;-5.336098e+00
6;0.060000;5.717208e+00;2.342735e+00;2.844198e+00;5.089478e+00;-1.219383e+00;2.019036e+00;-6.195335e-01;-8.109460e+00;1.647516e+00;5.586406e+00;1.174421e+01;-4.372511e+00;5.102320e+00;-8.175323e+00
7;0.070000;5.992488e+00;1.458396e+00;3.534531e+00;7.490398e+00;-2.545347e+00;9.121108e-01;-2.219497e+00;-4.253947e+00;-2.661848e-01;7.870529e+00;1.016694e+01;-6.299453e+00;2.935635e+00;-1.021793e+01
8;0.080000;5.982237e+00;2.052490e+00;4.411638e+00;1.097555e+01;1.403173e+00;5.739262e+00;5.898499e-01;-3.171146e+00;2.190714e-01;5.220714e+00;7.655643e+00;-5.935961e+00;2.400408e+00;-1.133694e+01
9;0.090000;5.829290e+00;2.513682e+00;3.538384e+00;1.172670e+01;4.312712e+00;6.042057e+00;-2.421125e+00;-2.036813e+00;1.506699e+00;2.795677e+00;7.095060e+00;-4.614573e+00;3.558841e+00;-1.165479e+01
10;0.100000;3.630885e+00;3.170722e+00;4.635424e+00;1.045065e+01;5.272508e+00;2.833718e+00;-5.217276e-01;-5.842405e+00;6.768584e+00;7.608665e-01;5.331709e+00;-1.006873e+00;3.288223e+00;-1.056805e+01
11;0.110000;-2.908931e+00;1.945474e+00;7.543003e+00;4.177118e+00;6.510110e+00;1.596982e+00;5.976622e+00;-9.329814e+00;7.504035e+00;-3.932407e+00;8.673975e+00;1.873300e+00;3.360815e+00;-5.667839e+00
12;0.120000;-6.051648e+00;-1.280037e+00;6.287998e+00;1.092854e+00;5.967782e+00;1.842057e+00;9.207369e+00;-6.743578e+00;5.645796e+00;-3.977281e+00;1.166612e+01;4.471175e+00;4.713611e+00;-2.163910e+00
13;0.130000;-3.786304e+00;-7.761500e-01;4.971574e+00;-1.406503e+00;2.852111e+00;-3.015921e+00;5.160280e+00;-3.499998e+00;7.732655e+00;-1.842362e+00;7.954548e+00;1.964939e-02;2.486984e+00;-9.153900e-01
14;0.140000;2.865342e+00;-1.452854e-01;2.310788e+00;-5.265581e+00;-4.978477e+00;-6.256975e+00;-3.735288e+00;-2.866608e+00;1.138790e+01;1.731658e+00;-1.691824e+00;-5.709992e+00;1.017863e+00;3.447113e-01
15;0.150000;5.765965e+00;-3.786933e+00;2.901629e+00;-4.715614e+00;-1.128644e+01;-2.477601e+00;-5.668055e+00;-4.997190e+00;1.201254e+01;3.219049e+00;-5.853617e+00;-1.743337e+00;-4.541771e+00;2.616997e+00
16;0.160000;5.513337e+00;-5.677525e+00;4.490147e+00;-4.873381e-01;-1.357742e+01;3.918300e-01;-4.325770e+00;-2.609483e+00;1.180939e+01;4.489084e+00;-4.595967e+00;-3.007215e-01;-5.543548e+00;2.999092e+00
17;0.170000;4.653049e+00;-8.707304e+00;6.891784e+00;1.114510e+00;-1.546147e+01;3.978559e+00;-6.359723e+00;3.055705e+00;1.136214e+01;2.752949e-01;-7.710073e+00;1.373652e+00;-4.561284e+00;3.472687e+00
18;0.180000;4.617802e+00;-1.076774e+01;6.254506e+00;-3.191710e-01;-1.629271e+01;5.814823e+00;-9.367292e+00;7.335185e+00;9.308149e+00;1.609475e+00;-9.560225e+00;3.089224e+00;-6.345551e+00;5.215271e+00
19;0.190000;4.472544e+00;-1.121343e+01;5.669567e+00;-2.325700e+00;-1.665295e+01;7.948148e+00;-1.091375e+01;1.280203e+01;3.983423e+00;4.592211e+00;-9.840103e+00;3.550804e+00;-4.850056e+00;6.197281e+00
20;0.200000;3.364238e+00;-1.172396e+01;3.709896e+00;-7.343459e+00;-1.748503e+01;6.126565e+00;-1.094961e+01;1.211293e+01;-1.594797e+00;3.365840e+00;-1.253368e+01;-4.533541e-01;-7.257434e+00;6.944801e+00
21;0.210000;2.851316e+00;-1.069345e+01;2.616942e+00;-9.563277e+00;-1.407145e+01;7.179811e+00;-4.602361e+00;1.151341e+01;-3.782368e-01;5.765002e+00;-1.160326e+01;-2.892862e+00;-6.094979e+00;7.530533e+00
22;0.220000;2.744330e+00;-9.440168e+00;1.620766e+00;-1.047011e+01;-9.558019e+00;7.796675e+00;1.642620e+00;9.017101e+00;1.215669e+00;8.827955e+00;-1.148347e+01;-3.109320e+00;-4.532298e+00;7.824745e+00
23;0.230000;2.101127e+00;-1.092475e+01;-1.325568e+00;-1.407632e+01;-6.930922e+00;5.751212e+00;4.150819e+00;4.430078e+00;1.350877e+00;7.499635e+00;-1.581193e+01;-3.854682e+00;-5.842192e+00;7.509315e+00
24;0.240000;2.769837e+00;-1.133950e+01;-1.380995e+00;-1.474307e+01;-2.183943e+00;6.700695e+00;8.410112e+00;2.788050e+00;5.841589e+00;5.311478e+00;-1.360786e+01;-2.351644e+00;-4.577233e+00;7.751068e+00
25;0.250000;2.889738e+00;-1.220953e+01;-3.274952e+00;-1.424725e+01;-9.119892e-01;7.267184e+00;9.519865e+00;1.174946e-01;7.800670e+00;2.149650e+00;-1.145125e+01;-5.821162e+00;-3.385195e+00;7.611557e+00
26;0.260000;2.089159e+00;-1.199660e+01;-4.939712e+00;-1.333774e+01;-1.964443e+00;8.868486e+00;9.247527e+00;-6.122723e-01;8.871454e+00;1.787367e+00;-1.216639e+01;-6.448572e+00;-2.686708e+00;8.017212e+00
27;0.270000;1.373315e+00;-1.053558e+01;-5.290570e+00;-1.141482e+01;-2.025611e+00;8.896670e+00;7.740277e+00;1.021249e+00;1.370994e+01;2.014264e+00;-1.287181e+01;-3.366171e+00;-4.670668e-01;9.147301e+00
28;0.280000;1.931038e-01;-1.134227e+01;-7.853752e+00;-1.171704e+01;-5.043906e+00;3.525777e+00;2.614900e+00;1.820078e-01;1.511794e+01;-2.200091e+00;-1.621168e+01;-2.191191e+00;3.994837e-01;9.470016e+00
29;0.290000;2.955127e-01;-1.096960e+01;-7.354918e+00;-1.088209e+01;-5.685679e+00;-2.087021e-02;-5.759001e-01;1.053935e+00;1.378307e+01;-5.290208e+00;-1.743208e+01;-2.529740e+00;-9.698086e-01;9.518089e+00
30;0.300000;6.797967e-01;-8.067380e+00;-6.342063e+00;-6.197557e+00;-3.262438e+00;-1.482949e+00;-1.960637e+00;3.690451e+00;1.470561e+01;-5.613985e+00;-1.361560e+01;-1.341756e+00;1.865767e+00;9.330139e+00
31;0.310000;-2.770348e+00;-1.558086e+00;-1.036248e+01;-2.033646e+00;-3.033539e+00;-6.532124e+00;-4.939528e+00;7.509232e-02;1.442433e+01;-7.800890e+00;-1.029728e+01;-5.322855e+00;2.460628e+00;8.991081e+00
32;0.320000;-6.997587e+00;5.162776e+00;-1.364008e+01;-9.444675e-01;-2.243436e+00;-8.936946e+00;-1.740990e-01;-3.124403e+00;1.416186e+01;-4.007093e+00;-1.288795e+01;-8.700242e+00;1.718396e+00;8.492279e+00
33;0.330000;-1.047083e+01;8.853880e+00;-1.365753e+01;8.910894e-01;1.568955e+00;-5.831645e+00;5.848980e+00;-2.286701e+00;1.499566e+01;-1.086267e+00;-1.187526e+01;-7.700655e+00;2.503708e+00;7.645737e+00
34;0.340000;-1.294095e+01;9.803786e+00;-1.341051e+01;4.380002e+00;2.651792e+00;-5.380627e+00;4.425117e+00;-2.641874e+00;1.396584e+01;-4.872748e+00;-1.084365e+01;-8.136972e+00;3.200886e+00;6.613846e+00
35;0.350000;-1.324251e+01;1.046276e+01;-1.343733e+01;3.631581e+00;-2.161670e+00;-4.674248e+00;5.505620e+00;2.047405e-01;1.491002e+01;-6.544540e+00;-1.029873e+01;-9.682969e+00;2.528331e+00;6.491508e+00
